SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,12+,"51,074",Masked,Masked,"50,891","30,477",>95%,>95%,60%
Unknown,Unknown,Unknown,5-11,"5,295","2,546","1,187",NA,NA,48%,22%,NA
100100,North Cape,Northland,12+,"1,589","1,366","1,343","1,241",810,86%,85%,65%
100100,North Cape,Northland,5-11,199,52,20,NA,NA,26%,10%,NA
100200,Rangaunu Harbour,Northland,12+,"1,958","1,656","1,601","1,477",859,85%,82%,58%
100200,Rangaunu Harbour,Northland,5-11,262,52,15,NA,NA,20%,6%,NA
100400,Karikari Peninsula,Northland,12+,"1,353","1,157","1,136","1,079",720,86%,84%,67%
100400,Karikari Peninsula,Northland,5-11,133,32,9,NA,NA,24%,7%,NA
100500,Tangonge,Northland,12+,963,843,827,754,469,88%,86%,62%
100500,Tangonge,Northland,5-11,122,31,9,NA,NA,25%,7%,NA
100600,Ahipara,Northland,12+,"1,051",896,870,812,515,85%,83%,63%
100600,Ahipara,Northland,5-11,149,55,17,NA,NA,37%,11%,NA
100700,Kaitaia East,Northland,12+,"2,028","1,785","1,705","1,550",848,88%,84%,55%
100700,Kaitaia East,Northland,5-11,334,100,31,NA,NA,30%,9%,NA
100800,Kaitaia West,Northland,12+,"2,932","2,536","2,431","2,194","1,221",86%,83%,56%
100800,Kaitaia West,Northland,5-11,481,119,47,NA,NA,25%,10%,NA
100900,Rangitihi,Northland,12+,810,684,667,608,360,84%,82%,59%
100900,Rangitihi,Northland,5-11,89,17,Masked,NA,NA,19%,6%,NA
101000,Oruru-Parapara,Northland,12+,815,662,638,601,357,81%,78%,59%
101000,Oruru-Parapara,Northland,5-11,103,27,9,NA,NA,26%,9%,NA
101100,Taumarumaru,Northland,12+,"2,255","2,007","1,967","1,880","1,360",89%,87%,72%
101100,Taumarumaru,Northland,5-11,214,66,20,NA,NA,31%,9%,NA
101200,Herekino-Takahue,Northland,12+,880,696,670,612,371,79%,76%,61%
101200,Herekino-Takahue,Northland,5-11,112,26,Masked,NA,NA,23%,<5%,NA
101300,Peria,Northland,12+,"1,018",742,715,674,409,73%,70%,61%
101300,Peria,Northland,5-11,128,26,8,NA,NA,20%,6%,NA
101400,Taemaro-Oruaiti,Northland,12+,854,706,685,647,416,83%,80%,64%
101400,Taemaro-Oruaiti,Northland,5-11,111,45,10,NA,NA,41%,9%,NA
101500,Whakapaku,Northland,12+,656,512,492,463,309,78%,75%,67%
101500,Whakapaku,Northland,5-11,83,31,Masked,NA,NA,37%,6%,NA
101600,Hokianga North,Northland,12+,798,665,645,593,394,83%,81%,66%
101600,Hokianga North,Northland,5-11,138,37,8,NA,NA,27%,6%,NA
101700,Kohukohu-Broadwood,Northland,12+,693,572,559,523,362,83%,81%,69%
101700,Kohukohu-Broadwood,Northland,5-11,66,16,Masked,NA,NA,24%,6%,NA
101800,Whakarara,Northland,12+,"1,124",966,942,893,622,86%,84%,70%
101800,Whakarara,Northland,5-11,117,53,23,NA,NA,45%,20%,NA
101900,Kaeo,Northland,12+,"1,070",842,810,758,472,79%,76%,62%
101900,Kaeo,Northland,5-11,147,43,16,NA,NA,29%,11%,NA
102000,Omahuta Forest-Horeke,Northland,12+,982,737,703,643,387,75%,72%,60%
102000,Omahuta Forest-Horeke,Northland,5-11,161,21,9,NA,NA,13%,6%,NA
102100,Hokianga South,Northland,12+,"1,182",893,859,803,530,76%,73%,66%
102100,Hokianga South,Northland,5-11,131,30,6,NA,NA,23%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,008","1,822","1,791","1,674","1,121",91%,89%,67%
102200,Lake Manuwai-Kapiro,Northland,5-11,205,86,38,NA,NA,42%,19%,NA
102300,Okaihau,Northland,12+,"1,018",882,863,799,478,87%,85%,60%
102300,Okaihau,Northland,5-11,120,33,Masked,NA,NA,28%,<5%,NA
102400,Rangitane-Purerua,Northland,12+,"1,285","1,149","1,116","1,036",714,89%,87%,69%
102400,Rangitane-Purerua,Northland,5-11,158,43,20,NA,NA,27%,13%,NA
102500,Waipapa,Northland,12+,728,659,641,604,393,91%,88%,65%
102500,Waipapa,Northland,5-11,97,38,16,NA,NA,39%,16%,NA
102600,Puketotara,Northland,12+,"1,618","1,451","1,418","1,334",905,90%,88%,68%
102600,Puketotara,Northland,5-11,174,70,21,NA,NA,40%,12%,NA
102700,Waima Forest,Northland,12+,990,770,741,680,363,78%,75%,53%
102700,Waima Forest,Northland,5-11,137,23,6,NA,NA,17%,<5%,NA
102800,Riverview,Northland,12+,"1,965",Masked,"1,840","1,718","1,316",>95%,94%,77%
102800,Riverview,Northland,5-11,202,101,43,NA,NA,50%,21%,NA
102900,Waipoua Forest,Northland,12+,"1,150",881,853,810,554,77%,74%,68%
102900,Waipoua Forest,Northland,5-11,109,18,Masked,NA,NA,17%,<5%,NA
103000,Kerikeri Central,Northland,12+,"2,373","2,203","2,170","2,051","1,458",93%,91%,71%
103000,Kerikeri Central,Northland,5-11,232,89,32,NA,NA,38%,14%,NA
103100,Kerikeri South,Northland,12+,"2,529","2,338","2,311","2,195","1,657",92%,91%,75%
103100,Kerikeri South,Northland,5-11,215,101,38,NA,NA,47%,18%,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,062",925,900,846,556,87%,85%,66%
103200,Ohaeawai-Waimate North,Northland,5-11,114,29,9,NA,NA,25%,8%,NA
103300,Puketona-Waitangi,Northland,12+,"1,287","1,121","1,109","1,061",750,87%,86%,71%
103300,Puketona-Waitangi,Northland,5-11,120,42,11,NA,NA,35%,9%,NA
103400,Ngapuhi,Northland,12+,"1,268","1,059","1,014",925,509,84%,80%,55%
103400,Ngapuhi,Northland,5-11,189,33,8,NA,NA,17%,<5%,NA
103500,Kaikohe,Northland,12+,"3,572","2,953","2,822","2,572","1,405",83%,79%,55%
103500,Kaikohe,Northland,5-11,658,176,57,NA,NA,27%,9%,NA
103600,Pakaraka,Northland,12+,551,484,474,442,276,88%,86%,62%
103600,Pakaraka,Northland,5-11,77,30,14,NA,NA,39%,18%,NA
103700,Haruru,Northland,12+,"1,022",864,853,820,568,85%,83%,69%
103700,Haruru,Northland,5-11,119,46,9,NA,NA,39%,8%,NA
103800,Russell,Northland,12+,767,704,699,681,549,92%,91%,81%
103900,Paihia,Northland,12+,"1,534","1,367","1,342","1,284",870,89%,87%,68%
103900,Paihia,Northland,5-11,130,45,23,NA,NA,35%,18%,NA
104000,Mataraua Forest,Northland,12+,450,362,340,308,175,80%,76%,57%
104000,Mataraua Forest,Northland,5-11,68,17,9,NA,NA,25%,13%,NA
104100,Matawaia-Taumarere,Northland,12+,"1,266","1,028",996,911,515,81%,79%,57%
104100,Matawaia-Taumarere,Northland,5-11,200,60,10,NA,NA,30%,5%,NA
104200,Russell Peninsula,Northland,12+,632,543,539,521,417,86%,85%,80%
104300,Opua (Far North District),Northland,12+,"1,183","1,079","1,059","1,024",767,91%,90%,75%
104300,Opua (Far North District),Northland,5-11,70,20,8,NA,NA,29%,11%,NA
104400,Russell Forest-Rawhiti,Northland,12+,625,545,528,497,340,87%,84%,68%
104400,Russell Forest-Rawhiti,Northland,5-11,74,14,Masked,NA,NA,19%,<5%,NA
104500,Moerewa,Northland,12+,"1,342","1,153","1,101",975,520,86%,82%,53%
104500,Moerewa,Northland,5-11,272,38,12,NA,NA,14%,<5%,NA
104600,Kawakawa,Northland,12+,"1,198","1,075","1,031",940,547,90%,86%,58%
104600,Kawakawa,Northland,5-11,199,46,12,NA,NA,23%,6%,NA
104700,Maromaku,Northland,12+,589,465,449,420,243,79%,76%,58%
104700,Maromaku,Northland,5-11,100,29,7,NA,NA,29%,7%,NA
104800,Mangakahia-Hukerenui,Northland,12+,"1,576","1,366","1,324","1,198",675,87%,84%,56%
104800,Mangakahia-Hukerenui,Northland,5-11,233,68,17,NA,NA,29%,7%,NA
104900,Whangaruru,Northland,12+,"2,218","1,939","1,893","1,769","1,111",87%,85%,63%
104900,Whangaruru,Northland,5-11,247,87,22,NA,NA,35%,9%,NA
105100,Matarau,Northland,12+,"2,764","2,497","2,461","2,257","1,583",90%,89%,70%
105100,Matarau,Northland,5-11,391,170,76,NA,NA,43%,19%,NA
105200,Hikurangi,Northland,12+,"1,206","1,078","1,046",951,544,89%,87%,57%
105200,Hikurangi,Northland,5-11,232,72,24,NA,NA,31%,10%,NA
105300,Kauri,Northland,12+,"1,548","1,381","1,361","1,266",931,89%,88%,74%
105300,Kauri,Northland,5-11,197,75,28,NA,NA,38%,14%,NA
105400,Maungatapere,Northland,12+,"3,044","2,685","2,654","2,477","1,764",88%,87%,71%
105400,Maungatapere,Northland,5-11,366,167,91,NA,NA,46%,25%,NA
105500,Kamo West,Northland,12+,"1,958","1,755","1,736","1,615","1,151",90%,89%,71%
105500,Kamo West,Northland,5-11,204,100,43,NA,NA,49%,21%,NA
105600,Matapouri-Tutukaka,Northland,12+,"1,607","1,445","1,424","1,349",985,90%,89%,73%
105600,Matapouri-Tutukaka,Northland,5-11,133,63,36,NA,NA,47%,27%,NA
105700,Kiripaka,Northland,12+,868,776,764,707,479,89%,88%,68%
105700,Kiripaka,Northland,5-11,124,58,30,NA,NA,47%,24%,NA
105800,Kamo East,Northland,12+,"2,477","2,290","2,232","2,042","1,271",92%,90%,62%
105800,Kamo East,Northland,5-11,431,164,58,NA,NA,38%,13%,NA
105900,Granfield Reserve,Northland,12+,"2,904","2,683","2,646","2,475","1,924",92%,91%,78%
105900,Granfield Reserve,Northland,5-11,290,153,58,NA,NA,53%,20%,NA
106000,Kamo Central,Northland,12+,"1,405","1,318","1,296","1,203",805,94%,92%,67%
106000,Kamo Central,Northland,5-11,216,112,34,NA,NA,52%,16%,NA
106100,Whau Valley,Northland,12+,"2,542","2,259","2,230","2,112","1,522",89%,88%,72%
106100,Whau Valley,Northland,5-11,262,111,44,NA,NA,42%,17%,NA
106200,Tikipunga North,Northland,12+,"2,890","2,700","2,650","2,472","1,719",93%,92%,70%
106200,Tikipunga North,Northland,5-11,427,142,38,NA,NA,33%,9%,NA
106300,Pukenui,Northland,12+,"2,011","1,893","1,882","1,738","1,315",94%,94%,76%
106300,Pukenui,Northland,5-11,255,156,75,NA,NA,61%,29%,NA
106400,Otangarei,Northland,12+,"1,772","1,447","1,354","1,213",593,82%,76%,49%
106400,Otangarei,Northland,5-11,299,53,Masked,NA,NA,18%,<5%,NA
106500,Tikipunga South,Northland,12+,"3,219","2,975","2,910","2,710","1,805",92%,90%,67%
106500,Tikipunga South,Northland,5-11,437,167,45,NA,NA,38%,10%,NA
106600,Kensington (Whangarei District),Northland,12+,"2,947","2,765","2,720","2,594","1,865",94%,92%,72%
106600,Kensington (Whangarei District),Northland,5-11,253,91,35,NA,NA,36%,14%,NA
106700,Abbey Caves-Glenbervie,Northland,12+,"1,177","1,095","1,083","1,016",715,93%,92%,70%
106700,Abbey Caves-Glenbervie,Northland,5-11,131,49,25,NA,NA,37%,19%,NA
106800,Mairtown,Northland,12+,"2,230","2,047","2,025","1,930","1,430",92%,91%,74%
106800,Mairtown,Northland,5-11,213,97,35,NA,NA,46%,16%,NA
106900,Maunu-Horahora,Northland,12+,"2,938","2,723","2,693","2,521","1,914",93%,92%,76%
106900,Maunu-Horahora,Northland,5-11,343,160,67,NA,NA,47%,20%,NA
107000,Woodhill-Vinetown,Northland,12+,"2,490","2,282","2,238","2,123","1,434",92%,90%,68%
107000,Woodhill-Vinetown,Northland,5-11,243,104,32,NA,NA,43%,13%,NA
107100,Whangarei Central,Northland,12+,975,908,893,853,581,93%,92%,68%
107100,Whangarei Central,Northland,5-11,52,19,Masked,NA,NA,37%,8%,NA
107200,Riverside,Northland,12+,"1,919","1,706","1,684","1,599","1,110",89%,88%,69%
107200,Riverside,Northland,5-11,171,79,29,NA,NA,46%,17%,NA
107300,Raumanga,Northland,12+,"2,695","2,398","2,296","2,071","1,128",89%,85%,54%
107300,Raumanga,Northland,5-11,466,112,30,NA,NA,24%,6%,NA
107400,Tarewa,Northland,12+,"1,503","1,317","1,276","1,152",646,88%,85%,56%
107400,Tarewa,Northland,5-11,313,86,30,NA,NA,27%,10%,NA
107500,Morningside (Whangarei District),Northland,12+,"1,915","1,763","1,720","1,616",986,92%,90%,61%
107500,Morningside (Whangarei District),Northland,5-11,217,81,28,NA,NA,37%,13%,NA
107600,Ngunguru,Northland,12+,"1,058",955,945,885,671,90%,89%,76%
107600,Ngunguru,Northland,5-11,120,61,28,NA,NA,51%,23%,NA
107700,Otaika-Portland,Northland,12+,"1,174","1,029","1,003",934,630,88%,85%,67%
107700,Otaika-Portland,Northland,5-11,142,63,21,NA,NA,44%,15%,NA
107800,Oakleigh-Mangapai,Northland,12+,"1,984","1,763","1,741","1,626","1,105",89%,88%,68%
107800,Oakleigh-Mangapai,Northland,5-11,221,91,43,NA,NA,41%,19%,NA
107900,Port-Limeburners,Northland,12+,177,164,159,153,92,93%,90%,60%
108000,Pataua,Northland,12+,"1,491","1,290","1,269","1,189",771,87%,85%,65%
108000,Pataua,Northland,5-11,196,73,28,NA,NA,37%,14%,NA
108100,Onerahi Park,Northland,12+,"1,400","1,314","1,297","1,229",924,94%,93%,75%
108100,Onerahi Park,Northland,5-11,182,92,44,NA,NA,51%,24%,NA
108200,Sherwood Rise,Northland,12+,"2,017","1,853","1,813","1,693","1,118",92%,90%,66%
108200,Sherwood Rise,Northland,5-11,281,94,29,NA,NA,33%,10%,NA
108300,Onerahi,Northland,12+,"2,072","1,819","1,781","1,661","1,121",88%,86%,67%
108300,Onerahi,Northland,5-11,241,72,22,NA,NA,30%,9%,NA
108500,Parua Bay,Northland,12+,"2,249","2,094","2,077","1,944","1,519",93%,92%,78%
108500,Parua Bay,Northland,5-11,260,136,58,NA,NA,52%,22%,NA
108600,Bream Bay,Northland,12+,"1,905","1,708","1,676","1,555","1,049",90%,88%,67%
108600,Bream Bay,Northland,5-11,231,90,33,NA,NA,39%,14%,NA
108700,Marsden Bay,Northland,12+,"2,393",Masked,"2,269","2,147","1,669",>95%,95%,78%
108700,Marsden Bay,Northland,5-11,245,103,51,NA,NA,42%,21%,NA
108800,Ruakaka,Northland,12+,"2,369","2,220","2,185","2,064","1,424",94%,92%,69%
108800,Ruakaka,Northland,5-11,244,74,19,NA,NA,30%,8%,NA
108900,Bream Head,Northland,12+,"1,212","1,122","1,111","1,069",824,93%,92%,77%
108900,Bream Head,Northland,5-11,121,69,30,NA,NA,57%,25%,NA
109000,Waipu,Northland,12+,"2,838","2,489","2,463","2,364","1,767",88%,87%,75%
109000,Waipu,Northland,5-11,227,74,38,NA,NA,33%,17%,NA
109100,Kaipara Coastal,Northland,12+,"3,262","2,671","2,597","2,447","1,482",82%,80%,61%
109100,Kaipara Coastal,Northland,5-11,330,102,42,NA,NA,31%,13%,NA
109200,Maungaru,Northland,12+,"1,572","1,319","1,296","1,219",730,84%,82%,60%
109200,Maungaru,Northland,5-11,166,61,17,NA,NA,37%,10%,NA
109300,Dargaville,Northland,12+,"4,343","3,715","3,607","3,413","2,179",86%,83%,64%
109300,Dargaville,Northland,5-11,444,125,50,NA,NA,28%,11%,NA
109400,Ruawai-Matakohe,Northland,12+,"2,151","1,860","1,820","1,722","1,149",86%,85%,67%
109400,Ruawai-Matakohe,Northland,5-11,261,74,24,NA,NA,28%,9%,NA
109500,Otamatea (Kaipara District),Northland,12+,"1,566","1,283","1,250","1,182",818,82%,80%,69%
109500,Otamatea (Kaipara District),Northland,5-11,163,56,17,NA,NA,34%,10%,NA
109600,Maungaturoto,Northland,12+,"1,061",957,929,858,577,90%,88%,67%
109600,Maungaturoto,Northland,5-11,143,53,17,NA,NA,37%,12%,NA
109700,Kaiwaka,Northland,12+,"2,002","1,636","1,592","1,492",944,82%,80%,63%
109700,Kaiwaka,Northland,5-11,229,76,28,NA,NA,33%,12%,NA
109800,Mangawhai Rural,Northland,12+,"2,256","1,860","1,828","1,759","1,176",82%,81%,67%
109800,Mangawhai Rural,Northland,5-11,242,87,38,NA,NA,36%,16%,NA
109900,Mangawhai Heads,Northland,12+,"2,146","1,931","1,897","1,827","1,315",90%,88%,72%
109900,Mangawhai Heads,Northland,5-11,195,67,28,NA,NA,34%,14%,NA
110100,Mangawhai,Northland,12+,962,881,870,829,608,92%,90%,73%
110100,Mangawhai,Northland,5-11,112,39,21,NA,NA,35%,19%,NA
110200,Okahukura Peninsula,Waitemata,12+,"1,311","1,134","1,115","1,044",635,86%,85%,61%
110200,Okahukura Peninsula,Waitemata,5-11,144,45,17,NA,NA,31%,12%,NA
110400,Cape Rodney,Waitemata,12+,"3,193","2,800","2,749","2,611","1,765",88%,86%,68%
110400,Cape Rodney,Waitemata,5-11,322,140,62,NA,NA,43%,19%,NA
110500,Wellsford,Waitemata,12+,"1,653","1,445","1,414","1,315",797,87%,86%,61%
110500,Wellsford,Waitemata,5-11,208,61,31,NA,NA,29%,15%,NA
110700,South Head,Waitemata,12+,"2,269","2,038","1,999","1,878","1,252",90%,88%,67%
110700,South Head,Waitemata,5-11,260,106,48,NA,NA,41%,18%,NA
110800,Kaipara Hills,Waitemata,12+,"1,758","1,526","1,500","1,384",817,87%,85%,59%
110800,Kaipara Hills,Waitemata,5-11,228,92,37,NA,NA,40%,16%,NA
110900,Dome Valley-Matakana,Waitemata,12+,"1,419","1,278","1,260","1,179",864,90%,89%,73%
110900,Dome Valley-Matakana,Waitemata,5-11,168,106,53,NA,NA,63%,32%,NA
111100,Warkworth West,Waitemata,12+,"2,320","2,181","2,158","2,034","1,526",94%,93%,75%
111100,Warkworth West,Waitemata,5-11,219,96,41,NA,NA,44%,19%,NA
111200,Puhoi Valley,Waitemata,12+,"3,345","3,024","2,982","2,796","1,870",90%,89%,67%
111200,Puhoi Valley,Waitemata,5-11,325,141,64,NA,NA,43%,20%,NA
111300,Warkworth East,Waitemata,12+,"3,138","2,957","2,935","2,791","2,011",94%,94%,72%
111300,Warkworth East,Waitemata,5-11,349,172,83,NA,NA,49%,24%,NA
111400,Sandspit,Waitemata,12+,926,845,830,796,607,91%,90%,76%
111400,Sandspit,Waitemata,5-11,70,28,18,NA,NA,40%,26%,NA
111500,Tawharanui Peninsula,Waitemata,12+,"1,925",Masked,Masked,"1,748","1,333",>95%,>95%,76%
111500,Tawharanui Peninsula,Waitemata,5-11,163,101,46,NA,NA,62%,28%,NA
111600,Te Kuru,Waitemata,12+,"2,129","1,989","1,961","1,840","1,183",93%,92%,64%
111600,Te Kuru,Waitemata,5-11,279,135,38,NA,NA,48%,14%,NA
111700,Snells Beach,Waitemata,12+,"3,170","2,925","2,903","2,739","2,010",92%,92%,73%
111700,Snells Beach,Waitemata,5-11,330,165,72,NA,NA,50%,22%,NA
111800,Barrier Islands,Auckland,12+,939,784,769,743,548,83%,82%,74%
111800,Barrier Islands,Auckland,5-11,83,23,9,NA,NA,28%,11%,NA
111900,Algies Bay-Scotts Landing,Waitemata,12+,"1,148","1,005",989,948,742,88%,86%,78%
111900,Algies Bay-Scotts Landing,Waitemata,5-11,80,34,10,NA,NA,42%,12%,NA
112100,Wainui-Waiwera,Waitemata,12+,"1,585","1,427","1,413","1,325",912,90%,89%,69%
112100,Wainui-Waiwera,Waitemata,5-11,156,58,21,NA,NA,37%,13%,NA
112200,Parakai,Waitemata,12+,894,800,787,718,466,89%,88%,65%
112200,Parakai,Waitemata,5-11,123,61,32,NA,NA,50%,26%,NA
112300,Helensville Rural,Waitemata,12+,"1,426","1,307","1,294","1,221",827,92%,91%,68%
112300,Helensville Rural,Waitemata,5-11,146,62,31,NA,NA,42%,21%,NA
112400,Helensville,Waitemata,12+,"2,386","2,208","2,171","2,034","1,376",93%,91%,68%
112400,Helensville,Waitemata,5-11,324,167,86,NA,NA,52%,27%,NA
112500,Waitoki,Waitemata,12+,"1,423","1,312","1,297","1,215",793,92%,91%,65%
112500,Waitoki,Waitemata,5-11,174,77,30,NA,NA,44%,17%,NA
112600,Waikoukou Valley,Waitemata,12+,"1,465","1,365","1,348","1,235",803,93%,92%,65%
112600,Waikoukou Valley,Waitemata,5-11,168,63,34,NA,NA,38%,20%,NA
112700,Orewa North,Waitemata,12+,"4,419","4,196","4,171","3,972","3,137",95%,94%,79%
112700,Orewa North,Waitemata,5-11,406,228,139,NA,NA,56%,34%,NA
112800,Hatfields Beach,Waitemata,12+,"1,317","1,233","1,224","1,163",809,94%,93%,70%
112800,Hatfields Beach,Waitemata,5-11,138,79,42,NA,NA,57%,30%,NA
112900,Orewa South,Waitemata,12+,"3,598","3,415","3,399","3,274","2,613",95%,94%,80%
112900,Orewa South,Waitemata,5-11,258,162,88,NA,NA,63%,34%,NA
113000,Orewa Central,Waitemata,12+,"2,983","2,792","2,772","2,676","2,133",94%,93%,80%
113000,Orewa Central,Waitemata,5-11,177,99,54,NA,NA,56%,31%,NA
113100,Millwater North,Waitemata,12+,"3,031",Masked,"2,875","2,678","1,976",>95%,95%,74%
113100,Millwater North,Waitemata,5-11,573,369,190,NA,NA,64%,33%,NA
113200,Waipatukahu,Waitemata,12+,"1,188","1,090","1,079","1,002",672,92%,91%,67%
113200,Waipatukahu,Waitemata,5-11,134,79,28,NA,NA,59%,21%,NA
113300,Millwater South,Waitemata,12+,"3,100",Masked,Masked,"2,800","1,897",>95%,>95%,68%
113300,Millwater South,Waitemata,5-11,628,409,220,NA,NA,65%,35%,NA
113400,Dairy Flat North,Waitemata,12+,"2,279",Masked,"2,153","2,045","1,282",>95%,94%,63%
113400,Dairy Flat North,Waitemata,5-11,253,141,72,NA,NA,56%,28%,NA
113500,Dairy Flat West,Waitemata,12+,"1,291","1,194","1,187","1,109",719,92%,92%,65%
113500,Dairy Flat West,Waitemata,5-11,127,59,25,NA,NA,46%,20%,NA
113600,Kingsway,Waitemata,12+,"2,007","1,901","1,879","1,719","1,182",95%,94%,69%
113600,Kingsway,Waitemata,5-11,282,162,73,NA,NA,57%,26%,NA
113800,Silverdale Central (Auckland),Waitemata,12+,494,Masked,Masked,459,298,>95%,>95%,65%
113800,Silverdale Central (Auckland),Waitemata,5-11,55,32,13,NA,NA,58%,24%,NA
113900,Red Beach West,Waitemata,12+,"2,595","2,340","2,317","2,207","1,744",90%,89%,79%
113900,Red Beach West,Waitemata,5-11,214,110,56,NA,NA,51%,26%,NA
114000,Red Beach East,Waitemata,12+,"3,486",Masked,"3,309","3,126","2,265",>95%,95%,72%
114000,Red Beach East,Waitemata,5-11,364,188,84,NA,NA,52%,23%,NA
114100,Silverdale South (Auckland),Waitemata,12+,"1,715","1,581","1,562","1,472",957,92%,91%,65%
114100,Silverdale South (Auckland),Waitemata,5-11,188,99,25,NA,NA,53%,13%,NA
114200,Waimauku,Waitemata,12+,"1,169",Masked,"1,105","1,027",726,>95%,95%,71%
114200,Waimauku,Waitemata,5-11,136,82,37,NA,NA,60%,27%,NA
114400,Vipond,Waitemata,12+,"2,486","2,352","2,342","2,222","1,563",95%,94%,70%
114400,Vipond,Waitemata,5-11,308,160,92,NA,NA,52%,30%,NA
114500,Muriwai,Waitemata,12+,948,876,861,811,590,92%,91%,73%
114500,Muriwai,Waitemata,5-11,124,81,22,NA,NA,65%,18%,NA
114600,Stanmore Bay West,Waitemata,12+,"2,209","2,076","2,050","1,912","1,270",94%,93%,66%
114600,Stanmore Bay West,Waitemata,5-11,329,172,95,NA,NA,52%,29%,NA
114700,Kumeu Rural West,Waitemata,12+,"1,496","1,415","1,393","1,322",900,95%,93%,68%
114700,Kumeu Rural West,Waitemata,5-11,119,53,25,NA,NA,45%,21%,NA
114800,Okura Bush,Waitemata,12+,"1,226","1,132","1,115","1,056",731,92%,91%,69%
114800,Okura Bush,Waitemata,5-11,141,88,47,NA,NA,62%,33%,NA
114900,Whangaparoa Central,Waitemata,12+,"3,738","3,535","3,505","3,267","2,295",95%,94%,70%
114900,Whangaparoa Central,Waitemata,5-11,416,235,119,NA,NA,56%,29%,NA
115000,Kumeu-Huapai,Waitemata,12+,"4,058",Masked,Masked,"3,727","2,700",>95%,>95%,72%
115000,Kumeu-Huapai,Waitemata,5-11,551,453,242,NA,NA,82%,44%,NA
115100,Stanmore Bay East,Waitemata,12+,"2,344","2,163","2,132","1,990","1,362",92%,91%,68%
115100,Stanmore Bay East,Waitemata,5-11,267,134,62,NA,NA,50%,23%,NA
115200,Manly West,Waitemata,12+,"2,063","1,936","1,920","1,818","1,276",94%,93%,70%
115200,Manly West,Waitemata,5-11,235,125,72,NA,NA,53%,31%,NA
115300,Muriwai Valley-Bethells Beach,Waitemata,12+,933,843,832,784,542,90%,89%,69%
115300,Muriwai Valley-Bethells Beach,Waitemata,5-11,120,75,35,NA,NA,62%,29%,NA
115400,Tindalls-Matakatia,Waitemata,12+,"1,786","1,659","1,648","1,556","1,122",93%,92%,72%
115400,Tindalls-Matakatia,Waitemata,5-11,152,88,51,NA,NA,58%,34%,NA
115500,Coatesville,Waitemata,12+,"2,045","1,918","1,900","1,783","1,280",94%,93%,72%
115500,Coatesville,Waitemata,5-11,224,113,57,NA,NA,50%,25%,NA
115600,Dairy Flat South,Waitemata,12+,"1,495","1,406","1,390","1,303",913,94%,93%,70%
115600,Dairy Flat South,Waitemata,5-11,134,63,38,NA,NA,47%,28%,NA
115700,Gulf Harbour North,Waitemata,12+,"2,470",Masked,Masked,"2,217","1,572",>95%,>95%,71%
115700,Gulf Harbour North,Waitemata,5-11,319,196,108,NA,NA,61%,34%,NA
115800,Manly East,Waitemata,12+,"3,143","2,880","2,858","2,717","1,998",92%,91%,74%
115800,Manly East,Waitemata,5-11,334,202,105,NA,NA,60%,31%,NA
115900,Riverhead,Waitemata,12+,"2,576",Masked,Masked,"2,311","1,717",>95%,>95%,74%
115900,Riverhead,Waitemata,5-11,419,331,204,NA,NA,79%,49%,NA
116000,Army Bay,Waitemata,12+,"1,328",Masked,"1,249","1,167",887,>95%,94%,76%
116000,Army Bay,Waitemata,5-11,169,101,47,NA,NA,60%,28%,NA
