Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,543","18,253",>95%,>95%,71%
Ashburton District,5-11,"3,204","1,920",809,NA,NA,60%,25%,NA
Auckland,12+,"1,383,349",Masked,Masked,"1,262,020","884,972",>95%,>95%,70%
Auckland,5-11,"163,729","98,639","49,079",NA,NA,60%,30%,NA
Buller District,12+,"8,270","7,757","7,652","7,235","5,226",94%,93%,72%
Buller District,5-11,719,356,175,NA,NA,50%,24%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,483","5,541",>95%,>95%,74%
Carterton District,5-11,834,469,206,NA,NA,56%,25%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"10,909","7,759",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",710,281,NA,NA,48%,19%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,712","14,037",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,115",522,NA,Masked,61%,29%,>95%
Chatham Islands Territory,12+,180,Masked,Masked,274,211,>95%,>95%,77%
Chatham Islands Territory,5-11,10,9,Masked,NA,NA,90%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"304,692","226,102",>95%,>95%,74%
Christchurch City,5-11,"31,517","19,638","9,804",NA,NA,62%,31%,NA
Clutha District,12+,"14,979","14,225","14,067","13,225","9,022",95%,94%,68%
Clutha District,5-11,"1,658",774,295,NA,NA,47%,18%,NA
Dunedin City,12+,"110,451",Masked,Masked,"105,823","82,906",>95%,>95%,78%
Dunedin City,5-11,"9,730","6,460","3,576",NA,NA,66%,37%,NA
Far North District,12+,"56,393","50,682","49,272","45,940","29,764",90%,87%,65%
Far North District,5-11,"7,086","2,133",701,NA,NA,30%,10%,NA
Gisborne District,12+,"40,629","38,494","37,609","34,779","22,599",95%,93%,65%
Gisborne District,5-11,"5,498","2,744","1,165",NA,NA,50%,21%,NA
Gore District,12+,"10,754","9,968","9,849","9,243","6,459",93%,92%,70%
Gore District,5-11,"1,139",384,185,NA,NA,34%,16%,NA
Grey District,12+,"11,405","10,813","10,629","9,972","6,998",95%,93%,70%
Grey District,5-11,"1,238",570,289,NA,NA,46%,23%,NA
Hamilton City,12+,"137,508",Masked,Masked,"126,476","83,321",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,262","3,752",NA,NA,54%,22%,NA
Hastings District,12+,"69,329",Masked,Masked,"63,955","43,247",>95%,>95%,68%
Hastings District,5-11,"8,928","4,118","1,584",NA,NA,46%,18%,NA
Hauraki District,12+,"17,315","15,834","15,536","14,615","9,835",91%,90%,67%
Hauraki District,5-11,"1,785",663,260,NA,NA,37%,15%,NA
Horowhenua District,12+,"28,779",Masked,"27,288","25,580","18,053",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,411",516,NA,NA,46%,17%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,776","6,995",>95%,>95%,72%
Hurunui District,5-11,"1,176",607,300,NA,NA,52%,26%,NA
Invercargill City,12+,"45,867",Masked,"43,376","40,549","28,541",>95%,95%,70%
