SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
Unknown,Unknown,Unknown,Maori,"11,263","10,470","9,367",930,832
Unknown,Unknown,Unknown,Pacific Peoples,"2,803",Masked,Masked,>950,>950
100100,North Cape,Northland,Maori,843,760,724,902,859
100200,Rangaunu Harbour,Northland,Maori,"1,008",837,764,830,758
100400,Karikari Peninsula,Northland,Maori,518,415,372,801,718
100500,Tangonge,Northland,Maori,542,464,431,856,795
100600,Ahipara,Northland,Maori,588,478,452,813,769
100700,Kaitaia East,Northland,Maori,"1,318","1,107",971,840,737
100700,Kaitaia East,Northland,Pacific Peoples,54,Masked,Masked,>950,>950
100800,Kaitaia West,Northland,Maori,"1,857","1,565","1,378",843,742
100800,Kaitaia West,Northland,Pacific Peoples,101,93,84,921,832
100900,Rangitihi,Northland,Maori,383,305,283,796,739
101000,Oruru-Parapara,Northland,Maori,309,239,217,773,702
101100,Taumarumaru,Northland,Maori,582,506,457,869,785
101200,Herekino-Takahue,Northland,Maori,415,330,303,795,730
101300,Peria,Northland,Maori,349,268,232,768,665
101400,Taemaro-Oruaiti,Northland,Maori,301,227,195,754,648
101500,Whakapaku,Northland,Maori,269,208,181,773,673
101600,Hokianga North,Northland,Maori,645,539,496,836,769
101700,Kohukohu-Broadwood,Northland,Maori,365,285,256,781,701
101800,Whakarara,Northland,Maori,528,450,419,852,794
101900,Kaeo,Northland,Maori,457,344,306,753,670
102000,Omahuta Forest-Horeke,Northland,Maori,631,443,386,702,612
102100,Hokianga South,Northland,Maori,699,509,453,728,648
102200,Lake Manuwai-Kapiro,Northland,Maori,252,200,183,794,726
102300,Okaihau,Northland,Maori,295,248,229,841,776
102400,Rangitane-Purerua,Northland,Maori,342,291,263,851,769
102500,Waipapa,Northland,Maori,124,104,95,839,766
102600,Puketotara,Northland,Maori,223,194,183,870,821
102700,Waima Forest,Northland,Maori,761,568,508,746,668
102800,Riverview,Northland,Maori,220,208,188,945,855
102900,Waipoua Forest,Northland,Maori,621,485,437,781,704
103000,Kerikeri Central,Northland,Maori,447,381,343,852,767
103000,Kerikeri Central,Northland,Pacific Peoples,58,Masked,Masked,>950,>950
103100,Kerikeri South,Northland,Maori,228,193,182,846,798
103200,Ohaeawai-Waimate North,Northland,Maori,411,345,324,839,788
103300,Puketona-Waitangi,Northland,Maori,267,226,220,846,824
103400,Ngapuhi,Northland,Maori,944,733,663,776,702
103500,Kaikohe,Northland,Maori,"2,762","2,113","1,884",765,682
103500,Kaikohe,Northland,Pacific Peoples,102,82,77,804,755
103600,Pakaraka,Northland,Maori,143,123,112,860,783
103700,Haruru,Northland,Maori,214,188,174,879,813
103800,Russell,Northland,Maori,135,125,124,926,919
103900,Paihia,Northland,Maori,480,393,348,819,725
104000,Mataraua Forest,Northland,Maori,336,254,229,756,682
104100,Matawaia-Taumarere,Northland,Maori,796,613,551,770,692
104200,Russell Peninsula,Northland,Maori,73,56,53,767,726
104300,Opua (Far North District),Northland,Maori,180,138,125,767,694
104400,Russell Forest-Rawhiti,Northland,Maori,395,327,299,828,757
104500,Moerewa,Northland,Maori,"1,175",956,875,814,745
104600,Kawakawa,Northland,Maori,818,680,619,831,757
104700,Maromaku,Northland,Maori,246,189,171,768,695
104800,Mangakahia-Hukerenui,Northland,Maori,590,507,457,859,775
104900,Whangaruru,Northland,Maori,655,557,518,850,791
105100,Matarau,Northland,Maori,359,305,293,850,816
105200,Hikurangi,Northland,Maori,463,391,355,844,767
105300,Kauri,Northland,Maori,234,200,194,855,829
