SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,12+,"63,366",Masked,Masked,"54,616","32,902",>95%,>95%,60%
Unknown,Unknown,Unknown,5-11,"5,712","2,518",44,NA,NA,44%,<5%,NA
100100,North Cape,Northland,12+,"1,581","1,376","1,344","1,084",679,87%,85%,63%
100100,North Cape,Northland,5-11,197,27,0,NA,NA,14%,<5%,NA
100200,Rangaunu Harbour,Northland,12+,"1,934","1,633","1,559","1,162",647,84%,81%,56%
100200,Rangaunu Harbour,Northland,5-11,263,39,0,NA,NA,15%,<5%,NA
100400,Karikari Peninsula,Northland,12+,"1,345","1,150","1,113",873,631,86%,83%,72%
100400,Karikari Peninsula,Northland,5-11,133,24,0,NA,NA,18%,<5%,NA
100500,Tangonge,Northland,12+,971,849,829,638,380,87%,85%,60%
100500,Tangonge,Northland,5-11,114,24,0,NA,NA,21%,<5%,NA
100600,Ahipara,Northland,12+,"1,054",898,869,664,424,85%,82%,64%
100600,Ahipara,Northland,5-11,149,39,0,NA,NA,26%,<5%,NA
100700,Kaitaia East,Northland,12+,"2,003","1,749","1,656","1,098",610,87%,83%,56%
100700,Kaitaia East,Northland,5-11,330,64,0,NA,NA,19%,<5%,NA
100800,Kaitaia West,Northland,12+,"2,960","2,592","2,442","1,625",866,88%,82%,53%
100800,Kaitaia West,Northland,5-11,499,66,Masked,NA,NA,13%,<5%,NA
100900,Rangitihi,Northland,12+,809,680,658,472,269,84%,81%,57%
100900,Rangitihi,Northland,5-11,89,12,0,NA,NA,13%,<5%,NA
101000,Oruru-Parapara,Northland,12+,816,658,631,478,288,81%,77%,60%
101000,Oruru-Parapara,Northland,5-11,106,21,0,NA,NA,20%,<5%,NA
101100,Taumarumaru,Northland,12+,"2,236","2,007","1,957","1,646","1,196",90%,88%,73%
101100,Taumarumaru,Northland,5-11,211,52,0,NA,NA,25%,<5%,NA
101200,Herekino-Takahue,Northland,12+,864,687,662,469,291,80%,77%,62%
101200,Herekino-Takahue,Northland,5-11,109,15,0,NA,NA,14%,<5%,NA
101300,Peria,Northland,12+,"1,038",767,730,535,328,74%,70%,61%
101300,Peria,Northland,5-11,127,15,0,NA,NA,12%,<5%,NA
101400,Taemaro-Oruaiti,Northland,12+,851,696,673,542,349,82%,79%,64%
101400,Taemaro-Oruaiti,Northland,5-11,109,41,0,NA,NA,38%,<5%,NA
101500,Whakapaku,Northland,12+,655,515,492,390,256,79%,75%,66%
101500,Whakapaku,Northland,5-11,84,22,0,NA,NA,26%,<5%,NA
101600,Hokianga North,Northland,12+,762,641,611,481,292,84%,80%,61%
101600,Hokianga North,Northland,5-11,127,14,0,NA,NA,11%,<5%,NA
101700,Kohukohu-Broadwood,Northland,12+,682,572,554,445,310,84%,81%,70%
101700,Kohukohu-Broadwood,Northland,5-11,63,8,0,NA,NA,13%,<5%,NA
101800,Whakarara,Northland,12+,"1,095",941,913,738,487,86%,83%,66%
101800,Whakarara,Northland,5-11,114,37,0,NA,NA,32%,<5%,NA
101900,Kaeo,Northland,12+,"1,060",844,803,620,371,80%,76%,60%
101900,Kaeo,Northland,5-11,145,32,0,NA,NA,22%,<5%,NA
102000,Omahuta Forest-Horeke,Northland,12+,975,741,702,495,306,76%,72%,62%
102000,Omahuta Forest-Horeke,Northland,5-11,158,14,0,NA,NA,9%,<5%,NA
102100,Hokianga South,Northland,12+,"1,165",885,838,625,425,76%,72%,68%
102100,Hokianga South,Northland,5-11,127,18,0,NA,NA,14%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"1,966","1,796","1,752","1,420",933,91%,89%,66%
102200,Lake Manuwai-Kapiro,Northland,5-11,202,67,0,NA,NA,33%,<5%,NA
