Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Otorohanga District,5-11,"1,086",345,143,NA,NA,32%,13%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"65,649","47,913",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,891","2,710",NA,NA,58%,32%,NA
Porirua City,12+,"47,708",Masked,Masked,"43,162","31,086",>95%,>95%,72%
Porirua City,5-11,"6,751","3,926","1,948",NA,NA,58%,29%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"37,066","23,459",>95%,>95%,63%
Queenstown-Lakes District,5-11,"3,430","2,146","1,115",NA,NA,63%,33%,NA
Rangitikei District,12+,"12,699","11,856","11,673","11,060","7,777",93%,92%,70%
Rangitikei District,5-11,"1,491",685,293,NA,NA,46%,20%,NA
Rotorua District,12+,"58,081",Masked,"54,369","50,910","33,471",>95%,94%,66%
Rotorua District,5-11,"7,718","3,325","1,434",NA,NA,43%,19%,NA
Ruapehu District,12+,"9,936","8,870","8,607","8,133","5,170",89%,87%,64%
Ruapehu District,5-11,"1,366",423,183,NA,NA,31%,13%,NA
Selwyn District,12+,"52,972",Masked,Masked,"54,245","40,562",>95%,>95%,75%
Selwyn District,5-11,"6,904","5,096","2,981",NA,NA,74%,43%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"19,167","12,370",>95%,>95%,65%
South Taranaki District,5-11,"2,692","1,191",574,NA,NA,44%,21%,NA
South Waikato District,12+,"19,628","18,151","17,749","16,675","10,022",92%,90%,60%
South Waikato District,5-11,"2,626",970,376,NA,NA,37%,14%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,915","6,716",>95%,>95%,75%
South Wairarapa District,5-11,997,567,277,NA,NA,57%,28%,NA
Southland District,12+,"25,064","23,367","23,045","21,690","14,551",93%,92%,67%
Southland District,5-11,"3,087","1,370",653,NA,NA,44%,21%,NA
Stratford District,12+,"7,475",Masked,"7,064","6,645","4,404",>95%,95%,66%
Stratford District,5-11,993,487,240,NA,NA,49%,24%,NA
Tararua District,12+,"15,002","14,000","13,744","12,933","8,688",93%,92%,67%
Tararua District,5-11,"1,897",770,332,NA,NA,41%,18%,NA
Tasman District,12+,"45,608",Masked,Masked,"41,736","29,833",>95%,>95%,71%
Tasman District,5-11,"4,679","2,235","1,166",NA,NA,48%,25%,NA
Taupo District,12+,"32,180",Masked,"30,106","28,461","18,561",>95%,94%,65%
Taupo District,5-11,"3,743","1,471",655,NA,NA,39%,17%,NA
Tauranga City,12+,"121,578",Masked,Masked,"111,858","74,449",>95%,>95%,67%
Tauranga City,5-11,"14,189","6,774","2,796",NA,NA,48%,20%,NA
Thames-Coromandel District,12+,"26,265","24,865","24,491","23,573","17,442",95%,93%,74%
Thames-Coromandel District,5-11,"2,164",876,417,NA,NA,40%,19%,NA
Timaru District,12+,"41,091",Masked,"38,662","36,606","27,196",>95%,94%,74%
Timaru District,5-11,"4,189","2,306","1,059",NA,NA,55%,25%,NA
Unknown,12+,"129,586","51,336","49,714","47,072","28,119",40%,38%,60%
Unknown,5-11,"11,050","2,381","1,238",NA,NA,22%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"34,247","25,818",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,898","1,655",NA,NA,68%,39%,NA
Waikato District,12+,"63,214",Masked,Masked,"57,613","37,501",>95%,>95%,65%
Waikato District,5-11,"8,689","4,376","1,943",NA,NA,50%,22%,NA
Waimakariri District,12+,"52,718",Masked,Masked,"48,987","35,669",>95%,>95%,73%
Waimakariri District,5-11,"5,438","2,973","1,702",NA,NA,55%,31%,NA
Waimate District,12+,"6,936","6,474","6,397","6,073","4,358",93%,92%,72%
Waimate District,5-11,693,301,142,NA,NA,43%,20%,NA
Waipa District,12+,"46,630",Masked,Masked,"42,436","29,490",>95%,>95%,69%
Waipa District,5-11,"5,531","2,997","1,556",NA,NA,54%,28%,NA
Wairoa District,12+,"6,303","5,982","5,778","5,427","3,597",95%,92%,66%
Wairoa District,5-11,896,285,83,NA,NA,32%,9%,NA
Waitaki District,12+,"19,318",Masked,"18,184","17,205","12,483",>95%,94%,73%
Waitaki District,5-11,"2,012","1,009",433,NA,NA,50%,22%,NA
Waitomo District,12+,"7,758","7,176","6,997","6,460","3,952",92%,90%,61%
Waitomo District,5-11,967,347,130,NA,NA,36%,13%,NA
Wellington City,12+,"178,497",Masked,Masked,"170,095","139,105",>95%,>95%,82%
Wellington City,5-11,"16,089","12,185","8,688",NA,NA,76%,54%,NA
Western Bay of Plenty District,12+,"45,656",Masked,Masked,"41,255","27,066",>95%,>95%,66%
Western Bay of Plenty District,5-11,"4,861","1,924",743,NA,NA,40%,15%,NA
Westland District,12+,"7,098","6,689","6,609","6,294","4,385",94%,93%,70%
Westland District,5-11,670,304,147,NA,NA,45%,22%,NA
Whakatane District,12+,"30,314","27,345","26,674","25,116","16,064",90%,88%,64%
Whakatane District,5-11,"3,821","1,320",594,NA,NA,35%,16%,NA
Whanganui District,12+,"39,880","37,091","36,505","34,505","24,702",93%,92%,72%
Whanganui District,5-11,"4,481","1,860",944,NA,NA,42%,21%,NA
Whangarei District,12+,"78,669","73,723","72,397","68,286","47,282",94%,92%,69%
Whangarei District,5-11,"9,594","3,927","1,644",NA,NA,41%,17%,NA
