Date,First dose administered,Second dose administered
2021-02-18,1,0
2021-02-19,29,0
2021-02-20,65,0
2021-02-21,68,1
2021-02-22,447,0
2021-02-23,358,0
2021-02-24,812,0
2021-02-25,1100,0
2021-02-26,1605,0
2021-02-27,1340,0
2021-02-28,882,0
2021-03-01,1411,0
2021-03-02,1491,0
2021-03-03,1981,0
2021-03-04,1634,0
2021-03-05,1279,1
2021-03-06,602,1
2021-03-07,511,0
2021-03-08,1073,0
2021-03-09,1425,0
2021-03-10,1318,0
2021-03-11,1334,0
2021-03-12,1043,6
2021-03-13,750,5
2021-03-14,576,13
2021-03-15,1614,267
2021-03-16,1928,233
2021-03-17,1642,366
2021-03-18,1595,474
2021-03-19,1692,772
2021-03-20,557,715
2021-03-21,941,645
2021-03-22,1035,1217
2021-03-23,1587,1108
2021-03-24,1970,1585
2021-03-25,1822,1533
2021-03-26,3376,1290
2021-03-27,1158,873
2021-03-28,685,491
2021-03-29,3809,1125
2021-03-30,4169,1500
2021-03-31,5450,1345
2021-04-01,5204,1252
2021-04-02,1725,295
2021-04-03,1415,335
2021-04-04,760,196
2021-04-05,922,291
2021-04-06,3522,1440
2021-04-07,5124,2146
2021-04-08,6466,1767
2021-04-09,5423,1929
2021-04-10,3267,692
2021-04-11,2478,1081
2021-04-12,6047,1723
2021-04-13,6815,1626
2021-04-14,6627,1522
2021-04-15,6891,1843
2021-04-16,6871,2624
2021-04-17,3903,1144
2021-04-18,1480,590
2021-04-19,5094,2038
2021-04-20,6098,2988
2021-04-21,6759,3428
2021-04-22,6537,3876
2021-04-23,8143,3544
2021-04-24,3274,1382
2021-04-25,1472,908
2021-04-26,1390,862
2021-04-27,6802,3210
2021-04-28,7303,3667
2021-04-29,7528,4955
2021-04-30,8378,5027
2021-05-01,3491,1992
2021-05-02,1622,1920
2021-05-03,6251,4487
2021-05-04,8334,5302
2021-05-05,9207,5559
2021-05-06,9200,5830
2021-05-07,10137,6751
2021-05-08,4393,2853
2021-05-09,1729,1615
2021-05-10,6878,5117
2021-05-11,9228,5895
2021-05-12,9522,5769
2021-05-13,9781,6006
2021-05-14,8957,7114
2021-05-15,3420,2814
2021-05-16,2408,1805
2021-05-17,7302,3754
2021-05-18,9281,5510
2021-05-19,9059,6398
2021-05-20,8737,6742
2021-05-21,8274,7298
2021-05-22,4402,3566
2021-05-23,2265,1541
2021-05-24,7234,5757
2021-05-25,9838,7465
2021-05-26,10956,7760
2021-05-27,9866,7015
2021-05-28,10830,9869
2021-05-29,5941,4294
2021-05-30,3324,1881
2021-05-31,8909,5563
2021-06-01,12025,7904
2021-06-02,12556,8411
2021-06-03,14154,9018
2021-06-04,12103,8351
2021-06-05,6205,3348
2021-06-06,3535,1681
2021-06-07,3940,1370
2021-06-08,13096,8757
2021-06-09,7113,4318
2021-06-10,13949,9464
2021-06-11,11987,9579
2021-06-12,7453,4489
2021-06-13,4407,2898
2021-06-14,10364,7557
2021-06-15,13083,9152
2021-06-16,14402,10020
2021-06-17,12995,10299
2021-06-18,11355,9464
2021-06-19,7382,4897
2021-06-20,3968,3344
2021-06-21,9071,8442
2021-06-22,11451,11283
2021-06-23,13123,11881
2021-06-24,11446,12990
2021-06-25,10030,11706
2021-06-26,8355,6278
2021-06-27,3590,3445
2021-06-28,9929,6456
2021-06-29,10941,10030
2021-06-30,12947,9939
2021-07-01,13110,9845
2021-07-02,9770,10310
2021-07-03,7388,5322
2021-07-04,3493,2919
2021-07-05,7786,7965
2021-07-06,9596,11329
2021-07-07,11287,11862
2021-07-08,12718,11896
2021-07-09,11089,10515
2021-07-10,9332,6478
2021-07-11,4395,3240
2021-07-12,9584,8162
2021-07-13,12071,10479
2021-07-14,13427,11443
2021-07-15,12871,10899
2021-07-16,11941,9911
2021-07-17,9458,7071
2021-07-18,5641,3071
2021-07-19,13159,9184
2021-07-20,18770,11919
2021-07-21,20814,13176
2021-07-22,19845,12510
2021-07-23,19776,11290
2021-07-24,17114,7725
2021-07-25,9056,4926
2021-07-26,20559,9971
2021-07-27,27614,11366
2021-07-28,29425,12148
2021-07-29,28243,11976
2021-07-30,31509,10626
2021-07-31,29536,9055
2021-08-01,17983,4669
2021-08-02,25702,9435
2021-08-03,30319,12524
2021-08-04,32566,12918
2021-08-05,29297,12997
