dhb_of_service_grp,type,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Auckland Metro,plan,41641,15049,16900,19300,21750,26836,30222,33817,42031,45945,49975,51375,52475,50675,50675,55850,63005,68882,74382,79882,82882,85716,1059265
Auckland Metro,actual,41783,15070,16440,17267,19497,26838,26171,27800,34245,39502,38826,49793,54830,49434,51582,61321,69616,91481,82760,96154,80119,159902,1150431
Auckland Metro,variance,142,21,-460,-2033,-2253,2,-4051,-6017,-7786,-6443,-11149,-1582,2355,-1241,907,5471,6611,22599,8378,16272,-2763,74186,91166
Bay of Plenty,plan,1545,462,804,1214,2088,2346,3018,2778,4530,5400,6594,6264,6204,6204,6204,6204,9540,12472,13860,15250,15250,15250,143481
Bay of Plenty,actual,1547,839,1291,2057,2535,4718,4597,5279,7464,7503,6216,7521,7754,6085,6193,5971,8031,9616,10001,13372,11310,20198,150098
Bay of Plenty,variance,2,377,487,843,447,2372,1579,2501,2934,2103,-378,1257,1550,-119,-11,-233,-1509,-2856,-3859,-1878,-3940,4948,6617
Canterbury,plan,5414,1465,3364,3759,3999,6399,6939,7927,9346,9898,10618,10618,10618,10618,10617,10618,17773,24495,31018,33123,37653,37653,303932
Canterbury,actual,5433,1488,6077,7136,5934,7094,8922,8718,8726,6703,6827,9425,10419,9701,10808,10959,19945,24142,28553,32697,32565,61300,323572
Canterbury,variance,19,23,2713,3377,1935,695,1983,791,-620,-3195,-3791,-1193,-199,-917,191,341,2172,-353,-2465,-426,-5088,23647,19640
Capital & Coast and Hutt Valley,plan,6988,4298,4728,4318,4298,3978,4008,7126,4599,4560,7299,4869,4056,7299,7297,7297,24729,24729,28491,28491,28491,28491,250440
Capital & Coast and Hutt Valley,actual,7010,4444,4792,5087,5823,8603,7854,4754,6530,6981,5168,6010,5269,5306,6868,6336,14406,23842,28726,33846,32955,67767,298377
Capital & Coast and Hutt Valley,variance,22,146,64,769,1525,4625,3846,-2372,1931,2421,-2131,1141,1213,-1993,-429,-961,-10323,-887,235,5355,4464,39276,47937
Hawke's Bay,plan,1217,553,989,700,3668,3268,4682,3128,3128,3128,3128,4128,4008,3688,3690,3690,6896,13500,13500,13500,13500,12000,119689
Hawke's Bay,actual,1224,595,1256,1465,2143,3050,2787,2882,5372,7048,4752,4772,4232,3925,2975,3698,6209,11381,9152,10247,12024,20935,122124
Hawke's Bay,variance,7,42,267,765,-1525,-218,-1895,-246,2244,3920,1624,644,224,237,-715,8,-687,-2119,-4348,-3253,-1476,8935,2435
Lakes,plan,1330,1400,1680,1680,1680,1680,1680,1680,3500,3500,3500,3990,4830,4830,3340,4550,5760,5770,6000,6200,6050,6049,80679
Lakes,actual,1333,831,902,1620,1649,2124,2488,2540,3150,3808,3785,3799,4492,3843,3649,4188,5230,4832,5075,5312,4121,7798,76569
Lakes,variance,3,-569,-778,-60,-31,444,808,860,-350,308,285,-191,-338,-987,309,-362,-530,-938,-925,-888,-1929,1749,-4110
MidCentral,plan,120,126,270,690,726,1163,1705,2437,2448,2580,3487,8075,7985,7940,7940,7940,7140,12720,12720,11220,11220,8190,118842
MidCentral,actual,120,178,367,997,1247,2273,3089,3146,4006,4116,3946,7158,7022,6903,8189,8302,8961,9276,9605,9171,9111,18521,125704
MidCentral,variance,0,52,97,307,521,1110,1384,709,1558,1536,459,-917,-963,-1037,249,362,1821,-3444,-3115,-2049,-2109,10331,6862
Nelson Marlborough,plan,4789,1160,1800,2000,2100,2260,2305,2160,2235,2420,2400,2100,3050,3750,3750,3750,8400,12800,12800,12800,13400,12800,115029
Nelson Marlborough,actual,4833,2892,2420,3829,3443,4273,4598,3973,4323,4431,4412,4928,4184,4606,5003,4056,7605,10361,10192,10935,11246,25551,142094
Nelson Marlborough,variance,44,1732,620,1829,1343,2013,2293,1813,2088,2011,2012,2828,1134,856,1253,306,-795,-2439,-2608,-1865,-2154,12751,27065
