Date,Cumulative vaccinations planned,Cumulative vaccinations administered,Cumulative stock received,Original cumulative vaccinations model
2021-02-21,0,167,65520,NA
2021-02-28,4491,6724,141570,NA
2021-03-07,14420,15625,207090,NA
2021-03-14,21715,23168,271440,NA
2021-03-21,35595,36611,325260,NA
2021-03-28,56290,56352,396630,NA
2021-04-04,84595,84939,450450,NA
2021-04-11,117992,121499,528840,NA
2021-04-18,164107,171227,607230,NA
2021-04-25,216158,226789,685620,NA
2021-05-02,273749,284955,685620,NA
2021-05-09,338813,366647,746460,NA
2021-05-16,414824,451401,807300,NA
2021-05-23,493606,535538,868140,NA
2021-05-30,581932,637636,928980,NA
2021-06-06,680290,751424,1055790,NA
2021-06-13,793013,854265,1103760,NA
2021-06-20,909422,982565,1252900,NA
2021-06-27,1033848,1115676,1302040,NA
2021-07-04,1161952,1238122,1351180,1161952
2021-07-11,1289999,1367619,1502110,1369338
2021-07-18,1425371,1503588,1682290,1576724
2021-07-25,1633071,1692886,2032290,1750577
2021-08-01,1887555,1947684,2411370,2063064
2021-08-08,2164231,2212927,2769390,2375551
2021-08-15,2451622,2513157,3157830,2654505
2021-08-22,2754616,2797723,3602430,2932955
2021-08-29,3056599,3350663,3985020,3226921
2021-09-05,NA,3903890,4630860,3520887
2021-09-12,NA,4336178,5228730,3814853
2021-09-19,NA,4721200,5729490,4348809
2021-09-26,NA,5054222,6150690,4882765
2021-10-03,NA,5353641,6577740,5416721
2021-10-10,NA,5839001,6800430,5950677
2021-10-17,NA,6351300,7101120,6484633
2021-10-24,NA,6629454,7801560,7018589
2021-10-31,NA,6874526,9396270,7552545
2021-11-07,NA,7063384,9396270,7707286
2021-11-14,NA,7220344,9648990,7862027
2021-11-21,NA,7361874,9956142,8016768
2021-11-28,NA,7499505,10096110,8016768
2021-12-05,NA,7742281,10252170,8016768
2021-12-12,NA,7881980,10292490,8016768
2021-12-19,NA,8008397,10818990,NA
2021-12-26,NA,8110988,10978290,NA
2022-01-02,NA,8189842,10978290,NA
2022-01-09,NA,8389147,11622690,NA
2022-01-16,NA,8674175,11806440,NA
2022-01-23,NA,9021664,12144690,NA
2022-01-30,NA,9430619,12334290,NA
2022-02-06,NA,9769363,12475890,NA
2022-02-13,NA,10114728,12713490,NA
2022-02-20,NA,10401193,12905430,NA
2022-02-27,NA,10603398,13379940,NA
2022-03-06,NA,10735189,14264340,NA
2022-03-13,NA,10805590,15480340,NA
2022-03-20,NA,10881653,15480340,NA
2022-03-27,NA,10939493,15480340,NA
2022-04-03,NA,10975392,15557560,NA
2022-04-10,NA,11000139,15557560,NA
2022-04-17,NA,11014104,15639580,NA
2022-04-24,NA,11029950,15994540,NA
2022-05-01,NA,11046219,16187590,NA
2022-05-08,NA,11057072,16264810,NA
2022-05-15,NA,11066986,16290550,NA
2022-05-22,NA,11075416,16419250,NA
2022-05-29,NA,11084318,16495300,NA
2022-06-05,NA,11092712,16495300,NA
2022-06-12,NA,11100934,16571350,NA
2022-06-19,NA,11110349,16647400,NA
2022-06-26,NA,11118910,16723450,NA
2022-07-03,NA,11157527,16746850,NA
2022-07-10,NA,11225906,16806640,NA
2022-07-17,NA,11324040,16806640,NA
2022-07-24,NA,11408016,16806640,NA
2022-07-31,NA,11478905,16806640,NA
2022-08-07,NA,11541553,16806640,NA
2022-08-14,NA,11592507,16806640,NA
2022-08-21,NA,11638188,16806640,NA
2022-08-28,NA,11676165,16806640,NA
2022-09-04,NA,11705188,16806640,NA
2022-09-11,NA,11728223,16825840,NA
2022-09-18,NA,11749145,17639440,NA
2022-09-25,NA,11765095,17826640,NA
2022-10-02,NA,11776312,18527440,NA
2022-10-09,NA,11790660,NA,NA
2022-10-16,NA,11807096,NA,NA
2022-10-23,NA,11824495,NA,NA
2022-10-30,NA,11838256,19372240,NA
2022-11-06,NA,11853917,NA,NA
2022-11-13,NA,11867391,NA,NA
2022-11-20,NA,11882676,NA,NA
2022-11-27,NA,11896631,NA,NA
2022-12-04,NA,11911579,20778640,NA
