SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,12+,"50,705","48,164","46,521","44,143","26,406","12,158","5,173",95%,92%,60%,43%
Unknown,Unknown,Unknown,5-11,"5,336","2,586","1,387",NA,NA,NA,NA,48%,26%,NA,NA
100100,North Cape,Northland,12+,"1,660","1,377","1,354","1,277",834,606,259,83%,82%,65%,43%
100100,North Cape,Northland,5-11,175,54,24,NA,NA,NA,NA,31%,14%,NA,NA
100200,Rangaunu Harbour,Northland,12+,"2,029","1,665","1,609","1,529",891,621,179,82%,79%,58%,29%
100200,Rangaunu Harbour,Northland,5-11,256,50,20,NA,NA,NA,NA,20%,8%,NA,NA
100400,Karikari Peninsula,Northland,12+,"1,397","1,172","1,154","1,114",751,591,188,84%,83%,67%,32%
100400,Karikari Peninsula,Northland,5-11,128,30,8,NA,NA,NA,NA,23%,6%,NA,NA
100500,Tangonge,Northland,12+,"1,019",854,834,771,486,318,100,84%,82%,63%,31%
100500,Tangonge,Northland,5-11,125,34,10,NA,NA,NA,NA,27%,8%,NA,NA
100600,Ahipara,Northland,12+,"1,101",905,882,836,537,390,92,82%,80%,64%,24%
100600,Ahipara,Northland,5-11,142,53,18,NA,NA,NA,NA,37%,13%,NA,NA
100700,Kaitaia East,Northland,12+,"2,033","1,725","1,648","1,543",855,506,142,85%,81%,55%,28%
100700,Kaitaia East,Northland,5-11,343,102,35,NA,NA,NA,NA,30%,10%,NA,NA
100800,Kaitaia West,Northland,12+,"2,996","2,510","2,410","2,248","1,272",821,259,84%,80%,57%,32%
100800,Kaitaia West,Northland,5-11,443,122,52,NA,NA,NA,NA,28%,12%,NA,NA
100900,Rangitihi,Northland,12+,849,703,689,651,378,260,72,83%,81%,58%,28%
100900,Rangitihi,Northland,5-11,88,19,8,NA,NA,NA,NA,22%,9%,NA,NA
101000,Oruru-Parapara,Northland,12+,847,653,629,602,360,272,81,77%,74%,60%,30%
101000,Oruru-Parapara,Northland,5-11,102,26,10,NA,NA,NA,NA,25%,10%,NA,NA
101100,Taumarumaru,Northland,12+,"2,302","1,982","1,944","1,882","1,364","1,088",458,86%,84%,72%,42%
101100,Taumarumaru,Northland,5-11,219,72,30,NA,NA,NA,NA,33%,14%,NA,NA
101200,Herekino-Takahue,Northland,12+,937,714,690,647,391,295,76,76%,74%,60%,26%
101200,Herekino-Takahue,Northland,5-11,108,27,Masked,NA,NA,NA,NA,25%,<5%,NA,NA
101300,Peria,Northland,12+,"1,059",745,724,696,429,298,74,70%,68%,62%,25%
101300,Peria,Northland,5-11,137,27,13,NA,NA,NA,NA,20%,9%,NA,NA
101400,Taemaro-Oruaiti,Northland,12+,918,729,708,675,450,363,142,79%,77%,67%,39%
101400,Taemaro-Oruaiti,Northland,5-11,98,36,12,NA,NA,NA,NA,37%,12%,NA,NA
101500,Whakapaku,Northland,12+,689,506,490,469,309,251,99,73%,71%,66%,39%
101500,Whakapaku,Northland,5-11,89,31,12,NA,NA,NA,NA,35%,13%,NA,NA
101600,Hokianga North,Northland,12+,814,664,644,598,405,304,79,82%,79%,68%,26%
101600,Hokianga North,Northland,5-11,123,39,14,NA,NA,NA,NA,32%,11%,NA,NA
101700,Kohukohu-Broadwood,Northland,12+,710,562,548,525,359,293,127,79%,77%,68%,43%
101700,Kohukohu-Broadwood,Northland,5-11,65,19,7,NA,NA,NA,NA,29%,11%,NA,NA
101800,Whakarara,Northland,12+,"1,169",966,941,906,631,463,206,83%,80%,70%,44%
101800,Whakarara,Northland,5-11,110,54,29,NA,NA,NA,NA,49%,26%,NA,NA
101900,Kaeo,Northland,12+,"1,116",848,816,781,492,354,161,76%,73%,63%,45%
101900,Kaeo,Northland,5-11,148,45,18,NA,NA,NA,NA,30%,12%,NA,NA
102000,Omahuta Forest-Horeke,Northland,12+,"1,008",732,700,664,394,299,103,73%,69%,59%,34%
102000,Omahuta Forest-Horeke,Northland,5-11,158,23,14,NA,NA,NA,NA,15%,9%,NA,NA
102100,Hokianga South,Northland,12+,"1,183",888,860,826,560,424,179,75%,73%,68%,42%
102100,Hokianga South,Northland,5-11,122,31,15,NA,NA,NA,NA,25%,12%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,146","1,835","1,803","1,710","1,143",803,294,86%,84%,67%,37%
102200,Lake Manuwai-Kapiro,Northland,5-11,217,86,48,NA,NA,NA,NA,40%,22%,NA,NA
102300,Okaihau,Northland,12+,"1,088",904,883,835,506,331,104,83%,81%,61%,31%
102300,Okaihau,Northland,5-11,120,32,11,NA,NA,NA,NA,27%,9%,NA,NA
102400,Rangitane-Purerua,Northland,12+,"1,367","1,170","1,135","1,071",736,572,222,86%,83%,69%,39%
102400,Rangitane-Purerua,Northland,5-11,150,45,27,NA,NA,NA,NA,30%,18%,NA,NA
102500,Waipapa,Northland,12+,766,669,649,622,409,263,115,87%,85%,66%,44%
102500,Waipapa,Northland,5-11,101,39,18,NA,NA,NA,NA,39%,18%,NA,NA
102600,Puketotara,Northland,12+,"1,706","1,451","1,415","1,341",928,651,214,85%,83%,69%,33%
102600,Puketotara,Northland,5-11,167,76,25,NA,NA,NA,NA,46%,15%,NA,NA
102700,Waima Forest,Northland,12+,997,752,727,690,375,268,59,75%,73%,54%,22%
102700,Waima Forest,Northland,5-11,137,23,8,NA,NA,NA,NA,17%,6%,NA,NA
102800,Riverview,Northland,12+,"2,109","1,931","1,904","1,807","1,410","1,042",554,92%,90%,78%,53%
102800,Riverview,Northland,5-11,195,102,52,NA,NA,NA,NA,52%,27%,NA,NA
102900,Waipoua Forest,Northland,12+,"1,183",880,855,828,577,450,175,74%,72%,70%,39%
102900,Waipoua Forest,Northland,5-11,123,17,Masked,NA,NA,NA,NA,14%,<5%,NA,NA
103000,Kerikeri Central,Northland,12+,"2,472","2,184","2,154","2,071","1,473","1,066",611,88%,87%,71%,57%
103000,Kerikeri Central,Northland,5-11,221,90,41,NA,NA,NA,NA,41%,19%,NA,NA
103100,Kerikeri South,Northland,12+,"2,687","2,376","2,353","2,268","1,724","1,307",608,88%,88%,76%,47%
103100,Kerikeri South,Northland,5-11,220,104,49,NA,NA,NA,NA,47%,22%,NA,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,105",936,911,869,577,409,158,85%,82%,66%,39%
103200,Ohaeawai-Waimate North,Northland,5-11,110,26,12,NA,NA,NA,NA,24%,11%,NA,NA
103300,Puketona-Waitangi,Northland,12+,"1,341","1,132","1,120","1,079",769,545,208,84%,84%,71%,38%
103300,Puketona-Waitangi,Northland,5-11,134,46,14,NA,NA,NA,NA,34%,10%,NA,NA
103400,Ngapuhi,Northland,12+,"1,334","1,065","1,018",961,520,370,109,80%,76%,54%,29%
103400,Ngapuhi,Northland,5-11,185,39,11,NA,NA,NA,NA,21%,6%,NA,NA
103500,Kaikohe,Northland,12+,"3,643","2,915","2,791","2,621","1,439",916,341,80%,77%,55%,37%
