Week ending,Group,DHB of service,Dose number,# doses administered,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Nelson Marlborough,2,1704,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Northland,1,1389,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Northland,2,2035,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Other Sites,1,13,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Other Sites,2,29,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,South Canterbury,1,708,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,South Canterbury,2,1302,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Southern,1,9046,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Southern,2,1744,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Tairawhiti,1,530,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Tairawhiti,2,522,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Taranaki,1,2926,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Taranaki,2,940,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Waikato,1,5993,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Waikato,2,3629,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Wairarapa,1,744,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Wairarapa,2,874,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,West Coast,1,190,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,West Coast,2,537,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Whanganui,1,1114,,,,,,,,,,,,,,,,,,
08/08/2021,Group 3,Whanganui,2,616,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Auckland Metro,1,32508,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Auckland Metro,2,10132,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Bay of Plenty,1,2389,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Bay of Plenty,2,207,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Canterbury,1,8039,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Canterbury,2,639,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Capital & Coast and Hutt Valley,1,9203,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Capital & Coast and Hutt Valley,2,395,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Hawke's Bay,1,3870,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Hawke's Bay,2,380,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Lakes,1,1857,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Lakes,2,755,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,MidCentral,1,2880,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,MidCentral,2,528,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Nelson Marlborough,1,5007,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Nelson Marlborough,2,190,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Northland,1,3200,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Northland,2,1038,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Other Sites,1,59,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Other Sites,2,40,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,South Canterbury,1,1042,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,South Canterbury,2,183,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Southern,1,11250,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Southern,2,445,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Tairawhiti,1,1301,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Tairawhiti,2,70,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Taranaki,1,3263,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Taranaki,2,177,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Waikato,1,10375,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Waikato,2,586,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Wairarapa,1,923,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Wairarapa,2,232,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,West Coast,1,708,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,West Coast,2,399,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Whanganui,1,1248,,,,,,,,,,,,,,,,,,
08/08/2021,Group 4,Whanganui,2,335,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Auckland Metro,1,278,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Auckland Metro,2,269,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Bay of Plenty,1,84,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Bay of Plenty,2,39,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Canterbury,1,183,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Canterbury,2,172,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Capital & Coast and Hutt Valley,1,162,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Capital & Coast and Hutt Valley,2,81,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Hawke's Bay,1,22,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Hawke's Bay,2,11,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Lakes,2,7,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,MidCentral,2,7,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Nelson Marlborough,1,34,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Nelson Marlborough,2,34,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Northland,1,19,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Northland,2,10,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Other Sites,1,9,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Other Sites,2,7,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,South Canterbury,1,13,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,South Canterbury,2,9,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Southern,1,60,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Southern,2,71,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Tairawhiti,1,17,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Taranaki,1,7,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Taranaki,2,13,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Waikato,1,8,,,,,,,,,,,,,,,,,,
15/08/2021,Group 1,Waikato,2,12,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Auckland Metro,1,8572,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Auckland Metro,2,8236,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Bay of Plenty,1,581,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Bay of Plenty,2,936,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Canterbury,1,563,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Canterbury,2,967,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Capital & Coast and Hutt Valley,1,735,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Capital & Coast and Hutt Valley,2,501,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Hawke's Bay,1,287,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Hawke's Bay,2,201,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Lakes,1,19,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Lakes,2,202,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,MidCentral,1,413,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,MidCentral,2,342,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Nelson Marlborough,1,236,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Nelson Marlborough,2,232,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Northland,1,142,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Northland,2,431,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Other Sites,1,1928,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Other Sites,2,1011,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,South Canterbury,1,63,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,South Canterbury,2,37,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Southern,1,472,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Southern,2,497,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Tairawhiti,1,157,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Tairawhiti,2,68,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Taranaki,1,134,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Taranaki,2,193,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Waikato,1,1233,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Waikato,2,1544,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Wairarapa,1,52,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Wairarapa,2,29,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,West Coast,2,24,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Whanganui,1,38,,,,,,,,,,,,,,,,,,
15/08/2021,Group 2,Whanganui,2,30,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Auckland Metro,1,8894,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Auckland Metro,2,9845,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Bay of Plenty,1,3297,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Bay of Plenty,2,2841,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Canterbury,1,9923,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Canterbury,2,7912,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Capital & Coast and Hutt Valley,1,11888,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Capital & Coast and Hutt Valley,2,6339,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Hawke's Bay,1,2818,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Hawke's Bay,2,2103,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Lakes,1,313,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Lakes,2,1229,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,MidCentral,1,1777,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,MidCentral,2,2746,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Nelson Marlborough,1,922,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Nelson Marlborough,2,3243,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Northland,1,1486,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Northland,2,1749,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Other Sites,1,11,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Other Sites,2,327,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,South Canterbury,1,388,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,South Canterbury,2,945,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Southern,1,5422,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Southern,2,3981,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Tairawhiti,1,362,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Tairawhiti,2,507,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Taranaki,1,921,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Taranaki,2,2342,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Waikato,1,5835,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Waikato,2,4963,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Wairarapa,1,564,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Wairarapa,2,734,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,West Coast,1,157,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,West Coast,2,326,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Whanganui,1,999,,,,,,,,,,,,,,,,,,
15/08/2021,Group 3,Whanganui,2,1383,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Auckland Metro,1,45556,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Auckland Metro,2,14255,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Bay of Plenty,1,4896,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Bay of Plenty,2,640,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Canterbury,1,11259,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Canterbury,2,1692,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Capital & Coast and Hutt Valley,1,12997,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Capital & Coast and Hutt Valley,2,1104,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Hawke's Bay,1,4088,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Hawke's Bay,2,707,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Lakes,1,1809,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Lakes,2,1717,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,MidCentral,1,3229,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,MidCentral,2,615,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Nelson Marlborough,1,5542,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Nelson Marlborough,2,645,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Northland,1,3747,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Northland,2,1286,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Other Sites,1,957,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Other Sites,2,36,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,South Canterbury,1,1635,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,South Canterbury,2,379,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Southern,1,14477,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Southern,2,890,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Tairawhiti,1,1420,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Tairawhiti,2,134,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Taranaki,1,1406,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Taranaki,2,362,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Waikato,1,12709,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Waikato,2,1958,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Wairarapa,1,1609,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Wairarapa,2,454,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,West Coast,1,1086,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,West Coast,2,182,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Whanganui,1,1413,,,,,,,,,,,,,,,,,,
15/08/2021,Group 4,Whanganui,2,366,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Auckland Metro,1,201,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Auckland Metro,2,167,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Bay of Plenty,1,142,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Bay of Plenty,2,54,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Canterbury,1,293,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Canterbury,2,129,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Capital & Coast and Hutt Valley,1,102,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Capital & Coast and Hutt Valley,2,54,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Hawke's Bay,1,13,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Hawke's Bay,2,11,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,MidCentral,1,9,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Nelson Marlborough,1,13,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Nelson Marlborough,2,24,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Northland,1,13,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Northland,2,6,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Other Sites,1,9,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Other Sites,2,19,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,South Canterbury,1,13,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,South Canterbury,2,7,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Southern,1,57,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Southern,2,68,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Tairawhiti,1,7,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Taranaki,2,6,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Waikato,1,11,,,,,,,,,,,,,,,,,,
22/08/2021,Group 1,Waikato,2,10,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Auckland Metro,1,6942,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Auckland Metro,2,6074,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Bay of Plenty,1,652,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Bay of Plenty,2,321,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Canterbury,1,1200,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Canterbury,2,490,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Capital & Coast and Hutt Valley,1,1262,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Capital & Coast and Hutt Valley,2,412,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Hawke's Bay,1,690,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Hawke's Bay,2,164,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Lakes,1,103,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Lakes,2,53,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,MidCentral,1,543,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,MidCentral,2,322,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Nelson Marlborough,1,563,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Nelson Marlborough,2,200,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Northland,1,428,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Northland,2,359,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Other Sites,1,1318,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Other Sites,2,92,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,South Canterbury,1,129,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,South Canterbury,2,76,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Southern,1,864,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Southern,2,518,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Tairawhiti,1,220,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Tairawhiti,2,75,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Taranaki,1,258,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Taranaki,2,150,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Waikato,1,1232,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Waikato,2,1242,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Wairarapa,1,31,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Wairarapa,2,38,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,West Coast,1,29,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,West Coast,2,8,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Whanganui,1,294,,,,,,,,,,,,,,,,,,
22/08/2021,Group 2,Whanganui,2,19,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Auckland Metro,1,5870,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Auckland Metro,2,6542,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Bay of Plenty,1,1367,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Bay of Plenty,2,2473,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Canterbury,1,5828,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Canterbury,2,7759,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Capital & Coast and Hutt Valley,1,5111,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Capital & Coast and Hutt Valley,2,7979,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Hawke's Bay,1,1769,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Hawke's Bay,2,2912,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Lakes,1,188,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Lakes,2,559,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,MidCentral,1,920,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,MidCentral,2,2082,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Nelson Marlborough,1,512,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Nelson Marlborough,2,1988,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Northland,1,649,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Northland,2,1100,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Other Sites,1,10,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Other Sites,2,17,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,South Canterbury,1,134,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,South Canterbury,2,1200,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Southern,1,2201,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Southern,2,4730,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Tairawhiti,1,322,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Tairawhiti,2,398,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Taranaki,1,720,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Taranaki,2,1757,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Waikato,1,4179,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Waikato,2,4512,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Wairarapa,1,299,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Wairarapa,2,567,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,West Coast,1,203,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,West Coast,2,135,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Whanganui,1,578,,,,,,,,,,,,,,,,,,
22/08/2021,Group 3,Whanganui,2,1345,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Auckland Metro,1,42004,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Auckland Metro,2,12073,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Bay of Plenty,1,4868,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Bay of Plenty,2,1385,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Canterbury,1,14789,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Canterbury,2,1990,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Capital & Coast and Hutt Valley,1,16141,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Capital & Coast and Hutt Valley,2,1702,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Hawke's Bay,1,5182,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Hawke's Bay,2,1248,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Lakes,1,2043,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Lakes,2,1159,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,MidCentral,1,4468,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,MidCentral,2,718,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Nelson Marlborough,1,6908,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Nelson Marlborough,2,1014,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Northland,1,3982,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Northland,2,1168,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Other Sites,1,1022,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Other Sites,2,38,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,South Canterbury,1,1783,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,South Canterbury,2,798,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Southern,1,14662,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Southern,2,2022,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Tairawhiti,1,2537,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Tairawhiti,2,554,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Taranaki,1,3303,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Taranaki,2,389,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Waikato,1,16638,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Waikato,2,3445,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Wairarapa,1,1345,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Wairarapa,2,393,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,West Coast,1,938,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,West Coast,2,64,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Whanganui,1,1756,,,,,,,,,,,,,,,,,,
22/08/2021,Group 4,Whanganui,2,698,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Auckland Metro,1,328,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Auckland Metro,2,274,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Bay of Plenty,1,260,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Bay of Plenty,2,56,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Canterbury,1,265,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Canterbury,2,182,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Capital & Coast and Hutt Valley,1,103,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Capital & Coast and Hutt Valley,2,109,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Hawke's Bay,1,17,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Hawke's Bay,2,8,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Lakes,2,12,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,MidCentral,1,5,,,,,,,,,,,,,,,,,,
