DHB of residence,Ethnic group,Age group,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,50-54,234,125,341,686,367,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,55-59,198,103,242,818,426,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,60-64,180,128,218,826,587,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,65+,309,262,373,828,702,,,,,,,,,,,,,,,
Hawkes Bay,Unknown,12-15,9,0,14,643,0,,,,,,,,,,,,,,,
Hawkes Bay,Unknown,20-24,20,10,6,"3,333","1,667",,,,,,,,,,,,,,,
Hawkes Bay,Unknown,25-29,47,25,24,"1,958","1,042",,,,,,,,,,,,,,,
Hawkes Bay,Unknown,30-34,57,33,28,"2,036","1,179",,,,,,,,,,,,,,,
Hawkes Bay,Unknown,35-39,43,20,33,"1,303",606,,,,,,,,,,,,,,,
Hawkes Bay,Unknown,40-44,40,16,34,"1,176",471,,,,,,,,,,,,,,,
Hawkes Bay,Unknown,45-49,39,10,43,907,233,,,,,,,,,,,,,,,
Hawkes Bay,Unknown,50-54,42,14,39,"1,077",359,,,,,,,,,,,,,,,
Hawkes Bay,Unknown,55-59,43,16,43,"1,000",372,,,,,,,,,,,,,,,
Hawkes Bay,Unknown,60-64,46,19,36,"1,278",528,,,,,,,,,,,,,,,
Hawkes Bay,Unknown,65+,128,95,117,"1,094",812,,,,,,,,,,,,,,,
Lakes,Asian,12-15,76,0,351,217,0,,,,,,,,,,,,,,,
Lakes,Asian,16-19,75,30,264,284,114,,,,,,,,,,,,,,,
Lakes,Asian,20-24,223,135,363,614,372,,,,,,,,,,,,,,,
Lakes,Asian,25-29,503,311,952,528,327,,,,,,,,,,,,,,,
Lakes,Asian,30-34,631,406,"1,119",564,363,,,,,,,,,,,,,,,
Lakes,Asian,35-39,518,368,873,593,422,,,,,,,,,,,,,,,
Lakes,Asian,40-44,353,206,628,562,328,,,,,,,,,,,,,,,
Lakes,Asian,45-49,306,199,502,610,396,,,,,,,,,,,,,,,
Lakes,Asian,50-54,265,166,356,744,466,,,,,,,,,,,,,,,
Lakes,Asian,55-59,257,171,317,811,539,,,,,,,,,,,,,,,
Lakes,Asian,60-64,197,163,248,794,657,,,,,,,,,,,,,,,
Lakes,Asian,65+,315,277,423,745,655,,,,,,,,,,,,,,,
Lakes,European or Other,12-15,536,0,"2,870",187,0,,,,,,,,,,,,,,,
Lakes,European or Other,16-19,537,213,"2,529",212,84,,,,,,,,,,,,,,,
Lakes,European or Other,20-24,587,357,"2,840",207,126,,,,,,,,,,,,,,,
Lakes,European or Other,25-29,770,493,"3,272",235,151,,,,,,,,,,,,,,,
Lakes,European or Other,30-34,934,565,"3,484",268,162,,,,,,,,,,,,,,,
Lakes,European or Other,35-39,"1,022",574,"3,268",313,176,,,,,,,,,,,,,,,
Lakes,European or Other,40-44,"1,415",799,"3,603",393,222,,,,,,,,,,,,,,,
Lakes,European or Other,45-49,"1,751","1,045","4,308",406,243,,,,,,,,,,,,,,,
Lakes,European or Other,50-54,"2,618","1,436","4,445",589,323,,,,,,,,,,,,,,,
Lakes,European or Other,55-59,"3,255","2,001","4,925",661,406,,,,,,,,,,,,,,,
Lakes,European or Other,60-64,"3,568","2,666","4,550",784,586,,,,,,,,,,,,,,,
Lakes,European or Other,65+,"12,991","12,086","14,911",871,811,,,,,,,,,,,,,,,
Lakes,Maori,12-15,305,0,"3,158",97,0,,,,,,,,,,,,,,,
Lakes,Maori,16-19,332,126,"2,710",123,46,,,,,,,,,,,,,,,
Lakes,Maori,20-24,353,183,"3,040",116,60,,,,,,,,,,,,,,,
Lakes,Maori,25-29,380,226,"2,937",129,77,,,,,,,,,,,,,,,
Lakes,Maori,30-34,467,261,"2,766",169,94,,,,,,,,,,,,,,,
Lakes,Maori,35-39,448,255,"2,226",201,115,,,,,,,,,,,,,,,
Lakes,Maori,40-44,603,307,"2,094",288,147,,,,,,,,,,,,,,,
Lakes,Maori,45-49,798,436,"2,279",350,191,,,,,,,,,,,,,,,
Lakes,Maori,50-54,972,532,"2,145",453,248,,,,,,,,,,,,,,,
Lakes,Maori,55-59,"1,155",704,"2,115",546,333,,,,,,,,,,,,,,,
Lakes,Maori,60-64,"1,230",897,"1,782",690,503,,,,,,,,,,,,,,,
Lakes,Maori,65+,"2,311","2,071","2,833",816,731,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,12-15,42,0,174,241,0,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,16-19,46,14,170,271,82,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,20-24,54,29,196,276,148,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,25-29,73,48,251,291,191,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,30-34,96,59,241,398,245,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,35-39,93,60,214,435,280,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,40-44,91,50,204,446,245,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,45-49,103,62,183,563,339,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,50-54,96,60,175,549,343,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,55-59,94,58,146,644,397,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,60-64,83,64,132,629,485,,,,,,,,,,,,,,,
Lakes,Pacific Peoples,65+,172,151,200,860,755,,,,,,,,,,,,,,,
Lakes,Unknown,20-24,16,10,17,941,588,,,,,,,,,,,,,,,
Lakes,Unknown,25-29,23,15,39,590,385,,,,,,,,,,,,,,,
Lakes,Unknown,30-34,30,15,71,423,211,,,,,,,,,,,,,,,
Lakes,Unknown,35-39,23,14,60,383,233,,,,,,,,,,,,,,,
Lakes,Unknown,40-44,33,18,68,485,265,,,,,,,,,,,,,,,
Lakes,Unknown,45-49,35,21,55,636,382,,,,,,,,,,,,,,,
Lakes,Unknown,50-54,41,25,61,672,410,,,,,,,,,,,,,,,
Lakes,Unknown,55-59,49,25,55,891,455,,,,,,,,,,,,,,,
Lakes,Unknown,60-64,50,32,56,893,571,,,,,,,,,,,,,,,
Lakes,Unknown,65+,168,150,152,"1,105",987,,,,,,,,,,,,,,,
MidCentral,Asian,12-15,133,0,649,205,0,,,,,,,,,,,,,,,
MidCentral,Asian,16-19,196,45,571,343,79,,,,,,,,,,,,,,,
MidCentral,Asian,20-24,384,173,688,558,251,,,,,,,,,,,,,,,
MidCentral,Asian,25-29,643,303,"1,115",577,272,,,,,,,,,,,,,,,
MidCentral,Asian,30-34,942,462,"1,424",662,324,,,,,,,,,,,,,,,
MidCentral,Asian,35-39,852,446,"1,285",663,347,,,,,,,,,,,,,,,
MidCentral,Asian,40-44,588,266,987,596,270,,,,,,,,,,,,,,,
MidCentral,Asian,45-49,463,215,753,615,286,,,,,,,,,,,,,,,
MidCentral,Asian,50-54,420,178,579,725,307,,,,,,,,,,,,,,,
MidCentral,Asian,55-59,414,202,550,753,367,,,,,,,,,,,,,,,
MidCentral,Asian,60-64,400,265,492,813,539,,,,,,,,,,,,,,,
MidCentral,Asian,65+,861,724,"1,010",852,717,,,,,,,,,,,,,,,
MidCentral,European or Other,12-15,"1,670",0,"6,043",276,0,,,,,,,,,,,,,,,
MidCentral,European or Other,16-19,"1,893",421,"5,862",323,72,,,,,,,,,,,,,,,
MidCentral,European or Other,20-24,"2,430","1,070","7,596",320,141,,,,,,,,,,,,,,,
MidCentral,European or Other,25-29,"2,587","1,367","7,642",339,179,,,,,,,,,,,,,,,
MidCentral,European or Other,30-34,"2,979","1,234","7,176",415,172,,,,,,,,,,,,,,,
MidCentral,European or Other,35-39,"3,112","1,260","6,662",467,189,,,,,,,,,,,,,,,
MidCentral,European or Other,40-44,"3,252","1,305","6,694",486,195,,,,,,,,,,,,,,,
MidCentral,European or Other,45-49,"3,979","1,789","8,021",496,223,,,,,,,,,,,,,,,
MidCentral,European or Other,50-54,"5,221","2,336","8,623",605,271,,,,,,,,,,,,,,,
MidCentral,European or Other,55-59,"6,605","3,502","9,534",693,367,,,,,,,,,,,,,,,
MidCentral,European or Other,60-64,"7,281","4,741","9,111",799,520,,,,,,,,,,,,,,,
MidCentral,European or Other,65+,"26,197","23,157","29,456",889,786,,,,,,,,,,,,,,,
MidCentral,Maori,12-15,554,0,"2,728",203,0,,,,,,,,,,,,,,,
MidCentral,Maori,16-19,513,121,"2,355",218,51,,,,,,,,,,,,,,,
MidCentral,Maori,20-24,666,305,"2,796",238,109,,,,,,,,,,,,,,,
MidCentral,Maori,25-29,609,301,"2,534",240,119,,,,,,,,,,,,,,,
MidCentral,Maori,30-34,595,239,"2,172",274,110,,,,,,,,,,,,,,,
MidCentral,Maori,35-39,574,232,"1,722",333,135,,,,,,,,,,,,,,,
MidCentral,Maori,40-44,614,230,"1,600",384,144,,,,,,,,,,,,,,,
MidCentral,Maori,45-49,757,310,"1,734",437,179,,,,,,,,,,,,,,,
MidCentral,Maori,50-54,891,536,"1,634",545,328,,,,,,,,,,,,,,,
MidCentral,Maori,55-59,"1,052",685,"1,625",647,422,,,,,,,,,,,,,,,
MidCentral,Maori,60-64,918,688,"1,249",735,551,,,,,,,,,,,,,,,
MidCentral,Maori,65+,"1,843","1,613","2,076",888,777,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,12-15,123,0,480,256,0,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,16-19,144,37,403,357,92,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,20-24,175,84,503,348,167,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,25-29,189,93,493,383,189,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,30-34,198,76,443,447,172,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,35-39,177,84,420,421,200,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,40-44,179,88,328,546,268,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,45-49,161,80,299,538,268,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,50-54,175,92,284,616,324,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,55-59,166,102,248,669,411,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,60-64,135,97,180,750,539,,,,,,,,,,,,,,,
MidCentral,Pacific Peoples,65+,340,276,387,879,713,,,,,,,,,,,,,,,
MidCentral,Unknown,12-15,13,0,16,812,0,,,,,,,,,,,,,,,
MidCentral,Unknown,16-19,6,0,19,316,0,,,,,,,,,,,,,,,
MidCentral,Unknown,20-24,16,6,33,485,182,,,,,,,,,,,,,,,
MidCentral,Unknown,25-29,36,24,53,679,453,,,,,,,,,,,,,,,
MidCentral,Unknown,30-34,78,41,87,897,471,,,,,,,,,,,,,,,
MidCentral,Unknown,35-39,91,46,109,835,422,,,,,,,,,,,,,,,
MidCentral,Unknown,40-44,111,56,119,933,471,,,,,,,,,,,,,,,
MidCentral,Unknown,45-49,72,36,104,692,346,,,,,,,,,,,,,,,
MidCentral,Unknown,50-54,89,49,103,864,476,,,,,,,,,,,,,,,
MidCentral,Unknown,55-59,95,46,120,792,383,,,,,,,,,,,,,,,
MidCentral,Unknown,60-64,114,65,106,"1,075",613,,,,,,,,,,,,,,,
MidCentral,Unknown,65+,219,174,217,"1,009",802,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,12-15,237,0,436,544,0,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,16-19,226,75,307,736,244,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,20-24,239,106,362,660,293,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,25-29,647,275,645,"1,003",426,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,30-34,820,340,912,899,373,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,35-39,763,307,757,"1,008",406,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,40-44,547,222,580,943,383,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,45-49,443,210,480,923,438,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,50-54,290,148,308,942,481,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,55-59,236,131,256,922,512,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,60-64,164,114,188,872,606,,,,,,,,,,,,,,,
Nelson Marlborough,Asian,65+,215,173,263,817,658,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,12-15,"2,462",0,"5,978",412,0,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,16-19,"2,167",286,"5,407",401,53,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,20-24,"1,689",494,"5,521",306,89,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,25-29,"2,048",668,"6,062",338,110,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,30-34,"3,294",807,"6,723",490,120,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,35-39,"3,789",918,"6,917",548,133,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,40-44,"4,544","1,166","7,309",622,160,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,45-49,"5,534","1,897","9,144",605,207,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,50-54,"6,844","2,699","9,827",696,275,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,55-59,"7,869","3,956","10,765",731,367,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,60-64,"8,543","5,529","10,363",824,534,,,,,,,,,,,,,,,
Nelson Marlborough,European or Other,65+,"29,326","26,274","32,313",908,813,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,12-15,377,0,"1,245",303,0,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,16-19,325,73,"1,085",300,67,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,20-24,243,80,"1,116",218,72,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,25-29,227,96,"1,129",201,85,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,30-34,314,87,941,334,92,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,35-39,334,97,810,412,120,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,40-44,334,129,762,438,169,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,45-49,422,196,873,483,225,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,50-54,545,284,855,637,332,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,55-59,574,361,785,731,460,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,60-64,488,372,607,804,613,,,,,,,,,,,,,,,
Nelson Marlborough,Maori,65+,951,841,"1,040",914,809,,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,12-15,102,0,220,464,0,,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,16-19,101,21,181,558,116,,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,20-24,350,246,247,"1,417",996,,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,25-29,458,324,240,"1,908","1,350",,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,30-34,470,330,243,"1,934","1,358",,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,35-39,427,287,237,"1,802","1,211",,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,40-44,318,192,186,"1,710","1,032",,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,45-49,191,121,153,"1,248",791,,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,50-54,122,72,132,924,545,,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,55-59,96,52,96,"1,000",542,,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,60-64,52,36,68,765,529,,,,,,,,,,,,,,,
Nelson Marlborough,Pacific Peoples,65+,101,89,112,902,795,,,,,,,,,,,,,,,
Nelson Marlborough,Unknown,12-15,9,0,7,"1,286",0,,,,,,,,,,,,,,,
Nelson Marlborough,Unknown,20-24,27,14,6,"4,500","2,333",,,,,,,,,,,,,,,
Nelson Marlborough,Unknown,25-29,69,45,15,"4,600","3,000",,,,,,,,,,,,,,,
Nelson Marlborough,Unknown,30-34,73,40,17,"4,294","2,353",,,,,,,,,,,,,,,
Nelson Marlborough,Unknown,35-39,53,23,28,"1,893",821,,,,,,,,,,,,,,,
Nelson Marlborough,Unknown,40-44,80,39,110,727,355,,,,,,,,,,,,,,,
Nelson Marlborough,Unknown,45-49,167,62,123,"1,358",504,,,,,,,,,,,,,,,
Nelson Marlborough,Unknown,50-54,77,21,64,"1,203",328,,,,,,,,,,,,,,,
Nelson Marlborough,Unknown,55-59,86,42,67,"1,284",627,,,,,,,,,,,,,,,
Nelson Marlborough,Unknown,60-64,53,35,42,"1,262",833,,,,,,,,,,,,,,,
Nelson Marlborough,Unknown,65+,94,79,76,"1,237","1,039",,,,,,,,,,,,,,,
Northland,Asian,12-15,108,0,273,396,0,,,,,,,,,,,,,,,
Northland,Asian,16-19,96,22,210,457,105,,,,,,,,,,,,,,,
Northland,Asian,20-24,152,60,303,502,198,,,,,,,,,,,,,,,
Northland,Asian,25-29,467,209,719,650,291,,,,,,,,,,,,,,,
Northland,Asian,30-34,656,326,958,685,340,,,,,,,,,,,,,,,
Northland,Asian,35-39,547,244,715,765,341,,,,,,,,,,,,,,,
Northland,Asian,40-44,407,165,528,771,312,,,,,,,,,,,,,,,
Northland,Asian,45-49,341,156,459,743,340,,,,,,,,,,,,,,,
Northland,Asian,50-54,319,208,389,820,535,,,,,,,,,,,,,,,
Northland,Asian,55-59,266,175,333,799,526,,,,,,,,,,,,,,,
Northland,Asian,60-64,235,171,274,858,624,,,,,,,,,,,,,,,
Northland,Asian,65+,332,263,423,785,622,,,,,,,,,,,,,,,
Northland,European or Other,12-15,"1,146",0,"4,769",240,0,,,,,,,,,,,,,,,
Northland,European or Other,16-19,"1,033",165,"4,084",253,40,,,,,,,,,,,,,,,
Northland,European or Other,20-24,968,381,"4,227",229,90,,,,,,,,,,,,,,,
Northland,European or Other,25-29,"1,176",481,"5,155",228,93,,,,,,,,,,,,,,,
Northland,European or Other,30-34,"1,864",578,"5,618",332,103,,,,,,,,,,,,,,,
Northland,European or Other,35-39,"2,109",644,"5,626",375,114,,,,,,,,,,,,,,,
Northland,European or Other,40-44,"2,275",699,"5,626",404,124,,,,,,,,,,,,,,,
Northland,European or Other,45-49,"3,164","1,159","7,087",446,164,,,,,,,,,,,,,,,
Northland,European or Other,50-54,"4,775","2,477","8,209",582,302,,,,,,,,,,,,,,,
Northland,European or Other,55-59,"5,942","3,474","9,555",622,364,,,,,,,,,,,,,,,
Northland,European or Other,60-64,"7,070","4,681","10,006",707,468,,,,,,,,,,,,,,,
Northland,European or Other,65+,"26,610","21,505","32,035",831,671,,,,,,,,,,,,,,,
Northland,Maori,12-15,784,0,"5,342",147,0,,,,,,,,,,,,,,,
Northland,Maori,16-19,644,130,"4,372",147,30,,,,,,,,,,,,,,,
Northland,Maori,20-24,605,216,"4,725",128,46,,,,,,,,,,,,,,,
Northland,Maori,25-29,596,237,"4,586",130,52,,,,,,,,,,,,,,,
Northland,Maori,30-34,792,270,"4,299",184,63,,,,,,,,,,,,,,,
Northland,Maori,35-39,823,291,"3,431",240,85,,,,,,,,,,,,,,,
Northland,Maori,40-44,990,358,"3,235",306,111,,,,,,,,,,,,,,,
Northland,Maori,45-49,"1,306",512,"3,837",340,133,,,,,,,,,,,,,,,
Northland,Maori,50-54,"1,703",885,"3,722",458,238,,,,,,,,,,,,,,,
Northland,Maori,55-59,"2,069","1,253","3,915",528,320,,,,,,,,,,,,,,,
Northland,Maori,60-64,"2,170","1,498","3,289",660,455,,,,,,,,,,,,,,,
Northland,Maori,65+,"4,315","3,520","5,735",752,614,,,,,,,,,,,,,,,
Northland,Pacific Peoples,12-15,41,0,271,151,0,,,,,,,,,,,,,,,
Northland,Pacific Peoples,16-19,47,11,214,220,51,,,,,,,,,,,,,,,
Northland,Pacific Peoples,20-24,38,15,233,163,64,,,,,,,,,,,,,,,
Northland,Pacific Peoples,25-29,62,26,302,205,86,,,,,,,,,,,,,,,
Northland,Pacific Peoples,30-34,92,28,302,305,93,,,,,,,,,,,,,,,
Northland,Pacific Peoples,35-39,89,39,258,345,151,,,,,,,,,,,,,,,
Northland,Pacific Peoples,40-44,95,30,249,382,120,,,,,,,,,,,,,,,
Northland,Pacific Peoples,45-49,119,54,251,474,215,,,,,,,,,,,,,,,
Northland,Pacific Peoples,50-54,118,66,225,524,293,,,,,,,,,,,,,,,
Northland,Pacific Peoples,55-59,113,65,179,631,363,,,,,,,,,,,,,,,
Northland,Pacific Peoples,60-64,110,78,141,780,553,,,,,,,,,,,,,,,
Northland,Pacific Peoples,65+,228,184,309,738,595,,,,,,,,,,,,,,,
Northland,Unknown,20-24,8,0,7,"1,143",0,,,,,,,,,,,,,,,
Northland,Unknown,25-29,12,7,15,800,467,,,,,,,,,,,,,,,
Northland,Unknown,30-34,41,29,13,"3,154","2,231",,,,,,,,,,,,,,,
Northland,Unknown,35-39,40,22,38,"1,053",579,,,,,,,,,,,,,,,
Northland,Unknown,40-44,28,14,29,966,483,,,,,,,,,,,,,,,
Northland,Unknown,45-49,25,10,28,893,357,,,,,,,,,,,,,,,
Northland,Unknown,50-54,25,12,27,926,444,,,,,,,,,,,,,,,
Northland,Unknown,55-59,38,20,36,"1,056",556,,,,,,,,,,,,,,,
Northland,Unknown,60-64,45,22,37,"1,216",595,,,,,,,,,,,,,,,
Northland,Unknown,65+,70,58,81,864,716,,,,,,,,,,,,,,,
Overseas / Unknown,Asian,20-24,25,12,279,90,43,,,,,,,,,,,,,,,
Overseas / Unknown,Asian,25-29,34,14,400,85,35,,,,,,,,,,,,,,,
Overseas / Unknown,Asian,30-34,40,22,313,128,70,,,,,,,,,,,,,,,
Overseas / Unknown,Asian,35-39,34,17,200,170,85,,,,,,,,,,,,,,,
Overseas / Unknown,Asian,40-44,19,13,142,134,92,,,,,,,,,,,,,,,
Overseas / Unknown,Asian,45-49,13,10,135,96,74,,,,,,,,,,,,,,,
Overseas / Unknown,Asian,50-54,10,5,127,79,39,,,,,,,,,,,,,,,
Overseas / Unknown,Asian,55-59,10,0,110,91,0,,,,,,,,,,,,,,,
Overseas / Unknown,Asian,60-64,15,9,132,114,68,,,,,,,,,,,,,,,
Overseas / Unknown,Asian,65+,22,16,253,87,63,,,,,,,,,,,,,,,
Overseas / Unknown,European or Other,12-15,8,0,207,39,0,,,,,,,,,,,,,,,
Overseas / Unknown,European or Other,20-24,29,9,"1,011",29,9,,,,,,,,,,,,,,,
Overseas / Unknown,European or Other,25-29,77,38,"1,435",54,26,,,,,,,,,,,,,,,
Overseas / Unknown,European or Other,30-34,64,22,"1,110",58,20,,,,,,,,,,,,,,,
Overseas / Unknown,European or Other,35-39,45,17,719,63,24,,,,,,,,,,,,,,,
Overseas / Unknown,European or Other,40-44,31,12,514,60,23,,,,,,,,,,,,,,,
Overseas / Unknown,European or Other,45-49,30,15,569,53,26,,,,,,,,,,,,,,,
Overseas / Unknown,European or Other,50-54,48,21,611,79,34,,,,,,,,,,,,,,,
Overseas / Unknown,European or Other,55-59,57,29,650,88,45,,,,,,,,,,,,,,,
Overseas / Unknown,European or Other,60-64,58,31,676,86,46,,,,,,,,,,,,,,,
Overseas / Unknown,European or Other,65+,206,164,"2,028",102,81,,,,,,,,,,,,,,,
Overseas / Unknown,Maori,16-19,7,0,127,55,0,,,,,,,,,,,,,,,
Overseas / Unknown,Maori,25-29,6,0,410,15,0,,,,,,,,,,,,,,,
Overseas / Unknown,Maori,30-34,8,0,365,22,0,,,,,,,,,,,,,,,
Overseas / Unknown,Maori,35-39,7,0,270,26,0,,,,,,,,,,,,,,,
Overseas / Unknown,Maori,40-44,7,0,237,30,0,,,,,,,,,,,,,,,
Overseas / Unknown,Maori,45-49,9,0,216,42,0,,,,,,,,,,,,,,,
Overseas / Unknown,Maori,50-54,9,0,181,50,0,,,,,,,,,,,,,,,
Overseas / Unknown,Maori,55-59,12,7,129,93,54,,,,,,,,,,,,,,,
Overseas / Unknown,Maori,65+,18,15,159,113,94,,,,,,,,,,,,,,,
Overseas / Unknown,Pacific Peoples,16-19,8,0,56,143,0,,,,,,,,,,,,,,,
Overseas / Unknown,Pacific Peoples,20-24,25,17,127,197,134,,,,,,,,,,,,,,,
Overseas / Unknown,Pacific Peoples,25-29,67,43,181,370,238,,,,,,,,,,,,,,,
Overseas / Unknown,Pacific Peoples,30-34,63,37,134,470,276,,,,,,,,,,,,,,,
Overseas / Unknown,Pacific Peoples,35-39,49,23,139,353,165,,,,,,,,,,,,,,,
Overseas / Unknown,Pacific Peoples,40-44,30,19,104,288,183,,,,,,,,,,,,,,,
Overseas / Unknown,Pacific Peoples,45-49,23,10,81,284,123,,,,,,,,,,,,,,,
Overseas / Unknown,Pacific Peoples,50-54,9,6,87,103,69,,,,,,,,,,,,,,,
Overseas / Unknown,Pacific Peoples,55-59,12,9,60,200,150,,,,,,,,,,,,,,,
Overseas / Unknown,Pacific Peoples,60-64,10,0,40,250,0,,,,,,,,,,,,,,,
Overseas / Unknown,Pacific Peoples,65+,5,0,93,54,0,,,,,,,,,,,,,,,
Overseas / Unknown,Unknown,20-24,7,5,59,119,85,,,,,,,,,,,,,,,
Overseas / Unknown,Unknown,25-29,6,0,98,61,0,,,,,,,,,,,,,,,
Overseas / Unknown,Unknown,30-34,17,11,134,127,82,,,,,,,,,,,,,,,
Overseas / Unknown,Unknown,35-39,0,6,113,0,53,,,,,,,,,,,,,,,
Overseas / Unknown,Unknown,40-44,7,0,116,60,0,,,,,,,,,,,,,,,
Overseas / Unknown,Unknown,45-49,7,0,121,58,0,,,,,,,,,,,,,,,
Overseas / Unknown,Unknown,55-59,5,0,126,40,0,,,,,,,,,,,,,,,
Overseas / Unknown,Unknown,60-64,9,0,98,92,0,,,,,,,,,,,,,,,
Overseas / Unknown,Unknown,65+,12,8,176,68,45,,,,,,,,,,,,,,,
South Canterbury,Asian,12-15,39,0,171,228,0,,,,,,,,,,,,,,,
South Canterbury,Asian,16-19,41,9,126,325,71,,,,,,,,,,,,,,,
South Canterbury,Asian,20-24,58,18,121,479,149,,,,,,,,,,,,,,,
South Canterbury,Asian,25-29,161,54,353,456,153,,,,,,,,,,,,,,,
South Canterbury,Asian,30-34,265,127,445,596,285,,,,,,,,,,,,,,,
South Canterbury,Asian,35-39,217,62,351,618,177,,,,,,,,,,,,,,,
South Canterbury,Asian,40-44,163,35,296,551,118,,,,,,,,,,,,,,,
South Canterbury,Asian,45-49,141,43,194,727,222,,,,,,,,,,,,,,,
South Canterbury,Asian,50-54,92,27,126,730,214,,,,,,,,,,,,,,,
South Canterbury,Asian,55-59,83,23,86,965,267,,,,,,,,,,,,,,,
South Canterbury,Asian,60-64,60,41,73,822,562,,,,,,,,,,,,,,,
South Canterbury,Asian,65+,76,57,92,826,620,,,,,,,,,,,,,,,
South Canterbury,European or Other,12-15,751,0,"2,344",320,0,,,,,,,,,,,,,,,
South Canterbury,European or Other,16-19,554,113,"2,167",256,52,,,,,,,,,,,,,,,
South Canterbury,European or Other,20-24,606,234,"2,529",240,93,,,,,,,,,,,,,,,
South Canterbury,European or Other,25-29,640,278,"2,903",220,96,,,,,,,,,,,,,,,
South Canterbury,European or Other,30-34,"1,002",306,"2,818",356,109,,,,,,,,,,,,,,,
South Canterbury,European or Other,35-39,"1,121",364,"2,550",440,143,,,,,,,,,,,,,,,
South Canterbury,European or Other,40-44,"1,254",433,"2,697",465,161,,,,,,,,,,,,,,,
South Canterbury,European or Other,45-49,"1,682",642,"3,377",498,190,,,,,,,,,,,,,,,
South Canterbury,European or Other,50-54,"2,257",899,"3,710",608,242,,,,,,,,,,,,,,,
