DHB,,To 4 April,11-Apr,18-Apr,25-Apr,2-May,9-May,16-May,23-May,30-May,6-Jun,13-Jun,20-Jun,27-Jun,4-Jul,11-Jul,18-Jul,25-Jul,1-Aug,8-Aug,15-Aug,22-Aug,29-Aug,Cumulative
Tair?whiti,Plan,620,0,585,500,534,1055,1100,534,470,600,1045,1100,1600,1600,1440,1440,2250,3600,3600,3584,3600,3600,34457
Tair?whiti,Actual,608,0,770,628,229,703,921,741,896,1023,1217,1834,1248,1492,1527,1155,1711,2128,3116,2666,4115,5961,34689
Tair?whiti,Variance,-12,0,185,128,-305,-352,-179,207,426,423,172,734,-352,-108,87,-285,-539,-1472,-484,-918,515,2361,232
Taranaki,Plan,"1,268",329,400,300,600,800,800,800,800,800,800,800,800,800,2009,2315,5158,7056,7056,7056,7056,7056,54859
Taranaki,Actual,"1,267",330,418,450,600,879,815,894,1012,1034,1187,1835,1837,2013,2012,2224,4832,4824,7569,5378,6587,14478,62475
Taranaki,Variance,-1,1,18,150,0,79,15,94,212,234,387,1035,1037,1213,3,-91,-326,-2232,513,-1678,-469,7422,7616
Waikato,Plan,"5,658","2,100","3,615",4015,4073,4649,4457,4275,4124,5142,6952,6840,10950,11850,11850,11850,15987,23864,25580,26406,32796,33329,260362
Waikato,Actual,"5,667","1,931","2,968",4252,4308,5277,5972,5976,7184,6310,5725,7256,7508,7926,7538,8602,15631,22066,23141,28262,31269,52630,267399
Waikato,Variance,9,-169,-647,237,235,628,1515,1701,3060,1168,-1227,416,-3442,-3924,-4312,-3248,-356,-1798,-2439,1856,-1527,19301,7037
Wairarapa,Plan,0,120,390,600,900,975,975,1000,1000,1000,2250,2250,2250,2250,2050,2050,2880,2880,2880,2880,2880,3400,37860
Wairarapa,Actual,0,115,477,507,617,790,1117,937,1053,1385,842,1399,1871,1721,2787,2412,2562,3547,2853,3444,2673,4316,37425
Wairarapa,Variance,0,-5,87,-93,-283,-185,142,-63,53,385,-1408,-851,-379,-529,737,362,-318,667,-27,564,-207,916,-435
West Coast,Plan,0,30,120,300,390,600,810,1050,1140,1260,1440,1500,1500,1500,1500,1500,1800,2100,2200,2200,2150,2250,27340
West Coast,Actual,0,34,127,309,398,555,869,1251,1189,1301,1009,1575,1402,1295,1437,1363,946,1089,1928,1778,1378,2830,24063
West Coast,Variance,0,4,7,9,8,-45,59,201,49,41,-431,75,-98,-205,-63,-137,-854,-1011,-272,-422,-772,580,-3277
Whanganui,Plan,91,180,450,390,900,900,900,900,900,900,900,900,900,900,1490,1718,3364,4023,3496,5206,5973,5406,40787
Whanganui,Actual,90,180,509,862,843,1433,1368,1697,1952,2484,2426,1883,1989,1545,949,1224,2155,3956,3447,4230,4694,7892,47808
Whanganui,Variance,-1,0,59,472,-57,533,468,797,1052,1584,1526,983,1089,645,-541,-494,-1209,-67,-49,-976,-1279,2486,7021
Other Sites,Plan,7735,1410,2190,2130,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14575
Other Sites,Actual,7732,2569,3110,2176,1013,2827,2524,2986,2832,3432,2237,2365,1973,2453,2449,1676,1470,1710,2025,4286,2525,5955,62325
Other Sites,Variance,-3,1159,920,46,-97,2827,2524,2986,2832,3432,2237,2365,1973,2453,2449,1676,1470,1710,2025,4286,2525,5955,47750
Totals,Plan,84595,33397,46115,52051,57591,65064,76011,78782,88326,98358,112723,116409,124426,128104,128047,135372,207702,258236,280878,291593,307196,306185,3077161
Totals,Actual,84863,36529,49662,55512,58119,81582,84653,84060,101923,113657,102713,128174,132978,122291,129362,135897,189115,254369,264653,299502,282970,547023,3339607
Totals,Variance,268,3132,3547,3461,528,16518,8642,5278,13597,15299,-10010,11765,8552,-5813,1315,525,-18587,-3867,-16225,7909,-24226,240838,262446
