SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,12+,"52,963","50,078","48,439","45,867","27,486","12,744","5,033",95%,91%,60%,39%
Unknown,Unknown,Unknown,5-11,"5,565","2,695","1,419",NA,NA,NA,NA,48%,25%,NA,NA
100100,North Cape,Northland,12+,"1,665","1,383","1,360","1,277",829,600,244,83%,82%,65%,41%
100100,North Cape,Northland,5-11,176,53,23,NA,NA,NA,NA,30%,13%,NA,NA
100200,Rangaunu Harbour,Northland,12+,"2,026","1,662","1,606","1,524",888,616,156,82%,79%,58%,25%
100200,Rangaunu Harbour,Northland,5-11,255,51,21,NA,NA,NA,NA,20%,8%,NA,NA
100400,Karikari Peninsula,Northland,12+,"1,398","1,181","1,162","1,119",757,595,172,84%,83%,68%,29%
100400,Karikari Peninsula,Northland,5-11,127,30,8,NA,NA,NA,NA,24%,6%,NA,NA
100500,Tangonge,Northland,12+,"1,018",854,835,772,488,320,94,84%,82%,63%,29%
100500,Tangonge,Northland,5-11,124,33,10,NA,NA,NA,NA,27%,8%,NA,NA
100600,Ahipara,Northland,12+,"1,095",900,877,831,531,381,83,82%,80%,64%,22%
100600,Ahipara,Northland,5-11,144,53,17,NA,NA,NA,NA,37%,12%,NA,NA
100700,Kaitaia East,Northland,12+,"2,024","1,726","1,652","1,543",860,507,134,85%,82%,56%,26%
100700,Kaitaia East,Northland,5-11,341,102,34,NA,NA,NA,NA,30%,10%,NA,NA
100800,Kaitaia West,Northland,12+,"3,008","2,519","2,417","2,250","1,268",808,241,84%,80%,56%,30%
100800,Kaitaia West,Northland,5-11,445,124,54,NA,NA,NA,NA,28%,12%,NA,NA
100900,Rangitihi,Northland,12+,844,699,685,645,377,257,63,83%,81%,58%,25%
100900,Rangitihi,Northland,5-11,86,19,8,NA,NA,NA,NA,22%,9%,NA,NA
101000,Oruru-Parapara,Northland,12+,846,651,629,604,361,266,73,77%,74%,60%,27%
101000,Oruru-Parapara,Northland,5-11,103,26,10,NA,NA,NA,NA,25%,10%,NA,NA
101100,Taumarumaru,Northland,12+,"2,292","1,972","1,934","1,874","1,361","1,082",429,86%,84%,73%,40%
101100,Taumarumaru,Northland,5-11,216,72,30,NA,NA,NA,NA,33%,14%,NA,NA
101200,Herekino-Takahue,Northland,12+,933,710,684,638,387,288,70,76%,73%,61%,24%
101200,Herekino-Takahue,Northland,5-11,106,27,Masked,NA,NA,NA,NA,25%,<5%,NA,NA
101300,Peria,Northland,12+,"1,062",748,727,696,425,297,65,70%,68%,61%,22%
101300,Peria,Northland,5-11,138,28,14,NA,NA,NA,NA,20%,10%,NA,NA
101400,Taemaro-Oruaiti,Northland,12+,917,727,705,671,447,358,133,79%,77%,67%,37%
101400,Taemaro-Oruaiti,Northland,5-11,104,38,14,NA,NA,NA,NA,37%,13%,NA,NA
101500,Whakapaku,Northland,12+,686,505,489,468,309,246,97,74%,71%,66%,39%
101500,Whakapaku,Northland,5-11,90,32,11,NA,NA,NA,NA,36%,12%,NA,NA
101600,Hokianga North,Northland,12+,816,665,644,598,407,301,73,81%,79%,68%,24%
101600,Hokianga North,Northland,5-11,127,39,14,NA,NA,NA,NA,31%,11%,NA,NA
101700,Kohukohu-Broadwood,Northland,12+,704,562,548,524,358,287,119,80%,78%,68%,41%
101700,Kohukohu-Broadwood,Northland,5-11,66,19,6,NA,NA,NA,NA,29%,9%,NA,NA
101800,Whakarara,Northland,12+,"1,165",963,938,900,630,459,191,83%,81%,70%,42%
101800,Whakarara,Northland,5-11,110,53,27,NA,NA,NA,NA,48%,25%,NA,NA
101900,Kaeo,Northland,12+,"1,118",854,820,784,488,347,144,76%,73%,62%,41%
101900,Kaeo,Northland,5-11,148,45,18,NA,NA,NA,NA,30%,12%,NA,NA
102000,Omahuta Forest-Horeke,Northland,12+,"1,000",720,687,650,386,293,88,72%,69%,59%,30%
102000,Omahuta Forest-Horeke,Northland,5-11,160,23,13,NA,NA,NA,NA,14%,8%,NA,NA
102100,Hokianga South,Northland,12+,"1,200",898,868,832,568,422,159,75%,72%,68%,38%
102100,Hokianga South,Northland,5-11,123,31,15,NA,NA,NA,NA,25%,12%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,126","1,821","1,790","1,696","1,138",789,267,86%,84%,67%,34%
102200,Lake Manuwai-Kapiro,Northland,5-11,212,86,48,NA,NA,NA,NA,41%,23%,NA,NA
102300,Okaihau,Northland,12+,"1,084",904,883,834,506,331,91,83%,81%,61%,27%
102300,Okaihau,Northland,5-11,125,33,11,NA,NA,NA,NA,26%,9%,NA,NA
102400,Rangitane-Purerua,Northland,12+,"1,352","1,157","1,124","1,059",736,565,207,86%,83%,69%,37%
102400,Rangitane-Purerua,Northland,5-11,147,44,25,NA,NA,NA,NA,30%,17%,NA,NA
102500,Waipapa,Northland,12+,762,666,646,618,407,259,105,87%,85%,66%,41%
102500,Waipapa,Northland,5-11,93,34,18,NA,NA,NA,NA,37%,19%,NA,NA
102600,Puketotara,Northland,12+,"1,690","1,442","1,408","1,333",922,639,197,85%,83%,69%,31%
102600,Puketotara,Northland,5-11,168,76,25,NA,NA,NA,NA,45%,15%,NA,NA
102700,Waima Forest,Northland,12+,"1,004",755,729,691,372,266,54,75%,73%,54%,20%
102700,Waima Forest,Northland,5-11,140,24,9,NA,NA,NA,NA,17%,6%,NA,NA
102800,Riverview,Northland,12+,"2,109","1,926","1,897","1,792","1,403","1,035",526,91%,90%,78%,51%
102800,Riverview,Northland,5-11,193,102,50,NA,NA,NA,NA,53%,26%,NA,NA
102900,Waipoua Forest,Northland,12+,"1,185",881,856,829,577,446,165,74%,72%,70%,37%
102900,Waipoua Forest,Northland,5-11,124,17,Masked,NA,NA,NA,NA,14%,<5%,NA,NA
103000,Kerikeri Central,Northland,12+,"2,458","2,172","2,141","2,056","1,460","1,049",578,88%,87%,71%,55%
103000,Kerikeri Central,Northland,5-11,219,93,41,NA,NA,NA,NA,42%,19%,NA,NA
103100,Kerikeri South,Northland,12+,"2,661","2,356","2,330","2,251","1,705","1,294",568,89%,88%,76%,44%
103100,Kerikeri South,Northland,5-11,220,102,47,NA,NA,NA,NA,46%,21%,NA,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,102",930,905,862,572,402,145,84%,82%,66%,36%
103200,Ohaeawai-Waimate North,Northland,5-11,111,27,13,NA,NA,NA,NA,24%,12%,NA,NA
103300,Puketona-Waitangi,Northland,12+,"1,334","1,128","1,116","1,075",771,554,192,85%,84%,72%,35%
103300,Puketona-Waitangi,Northland,5-11,128,46,14,NA,NA,NA,NA,36%,11%,NA,NA
103400,Ngapuhi,Northland,12+,"1,337","1,070","1,024",966,524,370,104,80%,77%,54%,28%
103400,Ngapuhi,Northland,5-11,181,41,12,NA,NA,NA,NA,23%,7%,NA,NA
103500,Kaikohe,Northland,12+,"3,657","2,931","2,805","2,630","1,439",901,321,80%,77%,55%,36%
103500,Kaikohe,Northland,5-11,654,177,76,NA,NA,NA,NA,27%,12%,NA,NA
103600,Pakaraka,Northland,12+,569,475,467,441,275,188,64,83%,82%,62%,34%
103600,Pakaraka,Northland,5-11,84,28,13,NA,NA,NA,NA,33%,15%,NA,NA
103700,Haruru,Northland,12+,"1,042",861,849,827,596,413,169,83%,81%,72%,41%
103700,Haruru,Northland,5-11,112,44,10,NA,NA,NA,NA,39%,9%,NA,NA
103800,Russell,Northland,12+,809,719,714,699,567,450,201,89%,88%,81%,45%
103900,Paihia,Northland,12+,"1,579","1,364","1,335","1,298",889,632,297,86%,85%,68%,47%
103900,Paihia,Northland,5-11,126,40,24,NA,NA,NA,NA,32%,19%,NA,NA
104000,Mataraua Forest,Northland,12+,484,369,348,327,183,130,40,76%,72%,56%,31%
104000,Mataraua Forest,Northland,5-11,61,16,10,NA,NA,NA,NA,26%,16%,NA,NA
104100,Matawaia-Taumarere,Northland,12+,"1,320","1,022",991,930,525,358,103,77%,75%,56%,29%
104100,Matawaia-Taumarere,Northland,5-11,194,58,10,NA,NA,NA,NA,30%,5%,NA,NA
104200,Russell Peninsula,Northland,12+,660,551,547,533,435,355,156,83%,83%,82%,44%
104300,Opua (Far North District),Northland,12+,"1,230","1,052","1,033","1,001",769,605,249,86%,84%,77%,41%
104300,Opua (Far North District),Northland,5-11,75,20,9,NA,NA,NA,NA,27%,12%,NA,NA
104400,Russell Forest-Rawhiti,Northland,12+,656,560,542,520,352,281,109,85%,83%,68%,39%
104400,Russell Forest-Rawhiti,Northland,5-11,76,13,Masked,NA,NA,NA,NA,17%,<5%,NA,NA
104500,Moerewa,Northland,12+,"1,375","1,123","1,073",991,528,316,99,82%,78%,53%,31%
104500,Moerewa,Northland,5-11,241,37,11,NA,NA,NA,NA,15%,<5%,NA,NA
104600,Kawakawa,Northland,12+,"1,248","1,068","1,024",964,558,331,111,86%,82%,58%,34%
104600,Kawakawa,Northland,5-11,183,49,17,NA,NA,NA,NA,27%,9%,NA,NA
104700,Maromaku,Northland,12+,633,481,466,440,249,167,37,76%,74%,57%,22%
104700,Maromaku,Northland,5-11,118,28,8,NA,NA,NA,NA,24%,7%,NA,NA
104800,Mangakahia-Hukerenui,Northland,12+,"1,651","1,347","1,307","1,217",685,432,125,82%,79%,56%,29%
104800,Mangakahia-Hukerenui,Northland,5-11,226,65,21,NA,NA,NA,NA,29%,9%,NA,NA
104900,Whangaruru,Northland,12+,"2,343","1,943","1,903","1,813","1,152",817,251,83%,81%,64%,31%
104900,Whangaruru,Northland,5-11,263,88,20,NA,NA,NA,NA,33%,8%,NA,NA
105100,Matarau,Northland,12+,"2,912","2,524","2,491","2,311","1,629",989,365,87%,86%,70%,37%
105100,Matarau,Northland,5-11,360,177,87,NA,NA,NA,NA,49%,24%,NA,NA
105200,Hikurangi,Northland,12+,"1,262","1,055","1,019",946,543,290,79,84%,81%,57%,27%
105200,Hikurangi,Northland,5-11,216,71,34,NA,NA,NA,NA,33%,16%,NA,NA
105300,Kauri,Northland,12+,"1,604","1,389","1,372","1,288",948,646,233,87%,86%,74%,36%
105300,Kauri,Northland,5-11,191,76,35,NA,NA,NA,NA,40%,18%,NA,NA
105400,Maungatapere,Northland,12+,"3,172","2,703","2,672","2,531","1,810","1,191",406,85%,84%,72%,34%
105400,Maungatapere,Northland,5-11,366,167,99,NA,NA,NA,NA,46%,27%,NA,NA
105500,Kamo West,Northland,12+,"2,012","1,777","1,759","1,664","1,165",741,300,88%,87%,70%,40%
105500,Kamo West,Northland,5-11,209,111,52,NA,NA,NA,NA,53%,25%,NA,NA
105600,Matapouri-Tutukaka,Northland,12+,"1,670","1,443","1,419","1,354",994,725,311,86%,85%,73%,43%
105600,Matapouri-Tutukaka,Northland,5-11,131,68,41,NA,NA,NA,NA,52%,31%,NA,NA
105700,Kiripaka,Northland,12+,940,806,790,746,509,321,139,86%,84%,68%,43%
105700,Kiripaka,Northland,5-11,117,63,30,NA,NA,NA,NA,54%,26%,NA,NA
105800,Kamo East,Northland,12+,"2,560","2,250","2,195","2,058","1,289",657,238,88%,86%,63%,36%
105800,Kamo East,Northland,5-11,410,163,64,NA,NA,NA,NA,40%,16%,NA,NA
105900,Granfield Reserve,Northland,12+,"2,941","2,667","2,632","2,499","1,936","1,342",671,91%,89%,77%,50%
105900,Granfield Reserve,Northland,5-11,283,153,64,NA,NA,NA,NA,54%,23%,NA,NA
