Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Ashburton District,12+,"28,959",Masked,"27,299","25,864","18,576","11,214","4,747",>95%,94%,72%,42%
Ashburton District,5-11,"3,235","1,699",866,NA,NA,NA,NA,53%,27%,NA,NA
Auckland,12+,"1,468,419","1,366,811","1,349,293","1,275,828","910,514","420,424","182,060",93%,92%,71%,43%
Auckland,5-11,"161,323","90,189","53,351",NA,Masked,NA,NA,56%,33%,>95%,NA
Buller District,12+,"8,707","7,805","7,672","7,322","5,286","3,943","1,567",90%,88%,72%,40%
Buller District,5-11,740,319,175,NA,NA,NA,NA,43%,24%,NA,NA
Carterton District,12+,"8,651","8,128","7,993","7,588","5,686","3,990","1,883",94%,92%,75%,47%
Carterton District,5-11,832,417,215,NA,NA,NA,NA,50%,26%,NA,NA
Central Hawke's Bay District,12+,"12,508",Masked,"11,707","11,096","7,922","5,207","2,047",>95%,94%,71%,39%
Central Hawke's Bay District,5-11,"1,456",644,286,NA,NA,NA,NA,44%,20%,NA,NA
Central Otago District,12+,"20,795",Masked,Masked,"18,969","14,339","9,341","4,397",>95%,>95%,76%,47%
Central Otago District,5-11,"1,816",976,514,NA,NA,NA,NA,54%,28%,NA,NA
Chatham Islands Territory,12+,276,Masked,Masked,304,226,143,30,>95%,>95%,74%,21%
Chatham Islands Territory,5-11,14,10,6,NA,NA,NA,NA,71%,43%,NA,NA
Christchurch City,12+,"343,918",Masked,"323,529","308,192","231,263","116,060","56,578",>95%,94%,75%,49%
Christchurch City,5-11,"31,208","17,809","10,646",NA,Masked,NA,NA,57%,34%,>95%,NA
Clutha District,12+,"15,517","14,166","13,949","13,243","9,048","5,910","2,170",91%,90%,68%,37%
Clutha District,5-11,"1,567",703,320,NA,NA,NA,NA,45%,20%,NA,NA
Dunedin City,12+,"114,950",Masked,Masked,"106,433","84,026","40,523","20,805",>95%,>95%,79%,51%
Dunedin City,5-11,"9,480","5,835","3,579",NA,NA,NA,NA,62%,38%,NA,NA
Far North District,12+,"59,649","50,965","49,406","46,872","30,590","21,862","7,984",85%,83%,65%,37%
Far North District,5-11,"7,197","1,888",786,NA,NA,NA,NA,26%,11%,NA,NA
Gisborne District,12+,"42,561","38,634","37,609","35,221","23,173","13,762","5,526",91%,88%,66%,40%
Gisborne District,5-11,"5,401","2,470","1,391",NA,NA,NA,NA,46%,26%,NA,NA
Gore District,12+,"11,003","10,003","9,854","9,357","6,496","4,288","1,512",91%,90%,69%,35%
Gore District,5-11,"1,073",336,187,NA,NA,NA,NA,31%,17%,NA,NA
Grey District,12+,"11,872","10,904","10,681","10,128","7,076","4,684","1,761",92%,90%,70%,38%
Grey District,5-11,"1,138",501,270,NA,NA,NA,NA,44%,24%,NA,NA
