Date,Cumulative vaccinations planned,Cumulative vaccinations administered,Cumulative stock received,Original cumulative vaccinations model
2021-02-21,0,168,65520,NA
2021-02-28,4491,6712,141570,NA
2021-03-07,14420,15617,207090,NA
2021-03-14,21715,23161,271440,NA
2021-03-21,35595,36606,325260,NA
2021-03-28,56290,56348,396630,NA
2021-04-04,84595,84934,450450,NA
2021-04-11,117992,121495,528840,NA
2021-04-18,164107,171225,607230,NA
2021-04-25,216158,226786,685620,NA
2021-05-02,273749,284952,685620,NA
2021-05-09,338813,366650,746460,NA
2021-05-16,414824,451415,807300,NA
2021-05-23,493606,535561,868140,NA
2021-05-30,581932,637673,928980,NA
2021-06-06,680290,751470,1055790,NA
2021-06-13,793013,854317,1103760,NA
2021-06-20,909422,982627,1252900,NA
2021-06-27,1033848,1115755,1302040,NA
2021-07-04,1161952,1238206,1351180,1161952
2021-07-11,1289999,1367726,1502110,1369338
2021-07-18,1425371,1503726,1682290,1576724
2021-07-25,1633071,1693044,2032290,1750577
2021-08-01,1887555,1947864,2411370,2063064
2021-08-08,2164231,2213134,2769390,2375551
2021-08-15,2451622,2513398,3157830,2654505
2021-08-22,2754616,2798000,3602430,2932955
2021-08-29,3056599,3351023,3985020,3226921
2021-09-05,NA,3904266,4630860,3520887
2021-09-12,NA,4336580,5228730,3814853
2021-09-19,NA,4721626,5729490,4348809
2021-09-26,NA,5054675,6150690,4882765
2021-10-03,NA,5354118,6577740,5416721
2021-10-10,NA,5839502,6800430,5950677
2021-10-17,NA,6351788,7101120,6484633
2021-10-24,NA,6629938,7801560,7018589
2021-10-31,NA,6875009,9396270,7552545
2021-11-07,NA,7063867,9396270,7707286
2021-11-14,NA,7220835,9648990,7862027
2021-11-21,NA,7362350,9956142,8016768
2021-11-28,NA,7499975,10096110,8016768
2021-12-05,NA,7742709,10252170,8016768
2021-12-12,NA,7882392,10292490,8016768
2021-12-19,NA,8008778,10818990,NA
2021-12-26,NA,8111337,10978290,NA
2022-01-02,NA,8190171,10978290,NA
2022-01-09,NA,8389407,11622690,NA
2022-01-16,NA,8674370,11806440,NA
2022-01-23,NA,9021786,12144690,NA
2022-01-30,NA,9430654,12334290,NA
2022-02-06,NA,9769340,12475890,NA
2022-02-13,NA,10114615,12713490,NA
2022-02-20,NA,10400989,12905430,NA
2022-02-27,NA,10603117,13379940,NA
2022-03-06,NA,10734834,14264340,NA
2022-03-13,NA,10805115,15480340,NA
2022-03-20,NA,10881080,15480340,NA
