DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4483,4420,141,5,4302
Auckland,Asian,12-17,Male,4774,4686,155,<5,4464
Auckland,Asian,12-17,Unknown/Other,19,18,<5,<5,7
Auckland,Asian,18-24,Female,7599,7558,"7,421","4,924",6671
Auckland,Asian,18-24,Male,7860,7790,"7,587","4,355",6297
Auckland,Asian,18-24,Unknown/Other,95,92,92,41,16
Auckland,Asian,25-29,Female,7841,7809,"7,687","5,230",8392
Auckland,Asian,25-29,Male,8945,8861,"8,733","5,071",7740
Auckland,Asian,25-29,Unknown/Other,129,127,125,71,25
Auckland,Asian,30-34,Female,9085,9027,"8,863","6,116",9316
Auckland,Asian,30-34,Male,9149,9063,"8,907","5,808",8382
Auckland,Asian,30-34,Unknown/Other,97,95,92,46,19
Auckland,Asian,35-39,Female,7782,7726,"7,570","5,404",8154
Auckland,Asian,35-39,Male,7887,7820,"7,701","5,262",7336
Auckland,Asian,35-39,Unknown/Other,66,66,64,38,14
Auckland,Asian,40-44,Female,5936,5901,"5,808","4,328",5623
Auckland,Asian,40-44,Male,5920,5856,"5,781","4,132",5231
Auckland,Asian,40-44,Unknown/Other,40,38,38,22,15
Auckland,Asian,45-49,Female,4733,4705,"4,622","3,505",4861
Auckland,Asian,45-49,Male,4346,4303,"4,239","3,174",3985
Auckland,Asian,5-11,Female,4794,979,NA,NA,6528
Auckland,Asian,5-11,Male,4799,987,NA,NA,6688
Auckland,Asian,50-54,Female,4426,4401,"4,339","3,370",4411
Auckland,Asian,50-54,Male,3559,3532,"3,482","2,691",3467
Auckland,Asian,55-59,Female,4045,4021,"3,948","3,097",4228
Auckland,Asian,55-59,Male,3407,3377,"3,330","2,621",3468
Auckland,Asian,60-64,Female,3278,3259,"3,207","2,608",3608
Auckland,Asian,60-64,Male,2725,2713,"2,671","2,236",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2849,2841,"2,792","2,287",2935
Auckland,Asian,65-69,Male,2382,2367,"2,340","1,944",2584
Auckland,Asian,70-74,Female,1856,1847,"1,814","1,557",1918
Auckland,Asian,70-74,Male,1751,1745,"1,716","1,497",1743
Auckland,Asian,75-79,Female,1132,1127,"1,107",954,1240
Auckland,Asian,75-79,Male,980,971,955,840,1080
Auckland,Asian,80-84,Female,879,870,846,729,943
Auckland,Asian,80-84,Male,714,710,703,611,819
Auckland,Asian,85-89,Female,434,426,412,347,441
Auckland,Asian,85-89,Male,432,429,418,367,420
Auckland,Asian,90+,Female,193,192,183,169,179
Auckland,Asian,90+,Male,122,121,115,98,126
Auckland,European or Other,12-17,Female,7021,6957,178,6,7315
Auckland,European or Other,12-17,Male,7232,7131,192,12,7448
Auckland,European or Other,12-17,Unknown/Other,7,7,<5,<5,8
Auckland,European or Other,18-24,Female,10573,10520,"10,335","7,425",11536
Auckland,European or Other,18-24,Male,9917,9842,"9,590","5,959",10369
Auckland,European or Other,18-24,Unknown/Other,42,41,41,29,38
Auckland,European or Other,25-29,Female,10416,10348,"10,190","7,391",11855
Auckland,European or Other,25-29,Male,10425,10337,"10,093","6,335",10769
Auckland,European or Other,25-29,Unknown/Other,46,46,46,28,23
Auckland,European or Other,30-34,Female,9640,9587,"9,373","6,919",10714
Auckland,European or Other,30-34,Male,10437,10336,"10,089","6,664",10361
Auckland,European or Other,30-34,Unknown/Other,38,38,37,24,22
Auckland,European or Other,35-39,Female,7652,7595,"7,429","5,746",8521
Auckland,European or Other,35-39,Male,8325,8262,"8,074","5,764",8574
Auckland,European or Other,35-39,Unknown/Other,17,16,16,11,15
Auckland,European or Other,40-44,Female,7130,7082,"6,959","5,671",8032
Auckland,European or Other,40-44,Male,7487,7433,"7,307","5,593",8027
Auckland,European or Other,45-49,Female,7870,7831,"7,731","6,550",8961
Auckland,European or Other,45-49,Male,8022,7968,"7,810","6,290",8951
Auckland,European or Other,5-11,Female,5376,1597,NA,NA,7739
Auckland,European or Other,5-11,Male,5720,1676,NA,NA,8273
Auckland,European or Other,50-54,Female,8156,8122,"8,005","6,948",8362
Auckland,European or Other,50-54,Male,8569,8523,"8,404","7,073",8858
Auckland,European or Other,50-54,Unknown/Other,8,8,8,7,5
Auckland,European or Other,55-59,Female,7444,7406,"7,277","6,459",8093
Auckland,European or Other,55-59,Male,8102,8053,"7,931","6,806",8644
Auckland,European or Other,60-64,Female,6761,6731,"6,641","5,997",6988
Auckland,European or Other,60-64,Male,7265,7222,"7,126","6,303",7440
Auckland,European or Other,65-69,Female,5727,5705,"5,626","5,156",5985
Auckland,European or Other,65-69,Male,5907,5888,"5,815","5,260",6084
Auckland,European or Other,70-74,Female,5120,5104,"5,026","4,646",5399
Auckland,European or Other,70-74,Male,5008,4991,"4,936","4,602",5182
Auckland,European or Other,75-79,Female,3954,3940,"3,899","3,658",3829
Auckland,European or Other,75-79,Male,3480,3472,"3,438","3,232",3442
Auckland,European or Other,80-84,Female,2956,2944,"2,921","2,759",2825
Auckland,European or Other,80-84,Male,2395,2390,"2,373","2,233",2219
Auckland,European or Other,85-89,Female,1794,1784,"1,768","1,687",1874
Auckland,European or Other,85-89,Male,1180,1178,"1,167","1,107",1257
Auckland,European or Other,90+,Female,1542,1539,"1,520","1,448",1629
Auckland,European or Other,90+,Male,763,762,757,730,782
Auckland,Maori,12-17,Female,1658,1581,65,<5,1659
Auckland,Maori,12-17,Male,1649,1575,49,<5,1747
Auckland,Maori,18-24,Female,2311,2257,"2,045",948,2396
Auckland,Maori,18-24,Male,2135,2056,"1,845",681,2260
Auckland,Maori,25-29,Female,1516,1479,"1,350",711,1774
Auckland,Maori,25-29,Male,1617,1562,"1,400",636,1611
Auckland,Maori,30-34,Female,1302,1272,"1,162",638,1398
Auckland,Maori,30-34,Male,1265,1230,"1,128",510,1265
Auckland,Maori,35-39,Female,1006,973,913,547,1101
Auckland,Maori,35-39,Male,952,924,829,437,1003
Auckland,Maori,40-44,Female,899,879,809,527,1032
Auckland,Maori,40-44,Male,938,909,838,499,997
Auckland,Maori,45-49,Female,1000,988,942,675,1169
Auckland,Maori,45-49,Male,981,956,905,591,1053
Auckland,Maori,5-11,Female,931,204,NA,NA,2068
Auckland,Maori,5-11,Male,1027,196,NA,NA,2253
Auckland,Maori,50-54,Female,1015,1005,967,725,1055
Auckland,Maori,50-54,Male,892,872,824,596,911
Auckland,Maori,55-59,Female,902,895,863,703,988
Auckland,Maori,55-59,Male,892,877,845,676,915
Auckland,Maori,60-64,Female,755,748,729,622,744
Auckland,Maori,60-64,Male,677,672,652,554,607
Auckland,Maori,65-69,Female,513,511,501,435,520
Auckland,Maori,65-69,Male,391,391,381,344,421
Auckland,Maori,70-74,Female,309,308,305,279,304
Auckland,Maori,70-74,Male,280,279,272,254,261
Auckland,Maori,75-79,Female,159,157,154,138,158
Auckland,Maori,75-79,Male,144,144,140,126,138
Auckland,Maori,80-84,Female,113,113,113,106,122
Auckland,Maori,80-84,Male,75,75,74,67,74
Auckland,Maori,85-89,Female,51,51,50,45,53
Auckland,Maori,85-89,Male,26,26,26,23,27
Auckland,Maori,90+,Female,28,28,28,24,22
Auckland,Pacific Peoples,12-17,Female,2737,2651,119,<5,2957
Auckland,Pacific Peoples,12-17,Male,2773,2665,112,<5,3058
Auckland,Pacific Peoples,18-24,Female,3530,3468,"3,223","1,383",3766
Auckland,Pacific Peoples,18-24,Male,3364,3264,"2,910","1,028",3536
Auckland,Pacific Peoples,18-24,Unknown/Other,18,18,16,5,6
Auckland,Pacific Peoples,25-29,Female,2431,2378,"2,181",976,2713
Auckland,Pacific Peoples,25-29,Male,2398,2317,"2,091",765,2582
Auckland,Pacific Peoples,30-34,Female,2022,1980,"1,843",939,2120
Auckland,Pacific Peoples,30-34,Male,2032,1968,"1,806",779,1958
Auckland,Pacific Peoples,35-39,Female,1617,1585,"1,506",894,1819
Auckland,Pacific Peoples,35-39,Male,1639,1595,"1,483",749,1791
Auckland,Pacific Peoples,40-44,Female,1610,1586,"1,525",995,1764
Auckland,Pacific Peoples,40-44,Male,1601,1565,"1,492",872,1630
Auckland,Pacific Peoples,45-49,Female,1600,1591,"1,528","1,050",1728
Auckland,Pacific Peoples,45-49,Male,1560,1534,"1,458",965,1671
Auckland,Pacific Peoples,5-11,Female,1555,213,NA,NA,3532
Auckland,Pacific Peoples,5-11,Male,1730,220,NA,NA,3720
Auckland,Pacific Peoples,50-54,Female,1645,1632,"1,588","1,158",1810
Auckland,Pacific Peoples,50-54,Male,1595,1576,"1,524","1,118",1678
Auckland,Pacific Peoples,55-59,Female,1542,1535,"1,495","1,163",1566
Auckland,Pacific Peoples,55-59,Male,1424,1411,"1,372","1,079",1431
Auckland,Pacific Peoples,60-64,Female,1250,1245,"1,213",999,1274
Auckland,Pacific Peoples,60-64,Male,1157,1153,"1,127",910,1187
Auckland,Pacific Peoples,65-69,Female,928,922,902,761,974
Auckland,Pacific Peoples,65-69,Male,898,891,867,760,915
Auckland,Pacific Peoples,70-74,Female,672,671,662,539,666
Auckland,Pacific Peoples,70-74,Male,558,554,545,472,559
Auckland,Pacific Peoples,75-79,Female,453,452,439,361,482
Auckland,Pacific Peoples,75-79,Male,304,302,299,250,336
Auckland,Pacific Peoples,80-84,Female,313,306,301,234,326
Auckland,Pacific Peoples,80-84,Male,173,171,169,146,185
Auckland,Pacific Peoples,85-89,Female,150,146,144,118,185
Auckland,Pacific Peoples,85-89,Male,77,76,76,63,79
Auckland,Pacific Peoples,90+,Female,76,73,72,58,81
Auckland,Pacific Peoples,90+,Male,22,22,22,16,24
Auckland,Unknown,12-17,Female,255,234,9,<5,29
Auckland,Unknown,12-17,Male,244,214,7,<5,21
Auckland,Unknown,18-24,Female,432,421,390,195,33
Auckland,Unknown,18-24,Male,469,452,420,197,30
Auckland,Unknown,25-29,Female,774,742,711,416,50
Auckland,Unknown,25-29,Male,703,678,637,347,46
Auckland,Unknown,30-34,Female,753,735,691,427,48
Auckland,Unknown,30-34,Male,940,903,853,459,58
Auckland,Unknown,35-39,Female,462,447,429,254,50
Auckland,Unknown,35-39,Male,734,702,662,389,98
Auckland,Unknown,40-44,Female,309,304,292,166,50
Auckland,Unknown,40-44,Male,541,515,485,273,81
Auckland,Unknown,45-49,Female,246,240,222,119,42
Auckland,Unknown,45-49,Male,435,411,385,225,103
Auckland,Unknown,5-11,Female,227,51,NA,NA,14
Auckland,Unknown,5-11,Male,209,36,NA,NA,21
Auckland,Unknown,50-54,Female,189,184,174,92,40
Auckland,Unknown,50-54,Male,350,322,296,171,91
Auckland,Unknown,55-59,Female,191,184,175,98,40
Auckland,Unknown,55-59,Male,314,292,269,168,87
Auckland,Unknown,60-64,Female,174,168,159,103,39
Auckland,Unknown,60-64,Male,219,212,196,121,82
Auckland,Unknown,65-69,Female,117,113,108,72,43
Auckland,Unknown,65-69,Male,178,175,160,101,77
Auckland,Unknown,70-74,Female,66,65,64,40,44
Auckland,Unknown,70-74,Male,86,82,77,49,47
Auckland,Unknown,75-79,Female,37,33,31,20,26
Auckland,Unknown,75-79,Male,26,25,25,17,18
Auckland,Unknown,80-84,Female,17,16,16,13,22
Auckland,Unknown,80-84,Male,11,11,11,10,10
Auckland,Unknown,85-89,Female,7,7,7,5,12
Bay of Plenty,Asian,12-17,Female,615,601,16,<5,545
Bay of Plenty,Asian,12-17,Male,701,680,25,<5,601
Bay of Plenty,Asian,18-24,Female,603,601,581,325,477
Bay of Plenty,Asian,18-24,Male,1258,1241,"1,180",379,671
Bay of Plenty,Asian,25-29,Female,1017,1009,975,514,948
Bay of Plenty,Asian,25-29,Male,1708,1685,"1,628",560,1083
Bay of Plenty,Asian,30-34,Female,1385,1377,"1,319",809,1117
Bay of Plenty,Asian,30-34,Male,1466,1443,"1,394",665,1026
Bay of Plenty,Asian,35-39,Female,1045,1036,"1,004",638,919
Bay of Plenty,Asian,35-39,Male,1015,1002,972,564,739
Bay of Plenty,Asian,40-44,Female,782,775,750,459,678
Bay of Plenty,Asian,40-44,Male,745,739,716,424,604
Bay of Plenty,Asian,45-49,Female,656,650,638,431,556
Bay of Plenty,Asian,45-49,Male,572,567,557,373,407
Bay of Plenty,Asian,5-11,Female,533,71,NA,NA,860
Bay of Plenty,Asian,5-11,Male,626,81,NA,NA,1040
Bay of Plenty,Asian,50-54,Female,425,423,416,301,399
Bay of Plenty,Asian,50-54,Male,384,381,378,269,318
Bay of Plenty,Asian,55-59,Female,362,358,348,260,328
Bay of Plenty,Asian,55-59,Male,264,263,259,191,240
Bay of Plenty,Asian,60-64,Female,314,314,307,220,313
Bay of Plenty,Asian,60-64,Male,193,193,187,142,206
Bay of Plenty,Asian,65-69,Female,236,234,228,176,249
Bay of Plenty,Asian,65-69,Male,186,183,179,142,192
Bay of Plenty,Asian,70-74,Female,173,173,166,131,157
Bay of Plenty,Asian,70-74,Male,133,130,129,109,132
Bay of Plenty,Asian,75-79,Female,72,72,69,53,73
Bay of Plenty,Asian,75-79,Male,73,73,71,54,63
Bay of Plenty,Asian,80-84,Female,47,47,46,35,45
Bay of Plenty,Asian,80-84,Male,40,40,39,31,42
Bay of Plenty,Asian,85-89,Female,12,12,12,6,9
Bay of Plenty,Asian,85-89,Male,15,15,15,13,14
Bay of Plenty,European or Other,12-17,Female,4996,4854,147,<5,5558
Bay of Plenty,European or Other,12-17,Male,5347,5187,169,<5,5808
Bay of Plenty,European or Other,18-24,Female,4633,4579,"4,260","2,136",5030
Bay of Plenty,European or Other,18-24,Male,5031,4932,"4,495","1,607",5353
Bay of Plenty,European or Other,25-29,Female,3953,3881,"3,651","1,748",4548
Bay of Plenty,European or Other,25-29,Male,3783,3689,"3,373","1,323",4018
Bay of Plenty,European or Other,25-29,Unknown/Other,10,10,10,<5,8
Bay of Plenty,European or Other,30-34,Female,4852,4761,"4,495","2,494",5173
Bay of Plenty,European or Other,30-34,Male,4356,4256,"3,934","1,783",4364
Bay of Plenty,European or Other,35-39,Female,4635,4543,"4,325","2,595",4998
Bay of Plenty,European or Other,35-39,Male,4197,4106,"3,874","2,000",4396
Bay of Plenty,European or Other,40-44,Female,4374,4322,"4,140","2,706",4905
Bay of Plenty,European or Other,40-44,Male,4091,4009,"3,820","2,220",4551
Bay of Plenty,European or Other,45-49,Female,5061,5003,"4,816","3,391",6005
Bay of Plenty,European or Other,45-49,Male,4786,4727,"4,537","2,903",5473
Bay of Plenty,European or Other,5-11,Female,3172,535,NA,NA,6453
Bay of Plenty,European or Other,5-11,Male,3231,574,NA,NA,6627
Bay of Plenty,European or Other,50-54,Female,5685,5639,"5,471","4,161",6249
Bay of Plenty,European or Other,50-54,Male,5213,5159,"4,991","3,521",5645
Bay of Plenty,European or Other,55-59,Female,5856,5812,"5,662","4,591",6542
Bay of Plenty,European or Other,55-59,Male,5530,5485,"5,327","4,075",6142
Bay of Plenty,European or Other,60-64,Female,6169,6116,"6,003","5,094",6497
Bay of Plenty,European or Other,60-64,Male,5662,5630,"5,479","4,563",6024
Bay of Plenty,European or Other,65-69,Female,6039,5998,"5,901","5,294",6364
Bay of Plenty,European or Other,65-69,Male,5591,5560,"5,478","4,853",5918
Bay of Plenty,European or Other,70-74,Female,5832,5813,"5,706","5,268",6119
Bay of Plenty,European or Other,70-74,Male,5448,5427,"5,353","4,922",5809
Bay of Plenty,European or Other,75-79,Female,4658,4640,"4,565","4,241",4782
Bay of Plenty,European or Other,75-79,Male,4243,4231,"4,186","3,916",4228
Bay of Plenty,European or Other,80-84,Female,3521,3516,"3,481","3,265",3210
Bay of Plenty,European or Other,80-84,Male,3009,3002,"2,975","2,816",2866
Bay of Plenty,European or Other,85-89,Female,1888,1877,"1,846","1,725",1980
Bay of Plenty,European or Other,85-89,Male,1480,1477,"1,458","1,369",1477
Bay of Plenty,European or Other,90+,Female,1228,1224,"1,192","1,128",1302
