Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,424",Masked,Masked,"23,645","17,453",>95%,>95%,74%
Ashburton District,5-11,"3,207","1,885",263,NA,NA,59%,8%,NA
Auckland,12+,"1,383,806",Masked,Masked,"1,186,910","845,220",>95%,>95%,71%
Auckland,5-11,"163,783","97,027","19,198",NA,NA,59%,12%,NA
Buller District,12+,"8,272","7,739","7,616","6,703","5,024",94%,92%,75%
Buller District,5-11,719,348,28,NA,NA,48%,<5%,NA
Carterton District,12+,"8,259",Masked,Masked,"7,000","5,373",>95%,>95%,77%
Carterton District,5-11,834,460,66,NA,NA,55%,8%,NA
Central Hawke's Bay District,12+,"11,838",Masked,Masked,"9,977","7,383",>95%,>95%,74%
Central Hawke's Bay District,5-11,"1,483",699,115,NA,NA,47%,8%,NA
Central Otago District,12+,"19,636",Masked,Masked,"17,550","13,519",>95%,>95%,77%
Central Otago District,5-11,"1,828","1,084",147,NA,NA,59%,8%,NA
Chatham Islands Territory,12+,180,Masked,Masked,237,190,>95%,>95%,80%
Chatham Islands Territory,5-11,10,9,0,NA,NA,90%,<5%,NA
Christchurch City,12+,"322,365",Masked,Masked,"285,576","217,405",>95%,>95%,76%
Christchurch City,5-11,"31,521","19,308","3,312",NA,NA,61%,11%,NA
Clutha District,12+,"14,979",Masked,"14,075","12,313","8,734",>95%,94%,71%
Clutha District,5-11,"1,658",756,72,NA,NA,46%,<5%,NA
Dunedin City,12+,"110,495",Masked,Masked,"98,510","79,408",>95%,>95%,81%
Dunedin City,5-11,"9,731","6,404","1,169",NA,NA,66%,12%,NA
Far North District,12+,"56,422","50,397","48,912","41,872","28,431",89%,87%,68%
Far North District,5-11,"7,092","2,022",143,NA,NA,29%,<5%,NA
Gisborne District,12+,"40,638","38,460","37,500","31,386","21,717",95%,92%,69%
