sa2_code,sa2,dhbresidence,ethnicity_priority,population,partially_vaccinated,fully_vaccinated,eligible_for_booster,boosted
141600,Remuera Waiata,Auckland,Maori,59,55,55,44,32
141600,Remuera Waiata,Auckland,Pacific Peoples,29,25,23,18,12
141700,Epsom South,Auckland,Maori,110,111,110,82,50
141700,Epsom South,Auckland,Pacific Peoples,53,45,44,36,15
141800,Kohimarama,Auckland,Maori,86,80,80,66,45
141800,Kohimarama,Auckland,Pacific Peoples,28,27,27,23,18
141900,Meadowbank West,Auckland,Maori,121,119,113,79,49
141900,Meadowbank West,Auckland,Pacific Peoples,113,109,108,89,47
142000,Hillsborough North (Auckland),Auckland,Maori,107,101,96,73,42
142000,Hillsborough North (Auckland),Auckland,Pacific Peoples,312,297,287,211,99
142100,Hillsborough West (Auckland),Auckland,Maori,112,100,99,62,26
142100,Hillsborough West (Auckland),Auckland,Pacific Peoples,273,263,262,215,103
142200,Greenlane North,Auckland,Maori,113,118,117,89,47
142200,Greenlane North,Auckland,Pacific Peoples,110,110,107,83,48
142300,Waikowhai North,Auckland,Maori,193,176,168,105,53
142300,Waikowhai North,Auckland,Pacific Peoples,912,839,823,580,256
142400,Remuera East,Auckland,Maori,64,60,59,45,31
142400,Remuera East,Auckland,Pacific Peoples,19,20,20,16,10
142500,Waikowhai South,Auckland,Maori,63,60,60,50,34
142500,Waikowhai South,Auckland,Pacific Peoples,130,128,126,97,61
142600,Royal Oak West (Auckland),Auckland,Maori,115,107,104,78,50
142600,Royal Oak West (Auckland),Auckland,Pacific Peoples,177,157,154,124,74
142700,Saint Heliers West,Auckland,Maori,74,73,71,55,38
142700,Saint Heliers West,Auckland,Pacific Peoples,41,41,40,28,18
142800,One Tree Hill,Auckland,Maori,231,221,218,156,94
142800,One Tree Hill,Auckland,Pacific Peoples,355,336,329,237,123
142900,Hillsborough East (Auckland),Auckland,Maori,73,72,70,45,18
142900,Hillsborough East (Auckland),Auckland,Pacific Peoples,168,170,167,119,72
143000,Saint Heliers North,Auckland,Maori,69,65,65,49,38
143000,Saint Heliers North,Auckland,Pacific Peoples,32,28,27,25,17
143100,Remuera Abbotts Park,Auckland,Maori,135,139,138,105,57
143100,Remuera Abbotts Park,Auckland,Pacific Peoples,69,58,58,51,33
143200,Meadowbank East,Auckland,Maori,95,97,97,74,48
143200,Meadowbank East,Auckland,Pacific Peoples,63,59,56,48,35
143300,Ellerslie Central,Auckland,Maori,175,156,153,121,70
143300,Ellerslie Central,Auckland,Pacific Peoples,155,144,141,111,70
143400,Royal Oak East (Auckland),Auckland,Maori,129,125,124,106,63
143400,Royal Oak East (Auckland),Auckland,Pacific Peoples,209,196,193,153,79
143500,Saint Heliers South,Auckland,Maori,104,98,98,75,50
143500,Saint Heliers South,Auckland,Pacific Peoples,66,66,65,53,35
143600,Hillsborough South (Auckland),Auckland,Maori,119,104,102,80,44
143600,Hillsborough South (Auckland),Auckland,Pacific Peoples,160,148,146,119,68
143700,Saint Johns West,Auckland,Maori,74,71,71,54,36
143700,Saint Johns West,Auckland,Pacific Peoples,74,77,76,52,28
143800,Greenlane South,Auckland,Maori,191,172,166,112,63
143800,Greenlane South,Auckland,Pacific Peoples,278,271,265,191,108
143900,Remuera Waiatarua,Auckland,Maori,60,62,60,45,24
143900,Remuera Waiatarua,Auckland,Pacific Peoples,56,60,57,43,28
144000,Glendowie North,Auckland,Maori,96,89,86,65,48
144000,Glendowie North,Auckland,Pacific Peoples,40,40,40,26,17
144100,Onehunga West,Auckland,Maori,268,256,252,196,105
144100,Onehunga West,Auckland,Pacific Peoples,402,390,380,296,173
144200,Ellerslie West,Auckland,Maori,22,19,18,14,4
144200,Ellerslie West,Auckland,Pacific Peoples,13,13,12,10,5
144300,Onehunga North,Auckland,Maori,224,215,211,165,112
144300,Onehunga North,Auckland,Pacific Peoples,494,463,451,349,184
144400,Ellerslie East,Auckland,Maori,116,108,106,81,51
144400,Ellerslie East,Auckland,Pacific Peoples,130,131,129,98,48
144500,Saint Johns East,Auckland,Maori,150,141,141,102,64
144500,Saint Johns East,Auckland,Pacific Peoples,167,161,156,115,59
144600,Oneroa West,Auckland,Maori,88,79,77,60,27
144600,Oneroa West,Auckland,Pacific Peoples,19,19,19,16,10
144700,Glen Innes West,Auckland,Maori,564,533,507,312,128
144700,Glen Innes West,Auckland,Pacific Peoples,1243,1127,1090,748,327
144800,Ellerslie South,Auckland,Maori,117,111,111,90,52
144800,Ellerslie South,Auckland,Pacific Peoples,108,111,109,84,59
144900,Stonefields West,Auckland,Maori,50,47,47,39,24
144900,Stonefields West,Auckland,Pacific Peoples,39,31,31,25,16
145000,Onehunga Central,Auckland,Maori,251,239,236,171,103
145000,Onehunga Central,Auckland,Pacific Peoples,532,492,488,390,215
145100,Glendowie South,Auckland,Maori,182,172,166,114,70
145100,Glendowie South,Auckland,Pacific Peoples,156,144,140,98,47
145200,Oranga,Auckland,Maori,335,305,295,187,92
145200,Oranga,Auckland,Pacific Peoples,1019,954,924,675,300
145300,Mount Wellington North West,Auckland,Maori,134,122,120,87,43
145300,Mount Wellington North West,Auckland,Pacific Peoples,169,156,156,130,63
145400,Panmure Glen Innes Industrial,Auckland,Maori,59,55,53,31,19
145400,Panmure Glen Innes Industrial,Auckland,Pacific Peoples,63,58,56,44,21
145500,Onehunga-Te Papapa Industrial,Auckland,Maori,113,101,95,74,45
145500,Onehunga-Te Papapa Industrial,Auckland,Pacific Peoples,161,146,138,107,42
145600,Te Papapa,Auckland,Maori,276,265,254,188,104
145600,Te Papapa,Auckland,Pacific Peoples,597,574,555,414,193
145700,Stonefields East,Auckland,Maori,32,32,32,25,19
145700,Stonefields East,Auckland,Pacific Peoples,33,34,34,33,20
145800,Glen Innes East-Wai O Taiki Bay,Auckland,Maori,628,573,540,334,169
145800,Glen Innes East-Wai O Taiki Bay,Auckland,Pacific Peoples,1283,1222,1179,810,303
145900,Penrose,Auckland,Maori,68,57,55,46,26
145900,Penrose,Auckland,Pacific Peoples,109,100,96,79,35
146000,Mount Wellington North East,Auckland,Maori,109,101,98,75,40
146000,Mount Wellington North East,Auckland,Pacific Peoples,116,134,128,96,46
146100,Mangere Bridge Ambury,Counties Manukau,Maori,396,382,371,266,159
146100,Mangere Bridge Ambury,Counties Manukau,Pacific Peoples,659,609,597,478,262
146200,Mount Wellington Ferndale,Auckland,Maori,313,298,292,199,114
146200,Mount Wellington Ferndale,Auckland,Pacific Peoples,624,597,585,441,218
146300,Point England,Auckland,Maori,819,723,687,408,181
146300,Point England,Auckland,Pacific Peoples,1810,1678,1619,1138,471
146400,Bucklands Beach North,Counties Manukau,Maori,54,47,47,38,25
146400,Bucklands Beach North,Counties Manukau,Pacific Peoples,52,42,42,34,17
146500,Mount Wellington East,Auckland,Maori,198,173,167,99,45
146500,Mount Wellington East,Auckland,Pacific Peoples,458,441,430,314,163
146600,Mount Wellington West,Auckland,Maori,287,263,255,167,70
146600,Mount Wellington West,Auckland,Pacific Peoples,569,547,538,413,210
146700,Panmure West,Auckland,Maori,32,29,29,16,10
146700,Panmure West,Auckland,Pacific Peoples,40,35,33,27,11
146800,Mangere Bridge,Counties Manukau,Maori,416,392,384,279,172
146800,Mangere Bridge,Counties Manukau,Pacific Peoples,683,619,604,465,261
146900,Oneroa East-Palm Beach,Auckland,Maori,64,54,53,39,12
146900,Oneroa East-Palm Beach,Auckland,Pacific Peoples,25,24,23,20,8
147000,Tamaki,Auckland,Maori,721,655,626,399,193
147000,Tamaki,Auckland,Pacific Peoples,1235,1151,1124,800,362
147100,Panmure East,Auckland,Maori,352,318,300,215,102
147100,Panmure East,Auckland,Pacific Peoples,523,505,490,357,183
147200,Mount Wellington Central,Auckland,Maori,400,371,356,260,147
147200,Mount Wellington Central,Auckland,Pacific Peoples,677,617,605,449,225
147400,Sylvia Park,Auckland,Maori,6,4,4,3,0
147400,Sylvia Park,Auckland,Pacific Peoples,10,12,11,9,4
147500,Mangere Mountain View,Counties Manukau,Maori,581,538,513,349,194
147500,Mangere Mountain View,Counties Manukau,Pacific Peoples,1451,1314,1282,907,419
147600,Surfdale,Auckland,Maori,179,168,160,108,64
147600,Surfdale,Auckland,Pacific Peoples,35,32,32,27,19
147700,Mount Wellington Industrial,Auckland,Maori,3,2,2,1,0
147800,Half Moon Bay West,Counties Manukau,Maori,88,79,78,56,33
147800,Half Moon Bay West,Counties Manukau,Pacific Peoples,63,60,60,48,30
147900,Auckland Airport,Counties Manukau,Maori,237,220,215,141,65
147900,Auckland Airport,Counties Manukau,Pacific Peoples,117,82,79,62,31
148000,Eastern Beach,Counties Manukau,Maori,47,44,44,33,21
148000,Eastern Beach,Counties Manukau,Pacific Peoples,38,42,41,31,18
148100,Sunnyhills West-Pakuranga North,Counties Manukau,Maori,135,133,130,95,58
148100,Sunnyhills West-Pakuranga North,Counties Manukau,Pacific Peoples,94,95,90,72,44
148200,Favona North,Counties Manukau,Maori,325,283,269,176,91
148200,Favona North,Counties Manukau,Pacific Peoples,1570,1446,1420,1067,466
148300,Bucklands Beach Central,Counties Manukau,Maori,25,24,24,21,15
148300,Bucklands Beach Central,Counties Manukau,Pacific Peoples,29,31,31,24,7
148400,Farm Cove,Counties Manukau,Maori,63,60,60,51,36
148400,Farm Cove,Counties Manukau,Pacific Peoples,39,35,35,26,16
148500,Mangere North,Counties Manukau,Maori,299,250,238,144,59
148500,Mangere North,Counties Manukau,Pacific Peoples,1237,1136,1103,769,341
148600,Favona West,Counties Manukau,Maori,349,332,311,169,61
148600,Favona West,Counties Manukau,Pacific Peoples,1934,1804,1754,1234,575
148700,Ostend,Auckland,Maori,154,146,142,100,59
148700,Ostend,Auckland,Pacific Peoples,43,40,39,30,12
148800,Half Moon Bay North East,Counties Manukau,Maori,31,26,26,15,8
148800,Half Moon Bay North East,Counties Manukau,Pacific Peoples,38,39,38,22,15
148900,Mangere West,Counties Manukau,Maori,609,522,491,301,132
148900,Mangere West,Counties Manukau,Pacific Peoples,2556,2331,2277,1599,679
149000,Pakuranga West,Counties Manukau,Maori,392,358,350,240,119
149000,Pakuranga West,Counties Manukau,Pacific Peoples,463,451,441,319,149
149100,Mount Wellington South West,Auckland,Maori,310,284,274,163,74
149100,Mount Wellington South West,Auckland,Pacific Peoples,649,614,608,443,222
149200,Sunnyhills East,Counties Manukau,Maori,126,127,125,83,45
149200,Sunnyhills East,Counties Manukau,Pacific Peoples,72,73,73,50,32
149300,Half Moon Bay South East,Counties Manukau,Maori,150,141,138,98,46
149300,Half Moon Bay South East,Counties Manukau,Pacific Peoples,153,136,134,100,46
149400,Favona East,Counties Manukau,Maori,359,318,309,195,79
149400,Favona East,Counties Manukau,Pacific Peoples,2091,1942,1889,1347,637
149500,Mount Wellington South East,Auckland,Maori,450,418,390,243,115
149500,Mount Wellington South East,Auckland,Pacific Peoples,1235,1147,1118,801,355
149600,Otahuhu Industrial,Counties Manukau,Maori,1,0,0,0,0
149600,Otahuhu Industrial,Counties Manukau,Pacific Peoples,9,9,9,8,2
149700,Bucklands Beach South,Counties Manukau,Maori,99,92,90,54,29
149700,Bucklands Beach South,Counties Manukau,Pacific Peoples,104,92,91,55,31
149800,Pakuranga Central,Counties Manukau,Maori,255,245,233,155,76
149800,Pakuranga Central,Counties Manukau,Pacific Peoples,343,318,312,235,127
149900,Awhitu,Counties Manukau,Maori,261,212,207,144,77
149900,Awhitu,Counties Manukau,Pacific Peoples,53,44,44,37,15
150000,Harania North,Counties Manukau,Maori,408,363,342,196,75
150000,Harania North,Counties Manukau,Pacific Peoples,2703,2538,2451,1709,763
150100,Otahuhu Central,Auckland,Maori,296,262,251,182,72
150100,Otahuhu Central,Auckland,Pacific Peoples,595,593,574,452,192
150200,Mangere Central,Counties Manukau,Maori,469,424,402,243,109
150200,Mangere Central,Counties Manukau,Pacific Peoples,2164,1992,1938,1391,635
150300,Otahuhu North,Auckland,Maori,397,330,310,189,82
150300,Otahuhu North,Auckland,Pacific Peoples,1646,1612,1561,1139,491
150400,Howick West,Counties Manukau,Maori,151,148,146,94,50
150400,Howick West,Counties Manukau,Pacific Peoples,133,129,127,98,61
150500,Pakuranga Heights North West,Counties Manukau,Maori,219,188,185,100,41
150500,Pakuranga Heights North West,Counties Manukau,Pacific Peoples,216,196,188,143,75
150600,Mellons Bay,Counties Manukau,Maori,99,95,93,66,48
150600,Mellons Bay,Counties Manukau,Pacific Peoples,43,35,34,29,19
150700,Pakuranga Heights East,Counties Manukau,Maori,241,221,214,151,62
150700,Pakuranga Heights East,Counties Manukau,Pacific Peoples,217,220,217,146,70
150800,Sutton Park,Counties Manukau,Maori,426,377,361,214,108
150800,Sutton Park,Counties Manukau,Pacific Peoples,2444,2293,2245,1627,741
150900,Otahuhu East,Auckland,Maori,273,249,240,150,67
150900,Otahuhu East,Auckland,Pacific Peoples,907,855,840,628,268
151000,Mangere South,Counties Manukau,Maori,343,314,300,177,74
151000,Mangere South,Counties Manukau,Pacific Peoples,1901,1725,1680,1245,590
151100,Onetangi,Auckland,Maori,100,89,88,54,29
151100,Onetangi,Auckland,Pacific Peoples,26,20,19,16,5
151200,Harania South,Counties Manukau,Maori,447,383,369,240,110
151200,Harania South,Counties Manukau,Pacific Peoples,1873,1778,1734,1230,576
151300,Highland Park (Auckland),Counties Manukau,Maori,144,134,130,101,56
151300,Highland Park (Auckland),Counties Manukau,Pacific Peoples,177,175,169,111,58
151400,Otahuhu South West,Auckland,Maori,523,451,433,296,157
151400,Otahuhu South West,Auckland,Pacific Peoples,1512,1444,1413,1057,469
151500,Pakuranga Heights South West,Counties Manukau,Maori,245,231,222,151,78
151500,Pakuranga Heights South West,Counties Manukau,Pacific Peoples,347,344,336,249,111
151600,Mangere Mascot,Counties Manukau,Maori,441,396,372,221,108
151600,Mangere Mascot,Counties Manukau,Pacific Peoples,2295,2126,2072,1484,699
151700,Waiheke East,Auckland,Maori,68,57,55,36,18
151700,Waiheke East,Auckland,Pacific Peoples,24,26,26,16,10
151800,Massey Road West,Counties Manukau,Maori,433,397,382,229,97
151800,Massey Road West,Counties Manukau,Pacific Peoples,2099,1940,1884,1378,641
151900,Otahuhu South,Auckland,Maori,428,388,374,266,133
151900,Otahuhu South,Auckland,Pacific Peoples,1431,1364,1338,1006,447
152000,Howick Central,Counties Manukau,Maori,152,143,137,95,50
152000,Howick Central,Counties Manukau,Pacific Peoples,126,120,117,82,48
152100,Massey Road North,Counties Manukau,Maori,415,362,349,212,101
152100,Massey Road North,Counties Manukau,Pacific Peoples,1521,1431,1408,1030,481
152200,Botany Downs West,Counties Manukau,Maori,91,86,81,61,39
152200,Botany Downs West,Counties Manukau,Pacific Peoples,110,111,109,74,27
152300,East Tamaki,Counties Manukau,Maori,34,32,32,25,16
152300,East Tamaki,Counties Manukau,Pacific Peoples,35,32,30,22,8
152400,Howick East,Counties Manukau,Maori,167,143,141,109,70
152400,Howick East,Counties Manukau,Pacific Peoples,84,78,74,63,37
152500,Burswood,Counties Manukau,Maori,58,53,52,38,21
152500,Burswood,Counties Manukau,Pacific Peoples,88,84,83,65,46
152600,Massey Road South,Counties Manukau,Maori,223,188,180,108,60
152600,Massey Road South,Counties Manukau,Pacific Peoples,1046,989,972,710,319
152700,Middlemore,Counties Manukau,Maori,6,3,2,1,1
152700,Middlemore,Counties Manukau,Pacific Peoples,3,3,3,2,1
152800,Mangere South East,Counties Manukau,Maori,371,337,325,223,111
152800,Mangere South East,Counties Manukau,Pacific Peoples,1903,1778,1744,1270,608
152900,Botany Downs East,Counties Manukau,Maori,66,63,63,49,32
152900,Botany Downs East,Counties Manukau,Pacific Peoples,70,71,66,51,34
153000,Grange,Counties Manukau,Maori,249,226,217,132,50
153000,Grange,Counties Manukau,Pacific Peoples,1148,1084,1052,744,338
153100,Golflands,Counties Manukau,Maori,79,75,73,52,38
153100,Golflands,Counties Manukau,Pacific Peoples,67,66,66,57,36
153200,Aorere North,Counties Manukau,Maori,187,166,160,102,50
153200,Aorere North,Counties Manukau,Pacific Peoples,833,779,758,541,253
153300,Mangere East,Counties Manukau,Maori,357,345,323,209,105
153300,Mangere East,Counties Manukau,Pacific Peoples,1560,1498,1481,1102,565
153400,Cockle Bay,Counties Manukau,Maori,142,140,140,109,69
153400,Cockle Bay,Counties Manukau,Pacific Peoples,72,72,71,56,35
153500,Otara West,Counties Manukau,Maori,617,527,479,265,115
153500,Otara West,Counties Manukau,Pacific Peoples,1953,1763,1706,1182,476
153600,Aorere Central,Counties Manukau,Maori,251,235,230,147,69
153600,Aorere Central,Counties Manukau,Pacific Peoples,1035,965,948,713,337
153700,Northpark North,Counties Manukau,Maori,63,58,57,46,27
153700,Northpark North,Counties Manukau,Pacific Peoples,73,67,65,52,34
153800,Somerville,Counties Manukau,Maori,98,95,91,77,47
153800,Somerville,Counties Manukau,Pacific Peoples,92,84,84,67,40
153900,Northpark South,Counties Manukau,Maori,39,35,35,29,20
153900,Northpark South,Counties Manukau,Pacific Peoples,64,67,66,55,32
154000,Papatoetoe North,Counties Manukau,Maori,433,373,363,254,122
154000,Papatoetoe North,Counties Manukau,Pacific Peoples,1383,1321,1287,1002,538
154100,Dingwall,Counties Manukau,Maori,276,251,245,168,98
154100,Dingwall,Counties Manukau,Pacific Peoples,751,723,711,557,294
154200,Aorere South,Counties Manukau,Maori,558,504,484,300,154
154200,Aorere South,Counties Manukau,Pacific Peoples,1877,1779,1751,1340,709
154300,Shelly Park,Counties Manukau,Maori,90,86,85,63,37
154300,Shelly Park,Counties Manukau,Pacific Peoples,53,50,50,36,17
154400,Otara Central,Counties Manukau,Maori,452,387,365,209,92
154400,Otara Central,Counties Manukau,Pacific Peoples,1674,1501,1453,1024,425
154500,Huntington Park,Counties Manukau,Maori,70,71,67,48,24
154500,Huntington Park,Counties Manukau,Pacific Peoples,77,75,74,60,32
154600,Botany Central,Counties Manukau,Maori,1,1,1,1,0
154600,Botany Central,Counties Manukau,Pacific Peoples,1,1,1,1,0
154700,Botany North,Counties Manukau,Maori,68,69,68,47,31
154700,Botany North,Counties Manukau,Pacific Peoples,72,73,71,56,28
154800,Papatoetoe West,Counties Manukau,Maori,469,444,427,276,148
154800,Papatoetoe West,Counties Manukau,Pacific Peoples,1567,1474,1450,1109,556
154900,Papatoetoe Central,Counties Manukau,Maori,434,403,396,279,163
154900,Papatoetoe Central,Counties Manukau,Pacific Peoples,1102,1075,1057,877,498
155000,Sunkist Bay,Counties Manukau,Maori,182,188,186,135,80
155000,Sunkist Bay,Counties Manukau,Pacific Peoples,56,54,54,46,27
155100,Otara East,Counties Manukau,Maori,603,544,512,290,132
155100,Otara East,Counties Manukau,Pacific Peoples,2361,2200,2133,1521,631
155200,Redcastle,Counties Manukau,Maori,115,106,101,82,51
155200,Redcastle,Counties Manukau,Pacific Peoples,196,180,176,134,78
155300,Botany East,Counties Manukau,Maori,52,53,53,37,21
155300,Botany East,Counties Manukau,Pacific Peoples,67,63,63,58,47
155400,Botany South,Counties Manukau,Maori,102,93,92,65,39
155400,Botany South,Counties Manukau,Pacific Peoples,99,103,101,80,44
155500,Manukau Central,Counties Manukau,Maori,209,185,176,119,52
155500,Manukau Central,Counties Manukau,Pacific Peoples,277,258,248,192,74
155600,Papatoetoe East,Counties Manukau,Maori,430,392,375,253,132
155600,Papatoetoe East,Counties Manukau,Pacific Peoples,1296,1220,1195,924,494
155700,Otara South,Counties Manukau,Maori,525,458,420,249,103
155700,Otara South,Counties Manukau,Pacific Peoples,2421,2181,2112,1479,606
155800,Ferguson,Counties Manukau,Maori,748,615,579,340,154
155800,Ferguson,Counties Manukau,Pacific Peoples,2738,2525,2440,1696,644
155900,Papatoetoe South West,Counties Manukau,Maori,416,376,364,232,111
155900,Papatoetoe South West,Counties Manukau,Pacific Peoples,1333,1281,1255,936,488
156000,Botany Junction,Counties Manukau,Maori,7,5,5,4,1
156000,Botany Junction,Counties Manukau,Pacific Peoples,28,24,21,20,5
156100,Dannemora North,Counties Manukau,Maori,69,59,59,42,19
156100,Dannemora North,Counties Manukau,Pacific Peoples,119,109,108,83,48
156200,Papatoetoe South,Counties Manukau,Maori,375,335,316,211,115
156200,Papatoetoe South,Counties Manukau,Pacific Peoples,906,891,876,692,370
156300,East Tamaki Heights,Counties Manukau,Maori,53,43,42,36,22
156300,East Tamaki Heights,Counties Manukau,Pacific Peoples,97,91,91,79,55
156400,Te Puru,Counties Manukau,Maori,176,176,174,125,73
156400,Te Puru,Counties Manukau,Pacific Peoples,75,73,73,58,38
156500,Puhinui North,Counties Manukau,Maori,290,265,256,185,107
156500,Puhinui North,Counties Manukau,Pacific Peoples,909,895,885,701,393
156600,Dannemora South,Counties Manukau,Maori,58,61,59,40,19
156600,Dannemora South,Counties Manukau,Pacific Peoples,203,201,199,154,90
156700,Puhinui South,Counties Manukau,Maori,241,215,207,136,64
156700,Puhinui South,Counties Manukau,Pacific Peoples,688,672,661,511,265
156800,Rongomai West,Counties Manukau,Maori,410,350,330,206,101
156800,Rongomai West,Counties Manukau,Pacific Peoples,1522,1366,1316,907,398
156900,Baverstock,Counties Manukau,Maori,166,139,135,95,61
156900,Baverstock,Counties Manukau,Pacific Peoples,375,379,372,280,141
157000,Puhinui East,Counties Manukau,Maori,193,166,164,105,55
157000,Puhinui East,Counties Manukau,Pacific Peoples,667,636,626,495,270
157100,Turanga,Counties Manukau,Maori,169,166,165,117,69
157100,Turanga,Counties Manukau,Pacific Peoples,61,55,55,43,25
157200,Rongomai East,Counties Manukau,Maori,224,194,176,100,41
157200,Rongomai East,Counties Manukau,Pacific Peoples,1174,1050,1027,716,279
157300,Ormiston North,Counties Manukau,Maori,67,63,62,39,22
157300,Ormiston North,Counties Manukau,Pacific Peoples,199,200,197,154,87
157400,Maraetai,Counties Manukau,Maori,117,121,115,90,47
157400,Maraetai,Counties Manukau,Pacific Peoples,32,38,38,26,17
157500,Chapel Downs,Counties Manukau,Maori,260,210,198,127,65
157500,Chapel Downs,Counties Manukau,Pacific Peoples,828,786,764,554,259
157600,Wiri West,Counties Manukau,Maori,352,303,283,187,80
157600,Wiri West,Counties Manukau,Pacific Peoples,177,170,156,114,50
157700,Clover Park North,Counties Manukau,Maori,658,576,548,341,158
157700,Clover Park North,Counties Manukau,Pacific Peoples,2525,2300,2261,1616,797
157800,Mission Heights North,Counties Manukau,Maori,111,100,99,79,37
157800,Mission Heights North,Counties Manukau,Pacific Peoples,239,234,229,185,117
157900,Clover Park South,Counties Manukau,Maori,443,390,374,251,111
157900,Clover Park South,Counties Manukau,Pacific Peoples,1347,1270,1236,943,457
158000,Donegal Park,Counties Manukau,Maori,141,126,120,75,45
158000,Donegal Park,Counties Manukau,Pacific Peoples,631,613,597,471,268
158100,Ormiston South,Counties Manukau,Maori,179,160,154,109,47
158100,Ormiston South,Counties Manukau,Pacific Peoples,631,627,620,488,310
158200,Mission Heights South,Counties Manukau,Maori,92,85,84,63,36
158200,Mission Heights South,Counties Manukau,Pacific Peoples,310,309,299,213,116
158300,Hilltop (Auckland),Counties Manukau,Maori,249,222,213,128,60
158300,Hilltop (Auckland),Counties Manukau,Pacific Peoples,750,703,690,542,310
158400,Wiri East,Counties Manukau,Maori,839,709,663,369,146
158400,Wiri East,Counties Manukau,Pacific Peoples,1712,1520,1459,1037,445
158500,Goodwood Heights,Counties Manukau,Maori,387,341,327,220,113
158500,Goodwood Heights,Counties Manukau,Pacific Peoples,933,893,882,687,391
158600,Ormiston East,Counties Manukau,Maori,97,85,82,64,29
158600,Ormiston East,Counties Manukau,Pacific Peoples,325,330,324,262,151
158700,Clendon Park North,Counties Manukau,Maori,783,696,661,375,150
158700,Clendon Park North,Counties Manukau,Pacific Peoples,1366,1256,1220,864,367
158800,Burbank,Counties Manukau,Maori,942,835,783,452,192
158800,Burbank,Counties Manukau,Pacific Peoples,1657,1556,1504,1054,381
158900,Tuscany Heights,Counties Manukau,Maori,67,67,67,42,26
158900,Tuscany Heights,Counties Manukau,Pacific Peoples,101,91,91,74,52
159000,Totara Heights,Counties Manukau,Maori,298,262,255,172,98
159000,Totara Heights,Counties Manukau,Pacific Peoples,583,560,550,441,238
159100,Homai East,Counties Manukau,Maori,478,409,385,237,118
159100,Homai East,Counties Manukau,Pacific Peoples,994,906,881,670,299
159200,Homai West,Counties Manukau,Maori,1067,927,862,499,195
159200,Homai West,Counties Manukau,Pacific Peoples,1764,1621,1576,1122,460
159300,The Gardens (Auckland),Counties Manukau,Maori,260,250,245,171,91
159300,The Gardens (Auckland),Counties Manukau,Pacific Peoples,438,404,400,307,202
159400,Clarks Beach,Counties Manukau,Maori,144,144,138,105,60
159400,Clarks Beach,Counties Manukau,Pacific Peoples,52,53,52,45,22
159500,Clendon Park West,Counties Manukau,Maori,613,549,519,293,119
159500,Clendon Park West,Counties Manukau,Pacific Peoples,1313,1252,1220,864,368
159600,Hillpark North,Counties Manukau,Maori,252,230,225,164,90
159600,Hillpark North,Counties Manukau,Pacific Peoples,435,423,407,302,145
159700,Clendon Park East,Counties Manukau,Maori,372,336,315,155,57
159700,Clendon Park East,Counties Manukau,Pacific Peoples,1028,990,966,675,270
159800,Karaka Creek,Counties Manukau,Maori,64,68,64,50,29
159800,Karaka Creek,Counties Manukau,Pacific Peoples,25,26,26,19,6
159900,Rowandale West,Counties Manukau,Maori,800,712,673,368,152
159900,Rowandale West,Counties Manukau,Pacific Peoples,1482,1388,1344,931,421
160000,Rowandale East,Counties Manukau,Maori,836,756,711,421,194
160000,Rowandale East,Counties Manukau,Pacific Peoples,1398,1325,1293,912,396
160100,Manurewa Central,Counties Manukau,Maori,522,474,449,290,153
160100,Manurewa Central,Counties Manukau,Pacific Peoples,940,886,861,637,304
160200,Weymouth North,Counties Manukau,Maori,1027,948,902,508,231
160200,Weymouth North,Counties Manukau,Pacific Peoples,1692,1608,1568,1134,518
160300,Hillpark South,Counties Manukau,Maori,382,354,342,251,142
160300,Hillpark South,Counties Manukau,Pacific Peoples,537,492,484,355,187
160400,Alfriston,Counties Manukau,Maori,326,268,260,175,99
160400,Alfriston,Counties Manukau,Pacific Peoples,565,523,515,392,203
160500,Weymouth East,Counties Manukau,Maori,699,611,586,326,144
160500,Weymouth East,Counties Manukau,Pacific Peoples,1367,1273,1245,875,362
160600,Leabank,Counties Manukau,Maori,934,829,773,477,239
160600,Leabank,Counties Manukau,Pacific Peoples,1429,1327,1288,894,370
160700,Weymouth South,Counties Manukau,Maori,788,694,656,422,201
160700,Weymouth South,Counties Manukau,Pacific Peoples,1109,1007,989,682,292
160800,Manurewa East,Counties Manukau,Maori,618,535,500,321,134
160800,Manurewa East,Counties Manukau,Pacific Peoples,890,863,841,577,239
160900,Manurewa South,Counties Manukau,Maori,843,759,726,467,217
160900,Manurewa South,Counties Manukau,Pacific Peoples,1199,1117,1087,772,335
161000,Randwick Park East,Counties Manukau,Maori,322,293,281,172,73
161000,Randwick Park East,Counties Manukau,Pacific Peoples,535,504,499,366,182
161100,Wattle Downs West,Counties Manukau,Maori,422,400,385,255,141
161100,Wattle Downs West,Counties Manukau,Pacific Peoples,397,388,382,284,157
161200,Wattle Downs North,Counties Manukau,Maori,674,582,546,309,152
161200,Wattle Downs North,Counties Manukau,Pacific Peoples,825,764,737,495,215
161300,Randwick Park West,Counties Manukau,Maori,845,739,690,386,143
161300,Randwick Park West,Counties Manukau,Pacific Peoples,1215,1111,1092,772,313
161400,Kingseat-Karaka,Counties Manukau,Maori,300,272,260,188,96
161400,Kingseat-Karaka,Counties Manukau,Pacific Peoples,72,77,76,55,27
161500,Wattle Downs East,Counties Manukau,Maori,328,314,308,214,118
161500,Wattle Downs East,Counties Manukau,Pacific Peoples,290,281,276,223,130
161600,Takanini North,Counties Manukau,Maori,460,409,384,219,95
161600,Takanini North,Counties Manukau,Pacific Peoples,370,335,322,217,80
