sa2_code,sa2,dhbresidence,ethnicity_priority,population,partially_vaccinated,fully_vaccinated,eligible_for_booster,boosted
104300,Opua (Far North District),Northland,Pacific Peoples,16,16,13,9,5
104400,Russell Forest-Rawhiti,Northland,Maori,389,332,315,233,126
104400,Russell Forest-Rawhiti,Northland,Pacific Peoples,11,8,7,5,4
104500,Moerewa,Northland,Maori,1180,992,935,614,289
104500,Moerewa,Northland,Pacific Peoples,37,29,26,16,7
104600,Kawakawa,Northland,Maori,809,700,655,411,208
104600,Kawakawa,Northland,Pacific Peoples,32,30,30,21,11
104700,Maromaku,Northland,Maori,244,191,187,112,53
104700,Maromaku,Northland,Pacific Peoples,9,5,5,3,2
104800,Mangakahia-Hukerenui,Northland,Maori,597,532,502,304,173
104800,Mangakahia-Hukerenui,Northland,Pacific Peoples,19,15,14,11,6
104900,Whangaruru,Northland,Maori,657,570,543,356,189
104900,Whangaruru,Northland,Pacific Peoples,32,29,29,19,13
105100,Matarau,Northland,Maori,357,316,307,187,104
105100,Matarau,Northland,Pacific Peoples,26,26,25,17,13
105200,Hikurangi,Northland,Maori,474,421,392,242,101
105200,Hikurangi,Northland,Pacific Peoples,23,23,20,11,9
105300,Kauri,Northland,Maori,235,205,202,136,85
105300,Kauri,Northland,Pacific Peoples,17,16,16,12,9
105400,Maungatapere,Northland,Maori,423,389,370,239,143
105400,Maungatapere,Northland,Pacific Peoples,21,19,19,14,10
105500,Kamo West,Northland,Maori,394,361,352,218,128
105500,Kamo West,Northland,Pacific Peoples,28,26,24,16,8
105600,Matapouri-Tutukaka,Northland,Maori,222,202,192,135,76
105600,Matapouri-Tutukaka,Northland,Pacific Peoples,19,18,18,12,2
105700,Kiripaka,Northland,Maori,188,159,153,104,51
105700,Kiripaka,Northland,Pacific Peoples,13,10,9,8,4
105800,Kamo East,Northland,Maori,913,811,773,450,188
105800,Kamo East,Northland,Pacific Peoples,100,87,84,60,24
105900,Granfield Reserve,Northland,Maori,452,420,399,252,150
105900,Granfield Reserve,Northland,Pacific Peoples,39,36,34,25,19
106000,Kamo Central,Northland,Maori,410,377,359,201,132
106000,Kamo Central,Northland,Pacific Peoples,30,32,31,23,11
106100,Whau Valley,Northland,Maori,601,541,514,329,169
106100,Whau Valley,Northland,Pacific Peoples,38,38,37,26,13
106200,Tikipunga North,Northland,Maori,959,858,808,484,239
106200,Tikipunga North,Northland,Pacific Peoples,80,71,67,42,19
106300,Pukenui,Northland,Maori,174,157,152,104,66
106300,Pukenui,Northland,Pacific Peoples,11,11,11,9,4
106400,Otangarei,Northland,Maori,1268,1052,950,505,216
106400,Otangarei,Northland,Pacific Peoples,54,42,41,32,17
106500,Tikipunga South,Northland,Maori,1172,1076,1021,612,326
106500,Tikipunga South,Northland,Pacific Peoples,83,82,78,45,22
106600,Kensington (Whangarei District),Northland,Maori,712,621,597,391,202
106600,Kensington (Whangarei District),Northland,Pacific Peoples,58,62,61,46,22
106700,Abbey Caves-Glenbervie,Northland,Maori,140,125,118,77,40
106700,Abbey Caves-Glenbervie,Northland,Pacific Peoples,17,16,16,13,9
106800,Mairtown,Northland,Maori,531,478,461,312,191
106800,Mairtown,Northland,Pacific Peoples,57,43,43,31,17
106900,Maunu-Horahora,Northland,Maori,531,476,464,303,171
106900,Maunu-Horahora,Northland,Pacific Peoples,40,32,30,25,15
107000,Woodhill-Vinetown,Northland,Maori,714,598,566,373,208
107000,Woodhill-Vinetown,Northland,Pacific Peoples,87,84,80,54,33
107100,Whangarei Central,Northland,Maori,256,226,218,144,78
107100,Whangarei Central,Northland,Pacific Peoples,26,28,28,23,10
107200,Riverside,Northland,Maori,424,359,344,224,118
107200,Riverside,Northland,Pacific Peoples,44,41,41,25,13
107300,Raumanga,Northland,Maori,1442,1230,1116,584,274
107300,Raumanga,Northland,Pacific Peoples,91,87,81,53,24
