DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,Asian,12-17,Female,4322,4135,"1,449",375,<5,<5,4775
Auckland,Asian,12-17,Male,4599,4357,"1,498",357,<5,<5,5074
Auckland,Asian,12-17,Unknown/Other,6,5,<5,<5,<5,<5,19
Auckland,Asian,18-24,Female,7243,7203,"7,200","5,065",<5,54,7976
Auckland,Asian,18-24,Male,7352,7294,"7,289","4,430",<5,56,8199
Auckland,Asian,18-24,Unknown/Other,81,80,80,41,<5,<5,92
Auckland,Asian,25-29,Female,7394,7363,"7,361","5,465",<5,83,8777
Auckland,Asian,25-29,Male,8396,8311,"8,307","5,334",<5,80,9728
Auckland,Asian,25-29,Unknown/Other,89,88,88,63,<5,<5,115
Auckland,Asian,30-34,Female,8892,8838,"8,835","6,627",<5,325,10318
Auckland,Asian,30-34,Male,9242,9142,"9,140","6,323",<5,201,10155
Auckland,Asian,30-34,Unknown/Other,87,85,85,46,<5,<5,97
Auckland,Asian,35-39,Female,7919,7879,"7,876","6,093",<5,379,8779
Auckland,Asian,35-39,Male,7959,7881,"7,879","5,848",<5,217,8684
Auckland,Asian,35-39,Unknown/Other,64,64,64,45,<5,<5,61
Auckland,Asian,40-44,Female,6428,6381,"6,379","4,986",<5,324,6554
Auckland,Asian,40-44,Male,6439,6367,"6,367","4,834",<5,207,6478
Auckland,Asian,40-44,Unknown/Other,42,40,40,27,<5,<5,40
Auckland,Asian,45-49,Female,4778,4746,"4,745","3,754",<5,288,5174
Auckland,Asian,45-49,Male,4513,4451,"4,451","3,569",<5,189,4738
Auckland,Asian,45-49,Unknown/Other,39,39,39,28,<5,<5,38
Auckland,Asian,5-11,Female,4470,3062,NA,NA,NA,NA,6673
Auckland,Asian,5-11,Male,4453,3033,NA,NA,NA,NA,6771
Auckland,Asian,50-54,Female,4601,4572,"4,568","3,734","3,648",751,4840
Auckland,Asian,50-54,Male,3765,3728,"3,725","3,044","2,945",511,3888
Auckland,Asian,50-54,Unknown/Other,29,27,27,20,19,<5,25
Auckland,Asian,55-59,Female,4059,4033,"4,033","3,341","3,270",902,4447
Auckland,Asian,55-59,Male,3375,3342,"3,341","2,754","2,702",633,3758
Auckland,Asian,55-59,Unknown/Other,12,11,11,5,<5,<5,12
Auckland,Asian,60-64,Female,3448,3428,"3,426","2,905","2,862",888,3715
Auckland,Asian,60-64,Male,2868,2854,"2,852","2,476","2,437",707,3029
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,<5,<5,5
Auckland,Asian,65-69,Female,3078,3072,"3,072","2,597","2,548","1,120",3320
Auckland,Asian,65-69,Male,2579,2558,"2,556","2,217","2,175",999,2750
Auckland,Asian,70-74,Female,2070,2061,"2,060","1,814","1,792",897,2156
Auckland,Asian,70-74,Male,1879,1873,"1,869","1,674","1,650",844,2008
Auckland,Asian,75-79,Female,1220,1217,"1,216","1,095","1,072",534,1347
Auckland,Asian,75-79,Male,1107,1098,"1,096",991,973,548,1155
Auckland,Asian,80-84,Female,940,931,930,837,822,404,995
Auckland,Asian,80-84,Male,745,741,741,670,661,364,825
Auckland,Asian,85-89,Female,508,498,498,431,424,254,530
Auckland,Asian,85-89,Male,491,490,490,444,441,247,529
Auckland,Asian,90+,Female,210,209,209,195,187,106,226
Auckland,Asian,90+,Male,157,154,154,138,132,77,150
Auckland,European or Other,12-17,Female,6752,6531,"2,341",656,<5,<5,7410
Auckland,European or Other,12-17,Male,6968,6658,"2,411",564,<5,5,7652
Auckland,European or Other,12-17,Unknown/Other,11,11,5,<5,<5,<5,9
Auckland,European or Other,18-24,Female,10291,10248,"10,245","7,292",<5,127,11022
Auckland,European or Other,18-24,Male,9707,9657,"9,656","5,901",<5,77,10323
Auckland,European or Other,18-24,Unknown/Other,59,58,58,41,<5,<5,47
Auckland,European or Other,25-29,Female,10342,10288,"10,287","7,854",<5,167,11762
Auckland,European or Other,25-29,Male,10257,10184,"10,182","6,744",<5,78,11469
Auckland,European or Other,25-29,Unknown/Other,54,54,54,39,<5,<5,52
Auckland,European or Other,30-34,Female,9731,9685,"9,680","7,326",<5,397,11203
Auckland,European or Other,30-34,Male,10446,10359,"10,357","6,968",<5,203,11776
Auckland,European or Other,30-34,Unknown/Other,37,37,37,27,<5,<5,37
Auckland,European or Other,35-39,Female,7774,7725,"7,720","6,071",<5,394,8720
Auckland,European or Other,35-39,Male,8586,8518,"8,514","6,175",<5,220,9460
Auckland,European or Other,35-39,Unknown/Other,12,11,11,7,<5,<5,12
Auckland,European or Other,40-44,Female,6990,6951,"6,951","5,724",<5,410,7873
Auckland,European or Other,40-44,Male,7481,7434,"7,431","5,766",<5,297,8274
Auckland,European or Other,40-44,Unknown/Other,12,12,12,10,<5,<5,11
Auckland,European or Other,45-49,Female,7638,7599,"7,597","6,477",<5,645,8456
Auckland,European or Other,45-49,Male,7709,7652,"7,647","6,204",<5,431,8782
Auckland,European or Other,5-11,Female,4688,3344,NA,NA,NA,NA,7241
Auckland,European or Other,5-11,Male,4962,3473,NA,NA,NA,NA,7768
Auckland,European or Other,50-54,Female,8277,8248,"8,244","7,273","7,214","2,472",8708
Auckland,European or Other,50-54,Male,8682,8629,"8,624","7,376","7,299","2,136",9308
Auckland,European or Other,50-54,Unknown/Other,9,9,9,8,8,<5,8
Auckland,European or Other,55-59,Female,7396,7364,"7,361","6,581","6,537","2,833",8045
Auckland,European or Other,55-59,Male,8092,8047,"8,042","7,011","6,937","2,784",8666
Auckland,European or Other,55-59,Unknown/Other,6,6,6,6,6,<5,7
Auckland,European or Other,60-64,Female,6908,6873,"6,871","6,283","6,231","3,155",7216
Auckland,European or Other,60-64,Male,7375,7341,"7,337","6,547","6,492","2,999",7737
Auckland,European or Other,65-69,Female,5860,5840,"5,837","5,418","5,376","3,572",6044
Auckland,European or Other,65-69,Male,5971,5954,"5,950","5,469","5,422","3,455",6257
Auckland,European or Other,70-74,Female,5076,5060,"5,059","4,729","4,702","3,497",5391
Auckland,European or Other,70-74,Male,5121,5111,"5,109","4,804","4,771","3,477",5329
Auckland,European or Other,75-79,Female,4275,4262,"4,259","4,059","4,031","3,133",4101
Auckland,European or Other,75-79,Male,3749,3740,"3,739","3,562","3,529","2,761",3639
Auckland,European or Other,80-84,Female,3055,3050,"3,050","2,928","2,907","2,339",3084
Auckland,European or Other,80-84,Male,2555,2553,"2,550","2,457","2,439","1,894",2499
Auckland,European or Other,85-89,Female,1835,1831,"1,831","1,774","1,759","1,390",1875
Auckland,European or Other,85-89,Male,1250,1247,"1,247","1,213","1,199",969,1246
Auckland,European or Other,90+,Female,1529,1524,"1,523","1,483","1,465","1,171",1657
Auckland,European or Other,90+,Male,760,759,757,741,734,593,806
Auckland,Maori,12-17,Female,1540,1408,525,55,<5,<5,1801
Auckland,Maori,12-17,Male,1564,1433,536,55,<5,<5,1862
Auckland,Maori,18-24,Female,2362,2313,"2,311","1,021",<5,19,2471
Auckland,Maori,18-24,Male,2196,2124,"2,123",773,<5,11,2330
Auckland,Maori,25-29,Female,1632,1594,"1,593",842,<5,14,1797
Auckland,Maori,25-29,Male,1683,1645,"1,644",722,<5,9,1843
Auckland,Maori,30-34,Female,1383,1345,"1,345",743,<5,28,1588
Auckland,Maori,30-34,Male,1337,1292,"1,292",605,<5,16,1493
Auckland,Maori,35-39,Female,1033,1006,"1,006",606,<5,40,1180
Auckland,Maori,35-39,Male,1010,982,982,505,<5,16,1121
Auckland,Maori,40-44,Female,901,879,878,570,<5,80,1034
Auckland,Maori,40-44,Male,930,901,901,535,<5,64,1068
