Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Marlborough District,5-11,"4,100","1,925","1,018",NA,NA,NA,NA,47%,25%,NA,NA
Masterton District,12+,"23,589","22,130","21,684","20,659","14,498","9,655","5,027",94%,92%,70%,52%
Masterton District,5-11,"2,356","1,007",425,NA,NA,NA,NA,43%,18%,NA,NA
Matamata-Piako District,12+,"30,444","28,383","27,836","26,518","17,108","11,486","5,175",93%,91%,65%,45%
Matamata-Piako District,5-11,"3,427","1,205",503,NA,NA,NA,NA,35%,15%,NA,NA
Napier City,12+,"56,989","52,616","51,641","49,037","34,772","22,082","11,326",92%,91%,71%,51%
Napier City,5-11,"5,980","2,542","1,221",NA,NA,NA,NA,43%,20%,NA,NA
Nelson City,12+,"47,440","43,884","43,183","41,135","30,572","18,989","10,503",93%,91%,74%,55%
Nelson City,5-11,"4,405","2,310","1,184",NA,NA,NA,NA,52%,27%,NA,NA
New Plymouth District,12+,"71,868","66,979","65,852","62,307","42,846","26,736","12,694",93%,92%,69%,47%
New Plymouth District,5-11,"8,328","3,472","1,961",NA,NA,NA,NA,42%,24%,NA,NA
Opotiki District,12+,"7,637","6,812","6,511","6,218","3,916","2,769","1,071",89%,85%,63%,39%
Opotiki District,5-11,987,213,72,NA,NA,NA,NA,22%,7%,NA,NA
Otorohanga District,12+,"8,310","7,398","7,232","6,818","4,000","2,631","1,116",89%,87%,59%,42%
Otorohanga District,5-11,"1,097",295,134,NA,NA,NA,NA,27%,12%,NA,NA
Palmerston North City,12+,"74,774","70,602","69,647","65,880","48,217","24,229","13,159",94%,93%,73%,54%
Palmerston North City,5-11,"8,389","4,301","2,516",NA,NA,NA,NA,51%,30%,NA,NA
Porirua City,12+,"50,123","47,176","46,388","43,501","31,560","15,930","9,262",94%,93%,73%,58%
Porirua City,5-11,"6,610","3,467","1,868",NA,NA,NA,NA,52%,28%,NA,NA
Queenstown-Lakes District,12+,"42,457","40,224","39,521","37,903","24,386","10,398","5,021",95%,93%,64%,48%
Queenstown-Lakes District,5-11,"3,481","1,856","1,047",NA,NA,NA,NA,53%,30%,NA,NA
Rangitikei District,12+,"13,122","11,939","11,714","11,165","7,822","5,120","2,412",91%,89%,70%,47%
Rangitikei District,5-11,"1,496",616,271,NA,NA,NA,NA,41%,18%,NA,NA
Rotorua District,12+,"61,354","55,733","54,398","51,291","33,804","19,812","9,596",91%,89%,66%,48%
Rotorua District,5-11,"7,635","2,861","1,350",NA,NA,NA,NA,37%,18%,NA,NA
Ruapehu District,12+,"10,400","8,865","8,580","8,168","5,189","3,460","1,482",85%,82%,64%,43%
Ruapehu District,5-11,"1,369",360,171,NA,NA,NA,NA,26%,12%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"55,691","41,667","21,294","10,191",>95%,>95%,75%,48%
Selwyn District,5-11,"7,241","4,597","2,873",NA,NA,NA,NA,63%,40%,NA,NA
South Taranaki District,12+,"21,826",Masked,"20,447","19,320","12,452","8,174","3,254",>95%,94%,64%,40%
South Taranaki District,5-11,"2,758",996,502,NA,NA,NA,NA,36%,18%,NA,NA
South Waikato District,12+,"20,420","18,198","17,715","16,762","10,150","6,714","2,873",89%,87%,61%,43%
South Waikato District,5-11,"2,641",812,359,NA,NA,NA,NA,31%,14%,NA,NA
South Wairarapa District,12+,"10,074",Masked,"9,425","8,984","6,761","4,539","2,539",>95%,94%,75%,56%
South Wairarapa District,5-11,975,490,252,NA,NA,NA,NA,50%,26%,NA,NA
Southland District,12+,"25,968","23,510","23,094","21,862","14,665","9,051","3,498",91%,89%,67%,39%
Southland District,5-11,"2,981","1,161",587,NA,NA,NA,NA,39%,20%,NA,NA
Stratford District,12+,"7,772","7,283","7,133","6,763","4,435","2,933","1,234",94%,92%,66%,42%
Stratford District,5-11,960,410,210,NA,NA,NA,NA,43%,22%,NA,NA
Tararua District,12+,"15,623","14,007","13,686","12,958","8,707","5,905","2,440",90%,88%,67%,41%
Tararua District,5-11,"1,887",654,313,NA,NA,NA,NA,35%,17%,NA,NA
Tasman District,12+,"49,220","45,287","44,471","42,451","30,287","20,614","10,403",92%,90%,71%,50%
Tasman District,5-11,"4,677","1,895","1,049",NA,NA,NA,NA,41%,22%,NA,NA
Taupo District,12+,"33,772","30,850","30,217","28,751","18,802","12,680","6,061",91%,89%,65%,48%
Taupo District,5-11,"3,743","1,265",608,NA,Masked,NA,NA,34%,16%,>95%,NA
Tauranga City,12+,"131,025","120,916","118,679","112,905","75,238","45,541","21,810",92%,91%,67%,48%
Tauranga City,5-11,"14,283","5,831","2,657",NA,NA,NA,NA,41%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,818","24,390","23,569","17,454","13,758","6,838",90%,89%,74%,50%
Thames-Coromandel District,5-11,"2,163",746,385,NA,NA,NA,NA,34%,18%,NA,NA
Timaru District,12+,"42,396","39,220","38,666","36,778","27,347","17,895","8,681",93%,91%,74%,49%
Timaru District,5-11,"4,148","2,006",964,NA,NA,NA,NA,48%,23%,NA,NA
Unknown,12+,"129,781","45,234","43,467","41,026","23,990","10,217","4,535",35%,33%,58%,44%
Unknown,5-11,"9,527","2,102","1,136",NA,NA,NA,NA,22%,12%,NA,NA
Upper Hutt City,12+,"38,409",Masked,Masked,"34,473","26,115","14,137","8,170",>95%,>95%,76%,58%
Upper Hutt City,5-11,"4,202","2,527","1,536",NA,NA,NA,NA,60%,37%,NA,NA
Waikato District,12+,"67,392","63,655","62,430","58,673","38,350","22,174","9,268",94%,93%,65%,42%
Waikato District,5-11,"8,729","3,812","1,859",NA,NA,NA,NA,44%,21%,NA,NA
Waimakariri District,12+,"55,522",Masked,"52,226","49,606","36,186","23,803","12,130",>95%,94%,73%,51%
Waimakariri District,5-11,"5,443","2,592","1,525",NA,NA,NA,NA,48%,28%,NA,NA
Waimate District,12+,"7,173","6,437","6,335","6,053","4,313","2,972","1,270",90%,88%,71%,43%
Waimate District,5-11,667,256,119,NA,NA,NA,NA,38%,18%,NA,NA
Waipa District,12+,"48,972","46,308","45,638","43,043","29,960","18,430","8,562",95%,93%,70%,46%
Waipa District,5-11,"5,522","2,580","1,397",NA,NA,NA,NA,47%,25%,NA,NA
Wairoa District,12+,"6,748","6,032","5,805","5,503","3,663","2,422","1,239",89%,86%,67%,51%
Wairoa District,5-11,876,241,81,NA,NA,NA,NA,28%,9%,NA,NA
Waitaki District,12+,"19,993","18,536","18,229","17,360","12,594","8,502","3,822",93%,91%,73%,45%
Waitaki District,5-11,"1,935",859,388,NA,NA,NA,NA,44%,20%,NA,NA
Waitomo District,12+,"8,061","7,251","7,033","6,658","4,028","2,631",915,90%,87%,60%,35%
Waitomo District,5-11,937,287,127,NA,NA,NA,NA,31%,14%,NA,NA
Wellington City,12+,"188,336",Masked,"178,764","170,373","139,927","55,527","37,401",>95%,95%,82%,67%
Wellington City,5-11,"15,438","10,769","8,007",NA,NA,NA,NA,70%,52%,NA,NA
