DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,European or Other,55-59,Unknown/Other,7,7,7,7,7,<5,7
Auckland,European or Other,60-64,Female,6857,6821,"6,794","6,220","6,068","2,385",7216
Auckland,European or Other,60-64,Male,7356,7324,"7,297","6,527","6,351","2,169",7737
Auckland,European or Other,65-69,Female,5844,5826,"5,806","5,388","5,272","2,993",6044
Auckland,European or Other,65-69,Male,5948,5929,"5,907","5,439","5,295","2,793",6257
Auckland,European or Other,70-74,Female,5081,5065,"5,035","4,726","4,622","3,002",5391
Auckland,European or Other,70-74,Male,5084,5072,"5,049","4,775","4,679","2,938",5329
Auckland,European or Other,75-79,Female,4179,4164,"4,135","3,960","3,889","2,697",4101
Auckland,European or Other,75-79,Male,3648,3641,"3,610","3,459","3,402","2,309",3639
Auckland,European or Other,80-84,Female,3041,3037,"3,014","2,910","2,859","2,019",3084
Auckland,European or Other,80-84,Male,2536,2534,"2,515","2,439","2,385","1,637",2499
Auckland,European or Other,85-89,Female,1821,1817,"1,807","1,760","1,724","1,195",1875
Auckland,European or Other,85-89,Male,1220,1217,"1,209","1,176","1,156",826,1246
Auckland,European or Other,90+,Female,1531,1526,"1,520","1,481","1,449","1,001",1657
Auckland,European or Other,90+,Male,758,757,753,740,727,511,806
Auckland,Maori,12-17,Female,1589,1468,511,58,<5,<5,1801
Auckland,Maori,12-17,Male,1591,1471,536,65,<5,<5,1862
Auckland,Maori,18-24,Female,2374,2329,"2,326","1,047",<5,12,2471
Auckland,Maori,18-24,Male,2162,2095,"2,093",753,<5,6,2330
Auckland,Maori,25-29,Female,1593,1556,"1,554",817,<5,8,1797
Auckland,Maori,25-29,Male,1660,1618,"1,614",725,<5,6,1843
Auckland,Maori,30-34,Female,1376,1339,"1,336",754,<5,13,1588
Auckland,Maori,30-34,Male,1309,1274,"1,270",578,<5,10,1493
Auckland,Maori,35-39,Female,1026,998,998,597,<5,24,1180
Auckland,Maori,35-39,Male,1011,983,983,506,<5,11,1121
Auckland,Maori,40-44,Female,886,867,863,565,<5,23,1034
Auckland,Maori,40-44,Male,941,915,914,543,<5,18,1068
Auckland,Maori,45-49,Female,999,990,990,721,<5,40,1104
Auckland,Maori,45-49,Male,948,925,925,640,<5,40,1091
Auckland,Maori,5-11,Female,850,466,NA,NA,NA,NA,1964
Auckland,Maori,5-11,Male,945,516,NA,NA,NA,NA,2185
Auckland,Maori,50-54,Female,1037,1029,"1,028",791,743,210,1129
Auckland,Maori,50-54,Male,960,937,934,675,626,153,986
Auckland,Maori,55-59,Female,891,884,883,728,694,220,1000
Auckland,Maori,55-59,Male,872,861,860,682,643,189,982
Auckland,Maori,60-64,Female,813,809,809,699,665,240,816
Auckland,Maori,60-64,Male,723,720,719,628,598,217,726
Auckland,Maori,65-69,Female,557,553,553,496,468,247,574
Auckland,Maori,65-69,Male,426,425,424,389,374,192,433
Auckland,Maori,70-74,Female,346,345,344,322,315,170,343
Auckland,Maori,70-74,Male,310,310,310,294,282,161,292
Auckland,Maori,75-79,Female,180,178,177,162,156,91,167
Auckland,Maori,75-79,Male,146,146,144,140,132,85,157
Auckland,Maori,80-84,Female,112,112,110,107,106,55,118
Auckland,Maori,80-84,Male,80,80,80,74,69,41,74
Auckland,Maori,85-89,Female,49,49,49,48,45,28,53
Auckland,Maori,85-89,Male,30,30,29,28,28,17,28
Auckland,Maori,90+,Female,29,29,29,26,25,15,31
Auckland,Pacific Peoples,12-17,Female,2622,2442,899,93,<5,<5,3033
Auckland,Pacific Peoples,12-17,Male,2630,2433,860,79,<5,<5,3119
Auckland,Pacific Peoples,12-17,Unknown/Other,5,5,<5,<5,<5,<5,5
Auckland,Pacific Peoples,18-24,Female,3523,3477,"3,476","1,521",<5,13,3879
Auckland,Pacific Peoples,18-24,Male,3369,3276,"3,274","1,109",<5,7,3775
Auckland,Pacific Peoples,18-24,Unknown/Other,16,16,16,6,<5,<5,16
Auckland,Pacific Peoples,25-29,Female,2491,2441,"2,432","1,194",<5,12,2806
Auckland,Pacific Peoples,25-29,Male,2442,2370,"2,366",903,<5,8,2799
Auckland,Pacific Peoples,25-29,Unknown/Other,9,9,9,<5,<5,<5,12
Auckland,Pacific Peoples,30-34,Female,2101,2061,"2,058","1,107",<5,29,2329
Auckland,Pacific Peoples,30-34,Male,2103,2044,"2,041",914,<5,14,2309
Auckland,Pacific Peoples,30-34,Unknown/Other,6,6,6,<5,<5,<5,5
Auckland,Pacific Peoples,35-39,Female,1637,1607,"1,607","1,008",<5,26,1848
Auckland,Pacific Peoples,35-39,Male,1659,1621,"1,618",842,<5,24,1843
Auckland,Pacific Peoples,40-44,Female,1648,1623,"1,619","1,105",<5,38,1813
Auckland,Pacific Peoples,40-44,Male,1600,1572,"1,570",950,<5,23,1796
Auckland,Pacific Peoples,45-49,Female,1597,1589,"1,587","1,132",<5,84,1763
Auckland,Pacific Peoples,45-49,Male,1545,1517,"1,514","1,055",<5,44,1745
Auckland,Pacific Peoples,5-11,Female,1428,636,NA,NA,NA,NA,3300
Auckland,Pacific Peoples,5-11,Male,1602,733,NA,NA,NA,NA,3538
Auckland,Pacific Peoples,50-54,Female,1617,1606,"1,601","1,241","1,153",255,1802
Auckland,Pacific Peoples,50-54,Male,1589,1567,"1,564","1,182","1,092",219,1740
Auckland,Pacific Peoples,55-59,Female,1609,1601,"1,596","1,262","1,190",259,1707
Auckland,Pacific Peoples,55-59,Male,1473,1460,"1,458","1,175","1,111",272,1535
Auckland,Pacific Peoples,60-64,Female,1244,1239,"1,236","1,052","1,008",303,1363
Auckland,Pacific Peoples,60-64,Male,1195,1191,"1,187",984,930,277,1272
Auckland,Pacific Peoples,65-69,Female,970,964,963,828,797,276,1014
Auckland,Pacific Peoples,65-69,Male,929,923,921,822,788,308,978
Auckland,Pacific Peoples,70-74,Female,738,737,736,629,601,246,734
Auckland,Pacific Peoples,70-74,Male,600,598,597,547,516,233,607
Auckland,Pacific Peoples,75-79,Female,459,459,458,386,374,134,514
Auckland,Pacific Peoples,75-79,Male,321,317,317,282,266,124,355
Auckland,Pacific Peoples,80-84,Female,313,308,307,252,235,86,357
Auckland,Pacific Peoples,80-84,Male,194,193,193,170,162,67,195
Auckland,Pacific Peoples,85-89,Female,160,156,156,131,125,44,183
Auckland,Pacific Peoples,85-89,Male,76,76,76,64,61,28,88
Auckland,Pacific Peoples,90+,Female,76,74,74,66,62,24,98
Auckland,Pacific Peoples,90+,Male,31,31,31,26,23,13,29
Auckland,Unknown,12-17,Female,145,134,48,14,<5,<5,64
Auckland,Unknown,12-17,Male,175,158,50,7,<5,<5,67
Auckland,Unknown,12-17,Unknown/Other,12,12,6,<5,<5,<5,12
Auckland,Unknown,18-24,Female,295,290,290,156,<5,<5,102
Auckland,Unknown,18-24,Male,328,317,317,142,<5,<5,116
Auckland,Unknown,18-24,Unknown/Other,41,40,40,21,<5,<5,45
Auckland,Unknown,25-29,Female,488,480,480,280,<5,<5,176
Auckland,Unknown,25-29,Male,531,515,515,271,<5,<5,195
Auckland,Unknown,25-29,Unknown/Other,70,69,69,45,<5,<5,76
Auckland,Unknown,30-34,Female,483,466,466,272,<5,14,153
Auckland,Unknown,30-34,Male,697,668,667,335,<5,9,217
Auckland,Unknown,30-34,Unknown/Other,95,91,91,57,<5,<5,97
Auckland,Unknown,35-39,Female,358,345,345,198,<5,5,125
Auckland,Unknown,35-39,Male,616,587,586,343,<5,9,234
Auckland,Unknown,35-39,Unknown/Other,59,57,57,39,<5,<5,53
Auckland,Unknown,40-44,Female,253,249,249,129,<5,<5,111
Auckland,Unknown,40-44,Male,437,419,418,245,<5,<5,181
Auckland,Unknown,40-44,Unknown/Other,38,36,36,25,<5,<5,29
