Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Ashburton District,12+,"27,413",Masked,Masked,"25,713","18,416",>95%,>95%,72%
Ashburton District,5-11,"3,204","1,918",870,NA,NA,60%,27%,NA
Auckland,12+,"1,383,359",Masked,Masked,"1,268,003","896,419",>95%,>95%,71%
Auckland,5-11,"163,730","99,028","53,761",NA,Masked,60%,33%,>95%
Buller District,12+,"8,270","7,767","7,660","7,300","5,233",94%,93%,72%
Buller District,5-11,719,354,178,NA,NA,49%,25%,NA
Carterton District,12+,"8,257",Masked,Masked,"7,548","5,603",>95%,>95%,74%
Carterton District,5-11,834,471,218,NA,NA,56%,26%,NA
Central Hawke's Bay District,12+,"11,832",Masked,Masked,"11,021","7,862",>95%,>95%,71%
Central Hawke's Bay District,5-11,"1,482",717,295,NA,NA,48%,20%,NA
Central Otago District,12+,"19,599",Masked,Masked,"18,848","14,173",>95%,>95%,75%
Central Otago District,5-11,"1,828","1,117",543,NA,NA,61%,30%,NA
Chatham Islands Territory,12+,180,Masked,Masked,282,213,>95%,>95%,76%
Chatham Islands Territory,5-11,10,9,Masked,NA,NA,90%,50%,NA
Christchurch City,12+,"322,319",Masked,Masked,"306,318","228,115",>95%,>95%,74%
Christchurch City,5-11,"31,517","19,654","10,698",NA,NA,62%,34%,NA
Clutha District,12+,"14,979","14,201","14,040","13,273","9,052",95%,94%,68%
Clutha District,5-11,"1,658",772,314,NA,NA,47%,19%,NA
Dunedin City,12+,"110,451",Masked,Masked,"106,010","83,389",>95%,>95%,79%
Dunedin City,5-11,"9,730","6,472","3,746",NA,NA,67%,38%,NA
Far North District,12+,"56,393","50,723","49,317","46,371","30,121",90%,87%,65%
Far North District,5-11,"7,086","2,138",756,NA,NA,30%,11%,NA
Gisborne District,12+,"40,629","38,508","37,627","35,108","22,906",95%,93%,65%
Gisborne District,5-11,"5,498","2,766","1,383",NA,NA,50%,25%,NA
Gore District,12+,"10,754","9,985","9,867","9,327","6,493",93%,92%,70%
Gore District,5-11,"1,139",386,195,NA,NA,34%,17%,NA
Grey District,12+,"11,405","10,799","10,618","10,039","7,022",95%,93%,70%
Grey District,5-11,"1,238",573,298,NA,NA,46%,24%,NA
Hamilton City,12+,"137,508",Masked,Masked,"127,280","84,360",>95%,>95%,66%
Hamilton City,5-11,"17,176","9,340","4,202",NA,NA,54%,24%,NA
Hastings District,12+,"69,329",Masked,Masked,"64,763","44,101",>95%,>95%,68%
Hastings District,5-11,"8,928","4,141","1,721",NA,NA,46%,19%,NA
Hauraki District,12+,"17,315","15,868","15,575","14,772","9,909",92%,90%,67%
Hauraki District,5-11,"1,785",676,273,NA,NA,38%,15%,NA
