SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
103200,Ohaeawai-Waimate North,Northland,5-11,115,30,Masked,NA,NA,26%,<5%,NA
103300,Puketona-Waitangi,Northland,12+,"1,262","1,108","1,095",994,721,88%,87%,73%
103300,Puketona-Waitangi,Northland,5-11,118,41,6,NA,NA,35%,5%,NA
103400,Ngapuhi,Northland,12+,"1,248","1,047",998,815,485,84%,80%,60%
103400,Ngapuhi,Northland,5-11,186,29,6,NA,NA,16%,<5%,NA
103500,Kaikohe,Northland,12+,"3,575","2,979","2,839","2,265","1,371",83%,79%,61%
103500,Kaikohe,Northland,5-11,666,174,20,NA,NA,26%,<5%,NA
103600,Pakaraka,Northland,12+,544,480,468,411,267,88%,86%,65%
103600,Pakaraka,Northland,5-11,76,29,Masked,NA,NA,38%,7%,NA
103700,Haruru,Northland,12+,"1,018",864,852,783,544,85%,84%,69%
103700,Haruru,Northland,5-11,122,45,Masked,NA,NA,37%,<5%,NA
103800,Russell,Northland,12+,761,698,693,659,534,92%,91%,81%
103900,Paihia,Northland,12+,"1,518","1,353","1,327","1,208",844,89%,87%,70%
103900,Paihia,Northland,5-11,130,42,9,NA,NA,32%,7%,NA
104000,Mataraua Forest,Northland,12+,444,359,340,286,161,81%,77%,56%
104000,Mataraua Forest,Northland,5-11,68,17,Masked,NA,NA,25%,<5%,NA
104100,Matawaia-Taumarere,Northland,12+,"1,262","1,028",995,803,503,81%,79%,63%
104100,Matawaia-Taumarere,Northland,5-11,201,62,Masked,NA,NA,31%,<5%,NA
104200,Russell Peninsula,Northland,12+,628,537,533,502,407,86%,85%,81%
104300,Opua (Far North District),Northland,12+,"1,197","1,094","1,074","1,004",768,91%,90%,76%
104300,Opua (Far North District),Northland,5-11,71,20,Masked,NA,NA,28%,7%,NA
104400,Russell Forest-Rawhiti,Northland,12+,622,542,525,469,330,87%,84%,70%
104400,Russell Forest-Rawhiti,Northland,5-11,73,13,0,NA,NA,18%,<5%,NA
104500,Moerewa,Northland,12+,"1,350","1,156","1,101",866,508,86%,82%,59%
104500,Moerewa,Northland,5-11,274,38,6,NA,NA,14%,<5%,NA
104600,Kawakawa,Northland,12+,"1,200","1,073","1,025",835,536,89%,85%,64%
104600,Kawakawa,Northland,5-11,201,46,7,NA,NA,23%,<5%,NA
104700,Maromaku,Northland,12+,583,463,452,377,229,79%,78%,61%
104700,Maromaku,Northland,5-11,102,29,6,NA,NA,28%,6%,NA
104800,Mangakahia-Hukerenui,Northland,12+,"1,566","1,355","1,312","1,083",651,87%,84%,60%
104800,Mangakahia-Hukerenui,Northland,5-11,233,68,10,NA,NA,29%,<5%,NA
104900,Whangaruru,Northland,12+,"2,183","1,907","1,863","1,619","1,058",87%,85%,65%
104900,Whangaruru,Northland,5-11,240,88,7,NA,NA,37%,<5%,NA
105100,Matarau,Northland,12+,"2,764","2,495","2,459","2,125","1,541",90%,89%,73%
105100,Matarau,Northland,5-11,391,166,39,NA,NA,42%,10%,NA
105200,Hikurangi,Northland,12+,"1,220","1,080","1,043",862,506,89%,85%,59%
105200,Hikurangi,Northland,5-11,226,69,13,NA,NA,31%,6%,NA
105300,Kauri,Northland,12+,"1,546","1,376","1,356","1,179",895,89%,88%,76%
105300,Kauri,Northland,5-11,197,70,14,NA,NA,36%,7%,NA
105400,Maungatapere,Northland,12+,"3,051","2,701","2,672","2,348","1,723",89%,88%,73%
105400,Maungatapere,Northland,5-11,360,159,45,NA,NA,44%,12%,NA
105500,Kamo West,Northland,12+,"1,943","1,750","1,727","1,505","1,132",90%,89%,75%
105500,Kamo West,Northland,5-11,204,99,18,NA,NA,49%,9%,NA
105600,Matapouri-Tutukaka,Northland,12+,"1,613","1,456","1,441","1,305",977,90%,89%,75%
105600,Matapouri-Tutukaka,Northland,5-11,129,62,24,NA,NA,48%,19%,NA
105700,Kiripaka,Northland,12+,878,782,770,665,472,89%,88%,71%
105700,Kiripaka,Northland,5-11,125,56,18,NA,NA,45%,14%,NA
105800,Kamo East,Northland,12+,"2,495","2,299","2,234","1,891","1,215",92%,90%,64%
105800,Kamo East,Northland,5-11,434,163,18,NA,NA,38%,<5%,NA
105900,Granfield Reserve,Northland,12+,"2,856","2,669","2,629","2,338","1,879",93%,92%,80%
105900,Granfield Reserve,Northland,5-11,285,147,38,NA,NA,52%,13%,NA
106000,Kamo Central,Northland,12+,"1,401","1,310","1,289","1,107",774,94%,92%,70%
106000,Kamo Central,Northland,5-11,217,110,10,NA,NA,51%,<5%,NA
