Date,First dose administered,Second dose administered
2021-02-19,29,0
2021-02-20,65,0
2021-02-21,68,1
2021-02-22,448,0
2021-02-23,358,0
2021-02-24,815,0
2021-02-25,1100,0
2021-02-26,1609,0
2021-02-27,1342,0
2021-02-28,882,0
2021-03-01,1408,0
2021-03-02,1491,0
2021-03-03,1984,0
2021-03-04,1633,0
2021-03-05,1278,0
2021-03-06,602,1
2021-03-07,512,0
2021-03-08,1072,0
2021-03-09,1425,0
2021-03-10,1315,0
2021-03-11,1334,0
2021-03-12,1043,3
2021-03-13,750,5
2021-03-14,576,13
2021-03-15,1614,267
2021-03-16,1929,233
2021-03-17,1642,366
2021-03-18,1595,472
2021-03-19,1693,772
2021-03-20,558,715
2021-03-21,942,644
2021-03-22,1035,1214
2021-03-23,1587,1106
2021-03-24,1971,1586
2021-03-25,1823,1532
2021-03-26,3370,1291
2021-03-27,1155,872
2021-03-28,685,489
2021-03-29,3808,1123
2021-03-30,4169,1499
2021-03-31,5446,1335
2021-04-01,5201,1247
2021-04-02,1724,295
2021-04-03,1413,335
2021-04-04,758,196
2021-04-05,923,291
2021-04-06,3521,1437
2021-04-07,5115,2145
2021-04-08,6464,1765
2021-04-09,5419,1930
2021-04-10,3267,691
2021-04-11,2478,1081
2021-04-12,6045,1722
2021-04-13,6809,1624
2021-04-14,6623,1521
2021-04-15,6891,1843
2021-04-16,6861,2618
2021-04-17,3904,1136
2021-04-18,1478,587
2021-04-19,5094,2037
2021-04-20,6096,2986
2021-04-21,6757,3426
2021-04-22,6526,3871
2021-04-23,8135,3546
2021-04-24,3275,1382
2021-04-25,1474,907
2021-04-26,1390,862
2021-04-27,6803,3207
2021-04-28,7306,3661
2021-04-29,7524,4956
2021-04-30,8374,5018
2021-05-01,3490,1990
2021-05-02,1622,1918
2021-05-03,6250,4485
2021-05-04,8335,5298
2021-05-05,9203,5555
2021-05-06,9200,5827
2021-05-07,10133,6729
2021-05-08,4381,2848
2021-05-09,1726,1614
2021-05-10,6875,5115
2021-05-11,9221,5895
2021-05-12,9525,5757
2021-05-13,9780,5995
2021-05-14,8958,7103
2021-05-15,3416,2812
2021-05-16,2403,1805
2021-05-17,7300,3749
2021-05-18,9276,5506
2021-05-19,9053,6391
2021-05-20,8731,6735
2021-05-21,8268,7287
2021-05-22,4398,3565
2021-05-23,2266,1539
2021-05-24,7231,5743
2021-05-25,9834,7456
2021-05-26,10952,7760
2021-05-27,9864,7005
2021-05-28,10829,9828
2021-05-29,5939,4289
2021-05-30,3323,1878
2021-05-31,8907,5562
2021-06-01,12018,7895
2021-06-02,12552,8404
2021-06-03,14155,8976
2021-06-04,12096,8338
2021-06-05,6203,3346
2021-06-06,3533,1679
2021-06-07,3935,1370
2021-06-08,13094,8747
2021-06-09,7112,4305
2021-06-10,13909,9459
2021-06-11,11966,9582
2021-06-12,7449,4484
2021-06-13,4408,2896
2021-06-14,10357,7545
2021-06-15,13080,9143
2021-06-16,14401,10010
2021-06-17,12979,10291
2021-06-18,11345,9449
2021-06-19,7383,4894
2021-06-20,3966,3344
2021-06-21,9067,8413
2021-06-22,11455,11273
2021-06-23,13122,11868
2021-06-24,11444,12979
2021-06-25,10026,11698
2021-06-26,8338,6272
2021-06-27,3591,3438
2021-06-28,9925,6452
2021-06-29,10938,10013
2021-06-30,12946,9930
2021-07-01,13132,9787
2021-07-02,9778,10286
2021-07-03,7383,5319
2021-07-04,3488,2918
2021-07-05,7783,7957
2021-07-06,9595,11321
2021-07-07,11287,11850
2021-07-08,12712,11875
2021-07-09,11077,10503
2021-07-10,9306,6470
2021-07-11,4394,3239
2021-07-12,9584,8146
2021-07-13,12066,10470
2021-07-14,13421,11441
2021-07-15,12864,10894
2021-07-16,11928,9901
2021-07-17,9446,7069
2021-07-18,5636,3069
2021-07-19,13151,9179
2021-07-20,18765,11911
2021-07-21,20811,13166
2021-07-22,19837,12506
2021-07-23,19767,11281
2021-07-24,17097,7705
2021-07-25,9049,4920
2021-07-26,20557,9964
2021-07-27,27597,11359
2021-07-28,29434,12145
2021-07-29,28221,11971
2021-07-30,31466,10612
2021-07-31,29523,9013
2021-08-01,17973,4659
2021-08-02,25686,9410
2021-08-03,30283,12514
2021-08-04,32555,12902
2021-08-05,29200,12979
2021-08-06,30377,11693
2021-08-07,27881,8872
2021-08-08,15874,4621
2021-08-09,26903,11633
2021-08-10,31114,15933
2021-08-11,32038,16847
2021-08-12,32498,16519
2021-08-13,31348,15632
2021-08-14,30405,13283
2021-08-15,18279,7372
2021-08-16,30352,16036
2021-08-17,35819,20369
2021-08-18,403,97
2021-08-19,21542,8730
2021-08-20,38720,20142
2021-08-21,38329,15767
2021-08-22,28454,9044
2021-08-23,46735,19487
2021-08-24,59328,23516
2021-08-25,63241,26381
2021-08-26,67632,25436
2021-08-27,67214,24552
2021-08-28,56704,22322
2021-08-29,37021,11446
2021-08-30,54736,23708
2021-08-31,59254,27429
2021-09-01,63462,27612
2021-09-02,65081,25242
2021-09-03,61546,25817
2021-09-04,55909,22516
2021-09-05,26947,11985
2021-09-06,45160,21748
2021-09-07,49862,23374
2021-09-08,48718,18498
2021-09-09,46331,15555
2021-09-10,43977,21046
2021-09-11,38883,23220
2021-09-12,20598,13386
2021-09-13,34336,20785
2021-09-14,39437,22718
