DHB,,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Auckland Metro,Plan,"41,641","15,049","16,900","19,300","21,750","26,836","30,222","33,817","42,031","45,945","49,975","51,375","52,475","50,675","50,675","55,850","63,005","68,882","74,382","79,882","82,882","85,716","1,059,265"
Auckland Metro,Actual,"41,752","15,067","16,433","17,268","19,490","26,821","26,160","27,792","34,228","39,479","38,804","49,777","54,809","49,403","51,570","61,296","69,578","91,410","82,701","96,073","80,021","159,681","1,149,613"
Auckland Metro,Variance,111,18,-467,"-2,032","-2,260",-15,"-4,062","-6,025","-7,803","-6,466","-11,171","-1,598","2,334","-1,272",895,"5,446","6,573","22,528","8,319","16,191","-2,861","73,965","90,348"
Bay of Plenty,Plan,"1,545",462,804,"1,214","2,088","2,346","3,018","2,778","4,530","5,400","6,594","6,264","6,204","6,204","6,204","6,204","9,540","12,472","13,860","15,250","15,250","15,250","143,481"
Bay of Plenty,Actual,"1,544",838,"1,288","2,057","2,535","4,714","4,594","5,275","7,418","7,499","6,215","7,514","7,747","6,083","6,177","5,950","8,021","9,611","9,988","13,337","11,275","20,087","149,767"
Bay of Plenty,Variance,-1,376,484,843,447,"2,368","1,576","2,497","2,888","2,099",-379,"1,250","1,543",-121,-27,-254,"-1,519","-2,861","-3,872","-1,913","-3,975","4,837","6,286"
Canterbury,Plan,"5,414","1,465","3,364","3,759","3,999","6,399","6,939","7,927","9,346","9,898","10,618","10,618","10,618","10,618","10,617","10,618","17,773","24,495","31,018","33,123","37,653","37,653","303,932"
Canterbury,Actual,"5,431","1,488","6,072","7,133","5,932","7,085","8,915","8,708","8,721","6,703","6,824","9,423","10,416","9,688","10,801","10,957","19,941","24,140","28,540","32,680","32,522","61,160","323,280"
Canterbury,Variance,17,23,"2,708","3,374","1,933",686,"1,976",781,-625,"-3,195","-3,794","-1,195",-202,-930,184,339,"2,168",-355,"-2,478",-443,"-5,131","23,507","19,348"
Capital & Coast and Hutt Valley,Plan,"6,988","4,298","4,728","4,318","4,298","3,978","4,008","7,126","4,599","4,560","7,299","4,869","4,056","7,299","7,297","7,297","24,729","24,729","28,491","28,491","28,491","28,491","250,440"
