dhb_of_service_grp,type,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Auckland Metro,plan,41641,15049,16900,19300,21750,26836,30222,33817,42031,45945,49975,51375,52475,50675,50675,55850,63005,68882,74382,79882,82882,85716,1059265
Auckland Metro,actual,41763,15068,16436,17264,19492,26829,26166,27797,34243,39495,38816,49787,54821,49427,51576,61315,69597,91451,82746,96138,80105,159868,1150200
Auckland Metro,variance,122,19,-464,-2036,-2258,-7,-4056,-6020,-7788,-6450,-11159,-1588,2346,-1248,901,5465,6592,22569,8364,16256,-2777,74152,90935
Bay of Plenty,plan,1545,462,804,1214,2088,2346,3018,2778,4530,5400,6594,6264,6204,6204,6204,6204,9540,12472,13860,15250,15250,15250,143481
Bay of Plenty,actual,1547,839,1291,2057,2536,4718,4597,5280,7448,7502,6216,7521,7752,6085,6191,5965,8031,9614,10000,13362,11310,20190,150052
Bay of Plenty,variance,2,377,487,843,448,2372,1579,2502,2918,2102,-378,1257,1548,-119,-13,-239,-1509,-2858,-3860,-1888,-3940,4940,6571
Canterbury,plan,5414,1465,3364,3759,3999,6399,6939,7927,9346,9898,10618,10618,10618,10618,10617,10618,17773,24495,31018,33123,37653,37653,303932
Canterbury,actual,5433,1488,6075,7135,5933,7090,8922,8714,8724,6703,6827,9424,10418,9702,10806,10959,19945,24141,28550,32692,32559,61290,323530
Canterbury,variance,19,23,2711,3376,1934,691,1983,787,-622,-3195,-3791,-1194,-200,-916,189,341,2172,-354,-2468,-431,-5094,23637,19598
Capital & Coast and Hutt Valley,plan,6988,4298,4728,4318,4298,3978,4008,7126,4599,4560,7299,4869,4056,7299,7297,7297,24729,24729,28491,28491,28491,28491,250440
Capital & Coast and Hutt Valley,actual,7008,4440,4791,5086,5821,8602,7853,4750,6528,6981,5167,6008,5269,5306,6868,6336,14404,23839,28722,33841,32950,67755,298325
Capital & Coast and Hutt Valley,variance,20,142,63,768,1523,4624,3845,-2376,1929,2421,-2132,1139,1213,-1993,-429,-961,-10325,-890,231,5350,4459,39264,47885
Hawke's Bay,plan,1217,553,989,700,3668,3268,4682,3128,3128,3128,3128,4128,4008,3688,3690,3690,6896,13500,13500,13500,13500,12000,119689
Hawke's Bay,actual,1223,595,1255,1464,2143,3047,2786,2881,5372,7049,4750,4772,4232,3925,2974,3698,6209,11380,9152,10245,12022,20928,122102
Hawke's Bay,variance,6,42,266,764,-1525,-221,-1896,-247,2244,3921,1622,644,224,237,-716,8,-687,-2120,-4348,-3255,-1478,8928,2413
