Date,First dose administered,Second dose administered
2021-10-25,3540,7195
2021-10-26,11012,31371
2021-10-27,11051,28441
2021-10-28,13026,32371
2021-10-29,11239,32020
2021-10-30,10845,32014
2021-10-31,4902,15324
2021-11-01,7293,20348
2021-11-02,7657,21447
2021-11-03,6806,20517
2021-11-04,6725,19575
2021-11-05,6531,21567
2021-11-06,7462,26545
2021-11-07,3283,11017
2021-11-08,5207,16207
2021-11-09,5874,16304
