Territorial Authority,Population,First Dose,Second Dose,% First Dose,% Second Dose
Ashburton District,"27,424","25,166","21,141",92%,77%
Auckland,"1,383,804","1,270,858","1,159,027",92%,84%
Buller District,"8,272","6,829","5,756",83%,70%
Carterton District,"8,259","7,312","6,394",89%,77%
Central Hawke's Bay District,"11,838","10,328","8,868",87%,75%
Central Otago District,"19,636","18,020","16,309",92%,83%
Chatham Islands Territory,180,213,200,118%,111%
Christchurch City,"322,364","300,901","257,885",93%,80%
Clutha District,"14,979","12,926","10,907",86%,73%
Dunedin City,"110,495","104,273","94,876",94%,86%
Far North District,"56,422","44,141","36,871",78%,65%
Gisborne District,"40,638","32,924","27,677",81%,68%
Gore District,"10,754","9,180","7,924",85%,74%
Grey District,"11,412","9,629","8,299",84%,73%
Hamilton City,"137,530","125,907","111,056",92%,81%
Hastings District,"69,386","60,296","52,215",87%,75%
Hauraki District,"17,324","14,086","12,060",81%,70%
Horowhenua District,"28,824","24,268","20,927",84%,73%
Hurunui District,"10,818","9,446","8,170",87%,76%
Invercargill City,"45,988","39,920","34,620",87%,75%
Kaikoura District,"3,473","2,910","2,555",84%,74%
Kaipara District,"20,198","16,115","13,452",80%,67%
Kapiti Coast District,"47,238","41,948","37,937",89%,80%
Kawerau District,"6,115","4,404","3,505",72%,57%
Lower Hutt City,"90,423","80,461","71,674",89%,79%
Mackenzie District,"4,141","3,599","3,059",87%,74%
Manawatu District,"25,555","22,613","19,687",88%,77%
Marlborough District,"41,136","37,611","33,698",91%,82%
Masterton District,"22,673","19,440","16,743",86%,74%
Matamata-Piako District,"29,220","25,343","21,853",87%,75%
Napier City,"54,392","47,182","41,221",87%,76%
Nelson City,"44,843","39,647","35,405",88%,79%
New Plymouth District,"68,211","59,038","49,961",87%,73%
Opotiki District,"7,289","5,457","4,510",75%,62%
Otorohanga District,"7,960","6,606","5,459",83%,69%
Palmerston North City,"70,542","63,553","55,656",90%,79%
Porirua City,"47,711","41,942","36,868",88%,77%
Queenstown-Lakes District,"35,862","35,541","31,612",99%,88%
Rangitikei District,"12,700","10,671","9,281",84%,73%
Rotorua District,"58,120","48,115","40,897",83%,70%
Ruapehu District,"9,938","7,636","6,265",77%,63%
Selwyn District,"53,318","52,967","45,960",99%,86%
South Taranaki District,"20,389","17,035","14,026",84%,69%
South Waikato District,"19,634","15,805","12,736",80%,65%
South Wairarapa District,"9,607","8,672","7,719",90%,80%
Southland District,"25,076","21,125","17,727",84%,71%
Stratford District,"7,523","6,210","5,204",83%,69%
Tararua District,"15,008","12,359","10,428",82%,69%
Tasman District,"45,613","39,270","34,851",86%,76%
Taupo District,"32,192","26,751","23,029",83%,72%
Tauranga City,"121,638","106,789","92,042",88%,76%
Thames-Coromandel District,"26,266","22,429","20,016",85%,76%
Timaru District,"41,101","36,410","32,601",89%,79%
Unknown,"127,349","104,108","90,175",82%,71%
Upper Hutt City,"36,898","33,548","29,611",91%,80%
Waikato District,"63,219","55,789","48,508",88%,77%
Waimakariri District,"52,773","47,254","40,061",90%,76%
Waimate District,"6,937","5,970","5,148",86%,74%
Waipa District,"46,643","42,411","37,462",91%,80%
Wairoa District,"6,304","4,990","4,294",79%,68%
Waitaki District,"19,323","16,772","14,724",87%,76%
Waitomo District,"7,762","6,441","5,261",83%,68%
Wellington City,"178,565","170,040","155,281",95%,87%
Western Bay of Plenty District,"45,702","39,297","33,891",86%,74%
Westland District,"7,100","6,113","5,192",86%,73%
Whakatane District,"30,432","23,025","19,515",76%,64%
Whanganui District,"39,902","32,715","28,663",82%,72%
Whangarei District,"78,696","66,096","57,254",84%,73%
Grand Total,"4,209,057","3,766,846","3,333,859",89%,79%
