Ethnic group,Age group,Gender,DHB of residence,Population
Asian,10 to 14,Unknown/Other,Bay of Plenty,5
Asian,15 to 19,Unknown/Other,Bay of Plenty,5
Asian,15 to 19,Unknown/Other,Waikato,5
Asian,25 to 29,Unknown/Other,Hutt Valley,5
Asian,40 to 44,Unknown/Other,Overseas/Unknown,5
Asian,50 to 54,Unknown/Other,Southern,5
Asian,55 to 59,Unknown/Other,Capital and Coast,5
Asian,60 to 64,Unknown/Other,Auckland,5
Asian,65 to 69,Male,West Coast,5
Asian,65 to 69,Unknown/Other,Counties Manukau,5
Asian,70 to 74,Male,West Coast,5
Asian,75 to 79,Male,West Coast,5
Asian,80 to 84,Male,South Canterbury,5
Asian,80 to 84,Male,Tairawhiti,5
Asian,85 to 89,Female,Lakes,5
Asian,85 to 89,Female,Nelson Marlborough,5
Asian,85 to 89,Male,Taranaki,5
Asian,90+,Female,Bay of Plenty,5
Asian,90+,Female,Lakes,5
Asian,90+,Male,Bay of Plenty,5
Asian,90+,Male,Hawke's Bay,5
Asian,90+,Male,Lakes,5
European or Other,0 to 4,Unknown/Other,Capital and Coast,5
European or Other,10 to 14,Unknown/Other,Hutt Valley,5
European or Other,10 to 14,Unknown/Other,Overseas/Unknown,5
European or Other,15 to 19,Unknown/Other,Bay of Plenty,5
European or Other,15 to 19,Unknown/Other,MidCentral,5
European or Other,20 to 24,Unknown/Other,Bay of Plenty,5
European or Other,25 to 29,Unknown/Other,Northland,5
European or Other,35 to 39,Unknown/Other,MidCentral,5
European or Other,40 to 44,Unknown/Other,Bay of Plenty,5
European or Other,40 to 44,Unknown/Other,Hawke's Bay,5
European or Other,45 to 49,Unknown/Other,Canterbury,5
European or Other,45 to 49,Unknown/Other,Hawke's Bay,5
European or Other,45 to 49,Unknown/Other,Waikato,5
European or Other,5 to 9,Unknown/Other,Capital and Coast,5
European or Other,5 to 9,Unknown/Other,Northland,5
European or Other,50 to 54,Unknown/Other,Waikato,5
Maori,15 to 19,Unknown/Other,Southern,5
Maori,20 to 24,Unknown/Other,Hutt Valley,5
Maori,80 to 84,Male,Overseas/Unknown,5
