SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,12+,"62,184",Masked,Masked,"56,503","37,108",>95%,>95%,66%
Unknown,Unknown,Unknown,5-11,"5,595","2,738",144,NA,NA,49%,<5%,NA
100100,North Cape,Northland,12+,"1,584","1,387","1,357","1,137",783,88%,86%,69%
100100,North Cape,Northland,5-11,200,48,Masked,NA,NA,24%,<5%,NA
100200,Rangaunu Harbour,Northland,12+,"1,930","1,632","1,571","1,294",794,85%,81%,61%
100200,Rangaunu Harbour,Northland,5-11,265,53,Masked,NA,NA,20%,<5%,NA
100400,Karikari Peninsula,Northland,12+,"1,337","1,145","1,122",948,682,86%,84%,72%
100400,Karikari Peninsula,Northland,5-11,133,32,0,NA,NA,24%,<5%,NA
100500,Tangonge,Northland,12+,976,859,840,686,451,88%,86%,66%
100500,Tangonge,Northland,5-11,118,29,Masked,NA,NA,25%,<5%,NA
100600,Ahipara,Northland,12+,"1,048",897,871,735,492,86%,83%,67%
100600,Ahipara,Northland,5-11,149,53,Masked,NA,NA,36%,<5%,NA
100700,Kaitaia East,Northland,12+,"2,013","1,767","1,682","1,311",754,88%,84%,58%
100700,Kaitaia East,Northland,5-11,330,88,6,NA,NA,27%,<5%,NA
100800,Kaitaia West,Northland,12+,"2,965","2,611","2,486","1,885","1,119",88%,84%,59%
100800,Kaitaia West,Northland,5-11,496,102,7,NA,NA,21%,<5%,NA
100900,Rangitihi,Northland,12+,807,677,662,535,324,84%,82%,61%
100900,Rangitihi,Northland,5-11,87,14,Masked,NA,NA,16%,<5%,NA
101000,Oruru-Parapara,Northland,12+,816,662,639,526,339,81%,78%,64%
101000,Oruru-Parapara,Northland,5-11,105,27,0,NA,NA,26%,<5%,NA
101100,Taumarumaru,Northland,12+,"2,246","2,019","1,969","1,754","1,304",90%,88%,74%
101100,Taumarumaru,Northland,5-11,215,64,Masked,NA,NA,30%,<5%,NA
101200,Herekino-Takahue,Northland,12+,864,689,664,533,332,80%,77%,62%
101200,Herekino-Takahue,Northland,5-11,108,22,0,NA,NA,20%,<5%,NA
101300,Peria,Northland,12+,"1,024",755,728,600,396,74%,71%,66%
101300,Peria,Northland,5-11,126,20,Masked,NA,NA,16%,<5%,NA
101400,Taemaro-Oruaiti,Northland,12+,851,701,681,580,402,82%,80%,69%
101400,Taemaro-Oruaiti,Northland,5-11,108,44,Masked,NA,NA,41%,<5%,NA
101500,Whakapaku,Northland,12+,661,521,500,424,288,79%,76%,68%
101500,Whakapaku,Northland,5-11,86,28,0,NA,NA,33%,<5%,NA
101600,Hokianga North,Northland,12+,770,651,627,516,359,85%,81%,70%
101600,Hokianga North,Northland,5-11,126,29,0,NA,NA,23%,<5%,NA
101700,Kohukohu-Broadwood,Northland,12+,684,577,564,473,354,84%,82%,75%
101700,Kohukohu-Broadwood,Northland,5-11,64,14,0,NA,NA,22%,<5%,NA
101800,Whakarara,Northland,12+,"1,093",943,917,795,570,86%,84%,72%
101800,Whakarara,Northland,5-11,116,48,0,NA,NA,41%,<5%,NA
101900,Kaeo,Northland,12+,"1,065",854,819,661,454,80%,77%,69%
101900,Kaeo,Northland,5-11,145,38,0,NA,NA,26%,<5%,NA
102000,Omahuta Forest-Horeke,Northland,12+,975,742,708,559,352,76%,73%,63%
102000,Omahuta Forest-Horeke,Northland,5-11,156,16,Masked,NA,NA,10%,<5%,NA
102100,Hokianga South,Northland,12+,"1,169",895,852,699,497,77%,73%,71%
102100,Hokianga South,Northland,5-11,130,30,Masked,NA,NA,23%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"1,972","1,803","1,769","1,524","1,049",91%,90%,69%
102200,Lake Manuwai-Kapiro,Northland,5-11,203,82,0,NA,NA,40%,<5%,NA
102300,Okaihau,Northland,12+,"1,019",882,862,720,459,87%,85%,64%
102300,Okaihau,Northland,5-11,119,34,0,NA,NA,29%,<5%,NA
102400,Rangitane-Purerua,Northland,12+,"1,268","1,129","1,089",941,657,89%,86%,70%
102400,Rangitane-Purerua,Northland,5-11,150,38,0,NA,NA,25%,<5%,NA
102500,Waipapa,Northland,12+,707,634,618,530,363,90%,87%,68%
102500,Waipapa,Northland,5-11,95,39,0,NA,NA,41%,<5%,NA
102600,Puketotara,Northland,12+,"1,606","1,436","1,403","1,211",843,89%,87%,70%
102600,Puketotara,Northland,5-11,166,65,0,NA,NA,39%,<5%,NA
102700,Waima Forest,Northland,12+,960,748,718,560,332,78%,75%,59%
102700,Waima Forest,Northland,5-11,134,17,0,NA,NA,13%,<5%,NA
102800,Riverview,Northland,12+,"1,949",Masked,"1,834","1,605","1,265",>95%,94%,79%
102800,Riverview,Northland,5-11,200,100,0,NA,NA,50%,<5%,NA
102900,Waipoua Forest,Northland,12+,"1,139",881,845,725,509,77%,74%,70%
102900,Waipoua Forest,Northland,5-11,111,14,0,NA,NA,13%,<5%,NA
103000,Kerikeri Central,Northland,12+,"2,348","2,208","2,167","1,884","1,351",94%,92%,72%
103000,Kerikeri Central,Northland,5-11,232,89,Masked,NA,NA,38%,<5%,NA
103100,Kerikeri South,Northland,12+,"2,488","2,309","2,278","2,028","1,561",93%,92%,77%
103100,Kerikeri South,Northland,5-11,216,99,Masked,NA,NA,46%,<5%,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,062",925,894,776,526,87%,84%,68%
103200,Ohaeawai-Waimate North,Northland,5-11,115,29,0,NA,NA,25%,<5%,NA
103300,Puketona-Waitangi,Northland,12+,"1,254","1,104","1,090",966,705,88%,87%,73%
103300,Puketona-Waitangi,Northland,5-11,118,35,0,NA,NA,30%,<5%,NA
103400,Ngapuhi,Northland,12+,"1,253","1,050","1,001",778,472,84%,80%,61%
103400,Ngapuhi,Northland,5-11,185,28,Masked,NA,NA,15%,<5%,NA
103500,Kaikohe,Northland,12+,"3,580","2,997","2,852","2,176","1,336",84%,80%,61%
103500,Kaikohe,Northland,5-11,661,166,Masked,NA,NA,25%,<5%,NA
103600,Pakaraka,Northland,12+,545,481,467,401,259,88%,86%,65%
103600,Pakaraka,Northland,5-11,77,29,0,NA,NA,38%,<5%,NA
103700,Haruru,Northland,12+,"1,018",873,859,768,535,86%,84%,70%
103700,Haruru,Northland,5-11,121,44,0,NA,NA,36%,<5%,NA
103800,Russell,Northland,12+,766,703,697,652,531,92%,91%,81%
103900,Paihia,Northland,12+,"1,511","1,354","1,326","1,177",827,90%,88%,70%
103900,Paihia,Northland,5-11,130,41,0,NA,NA,32%,<5%,NA
104000,Mataraua Forest,Northland,12+,447,361,342,280,155,81%,77%,55%
104000,Mataraua Forest,Northland,5-11,70,17,0,NA,NA,24%,<5%,NA
104100,Matawaia-Taumarere,Northland,12+,"1,264","1,033",995,763,496,82%,79%,65%
104100,Matawaia-Taumarere,Northland,5-11,201,60,Masked,NA,NA,30%,<5%,NA
104200,Russell Peninsula,Northland,12+,621,539,535,495,401,87%,86%,81%
104300,Opua (Far North District),Northland,12+,"1,194","1,095","1,073",991,754,92%,90%,76%
104300,Opua (Far North District),Northland,5-11,71,19,0,NA,NA,27%,<5%,NA
104400,Russell Forest-Rawhiti,Northland,12+,624,545,526,461,324,87%,84%,70%
104400,Russell Forest-Rawhiti,Northland,5-11,73,9,0,NA,NA,12%,<5%,NA
104500,Moerewa,Northland,12+,"1,345","1,154","1,092",832,499,86%,81%,60%
104500,Moerewa,Northland,5-11,274,38,0,NA,NA,14%,<5%,NA
104600,Kawakawa,Northland,12+,"1,201","1,075","1,024",811,526,90%,85%,65%
104600,Kawakawa,Northland,5-11,200,45,0,NA,NA,22%,<5%,NA
104700,Maromaku,Northland,12+,585,466,455,357,219,80%,78%,61%
104700,Maromaku,Northland,5-11,103,24,0,NA,NA,23%,<5%,NA
104800,Mangakahia-Hukerenui,Northland,12+,"1,570","1,362","1,315","1,055",639,87%,84%,61%
104800,Mangakahia-Hukerenui,Northland,5-11,231,69,Masked,NA,NA,30%,<5%,NA
104900,Whangaruru,Northland,12+,"2,170","1,899","1,854","1,564","1,016",88%,85%,65%
104900,Whangaruru,Northland,5-11,241,79,Masked,NA,NA,33%,<5%,NA
105100,Matarau,Northland,12+,"2,751","2,486","2,451","2,059","1,508",90%,89%,73%
105100,Matarau,Northland,5-11,391,163,7,NA,NA,42%,<5%,NA
