SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
102700,Waima Forest,Northland,5-11,139,22,6,NA,NA,NA,NA,16%,<5%,NA,NA
102800,Riverview,Northland,12+,"2,153","1,954","1,927","1,846","1,424","1,349",568,91%,90%,77%,42%
102800,Riverview,Northland,5-11,208,111,58,NA,NA,NA,NA,53%,28%,NA,NA
102900,Waipoua Forest,Northland,12+,"1,177",875,850,831,573,545,186,74%,72%,69%,34%
102900,Waipoua Forest,Northland,5-11,134,21,9,NA,NA,NA,NA,16%,7%,NA,NA
103000,Kerikeri Central,Northland,12+,"2,504","2,145","2,116","2,038","1,447","1,339",599,86%,85%,71%,45%
103000,Kerikeri Central,Northland,5-11,219,88,43,NA,NA,NA,NA,40%,20%,NA,NA
103100,Kerikeri South,Northland,12+,"2,704","2,376","2,354","2,273","1,733","1,635",660,88%,87%,76%,40%
103100,Kerikeri South,Northland,5-11,211,107,52,NA,NA,NA,NA,51%,25%,NA,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,128",931,903,864,568,525,164,83%,80%,66%,31%
103200,Ohaeawai-Waimate North,Northland,5-11,108,27,11,NA,NA,NA,NA,25%,10%,NA,NA
103300,Puketona-Waitangi,Northland,12+,"1,370","1,122","1,109","1,073",768,716,214,82%,81%,72%,30%
103300,Puketona-Waitangi,Northland,5-11,138,51,15,NA,NA,NA,NA,37%,11%,NA,NA
103400,Ngapuhi,Northland,12+,"1,360","1,067","1,020",968,531,484,135,78%,75%,55%,28%
103400,Ngapuhi,Northland,5-11,184,41,11,NA,NA,NA,NA,22%,6%,NA,NA
103500,Kaikohe,Northland,12+,"3,649","2,873","2,753","2,605","1,445","1,297",385,79%,75%,55%,30%
103500,Kaikohe,Northland,5-11,650,171,74,NA,NA,NA,NA,26%,11%,NA,NA
103600,Pakaraka,Northland,12+,580,474,463,442,272,263,82,82%,80%,62%,31%
103600,Pakaraka,Northland,5-11,82,27,13,NA,NA,NA,NA,33%,16%,NA,NA
103700,Haruru,Northland,12+,"1,053",854,841,821,595,559,184,81%,80%,72%,33%
103700,Haruru,Northland,5-11,95,42,10,NA,NA,NA,NA,44%,11%,NA,NA
103800,Russell,Northland,12+,797,698,694,682,558,534,246,88%,87%,82%,46%
103900,Paihia,Northland,12+,"1,570","1,320","1,287","1,257",874,827,330,84%,82%,70%,40%
103900,Paihia,Northland,5-11,118,38,22,NA,NA,NA,NA,32%,19%,NA,NA
104000,Mataraua Forest,Northland,12+,484,364,341,323,172,155,50,75%,70%,53%,32%
104000,Mataraua Forest,Northland,5-11,62,17,13,NA,NA,NA,NA,27%,21%,NA,NA
104100,Matawaia-Taumarere,Northland,12+,"1,320","1,005",974,921,517,488,117,76%,74%,56%,24%
104100,Matawaia-Taumarere,Northland,5-11,190,56,10,NA,NA,NA,NA,29%,5%,NA,NA
104200,Russell Peninsula,Northland,12+,670,554,550,538,439,413,183,83%,82%,82%,44%
104300,Opua (Far North District),Northland,12+,"1,265","1,057","1,038","1,014",777,737,276,84%,82%,77%,37%
104300,Opua (Far North District),Northland,5-11,76,20,10,NA,NA,NA,NA,26%,13%,NA,NA
104400,Russell Forest-Rawhiti,Northland,12+,662,549,532,518,343,327,120,83%,80%,66%,37%
104400,Russell Forest-Rawhiti,Northland,5-11,76,14,Masked,NA,NA,NA,NA,18%,<5%,NA,NA
104500,Moerewa,Northland,12+,"1,385","1,103","1,055",989,519,457,108,80%,76%,52%,24%
104500,Moerewa,Northland,5-11,226,39,11,NA,NA,NA,NA,17%,<5%,NA,NA
104600,Kawakawa,Northland,12+,"1,263","1,045","1,001",949,556,504,117,83%,79%,59%,23%
104600,Kawakawa,Northland,5-11,186,49,18,NA,NA,NA,NA,26%,10%,NA,NA
104700,Maromaku,Northland,12+,649,481,465,442,248,230,59,74%,72%,56%,26%
104700,Maromaku,Northland,5-11,118,30,9,NA,NA,NA,NA,25%,8%,NA,NA
104800,Mangakahia-Hukerenui,Northland,12+,"1,688","1,342","1,307","1,228",666,597,141,80%,77%,54%,24%
104800,Mangakahia-Hukerenui,Northland,5-11,228,66,23,NA,NA,NA,NA,29%,10%,NA,NA
104900,Whangaruru,Northland,12+,"2,341","1,891","1,851","1,780","1,118","1,048",298,81%,79%,63%,28%
104900,Whangaruru,Northland,5-11,266,91,21,NA,NA,NA,NA,34%,8%,NA,NA
105100,Matarau,Northland,12+,"2,960","2,514","2,479","2,327","1,632","1,469",452,85%,84%,70%,31%
105100,Matarau,Northland,5-11,360,192,95,NA,NA,NA,NA,53%,26%,NA,NA
105200,Hikurangi,Northland,12+,"1,267","1,036",998,936,536,468,104,82%,79%,57%,22%
105200,Hikurangi,Northland,5-11,212,71,35,NA,NA,NA,NA,33%,17%,NA,NA
105300,Kauri,Northland,12+,"1,640","1,359","1,343","1,274",928,850,263,83%,82%,73%,31%
105300,Kauri,Northland,5-11,191,77,37,NA,NA,NA,NA,40%,19%,NA,NA
105400,Maungatapere,Northland,12+,"3,201","2,683","2,655","2,535","1,786","1,626",464,84%,83%,70%,29%
105400,Maungatapere,Northland,5-11,363,163,96,NA,NA,NA,NA,45%,26%,NA,NA
105500,Kamo West,Northland,12+,"2,007","1,756","1,741","1,660","1,186","1,064",362,87%,87%,71%,34%
105500,Kamo West,Northland,5-11,202,117,52,NA,NA,NA,NA,58%,26%,NA,NA
105600,Matapouri-Tutukaka,Northland,12+,"1,701","1,444","1,418","1,364",996,931,349,85%,83%,73%,37%
105600,Matapouri-Tutukaka,Northland,5-11,128,67,41,NA,NA,NA,NA,52%,32%,NA,NA
105700,Kiripaka,Northland,12+,949,789,775,736,500,463,159,83%,82%,68%,34%
105700,Kiripaka,Northland,5-11,125,61,30,NA,NA,NA,NA,49%,24%,NA,NA
105800,Kamo East,Northland,12+,"2,577","2,231","2,174","2,065","1,289","1,095",272,87%,84%,62%,25%
105800,Kamo East,Northland,5-11,422,169,68,NA,NA,NA,NA,40%,16%,NA,NA
105900,Granfield Reserve,Northland,12+,"2,921","2,627","2,591","2,483","1,917","1,756",752,90%,89%,77%,43%
105900,Granfield Reserve,Northland,5-11,277,158,69,NA,NA,NA,NA,57%,25%,NA,NA
106000,Kamo Central,Northland,12+,"1,470","1,289","1,266","1,209",802,708,217,88%,86%,66%,31%
106000,Kamo Central,Northland,5-11,226,101,39,NA,NA,NA,NA,45%,17%,NA,NA
106100,Whau Valley,Northland,12+,"2,541","2,219","2,192","2,117","1,542","1,364",443,87%,86%,73%,32%
106100,Whau Valley,Northland,5-11,268,105,59,NA,NA,NA,NA,39%,22%,NA,NA
106200,Tikipunga North,Northland,12+,"3,154","2,758","2,708","2,596","1,844","1,657",653,87%,86%,71%,39%
106200,Tikipunga North,Northland,5-11,411,146,53,NA,NA,NA,NA,36%,13%,NA,NA
106300,Pukenui,Northland,12+,"2,148","1,921","1,910","1,810","1,387","1,268",398,89%,89%,77%,31%
106300,Pukenui,Northland,5-11,250,171,103,NA,NA,NA,NA,68%,41%,NA,NA
106400,Otangarei,Northland,12+,"1,791","1,403","1,313","1,230",643,572,141,78%,73%,52%,25%
106400,Otangarei,Northland,5-11,334,64,12,NA,NA,NA,NA,19%,<5%,NA,NA
106500,Tikipunga South,Northland,12+,"3,333","2,900","2,845","2,715","1,817","1,640",595,87%,85%,67%,36%
106500,Tikipunga South,Northland,5-11,399,155,53,NA,NA,NA,NA,39%,13%,NA,NA
106600,Kensington (Whangarei District),Northland,12+,"3,050","2,677","2,644","2,560","1,867","1,685",627,88%,87%,73%,37%
106600,Kensington (Whangarei District),Northland,5-11,241,86,36,NA,NA,NA,NA,36%,15%,NA,NA
106700,Abbey Caves-Glenbervie,Northland,12+,"1,254","1,108","1,096","1,056",739,672,217,88%,87%,70%,32%
106700,Abbey Caves-Glenbervie,Northland,5-11,124,53,28,NA,NA,NA,NA,43%,23%,NA,NA
106800,Mairtown,Northland,12+,"2,211","1,948","1,928","1,860","1,408","1,268",467,88%,87%,76%,37%
106800,Mairtown,Northland,5-11,194,101,47,NA,NA,NA,NA,52%,24%,NA,NA
106900,Maunu-Horahora,Northland,12+,"3,064","2,654","2,623","2,509","1,916","1,691",565,87%,86%,76%,33%
106900,Maunu-Horahora,Northland,5-11,338,157,85,NA,NA,NA,NA,46%,25%,NA,NA
107000,Woodhill-Vinetown,Northland,12+,"2,561","2,195","2,152","2,075","1,436","1,236",344,86%,84%,69%,28%
107000,Woodhill-Vinetown,Northland,5-11,226,88,36,NA,NA,NA,NA,39%,16%,NA,NA
107100,Whangarei Central,Northland,12+,"1,013",881,869,842,596,544,156,87%,86%,71%,29%
107100,Whangarei Central,Northland,5-11,60,23,6,NA,NA,NA,NA,38%,10%,NA,NA
107200,Riverside,Northland,12+,"1,963","1,690","1,671","1,612","1,154","1,029",301,86%,85%,72%,29%
107200,Riverside,Northland,5-11,159,81,36,NA,NA,NA,NA,51%,23%,NA,NA
107300,Raumanga,Northland,12+,"2,830","2,339","2,237","2,118","1,174",998,256,83%,79%,55%,26%
107300,Raumanga,Northland,5-11,444,132,40,NA,NA,NA,NA,30%,9%,NA,NA
107400,Tarewa,Northland,12+,"1,681","1,359","1,318","1,244",673,586,106,81%,78%,54%,18%
107400,Tarewa,Northland,5-11,297,90,38,NA,NA,NA,NA,30%,13%,NA,NA
107500,Morningside (Whangarei District),Northland,12+,"2,048","1,750","1,703","1,641","1,009",864,218,85%,83%,61%,25%
107500,Morningside (Whangarei District),Northland,5-11,218,85,38,NA,NA,NA,NA,39%,17%,NA,NA
107600,Ngunguru,Northland,12+,"1,073",926,915,868,652,603,231,86%,85%,75%,38%
107600,Ngunguru,Northland,5-11,128,58,28,NA,NA,NA,NA,45%,22%,NA,NA
107700,Otaika-Portland,Northland,12+,"1,245","1,016",990,944,631,564,153,82%,80%,67%,27%
107700,Otaika-Portland,Northland,5-11,127,60,23,NA,NA,NA,NA,47%,18%,NA,NA
107800,Oakleigh-Mangapai,Northland,12+,"2,063","1,740","1,716","1,637","1,126","1,055",272,84%,83%,69%,26%
107800,Oakleigh-Mangapai,Northland,5-11,220,93,51,NA,NA,NA,NA,42%,23%,NA,NA
107900,Port-Limeburners,Northland,12+,218,174,170,168,108,95,20,80%,78%,64%,21%
108000,Pataua,Northland,12+,"1,590","1,275","1,247","1,192",770,708,213,80%,78%,65%,30%
108000,Pataua,Northland,5-11,200,72,29,NA,NA,NA,NA,36%,14%,NA,NA
108100,Onerahi Park,Northland,12+,"1,440","1,279","1,263","1,215",914,843,297,89%,88%,75%,35%
108100,Onerahi Park,Northland,5-11,159,91,57,NA,NA,NA,NA,57%,36%,NA,NA
108200,Sherwood Rise,Northland,12+,"2,092","1,815","1,782","1,690","1,138","1,030",304,87%,85%,67%,30%
108200,Sherwood Rise,Northland,5-11,268,90,33,NA,NA,NA,NA,34%,12%,NA,NA
108300,Onerahi,Northland,12+,"2,153","1,784","1,747","1,669","1,145","1,034",392,83%,81%,69%,38%
108300,Onerahi,Northland,5-11,238,75,37,NA,NA,NA,NA,32%,16%,NA,NA
108500,Parua Bay,Northland,12+,"2,375","2,052","2,036","1,941","1,506","1,416",551,86%,86%,78%,39%
108500,Parua Bay,Northland,5-11,244,145,73,NA,NA,NA,NA,59%,30%,NA,NA
108600,Bream Bay,Northland,12+,"2,023","1,704","1,669","1,585","1,053",999,282,84%,83%,66%,28%
108600,Bream Bay,Northland,5-11,240,94,37,NA,NA,NA,NA,39%,15%,NA,NA
108700,Marsden Bay,Northland,12+,"2,636","2,297","2,279","2,193","1,698","1,629",691,87%,86%,77%,42%
108700,Marsden Bay,Northland,5-11,259,109,60,NA,NA,NA,NA,42%,23%,NA,NA
108800,Ruakaka,Northland,12+,"2,510","2,187","2,150","2,061","1,445","1,342",547,87%,86%,70%,41%
108800,Ruakaka,Northland,5-11,266,85,28,NA,NA,NA,NA,32%,11%,NA,NA
108900,Bream Head,Northland,12+,"1,295","1,134","1,121","1,092",834,801,335,88%,87%,76%,42%
108900,Bream Head,Northland,5-11,146,67,30,NA,NA,NA,NA,46%,21%,NA,NA
109000,Waipu,Northland,12+,"2,965","2,525","2,496","2,431","1,807","1,704",662,85%,84%,74%,39%
109000,Waipu,Northland,5-11,219,72,37,NA,NA,NA,NA,33%,17%,NA,NA
109100,Kaipara Coastal,Northland,12+,"3,379","2,569","2,499","2,414","1,478","1,379",335,76%,74%,61%,24%
109100,Kaipara Coastal,Northland,5-11,354,100,45,NA,NA,NA,NA,28%,13%,NA,NA
109200,Maungaru,Northland,12+,"1,622","1,315","1,293","1,250",754,687,146,81%,80%,60%,21%
109200,Maungaru,Northland,5-11,166,61,20,NA,NA,NA,NA,37%,12%,NA,NA
109300,Dargaville,Northland,12+,"4,360","3,602","3,500","3,383","2,163","2,004",598,83%,80%,64%,30%
109300,Dargaville,Northland,5-11,432,120,69,NA,NA,NA,NA,28%,16%,NA,NA
109400,Ruawai-Matakohe,Northland,12+,"2,206","1,797","1,756","1,696","1,105","1,046",292,81%,80%,65%,28%
109400,Ruawai-Matakohe,Northland,5-11,269,71,31,NA,NA,NA,NA,26%,12%,NA,NA
109500,Otamatea (Kaipara District),Northland,12+,"1,664","1,294","1,260","1,215",812,775,189,78%,76%,67%,24%
109500,Otamatea (Kaipara District),Northland,5-11,167,56,20,NA,NA,NA,NA,34%,12%,NA,NA
109600,Maungaturoto,Northland,12+,"1,104",936,908,870,577,524,124,85%,82%,66%,24%
109600,Maungaturoto,Northland,5-11,134,57,18,NA,NA,NA,NA,43%,13%,NA,NA
109700,Kaiwaka,Northland,12+,"2,188","1,659","1,620","1,556",970,907,231,76%,74%,62%,25%
109700,Kaiwaka,Northland,5-11,227,77,37,NA,NA,NA,NA,34%,16%,NA,NA
109800,Mangawhai Rural,Northland,12+,"2,435","1,902","1,871","1,825","1,238","1,187",417,78%,77%,68%,35%
109800,Mangawhai Rural,Northland,5-11,282,87,36,NA,NA,NA,NA,31%,13%,NA,NA
109900,Mangawhai Heads,Northland,12+,"2,249","1,915","1,887","1,840","1,342","1,268",516,85%,84%,73%,41%
109900,Mangawhai Heads,Northland,5-11,227,65,31,NA,NA,NA,NA,29%,14%,NA,NA
