DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,Asian,12-17,Female,4339,4114,"1,455",336,<5,<5,4816
Auckland,Asian,12-17,Male,4537,4269,"1,456",312,<5,<5,5058
Auckland,Asian,12-17,Unknown/Other,10,8,6,<5,<5,<5,16
Auckland,Asian,18-24,Female,7198,7157,"7,148","5,007",<5,60,7982
Auckland,Asian,18-24,Male,7257,7200,"7,192","4,351",<5,59,8115
Auckland,Asian,18-24,Unknown/Other,77,76,76,42,<5,<5,89
Auckland,Asian,25-29,Female,7274,7242,"7,235","5,423",<5,101,8396
Auckland,Asian,25-29,Male,8304,8217,"8,213","5,277",<5,93,9498
Auckland,Asian,25-29,Unknown/Other,90,89,89,63,<5,<5,92
Auckland,Asian,30-34,Female,8781,8726,"8,721","6,561","6,430",391,10257
Auckland,Asian,30-34,Male,9218,9120,"9,116","6,319","6,188",240,10171
Auckland,Asian,30-34,Unknown/Other,82,80,80,43,43,<5,82
Auckland,Asian,35-39,Female,7908,7869,"7,867","6,118","6,021",446,8769
Auckland,Asian,35-39,Male,7909,7825,"7,821","5,837","5,719",277,8756
Auckland,Asian,35-39,Unknown/Other,61,61,61,42,41,<5,61
Auckland,Asian,40-44,Female,6512,6465,"6,458","5,052","4,984",384,6813
Auckland,Asian,40-44,Male,6542,6467,"6,465","4,918","4,826",258,6729
Auckland,Asian,40-44,Unknown/Other,41,39,39,26,26,<5,42
Auckland,Asian,45-49,Female,4771,4739,"4,736","3,752","3,712",331,5208
Auckland,Asian,45-49,Male,4531,4469,"4,469","3,580","3,540",223,4901
Auckland,Asian,45-49,Unknown/Other,37,37,37,26,26,<5,41
Auckland,Asian,5-11,Female,4282,2942,NA,NA,NA,NA,6857
Auckland,Asian,5-11,Male,4326,2953,NA,NA,NA,NA,6921
Auckland,Asian,50-54,Female,4620,4590,"4,585","3,766","3,708",807,4902
Auckland,Asian,50-54,Male,3816,3775,"3,771","3,091","3,048",535,4028
Auckland,Asian,50-54,Unknown/Other,29,27,27,19,19,<5,26
