SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
102200,Lake Manuwai-Kapiro,Northland,Maori,5-11,69,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,Pacific Peoples,12+,61,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102300,Okaihau,Northland,Maori,12+,335,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102300,Okaihau,Northland,Maori,5-11,59,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102400,Rangitane-Purerua,Northland,Maori,12+,381,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102400,Rangitane-Purerua,Northland,Maori,5-11,63,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102500,Waipapa,Northland,Maori,12+,137,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102600,Puketotara,Northland,Maori,12+,245,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102600,Puketotara,Northland,Maori,5-11,51,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102700,Waima Forest,Northland,Maori,12+,794,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102700,Waima Forest,Northland,Maori,5-11,129,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102800,Riverview,Northland,Maori,12+,254,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102800,Riverview,Northland,Maori,5-11,52,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102900,Waipoua Forest,Northland,Maori,12+,655,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
102900,Waipoua Forest,Northland,Maori,5-11,95,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103000,Kerikeri Central,Northland,Maori,12+,490,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103000,Kerikeri Central,Northland,Maori,5-11,107,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103000,Kerikeri Central,Northland,Pacific Peoples,12+,96,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103100,Kerikeri South,Northland,Maori,12+,265,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103100,Kerikeri South,Northland,Maori,5-11,51,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103200,Ohaeawai-Waimate North,Northland,Maori,12+,430,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103200,Ohaeawai-Waimate North,Northland,Maori,5-11,72,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103300,Puketona-Waitangi,Northland,Maori,12+,281,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103300,Puketona-Waitangi,Northland,Maori,5-11,51,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103400,Ngapuhi,Northland,Maori,12+,"1,012",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103400,Ngapuhi,Northland,Maori,5-11,175,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103500,Kaikohe,Northland,Maori,12+,"2,792",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103500,Kaikohe,Northland,Maori,5-11,604,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103500,Kaikohe,Northland,Pacific Peoples,12+,112,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103600,Pakaraka,Northland,Maori,12+,155,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103700,Haruru,Northland,Maori,12+,224,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103700,Haruru,Northland,Maori,5-11,58,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103800,Russell,Northland,Maori,12+,134,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
103900,Paihia,Northland,Maori,12+,507,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
