DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,Asian,12-17,Female,4315,4117,"1,461",373,<5,<5,4775
Auckland,Asian,12-17,Male,4592,4346,"1,492",357,<5,<5,5074
Auckland,Asian,12-17,Unknown/Other,9,7,6,<5,<5,<5,19
Auckland,Asian,18-24,Female,7215,7173,"7,167","5,051",<5,57,7976
Auckland,Asian,18-24,Male,7323,7264,"7,258","4,421",<5,57,8199
Auckland,Asian,18-24,Unknown/Other,79,78,78,41,<5,<5,92
Auckland,Asian,25-29,Female,7386,7354,"7,352","5,478",<5,90,8777
Auckland,Asian,25-29,Male,8377,8290,"8,288","5,321",<5,86,9728
Auckland,Asian,25-29,Unknown/Other,90,89,89,63,<5,<5,115
Auckland,Asian,30-34,Female,8848,8792,"8,789","6,603",<5,336,10318
Auckland,Asian,30-34,Male,9233,9134,"9,132","6,328",<5,211,10155
Auckland,Asian,30-34,Unknown/Other,88,86,86,46,<5,<5,97
Auckland,Asian,35-39,Female,7940,7902,"7,899","6,122",<5,396,8779
Auckland,Asian,35-39,Male,7941,7861,"7,858","5,850",<5,225,8684
Auckland,Asian,35-39,Unknown/Other,60,60,60,43,<5,<5,61
Auckland,Asian,40-44,Female,6452,6404,"6,402","5,013",<5,333,6554
Auckland,Asian,40-44,Male,6473,6403,"6,403","4,859",<5,208,6478
Auckland,Asian,40-44,Unknown/Other,42,40,40,27,<5,<5,40
Auckland,Asian,45-49,Female,4759,4728,"4,726","3,737",<5,295,5174
Auckland,Asian,45-49,Male,4519,4454,"4,454","3,570",<5,195,4738
Auckland,Asian,45-49,Unknown/Other,38,38,38,27,<5,<5,38
Auckland,Asian,5-11,Female,4426,3043,NA,NA,NA,NA,6673
Auckland,Asian,5-11,Male,4426,3022,NA,NA,NA,NA,6771
Auckland,Asian,50-54,Female,4624,4595,"4,591","3,764","3,690",778,4840
Auckland,Asian,50-54,Male,3784,3747,"3,744","3,066","2,989",525,3888
Auckland,Asian,50-54,Unknown/Other,28,26,26,19,18,<5,25
Auckland,Asian,55-59,Female,4083,4057,"4,057","3,356","3,300",938,4447
Auckland,Asian,55-59,Male,3380,3346,"3,345","2,758","2,708",663,3758
Auckland,Asian,55-59,Unknown/Other,12,11,11,5,<5,<5,12
Auckland,Asian,60-64,Female,3464,3442,"3,440","2,922","2,889",939,3715
Auckland,Asian,60-64,Male,2886,2871,"2,870","2,491","2,457",732,3029
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,<5,<5,5
Auckland,Asian,65-69,Female,3094,3089,"3,087","2,613","2,574","1,163",3320
Auckland,Asian,65-69,Male,2583,2564,"2,560","2,220","2,181","1,016",2750
Auckland,Asian,70-74,Female,2086,2077,"2,077","1,826","1,812",924,2156
Auckland,Asian,70-74,Male,1903,1897,"1,895","1,699","1,678",875,2008
Auckland,Asian,75-79,Female,1229,1225,"1,225","1,101","1,082",544,1347
Auckland,Asian,75-79,Male,1111,1101,"1,100",995,979,559,1155
Auckland,Asian,80-84,Female,945,936,934,841,827,413,995
Auckland,Asian,80-84,Male,744,741,741,673,664,365,825
Auckland,Asian,85-89,Female,509,499,499,435,432,256,530
Auckland,Asian,85-89,Male,491,490,490,445,443,249,529
Auckland,Asian,90+,Female,209,208,208,195,189,107,226
Auckland,Asian,90+,Male,162,160,159,143,138,81,150
Auckland,European or Other,12-17,Female,6723,6491,"2,343",642,<5,<5,7410
Auckland,European or Other,12-17,Male,6982,6664,"2,420",566,<5,5,7652
Auckland,European or Other,12-17,Unknown/Other,11,11,6,<5,<5,<5,9
Auckland,European or Other,18-24,Female,10300,10257,"10,255","7,284",<5,132,11022
Auckland,European or Other,18-24,Male,9702,9652,"9,650","5,883",<5,77,10323
Auckland,European or Other,18-24,Unknown/Other,65,64,64,48,<5,<5,47
Auckland,European or Other,25-29,Female,10319,10269,"10,266","7,834",<5,173,11762
Auckland,European or Other,25-29,Male,10242,10169,"10,165","6,734",<5,81,11469
Auckland,European or Other,25-29,Unknown/Other,55,55,55,39,<5,<5,52
Auckland,European or Other,30-34,Female,9746,9698,"9,696","7,336",<5,411,11203
Auckland,European or Other,30-34,Male,10428,10343,"10,341","6,975",<5,209,11776
Auckland,European or Other,30-34,Unknown/Other,36,36,36,26,<5,<5,37
Auckland,European or Other,35-39,Female,7800,7750,"7,746","6,105",<5,401,8720
Auckland,European or Other,35-39,Male,8616,8546,"8,544","6,196",<5,231,9460
Auckland,European or Other,35-39,Unknown/Other,12,11,11,7,<5,<5,12
Auckland,European or Other,40-44,Female,6997,6958,"6,957","5,728",<5,425,7873
Auckland,European or Other,40-44,Male,7461,7413,"7,410","5,751",<5,306,8274
Auckland,European or Other,40-44,Unknown/Other,13,13,13,11,<5,<5,11
Auckland,European or Other,45-49,Female,7628,7588,"7,585","6,467",<5,653,8456
Auckland,European or Other,45-49,Male,7685,7627,"7,626","6,176",<5,440,8782
Auckland,European or Other,5-11,Female,4638,3316,NA,NA,NA,NA,7241
Auckland,European or Other,5-11,Male,4900,3425,NA,NA,NA,NA,7768
