DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster Received,Population
Auckland,Asian,12-17,Female,4492,4429,148,5,4302
Auckland,Asian,12-17,Male,4775,4689,163,<5,4464
Auckland,Asian,12-17,Unknown/Other,19,18,<5,<5,7
Auckland,Asian,18-24,Female,7594,7550,"7,440","4,972",6671
Auckland,Asian,18-24,Male,7864,7793,"7,622","4,418",6297
Auckland,Asian,18-24,Unknown/Other,92,89,89,40,16
Auckland,Asian,25-29,Female,7820,7783,"7,688","5,301",8392
Auckland,Asian,25-29,Male,8941,8851,"8,742","5,148",7740
Auckland,Asian,25-29,Unknown/Other,130,128,126,71,25
Auckland,Asian,30-34,Female,9084,9023,"8,888","6,193",9316
Auckland,Asian,30-34,Male,9143,9053,"8,917","5,870",8382
Auckland,Asian,30-34,Unknown/Other,95,93,90,46,19
Auckland,Asian,35-39,Female,7773,7716,"7,582","5,466",8154
Auckland,Asian,35-39,Male,7882,7813,"7,715","5,318",7336
Auckland,Asian,35-39,Unknown/Other,65,65,63,37,14
Auckland,Asian,40-44,Female,5937,5901,"5,814","4,371",5623
Auckland,Asian,40-44,Male,5935,5869,"5,807","4,189",5231
Auckland,Asian,40-44,Unknown/Other,40,38,38,24,15
Auckland,Asian,45-49,Female,4729,4702,"4,625","3,531",4861
Auckland,Asian,45-49,Male,4351,4305,"4,251","3,201",3985
Auckland,Asian,5-11,Female,4797,1573,NA,NA,6528
Auckland,Asian,5-11,Male,4808,1543,NA,NA,6688
Auckland,Asian,50-54,Female,4430,4405,"4,350","3,391",4411
Auckland,Asian,50-54,Male,3557,3530,"3,486","2,720",3467
Auckland,Asian,55-59,Female,4040,4017,"3,951","3,120",4228
Auckland,Asian,55-59,Male,3408,3378,"3,337","2,651",3468
Auckland,Asian,60-64,Female,3285,3266,"3,227","2,642",3608
Auckland,Asian,60-64,Male,2729,2718,"2,682","2,251",2922
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,5
Auckland,Asian,65-69,Female,2854,2844,"2,801","2,303",2935
Auckland,Asian,65-69,Male,2383,2368,"2,342","1,956",2584
Auckland,Asian,70-74,Female,1854,1844,"1,815","1,566",1918
Auckland,Asian,70-74,Male,1749,1743,"1,717","1,502",1743
Auckland,Asian,75-79,Female,1135,1130,"1,113",964,1240
Auckland,Asian,75-79,Male,981,971,959,847,1080
Auckland,Asian,80-84,Female,879,870,852,739,943
Auckland,Asian,80-84,Male,715,711,707,620,819
Auckland,Asian,85-89,Female,431,423,413,350,441
Auckland,Asian,85-89,Male,431,428,418,369,420
Auckland,Asian,90+,Female,193,192,184,170,179
Auckland,Asian,90+,Male,122,121,117,99,126
Auckland,European or Other,12-17,Female,7024,6964,194,8,7315
Auckland,European or Other,12-17,Male,7241,7149,209,13,7448
Auckland,European or Other,12-17,Unknown/Other,7,7,<5,<5,8
Auckland,European or Other,18-24,Female,10581,10531,"10,374","7,468",11536
Auckland,European or Other,18-24,Male,9920,9842,"9,648","6,004",10369
Auckland,European or Other,18-24,Unknown/Other,41,40,40,28,38
Auckland,European or Other,25-29,Female,10419,10350,"10,218","7,436",11855
Auckland,European or Other,25-29,Male,10439,10351,"10,146","6,392",10769
Auckland,European or Other,25-29,Unknown/Other,47,47,47,29,23
Auckland,European or Other,30-34,Female,9643,9586,"9,414","6,972",10714
Auckland,European or Other,30-34,Male,10433,10326,"10,124","6,680",10361
Auckland,European or Other,30-34,Unknown/Other,38,38,37,25,22
Auckland,European or Other,35-39,Female,7658,7600,"7,456","5,785",8521
Auckland,European or Other,35-39,Male,8321,8255,"8,094","5,786",8574
Auckland,European or Other,35-39,Unknown/Other,17,16,16,11,15
Auckland,European or Other,40-44,Female,7133,7085,"6,981","5,697",8032
Auckland,European or Other,40-44,Male,7486,7431,"7,324","5,623",8027
Auckland,European or Other,45-49,Female,7867,7826,"7,743","6,570",8961
Auckland,European or Other,45-49,Male,8014,7958,"7,822","6,317",8951
Auckland,European or Other,5-11,Female,5371,2179,NA,NA,7739
Auckland,European or Other,5-11,Male,5727,2316,NA,NA,8273
Auckland,European or Other,50-54,Female,8150,8114,"8,013","6,968",8362
Auckland,European or Other,50-54,Male,8567,8520,"8,422","7,100",8858
Auckland,European or Other,50-54,Unknown/Other,8,8,8,7,5
Auckland,European or Other,55-59,Female,7441,7404,"7,291","6,478",8093
Auckland,European or Other,55-59,Male,8096,8048,"7,951","6,828",8644
Auckland,European or Other,60-64,Female,6761,6730,"6,656","6,015",6988
Auckland,European or Other,60-64,Male,7261,7219,"7,143","6,321",7440
Auckland,European or Other,65-69,Female,5717,5693,"5,625","5,155",5985
Auckland,European or Other,65-69,Male,5905,5886,"5,832","5,273",6084
Auckland,European or Other,70-74,Female,5120,5102,"5,033","4,661",5399
Auckland,European or Other,70-74,Male,5010,4990,"4,949","4,613",5182
Auckland,European or Other,75-79,Female,3955,3941,"3,906","3,677",3829
Auckland,European or Other,75-79,Male,3479,3472,"3,445","3,245",3442
Auckland,European or Other,80-84,Female,2954,2942,"2,928","2,767",2825
Auckland,European or Other,80-84,Male,2392,2386,"2,375","2,246",2219
Auckland,European or Other,85-89,Female,1794,1785,"1,769","1,695",1874
Auckland,European or Other,85-89,Male,1179,1177,"1,166","1,113",1257
Auckland,European or Other,90+,Female,1530,1527,"1,509","1,445",1629
Auckland,European or Other,90+,Male,754,753,747,723,782
Auckland,Maori,12-17,Female,1661,1587,69,<5,1659
Auckland,Maori,12-17,Male,1651,1578,51,<5,1747
Auckland,Maori,18-24,Female,2322,2267,"2,093",959,2396
Auckland,Maori,18-24,Male,2149,2071,"1,893",694,2260
Auckland,Maori,25-29,Female,1513,1480,"1,363",721,1774
Auckland,Maori,25-29,Male,1612,1559,"1,415",637,1611
Auckland,Maori,30-34,Female,1308,1274,"1,179",652,1398
Auckland,Maori,30-34,Male,1266,1231,"1,145",516,1265
Auckland,Maori,35-39,Female,1011,979,927,552,1101
Auckland,Maori,35-39,Male,956,928,843,442,1003
Auckland,Maori,40-44,Female,898,879,815,531,1032
Auckland,Maori,40-44,Male,940,912,851,502,997
Auckland,Maori,45-49,Female,1005,994,955,683,1169
Auckland,Maori,45-49,Male,977,951,909,593,1053
Auckland,Maori,5-11,Female,935,277,NA,NA,2068
Auckland,Maori,5-11,Male,1031,269,NA,NA,2253
Auckland,Maori,50-54,Female,1020,1012,976,736,1055
