Vaccine,Dose number,Ethnic group,Number of doses administered
Pfizer BioNTech COVID-19,1,Pacific Peoples,266989
Pfizer BioNTech COVID-19,Third primary,Unknown,187
AstraZeneca,1,Unknown,33
Pfizer BioNTech COVID-19,1,Maori,492081
Pfizer BioNTech COVID-19,2,Unknown,36374
Pfizer BioNTech COVID-19,Boosters,Pacific Peoples,8252
AstraZeneca,2,European or other,223
AstraZeneca,Boosters,European or other,91
AstraZeneca,2,Pacific Peoples,60
Pfizer BioNTech COVID-19,Boosters,Asian,25651
Pfizer BioNTech COVID-19,2,Maori,432607
Pfizer BioNTech COVID-19,Boosters,Maori,15175
AstraZeneca,2,Maori,24
AstraZeneca,Boosters,Asian,17
Pfizer BioNTech COVID-19,1,European or other,2529661
Pfizer BioNTech COVID-19,Boosters,European or other,123127
AstraZeneca,1,European or other,1665
AstraZeneca,1,Maori,201
Pfizer BioNTech COVID-19,2,Pacific Peoples,248927
AstraZeneca,1,Pacific Peoples,52
AstraZeneca,2,Asian,15
AstraZeneca,Boosters,Unknown,10
Pfizer BioNTech COVID-19,2,European or other,2438474
Pfizer BioNTech COVID-19,Third primary,Asian,1639
Pfizer BioNTech COVID-19,Third primary,Maori,1689
AstraZeneca,1,Asian,156
AstraZeneca,Boosters,Maori,8
Pfizer BioNTech COVID-19,2,Asian,610124
Pfizer BioNTech COVID-19,1,Asian,624055
Pfizer BioNTech COVID-19,Third primary,European or other,18029
AstraZeneca,2,Unknown,31
Pfizer BioNTech COVID-19,1,Unknown,39978
Pfizer BioNTech COVID-19,Third primary,Pacific Peoples,753
Pfizer BioNTech COVID-19,Boosters,Unknown,2375
AstraZeneca,Third primary,European or other,16
