Territorial Authority,Population,Partially or Fully Vaccinated,Fully Vaccinated,% Partially or Fully Vaccinated,% Fully Vaccinated
Christchurch City,322365,Masked,303618,>95%,0.941845423665721
South Taranaki District,20389,Masked,18264,>95%,0.895777134729511
Napier City,54392,51057,47966,0.938685836152375,0.881857626121488
Marlborough District,41136,Masked,37914,>95%,0.921674445740957
Whanganui District,39902,36248,33703,0.908425642824921,0.844644378727883
Gisborne District,40638,37074,33913,0.912298833604016,0.834514493823515
Horowhenua District,28824,26937,24987,0.934533721898418,0.86688176519567
Ruapehu District,9938,8572,7727,0.862547796337291,0.777520627892936
Otorohanga District,7960,7103,6613,0.892336683417085,0.830778894472362
Tararua District,15008,13688,12668,0.912046908315565,0.84408315565032
Tauranga City,121638,Masked,109323,>95%,0.898756967395058
Whakatane District,30432,26328,23778,0.865141955835962,0.78134858044164
Lower Hutt City,90426,Masked,82043,>95%,0.907294362240948
Matamata-Piako District,29220,27195,25736,0.930698151950719,0.880766598220397
Kapiti Coast District,47238,44824,42861,0.948897074389263,0.907341547059571
Porirua City,47711,Masked,42805,>95%,0.897172559787051
Taupo District,32192,29743,27781,0.923925198807157,0.86297837972167
Thames-Coromandel District,26266,24056,22864,0.915860808649966,0.870478946166146
Tasman District,45613,42502,39930,0.931795759980707,0.875408326573565
Selwyn District,53318,Masked,Masked,>95%,>95%
Timaru District,41101,38471,36630,0.936011289263035,0.891219191747159
Waimakariri District,52773,Masked,48018,>95%,0.909897106474902
Stratford District,7523,6880,6420,0.914528778412867,0.85338295892596
Ashburton District,27424,Masked,25429,>95%,0.927253500583431
Clutha District,14979,13858,13099,0.925161893317311,0.87449095400227
South Waikato District,19634,17554,16036,0.89406132219619,0.816746460222064
Westland District,7100,6582,6187,0.927042253521127,0.871408450704225
Mackenzie District,4141,3813,3643,0.920792079207921,0.879739193431538
Carterton District,8259,Masked,7508,>95%,0.909068894539291
Unknown,127342,68350,63256,0.536743572427008,0.496741059509039
Kaikoura District,3473,3096,2949,0.891448315577311,0.849121796717535
Waikato District,63219,Masked,57062,>95%,0.902608393046394
Hurunui District,10818,10140,9664,0.93732667775929,0.893325938251063
Opotiki District,7289,6449,5703,0.884757854301002,0.782411853477843
Invercargill City,45988,43240,40674,0.940245281377751,0.884448116900061
Kawerau District,6115,5266,4605,0.861161079313164,0.75306623058054
Dunedin City,110495,Masked,104457,>95%,0.945354993438617
Whangarei District,78696,71703,67033,0.911139066788655,0.851796787638508
Far North District,56422,48650,44769,0.862252312927581,0.79346708730637
Grey District,11412,10495,9724,0.919645986680687,0.852085524009814
Nelson City,44843,Masked,40172,>95%,0.895836585420244
Upper Hutt City,36899,Masked,34274,>95%,0.928859860700832
Waitaki District,19323,17957,17024,0.929307043419759,0.88102261553589
Manawatu District,25555,Masked,23247,>95%,0.909684993152025
Waimate District,6937,6387,6055,0.920715006486954,0.872855701311806
South Wairarapa District,9607,Masked,8856,>95%,0.921827833871136
Auckland,1383804,Masked,1284069,>95%,0.92792693184873
Queenstown-Lakes District,35862,Masked,Masked,>95%,>95%
Palmerston North City,70542,Masked,64927,>95%,0.920402029996314
Rotorua District,58120,53939,49838,0.928062629043359,0.857501720578114
Masterton District,22673,21524,20119,0.949322983284082,0.887355003748952
Gore District,10754,9865,9285,0.917333085363586,0.863399665240841
Waitomo District,7762,6951,6393,0.895516619427982,0.823627930945633
Hauraki District,17324,15348,14348,0.885938582313553,0.828215192796121
Chatham Islands Territory,180,Masked,Masked,>95%,>95%
Hamilton City,137530,Masked,126888,>95%,0.922620519159456
Buller District,8272,7564,7033,0.914410058027079,0.850217601547389
Wellington City,178565,Masked,Masked,>95%,>95%
New Plymouth District,68211,64014,60268,0.93847033469675,0.883552506194016
Central Otago District,19636,Masked,18394,>95%,0.936748828682013
Western Bay of Plenty District,45702,42867,40167,0.937967703820402,0.878889326506499
Wairoa District,6304,5677,5152,0.900539340101523,0.817258883248731
Southland District,25076,22897,21404,0.913104163343436,0.8535651619078
Central Hawke's Bay District,11838,Masked,10598,>95%,0.895252576448724
Hastings District,69386,Masked,61716,>95%,0.889458968668031
Waipa District,46645,Masked,43030,>95%,0.922499732018437
Rangitikei District,12700,11552,10839,0.909606299212598,0.853464566929134
Kaipara District,20198,17563,16429,0.869541538766214,0.813397366075849
Grand Total,4209057,3966225,3780720,0.9423072673998,0.898234450139307
