SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
Unknown,Unknown,Unknown,Maori,"11,516","10,458","8,832",908,767
Unknown,Unknown,Unknown,Pacific Peoples,"2,862",Masked,Masked,>950,>950
100100,North Cape,Northland,Maori,842,752,699,893,830
100200,Rangaunu Harbour,Northland,Maori,"1,006",818,729,813,725
100400,Karikari Peninsula,Northland,Maori,516,404,345,783,669
100500,Tangonge,Northland,Maori,542,455,415,839,766
100600,Ahipara,Northland,Maori,587,473,432,806,736
100700,Kaitaia East,Northland,Maori,"1,323","1,080",897,816,678
100700,Kaitaia East,Northland,Pacific Peoples,53,Masked,46,>950,868
100800,Kaitaia West,Northland,Maori,"1,861","1,543","1,270",829,682
100800,Kaitaia West,Northland,Pacific Peoples,101,92,81,911,802
100900,Rangitihi,Northland,Maori,378,293,260,775,688
101000,Oruru-Parapara,Northland,Maori,309,234,203,757,657
101100,Taumarumaru,Northland,Maori,575,488,428,849,744
101200,Herekino-Takahue,Northland,Maori,419,330,280,788,668
101300,Peria,Northland,Maori,350,264,223,754,637
101400,Taemaro-Oruaiti,Northland,Maori,300,219,185,730,617
101500,Whakapaku,Northland,Maori,268,203,176,757,657
101600,Hokianga North,Northland,Maori,638,524,475,821,745
101700,Kohukohu-Broadwood,Northland,Maori,364,281,247,772,679
101800,Whakarara,Northland,Maori,532,449,415,844,780
101900,Kaeo,Northland,Maori,450,329,284,731,631
102000,Omahuta Forest-Horeke,Northland,Maori,624,425,356,681,571
102100,Hokianga South,Northland,Maori,692,499,425,721,614
102200,Lake Manuwai-Kapiro,Northland,Maori,250,192,174,768,696
102300,Okaihau,Northland,Maori,293,240,219,819,747
102400,Rangitane-Purerua,Northland,Maori,342,283,249,827,728
102500,Waipapa,Northland,Maori,124,101,89,815,718
102600,Puketotara,Northland,Maori,225,194,180,862,800
102700,Waima Forest,Northland,Maori,761,562,474,739,623
102800,Riverview,Northland,Maori,222,203,180,914,811
102900,Waipoua Forest,Northland,Maori,624,478,410,766,657
103000,Kerikeri Central,Northland,Maori,448,377,325,842,725
103000,Kerikeri Central,Northland,Pacific Peoples,58,Masked,Masked,>950,>950
103100,Kerikeri South,Northland,Maori,228,191,173,838,759
103200,Ohaeawai-Waimate North,Northland,Maori,412,340,305,825,740
103300,Puketona-Waitangi,Northland,Maori,268,224,210,836,784
103400,Ngapuhi,Northland,Maori,946,712,615,753,650
103500,Kaikohe,Northland,Maori,"2,753","2,048","1,751",744,636
103500,Kaikohe,Northland,Pacific Peoples,103,82,71,796,689
103600,Pakaraka,Northland,Maori,145,123,104,848,717
103700,Haruru,Northland,Maori,215,183,171,851,795
103800,Russell,Northland,Maori,136,126,121,926,890
103900,Paihia,Northland,Maori,480,386,334,804,696
104000,Mataraua Forest,Northland,Maori,339,257,222,758,655
104100,Matawaia-Taumarere,Northland,Maori,790,592,503,749,637
104200,Russell Peninsula,Northland,Maori,74,54,52,730,703
104300,Opua (Far North District),Northland,Maori,181,138,119,762,657
104400,Russell Forest-Rawhiti,Northland,Maori,392,318,283,811,722
104500,Moerewa,Northland,Maori,"1,178",945,825,802,700
104600,Kawakawa,Northland,Maori,819,673,587,822,717
104700,Maromaku,Northland,Maori,246,182,157,740,638
104800,Mangakahia-Hukerenui,Northland,Maori,592,495,429,836,725
104900,Whangaruru,Northland,Maori,650,550,489,846,752
105100,Matarau,Northland,Maori,359,305,273,850,760
105200,Hikurangi,Northland,Maori,463,386,324,834,700
105300,Kauri,Northland,Maori,233,197,183,845,785
105400,Maungatapere,Northland,Maori,422,372,336,882,796
105500,Kamo West,Northland,Maori,385,340,300,883,779
105600,Matapouri-Tutukaka,Northland,Maori,221,193,173,873,783
105700,Kiripaka,Northland,Maori,188,153,133,814,707
105800,Kamo East,Northland,Maori,904,769,638,851,706
105800,Kamo East,Northland,Pacific Peoples,101,86,82,851,812
105900,Granfield Reserve,Northland,Maori,455,405,357,890,785
105900,Granfield Reserve,Northland,Pacific Peoples,40,36,32,900,800
106000,Kamo Central,Northland,Maori,406,357,316,879,778
106100,Whau Valley,Northland,Maori,597,519,465,869,779
106200,Tikipunga North,Northland,Maori,978,833,712,852,728
106200,Tikipunga North,Northland,Pacific Peoples,73,59,46,808,630
106300,Pukenui,Northland,Maori,174,151,140,868,805
106400,Otangarei,Northland,Maori,"1,280","1,004",776,784,606
106400,Otangarei,Northland,Pacific Peoples,53,38,34,717,642
106500,Tikipunga South,Northland,Maori,"1,171","1,015",883,867,754
106500,Tikipunga South,Northland,Pacific Peoples,80,76,63,950,788
106600,Kensington (Whangarei District),Northland,Maori,703,588,512,836,728
106600,Kensington (Whangarei District),Northland,Pacific Peoples,57,Masked,54,>950,947
106700,Abbey Caves-Glenbervie,Northland,Maori,141,115,102,816,723
106800,Mairtown,Northland,Maori,530,452,410,853,774
106800,Mairtown,Northland,Pacific Peoples,58,45,43,776,741
106900,Maunu-Horahora,Northland,Maori,528,461,409,873,775
106900,Maunu-Horahora,Northland,Pacific Peoples,40,30,28,750,700
107000,Woodhill-Vinetown,Northland,Maori,732,581,513,794,701
107000,Woodhill-Vinetown,Northland,Pacific Peoples,83,77,69,928,831
107100,Whangarei Central,Northland,Maori,255,212,184,831,722
107200,Riverside,Northland,Maori,417,341,297,818,712
107200,Riverside,Northland,Pacific Peoples,44,40,36,909,818
107300,Raumanga,Northland,Maori,"1,432","1,136",900,793,628
107300,Raumanga,Northland,Pacific Peoples,91,83,67,912,736
107400,Tarewa,Northland,Maori,854,680,551,796,645
107500,Morningside (Whangarei District),Northland,Maori,760,644,554,847,729
107500,Morningside (Whangarei District),Northland,Pacific Peoples,52,44,41,846,788
107600,Ngunguru,Northland,Maori,154,131,121,851,786
107700,Otaika-Portland,Northland,Maori,292,227,201,777,688
107800,Oakleigh-Mangapai,Northland,Maori,232,193,171,832,737
108000,Pataua,Northland,Maori,179,134,118,749,659
108100,Onerahi Park,Northland,Maori,248,223,201,899,810
108200,Sherwood Rise,Northland,Maori,616,526,467,854,758
108200,Sherwood Rise,Northland,Pacific Peoples,46,Masked,42,>950,913
108300,Onerahi,Northland,Maori,583,481,387,825,664
108300,Onerahi,Northland,Pacific Peoples,51,41,33,804,647
108500,Parua Bay,Northland,Maori,265,237,220,894,830
108600,Bream Bay,Northland,Maori,348,294,258,845,741
108700,Marsden Bay,Northland,Maori,299,273,245,913,819
108800,Ruakaka,Northland,Maori,598,529,445,885,744
108800,Ruakaka,Northland,Pacific Peoples,53,46,43,868,811
108900,Bream Head,Northland,Maori,94,82,76,872,809
109000,Waipu,Northland,Maori,281,222,206,790,733
