dhb_of_service_grp,type,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Waikato,actual,5668,1934,2981,4258,4312,5285,5982,5980,7196,6322,5729,7267,7526,7936,7555,8614,15648,22102,23340,28345,31473,53216,268669
Waikato,variance,10,-166,-634,243,239,636,1525,1705,3072,1180,-1223,427,-3424,-3914,-4295,-3236,-339,-1762,-2240,1939,-1323,19887,8307
Wairarapa,plan,0,120,390,600,900,975,975,1000,1000,1000,2250,2250,2250,2250,2050,2050,2880,2880,2880,2880,2880,3400,37860
Wairarapa,actual,0,118,477,508,618,798,1117,942,1054,1385,845,1400,1873,1722,2814,2412,2565,3607,2862,3449,2683,4339,37588
Wairarapa,variance,0,-2,87,-92,-282,-177,142,-58,54,385,-1405,-850,-377,-528,764,362,-315,727,-18,569,-197,939,-272
West Coast,plan,0,30,120,300,390,600,810,1050,1140,1260,1440,1500,1500,1500,1500,1500,1800,2100,2200,2200,2150,2250,27340
West Coast,actual,0,34,127,310,398,555,870,1251,1189,1301,1009,1577,1402,1295,1436,1363,948,1090,1929,1782,1379,2842,24087
West Coast,variance,0,4,7,10,8,-45,60,201,49,41,-431,77,-98,-205,-64,-137,-852,-1010,-271,-418,-771,592,-3253
Whanganui,plan,91,180,450,390,900,900,900,900,900,900,900,900,900,900,1490,1718,3364,4023,3496,5206,5973,5406,40787
Whanganui,actual,90,180,510,862,846,1434,1369,1699,1953,2485,2428,1883,1989,1547,950,1223,2156,3958,3447,4233,4701,8225,48168
Whanganui,variance,-1,0,60,472,-54,534,469,799,1053,1585,1528,983,1089,647,-540,-495,-1208,-65,-49,-973,-1272,2819,7381
Other Sites,plan,7735,1410,2190,2130,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14575
Other Sites,actual,7726,2569,3107,2173,1004,2826,2525,2996,2834,3442,2242,2374,1971,2458,2461,1673,1450,1669,2002,4332,2535,6187,62556
Other Sites,variance,-9,1159,917,43,-106,2826,2525,2996,2834,3442,2242,2374,1971,2458,2461,1673,1450,1669,2002,4332,2535,6187,47981
Total,plan,84595,33397,46115,52051,57591,65064,76011,78782,88326,98358,112723,116409,124426,128104,128047,135372,207702,258236,280878,291593,307196,306185,3077161
Total,actual,84897,36542,49692,55536,58141,81633,84709,84117,102019,113756,102804,128272,133078,122394,129477,136018,189243,254656,265168,300138,284458,552978,3349726
Total,variance,302,3145,3577,3485,550,16569,8698,5335,13693,15398,-9919,11863,8652,-5710,1430,646,-18459,-3580,-15710,8545,-22738,246793,272565
