Date,First dose administered,Second dose administered
2021-02-18,1,0
2021-02-19,29,0
2021-02-20,65,0
2021-02-21,68,1
2021-02-22,447,0
2021-02-23,358,0
2021-02-24,812,0
2021-02-25,1100,0
2021-02-26,1605,0
2021-02-27,1340,0
2021-02-28,882,0
2021-03-01,1410,0
2021-03-02,1491,0
2021-03-03,1981,0
2021-03-04,1634,0
2021-03-05,1279,1
2021-03-06,602,1
2021-03-07,511,0
2021-03-08,1073,0
2021-03-09,1425,0
2021-03-10,1317,0
2021-03-11,1334,0
2021-03-12,1043,5
2021-03-13,750,5
2021-03-14,576,13
2021-03-15,1614,267
2021-03-16,1928,233
2021-03-17,1642,366
2021-03-18,1595,474
2021-03-19,1692,772
2021-03-20,558,715
2021-03-21,941,645
2021-03-22,1034,1217
2021-03-23,1587,1107
2021-03-24,1971,1584
2021-03-25,1822,1533
2021-03-26,3373,1290
2021-03-27,1155,873
2021-03-28,685,491
2021-03-29,3807,1124
2021-03-30,4169,1500
2021-03-31,5450,1345
2021-04-01,5202,1251
2021-04-02,1725,295
2021-04-03,1415,335
2021-04-04,760,196
2021-04-05,922,291
2021-04-06,3522,1438
2021-04-07,5121,2146
2021-04-08,6466,1767
2021-04-09,5422,1929
2021-04-10,3267,692
2021-04-11,2478,1081
2021-04-12,6047,1722
2021-04-13,6815,1625
2021-04-14,6627,1522
2021-04-15,6891,1843
2021-04-16,6863,2624
2021-04-17,3902,1144
2021-04-18,1480,587
2021-04-19,5094,2038
2021-04-20,6098,2988
2021-04-21,6758,3427
2021-04-22,6536,3874
2021-04-23,8142,3545
2021-04-24,3274,1382
2021-04-25,1472,908
2021-04-26,1390,862
2021-04-27,6802,3209
2021-04-28,7301,3665
2021-04-29,7528,4955
2021-04-30,8378,5028
2021-05-01,3491,1992
2021-05-02,1621,1919
2021-05-03,6251,4486
2021-05-04,8334,5302
2021-05-05,9204,5558
2021-05-06,9200,5830
2021-05-07,10143,6739
2021-05-08,4391,2851
2021-05-09,1729,1615
2021-05-10,6878,5117
2021-05-11,9227,5895
2021-05-12,9522,5769
2021-05-13,9779,6005
2021-05-14,8958,7114
2021-05-15,3420,2814
2021-05-16,2406,1805
2021-05-17,7303,3753
2021-05-18,9281,5508
2021-05-19,9057,6394
2021-05-20,8736,6741
2021-05-21,8274,7297
2021-05-22,4401,3566
2021-05-23,2265,1541
2021-05-24,7235,5755
2021-05-25,9838,7465
2021-05-26,10956,7758
2021-05-27,9867,7009
2021-05-28,10830,9867
2021-05-29,5941,4294
2021-05-30,3324,1880
2021-05-31,8908,5563
2021-06-01,12023,7903
2021-06-02,12554,8412
2021-06-03,14154,9017
2021-06-04,12103,8351
2021-06-05,6205,3348
2021-06-06,3535,1680
2021-06-07,3939,1370
2021-06-08,13095,8756
2021-06-09,7112,4315
2021-06-10,13947,9462
2021-06-11,11983,9579
2021-06-12,7453,4489
2021-06-13,4407,2897
2021-06-14,10364,7556
2021-06-15,13082,9151
2021-06-16,14401,10020
2021-06-17,12994,10298
2021-06-18,11354,9462
2021-06-19,7383,4896
2021-06-20,3967,3344
2021-06-21,9069,8440
2021-06-22,11451,11283
2021-06-23,13123,11879
2021-06-24,11446,12988
2021-06-25,10031,11705
2021-06-26,8355,6276
2021-06-27,3590,3442
2021-06-28,9929,6455
2021-06-29,10941,10028
2021-06-30,12948,9938
2021-07-01,13110,9844
2021-07-02,9770,10310
2021-07-03,7388,5322
2021-07-04,3493,2918
2021-07-05,7786,7965
2021-07-06,9596,11328
2021-07-07,11286,11861
2021-07-08,12716,11895
2021-07-09,11088,10515
2021-07-10,9331,6476
2021-07-11,4395,3239
2021-07-12,9585,8159
2021-07-13,12071,10478
2021-07-14,13424,11442
2021-07-15,12869,10899
2021-07-16,11941,9911
2021-07-17,9458,7071
2021-07-18,5640,3070
2021-07-19,13159,9183
2021-07-20,18768,11918
2021-07-21,20813,13175
2021-07-22,19844,12509
2021-07-23,19773,11287
2021-07-24,17111,7724
2021-07-25,9055,4924
2021-07-26,20559,9969
2021-07-27,27613,11366
2021-07-28,29424,12147
2021-07-29,28238,11974
2021-07-30,31506,10624
2021-07-31,29536,9050
2021-08-01,17982,4668
2021-08-02,25703,9434
2021-08-03,30314,12523
2021-08-04,32565,12914
2021-08-05,29297,12994
