Date,First dose administered,Second dose administered
2021-08-06,30409,11701
2021-08-07,27925,8878
2021-08-08,15887,4624
2021-08-09,26915,11644
2021-08-10,31127,15943
2021-08-11,32044,16918
2021-08-12,32531,16531
2021-08-13,31414,15641
2021-08-14,30458,13297
2021-08-15,18294,7381
2021-08-16,30385,16037
2021-08-17,35869,20404
2021-08-18,415,100
2021-08-19,21603,8750
2021-08-20,38846,20177
2021-08-21,38412,15864
2021-08-22,28533,9063
2021-08-23,46856,19532
2021-08-24,59507,23624
2021-08-25,63501,26433
2021-08-26,67958,25475
2021-08-27,67514,24702
2021-08-28,56912,22370
2021-08-29,37132,11462
2021-08-30,54987,23748
2021-08-31,59422,27459
2021-09-01,63661,27657
2021-09-02,65281,25286
2021-09-03,61973,25890
2021-09-04,56156,22553
2021-09-05,27057,12005
2021-09-06,45369,21799
2021-09-07,50053,23441
2021-09-08,48895,18546
2021-09-09,46573,15608
2021-09-10,44225,21162
2021-09-11,39089,23292
2021-09-12,20697,13445
2021-09-13,34582,20960
2021-09-14,39791,22863
2021-09-15,40087,23203
2021-09-16,37347,24137
2021-09-17,33423,27671
2021-09-18,29373,24603
2021-09-19,14327,12576
2021-09-20,24855,25919
2021-09-21,27859,26557
2021-09-22,24603,25540
2021-09-23,21295,28530
2021-09-24,19195,31796
2021-09-25,19602,32283
2021-09-26,8308,16596
2021-09-27,12796,28263
2021-09-28,13678,31238
2021-09-29,14098,27113
2021-09-30,14231,32384
2021-10-01,12437,35489
2021-10-02,12978,37428
2021-10-03,7147,20037
2021-10-04,15039,41184
2021-10-05,17808,46361
2021-10-06,19124,51664
2021-10-07,19968,62958
2021-10-08,18830,67468
2021-10-09,18486,63734
2021-10-10,9122,33233
2021-10-11,15358,54321
2021-10-12,17714,55739
2021-10-13,15924,53449
2021-10-14,15269,53050
2021-10-15,14141,55753
2021-10-16,39730,91531
2021-10-17,6304,23464
2021-10-18,10089,32852
2021-10-19,10534,32507
2021-10-20,10536,32827
2021-10-21,10203,31446
2021-10-22,11570,33515
2021-10-23,11931,30803
2021-10-24,5384,13712
2021-10-25,3540,7198
2021-10-26,11013,31377
2021-10-27,11051,28448
2021-10-28,13028,32389
2021-10-29,11246,32026
2021-10-30,10869,32040
2021-10-31,4915,15340
2021-11-01,7307,20367
2021-11-02,7663,21474
2021-11-03,6847,20539
2021-11-04,6732,19596
2021-11-05,6567,21605
2021-11-06,7474,26565
2021-11-07,3288,11019
2021-11-08,5242,16249
2021-11-09,5960,16468
2021-11-10,6162,16042
2021-11-11,6422,16596
2021-11-12,6461,16799
2021-11-13,7243,19964
2021-11-14,4657,10003
2021-11-15,7814,13711
2021-11-16,6664,14367
