DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,Asian,12-17,Female,4386,4244,"1,441",336,<5,<5,4775
Auckland,Asian,12-17,Male,4615,4442,"1,491",316,<5,<5,5074
Auckland,Asian,12-17,Unknown/Other,12,11,10,<5,<5,<5,19
Auckland,Asian,18-24,Female,7435,7404,"7,397","5,182",<5,14,7976
Auckland,Asian,18-24,Male,7540,7478,"7,467","4,503",<5,10,8199
Auckland,Asian,18-24,Unknown/Other,85,82,82,42,<5,<5,92
Auckland,Asian,25-29,Female,7445,7421,"7,413","5,376",<5,27,8777
Auckland,Asian,25-29,Male,8674,8591,"8,581","5,366",<5,22,9728
Auckland,Asian,25-29,Unknown/Other,100,100,100,64,<5,<5,115
Auckland,Asian,30-34,Female,9092,9040,"9,025","6,686",<5,131,10318
Auckland,Asian,30-34,Male,9228,9133,"9,127","6,261",<5,86,10155
Auckland,Asian,30-34,Unknown/Other,88,86,86,45,<5,<5,97
Auckland,Asian,35-39,Female,7869,7823,"7,812","5,911",<5,159,8779
Auckland,Asian,35-39,Male,7976,7902,"7,893","5,698",<5,75,8684
Auckland,Asian,35-39,Unknown/Other,65,65,65,43,<5,<5,61
Auckland,Asian,40-44,Female,6239,6204,"6,201","4,784",<5,137,6554
Auckland,Asian,40-44,Male,6252,6180,"6,172","4,605",<5,80,6478
Auckland,Asian,40-44,Unknown/Other,41,39,39,24,<5,<5,40
Auckland,Asian,45-49,Female,4749,4722,"4,720","3,691",<5,99,5174
Auckland,Asian,45-49,Male,4457,4400,"4,398","3,472",<5,55,4738
Auckland,Asian,45-49,Unknown/Other,44,44,44,31,<5,<5,38
Auckland,Asian,5-11,Female,4679,3051,NA,NA,NA,NA,6673
Auckland,Asian,5-11,Male,4681,3034,NA,NA,NA,NA,6771
Auckland,Asian,50-54,Female,4540,4512,"4,506","3,644","2,284",301,4840
Auckland,Asian,50-54,Male,3685,3652,"3,647","2,915","1,790",181,3888
