SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,12+,"64,558","60,594","58,787","55,529","33,928","11,933","3,984",94%,91%,61%,33%
Unknown,Unknown,Unknown,5-11,"6,382","3,160","1,637",NA,NA,NA,NA,50%,26%,NA,NA
100100,North Cape,Northland,12+,"1,672","1,391","1,368","1,280",826,492,113,83%,82%,65%,23%
100100,North Cape,Northland,5-11,180,53,23,NA,NA,NA,NA,29%,13%,NA,NA
100200,Rangaunu Harbour,Northland,12+,"1,976","1,632","1,580","1,482",864,428,88,83%,80%,58%,21%
100200,Rangaunu Harbour,Northland,5-11,249,50,17,NA,NA,NA,NA,20%,7%,NA,NA
100400,Karikari Peninsula,Northland,12+,"1,374","1,163","1,144","1,098",734,442,107,85%,83%,67%,24%
100400,Karikari Peninsula,Northland,5-11,128,32,10,NA,NA,NA,NA,25%,8%,NA,NA
100500,Tangonge,Northland,12+,"1,021",863,845,775,491,233,55,85%,83%,63%,24%
100500,Tangonge,Northland,5-11,126,31,9,NA,NA,NA,NA,25%,7%,NA,NA
100600,Ahipara,Northland,12+,"1,092",896,875,822,534,285,58,82%,80%,65%,20%
100600,Ahipara,Northland,5-11,146,54,18,NA,NA,NA,NA,37%,12%,NA,NA
100700,Kaitaia East,Northland,12+,"2,026","1,734","1,653","1,524",850,326,90,86%,82%,56%,28%
100700,Kaitaia East,Northland,5-11,340,101,32,NA,NA,NA,NA,30%,9%,NA,NA
100800,Kaitaia West,Northland,12+,"2,994","2,520","2,413","2,229","1,265",522,145,84%,81%,57%,28%
100800,Kaitaia West,Northland,5-11,451,122,51,NA,NA,NA,NA,27%,11%,NA,NA
100900,Rangitihi,Northland,12+,832,692,676,628,368,174,38,83%,81%,59%,22%
100900,Rangitihi,Northland,5-11,83,17,Masked,NA,NA,NA,NA,20%,6%,NA,NA
101000,Oruru-Parapara,Northland,12+,842,654,631,601,360,193,51,78%,75%,60%,26%
101000,Oruru-Parapara,Northland,5-11,99,26,10,NA,NA,NA,NA,26%,10%,NA,NA
101100,Taumarumaru,Northland,12+,"2,293","1,972","1,931","1,864","1,353",898,304,86%,84%,73%,34%
101100,Taumarumaru,Northland,5-11,221,73,26,NA,NA,NA,NA,33%,12%,NA,NA
101200,Herekino-Takahue,Northland,12+,923,698,672,623,376,185,49,76%,73%,60%,26%
101200,Herekino-Takahue,Northland,5-11,101,26,Masked,NA,NA,NA,NA,26%,<5%,NA,NA
101300,Peria,Northland,12+,"1,054",736,714,679,423,200,37,70%,68%,62%,18%
101300,Peria,Northland,5-11,133,27,13,NA,NA,NA,NA,20%,10%,NA,NA
101400,Taemaro-Oruaiti,Northland,12+,911,719,698,665,428,276,76,79%,77%,64%,28%
101400,Taemaro-Oruaiti,Northland,5-11,103,39,11,NA,NA,NA,NA,38%,11%,NA,NA
101500,Whakapaku,Northland,12+,679,508,491,468,312,210,75,75%,72%,67%,36%
101500,Whakapaku,Northland,5-11,90,32,11,NA,NA,NA,NA,36%,12%,NA,NA
101600,Hokianga North,Northland,12+,812,666,646,594,399,154,13,82%,80%,67%,8%
101600,Hokianga North,Northland,5-11,129,37,10,NA,NA,NA,NA,29%,8%,NA,NA
101700,Kohukohu-Broadwood,Northland,12+,711,568,557,528,366,233,68,80%,78%,69%,29%
101700,Kohukohu-Broadwood,Northland,5-11,64,17,Masked,NA,NA,NA,NA,27%,8%,NA,NA
101800,Whakarara,Northland,12+,"1,146",950,925,880,621,376,139,83%,81%,71%,37%
101800,Whakarara,Northland,5-11,109,54,27,NA,NA,NA,NA,50%,25%,NA,NA
101900,Kaeo,Northland,12+,"1,103",848,817,773,492,261,89,77%,74%,64%,34%
101900,Kaeo,Northland,5-11,148,45,18,NA,NA,NA,NA,30%,12%,NA,NA
102000,Omahuta Forest-Horeke,Northland,12+,"1,010",734,704,653,386,200,56,73%,70%,59%,28%
102000,Omahuta Forest-Horeke,Northland,5-11,158,21,13,NA,NA,NA,NA,13%,8%,NA,NA
102100,Hokianga South,Northland,12+,"1,209",899,864,822,553,289,98,74%,71%,67%,34%
102100,Hokianga South,Northland,5-11,125,29,13,NA,NA,NA,NA,23%,10%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,112","1,821","1,790","1,685","1,137",620,183,86%,85%,67%,30%
102200,Lake Manuwai-Kapiro,Northland,5-11,211,86,45,NA,NA,NA,NA,41%,21%,NA,NA
102300,Okaihau,Northland,12+,"1,063",883,866,815,485,224,49,83%,81%,60%,22%
102300,Okaihau,Northland,5-11,119,33,10,NA,NA,NA,NA,28%,8%,NA,NA
102400,Rangitane-Purerua,Northland,12+,"1,344","1,150","1,115","1,042",721,431,140,86%,83%,69%,32%
102400,Rangitane-Purerua,Northland,5-11,147,44,24,NA,NA,NA,NA,30%,16%,NA,NA
102500,Waipapa,Northland,12+,760,663,642,610,402,197,73,87%,84%,66%,37%
102500,Waipapa,Northland,5-11,99,37,19,NA,NA,NA,NA,37%,19%,NA,NA
102600,Puketotara,Northland,12+,"1,675","1,438","1,402","1,323",915,468,124,86%,84%,69%,26%
102600,Puketotara,Northland,5-11,164,71,21,NA,NA,NA,NA,43%,13%,NA,NA
102700,Waima Forest,Northland,12+,"1,023",774,744,697,376,167,28,76%,73%,54%,17%
102700,Waima Forest,Northland,5-11,143,23,7,NA,NA,NA,NA,16%,<5%,NA,NA
102800,Riverview,Northland,12+,"2,081","1,900","1,870","1,758","1,374",884,364,91%,90%,78%,41%
102800,Riverview,Northland,5-11,187,100,50,NA,NA,NA,NA,53%,27%,NA,NA
102900,Waipoua Forest,Northland,12+,"1,168",875,847,817,556,277,70,75%,73%,68%,25%
102900,Waipoua Forest,Northland,5-11,119,18,Masked,NA,NA,NA,NA,15%,<5%,NA,NA
103000,Kerikeri Central,Northland,12+,"2,461","2,177","2,145","2,054","1,468",848,377,88%,87%,71%,44%
103000,Kerikeri Central,Northland,5-11,221,91,38,NA,NA,NA,NA,41%,17%,NA,NA
103100,Kerikeri South,Northland,12+,"2,635","2,335","2,312","2,222","1,681","1,047",382,89%,88%,76%,36%
103100,Kerikeri South,Northland,5-11,218,103,43,NA,NA,NA,NA,47%,20%,NA,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,095",922,897,849,565,291,83,84%,82%,67%,29%
103200,Ohaeawai-Waimate North,Northland,5-11,112,29,13,NA,NA,NA,NA,26%,12%,NA,NA
103300,Puketona-Waitangi,Northland,12+,"1,333","1,122","1,110","1,071",764,418,118,84%,83%,71%,28%
103300,Puketona-Waitangi,Northland,5-11,123,44,11,NA,NA,NA,NA,36%,9%,NA,NA
103400,Ngapuhi,Northland,12+,"1,311","1,051","1,008",941,510,250,50,80%,77%,54%,20%
