DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,Asian,12-17,Female,4327,4115,"1,454",360,<5,<5,4816
Auckland,Asian,12-17,Male,4558,4304,"1,478",344,<5,<5,5058
Auckland,Asian,12-17,Unknown/Other,9,7,6,<5,<5,<5,16
Auckland,Asian,18-24,Female,7189,7149,"7,145","5,028",<5,58,7982
Auckland,Asian,18-24,Male,7299,7242,"7,236","4,402",<5,56,8115
Auckland,Asian,18-24,Unknown/Other,80,79,79,42,<5,<5,89
Auckland,Asian,25-29,Female,7367,7334,"7,331","5,476",<5,96,8396
Auckland,Asian,25-29,Male,8339,8251,"8,249","5,289",<5,91,9498
Auckland,Asian,25-29,Unknown/Other,89,88,88,62,<5,<5,92
Auckland,Asian,30-34,Female,8842,8786,"8,784","6,609",<5,349,10257
Auckland,Asian,30-34,Male,9245,9148,"9,147","6,340",<5,213,10171
Auckland,Asian,30-34,Unknown/Other,85,83,83,45,<5,<5,82
Auckland,Asian,35-39,Female,7926,7888,"7,885","6,117",<5,402,8769
Auckland,Asian,35-39,Male,7910,7829,"7,826","5,832",<5,234,8756
Auckland,Asian,35-39,Unknown/Other,62,62,62,43,<5,<5,61
Auckland,Asian,40-44,Female,6458,6411,"6,408","5,015",<5,337,6813
Auckland,Asian,40-44,Male,6507,6434,"6,434","4,889",<5,214,6729
Auckland,Asian,40-44,Unknown/Other,40,38,38,25,<5,<5,42
Auckland,Asian,45-49,Female,4766,4734,"4,732","3,746",<5,299,5208
Auckland,Asian,45-49,Male,4525,4459,"4,459","3,574",<5,192,4901
Auckland,Asian,45-49,Unknown/Other,37,37,37,27,<5,<5,41
Auckland,Asian,5-11,Female,4368,3005,NA,NA,NA,NA,6857
Auckland,Asian,5-11,Male,4402,3006,NA,NA,NA,NA,6921
Auckland,Asian,50-54,Female,4625,4596,"4,593","3,766","3,708",787,4902
Auckland,Asian,50-54,Male,3801,3762,"3,760","3,084","3,017",530,4028
