DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people
Auckland Metro,Asian,12-15,Female,"5,043",0,"9,507",530,0
Auckland Metro,Asian,12-15,Male,"5,365",0,"10,290",521,0
Auckland Metro,Asian,12-15,Unknown/Other,8,0,8,"1,000",0
Auckland Metro,Asian,16-19,Female,"6,128","1,796","8,658",708,207
Auckland Metro,Asian,16-19,Male,"6,288","1,667","8,838",711,189
Auckland Metro,Asian,16-19,Unknown/Other,55,19,20,"2,750",950
Auckland Metro,Asian,20-24,Female,"9,460","4,127","13,119",721,315
Auckland Metro,Asian,20-24,Male,"9,552","3,484","13,140",727,265
Auckland Metro,Asian,20-24,Unknown/Other,100,27,26,"3,846","1,038"
Auckland Metro,Asian,25-29,Female,"14,529","6,758","22,261",653,304
Auckland Metro,Asian,25-29,Male,"15,794","6,429","21,122",748,304
Auckland Metro,Asian,25-29,Unknown/Other,179,60,52,"3,442","1,154"
Auckland Metro,Asian,30-34,Female,"19,066","9,004","27,585",691,326
Auckland Metro,Asian,30-34,Male,"19,276","8,204","24,463",788,335
Auckland Metro,Asian,30-34,Unknown/Other,176,61,58,"3,034","1,052"
Auckland Metro,Asian,35-39,Female,"18,839","9,102","26,042",723,350
Auckland Metro,Asian,35-39,Male,"18,787","8,135","23,286",807,349
Auckland Metro,Asian,35-39,Unknown/Other,105,32,39,"2,692",821
Auckland Metro,Asian,40-44,Female,"14,488","7,417","17,625",822,421
Auckland Metro,Asian,40-44,Male,"14,763","7,017","16,424",899,427
Auckland Metro,Asian,40-44,Unknown/Other,127,30,30,"4,233","1,000"
Auckland Metro,Asian,45-49,Female,"11,672","6,368","14,609",799,436
Auckland Metro,Asian,45-49,Male,"10,977","5,646","12,775",859,442
Auckland Metro,Asian,45-49,Unknown/Other,86,21,18,"4,778","1,167"
Auckland Metro,Asian,50-54,Female,"10,955","6,347","13,152",833,483
Auckland Metro,Asian,50-54,Male,"9,335","5,252","10,867",859,483
Auckland Metro,Asian,50-54,Unknown/Other,55,12,7,"7,857","1,714"
Auckland Metro,Asian,55-59,Female,"10,266","6,621","12,473",823,531
Auckland Metro,Asian,55-59,Male,"8,954","5,606","10,448",857,537
Auckland Metro,Asian,55-59,Unknown/Other,25,9,16,"1,562",562
Auckland Metro,Asian,60-64,Female,"9,245","6,667","11,771",785,566
Auckland Metro,Asian,60-64,Male,"7,616","5,465","9,386",811,582
Auckland Metro,Asian,60-64,Unknown/Other,16,10,17,941,588
Auckland Metro,Asian,65-69,Female,"8,079","6,642","9,591",842,693
