Date,First dose administered,Second dose administered
19/02/2021,29,0
20/02/2021,65,0
21/02/2021,68,1
22/02/2021,448,0
23/02/2021,358,0
24/02/2021,815,0
25/02/2021,"1,099",0
26/02/2021,"1,609",0
27/02/2021,"1,342",0
28/02/2021,882,0
01/03/2021,"1,408",0
02/03/2021,"1,491",0
03/03/2021,"1,984",0
04/03/2021,"1,633",0
05/03/2021,"1,278",0
06/03/2021,602,1
07/03/2021,512,0
08/03/2021,"1,072",0
09/03/2021,"1,425",0
10/03/2021,"1,315",0
11/03/2021,"1,334",0
12/03/2021,"1,043",3
13/03/2021,750,5
14/03/2021,576,13
15/03/2021,"1,614",267
16/03/2021,"1,929",233
17/03/2021,"1,642",366
18/03/2021,"1,595",471
19/03/2021,"1,693",772
20/03/2021,558,715
21/03/2021,942,644
22/03/2021,"1,035","1,214"
23/03/2021,"1,587","1,106"
24/03/2021,"1,971","1,586"
25/03/2021,"1,823","1,532"
26/03/2021,"3,370","1,291"
27/03/2021,"1,155",872
28/03/2021,685,489
29/03/2021,"3,808","1,123"
30/03/2021,"4,169","1,499"
31/03/2021,"5,446","1,335"
01/04/2021,"5,201","1,247"
02/04/2021,"1,724",295
03/04/2021,"1,413",335
04/04/2021,758,196
05/04/2021,923,291
06/04/2021,"3,521","1,437"
07/04/2021,"5,115","2,145"
08/04/2021,"6,464","1,765"
09/04/2021,"5,419","1,930"
10/04/2021,"3,268",691
11/04/2021,"2,478","1,081"
12/04/2021,"6,045","1,722"
13/04/2021,"6,809","1,624"
14/04/2021,"6,622","1,521"
15/04/2021,"6,891","1,843"
16/04/2021,"6,861","2,618"
17/04/2021,"3,904","1,135"
18/04/2021,"1,478",587
19/04/2021,"5,094","2,037"
20/04/2021,"6,096","2,986"
21/04/2021,"6,757","3,426"
22/04/2021,"6,526","3,871"
23/04/2021,"8,135","3,546"
24/04/2021,"3,275","1,382"
25/04/2021,"1,474",907
26/04/2021,"1,390",862
27/04/2021,"6,803","3,207"
28/04/2021,"7,306","3,661"
29/04/2021,"7,524","4,956"
30/04/2021,"8,374","5,018"
01/05/2021,"3,490","1,991"
02/05/2021,"1,622","1,918"
03/05/2021,"6,250","4,484"
04/05/2021,"8,335","5,298"
05/05/2021,"9,203","5,555"
06/05/2021,"9,200","5,826"
07/05/2021,"10,133","6,729"
08/05/2021,"4,381","2,846"
09/05/2021,"1,726","1,614"
10/05/2021,"6,875","5,114"
11/05/2021,"9,221","5,895"
12/05/2021,"9,525","5,757"
13/05/2021,"9,777","5,995"
14/05/2021,"8,958","7,102"
15/05/2021,"3,416","2,811"
16/05/2021,"2,403","1,805"
17/05/2021,"7,299","3,749"
18/05/2021,"9,274","5,506"
19/05/2021,"9,054","6,391"
20/05/2021,"8,731","6,735"
21/05/2021,"8,268","7,287"
22/05/2021,"4,398","3,565"
23/05/2021,"2,266","1,539"
24/05/2021,"7,231","5,743"
25/05/2021,"9,834","7,456"
26/05/2021,"10,952","7,760"
27/05/2021,"9,864","7,003"
28/05/2021,"10,828","9,827"
29/05/2021,"5,938","4,290"
30/05/2021,"3,323","1,878"
31/05/2021,"8,907","5,561"
01/06/2021,"12,019","7,894"
02/06/2021,"12,551","8,404"
03/06/2021,"14,156","8,976"
04/06/2021,"12,096","8,338"
05/06/2021,"6,203","3,345"
06/06/2021,"3,533","1,678"
07/06/2021,"3,935","1,370"
08/06/2021,"13,094","8,746"
09/06/2021,"7,111","4,303"
10/06/2021,"13,911","9,457"
11/06/2021,"11,966","9,582"
12/06/2021,"7,449","4,484"
13/06/2021,"4,408","2,896"
14/06/2021,"10,357","7,545"
15/06/2021,"13,079","9,142"
16/06/2021,"14,400","10,009"
17/06/2021,"12,979","10,291"
18/06/2021,"11,343","9,448"
19/06/2021,"7,383","4,894"
20/06/2021,"3,965","3,343"
21/06/2021,"9,068","8,413"
22/06/2021,"11,454","11,272"
23/06/2021,"13,122","11,868"
24/06/2021,"11,443","12,977"
25/06/2021,"10,026","11,698"
26/06/2021,"8,338","6,272"
27/06/2021,"3,590","3,438"
28/06/2021,"9,925","6,452"
29/06/2021,"10,937","10,013"
30/06/2021,"12,946","9,932"
01/07/2021,"13,131","9,787"
02/07/2021,"9,778","10,285"
03/07/2021,"7,382","5,319"
04/07/2021,"3,487","2,918"
05/07/2021,"7,783","7,957"
06/07/2021,"9,592","11,321"
07/07/2021,"11,287","11,849"
08/07/2021,"12,713","11,876"
09/07/2021,"11,077","10,506"
10/07/2021,"9,304","6,468"
11/07/2021,"4,394","3,238"
12/07/2021,"9,584","8,146"
13/07/2021,"12,066","10,469"
14/07/2021,"13,403","11,439"
15/07/2021,"12,863","10,894"
16/07/2021,"11,927","9,899"
17/07/2021,"9,444","7,068"
18/07/2021,"5,634","3,069"
19/07/2021,"13,151","9,178"
20/07/2021,"18,765","11,911"
21/07/2021,"20,811","13,167"
22/07/2021,"19,836","12,506"
23/07/2021,"19,766","11,279"
24/07/2021,"17,085","7,704"
25/07/2021,"9,043","4,919"
26/07/2021,"20,554","9,964"
27/07/2021,"27,553","11,357"
28/07/2021,"29,416","12,135"
29/07/2021,"28,213","11,971"
30/07/2021,"31,460","10,610"
31/07/2021,"29,518","9,013"
01/08/2021,"17,961","4,659"
02/08/2021,"25,580","9,408"
03/08/2021,"30,277","12,512"
04/08/2021,"32,553","12,901"
05/08/2021,"29,194","12,979"
06/08/2021,"30,368","11,692"
07/08/2021,"27,875","8,872"
08/08/2021,"15,869","4,621"
09/08/2021,"26,898","11,632"
10/08/2021,"31,111","15,917"
11/08/2021,"32,025","16,845"
