DHB,,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Southern,Plan,"3,870","2,224","2,020","6,400","3,600","2,880","8,200","5,400","5,400","5,400","7,200","7,200","7,200","7,200","7,200","7,200","25,000","28,750","32,200","32,200","32,200","32,200","271,144"
Southern,Actual,"3,960","2,797","5,347","3,956","3,154","5,061","5,962","5,304","6,055","8,404","6,303","9,969","9,932","8,260","8,626","4,817","12,672","18,791","24,726","25,874","25,478","50,211","255,659"
Southern,Variance,90,573,"3,327","-2,444",-446,"2,181","-2,238",-96,655,"3,004",-897,"2,769","2,732","1,060","1,426","-2,383","-12,328","-9,959","-7,474","-6,326","-6,722","18,011","-15,485"
Tairāwhiti,Plan,620,0,585,500,534,"1,055","1,100",534,470,600,"1,045","1,100","1,600","1,600","1,440","1,440","2,250","3,600","3,600","3,584","3,600","3,600","34,457"
Tairāwhiti,Actual,608,0,770,628,229,703,921,741,896,"1,023","1,217","1,834","1,248","1,492","1,527","1,155","1,711","2,130","3,120","2,667","4,120","5,961","34,701"
Tairāwhiti,Variance,-12,0,185,128,-305,-352,-179,207,426,423,172,734,-352,-108,87,-285,-539,"-1,470",-480,-917,520,"2,361",244
Taranaki,Plan,"1,268",329,400,300,600,800,800,800,800,800,800,800,800,800,"2,009","2,315","5,158","7,056","7,056","7,056","7,056","7,056","54,859"
Taranaki,Actual,"1,267",330,418,450,600,879,815,894,"1,012","1,034","1,188","1,835","1,837","2,013","2,012","2,225","4,833","4,824","7,571","5,378","6,587","14,518","62,520"
Taranaki,Variance,-1,1,18,150,0,79,15,94,212,234,388,"1,035","1,037","1,213",3,-90,-325,"-2,232",515,"-1,678",-469,"7,462","7,661"
Waikato,Plan,"5,658","2,100","3,615","4,015","4,073","4,649","4,457","4,275","4,124","5,142","6,952","6,840","10,950","11,850","11,850","11,850","15,987","23,864","25,580","26,406","32,796","33,329","260,362"
Waikato,Actual,"5,667","1,931","2,968","4,251","4,308","5,277","5,972","5,976","7,185","6,309","5,725","7,258","7,511","7,927","7,541","8,604","15,632","22,070","23,152","28,298","31,373","52,859","267,794"
Waikato,Variance,9,-169,-647,236,235,628,"1,515","1,701","3,061","1,167","-1,227",418,"-3,439","-3,923","-4,309","-3,246",-355,"-1,794","-2,428","1,892","-1,423","19,530","7,432"
Wairarapa,Plan,0,120,390,600,900,975,975,"1,000","1,000","1,000","2,250","2,250","2,250","2,250","2,050","2,050","2,880","2,880","2,880","2,880","2,880","3,400","37,860"
Wairarapa,Actual,0,115,477,507,617,790,"1,117",937,"1,053","1,385",842,"1,399","1,871","1,721","2,787","2,412","2,562","3,548","2,853","3,444","2,672","4,316","37,425"
Wairarapa,Variance,0,-5,87,-93,-283,-185,142,-63,53,385,"-1,408",-851,-379,-529,737,362,-318,668,-27,564,-208,916,-435
West Coast,Plan,0,30,120,300,390,600,810,"1,050","1,140","1,260","1,440","1,500","1,500","1,500","1,500","1,500","1,800","2,100","2,200","2,200","2,150","2,250","27,340"
West Coast,Actual,0,34,127,309,398,555,869,"1,251","1,189","1,301","1,009","1,575","1,402","1,295","1,437","1,363",946,"1,089","1,927","1,779","1,378","2,832","24,065"
West Coast,Variance,0,4,7,9,8,-45,59,201,49,41,-431,75,-98,-205,-63,-137,-854,"-1,011",-273,-421,-772,582,"-3,275"
Whanganui,Plan,91,180,450,390,900,900,900,900,900,900,900,900,900,900,"1,490","1,718","3,364","4,023","3,496","5,206","5,973","5,406","40,787"
Whanganui,Actual,90,180,509,862,843,"1,433","1,368","1,697","1,952","2,484","2,426","1,883","1,989","1,545",949,"1,223","2,155","3,956","3,447","4,231","4,695","8,196","48,113"
Whanganui,Variance,-1,0,59,472,-57,533,468,797,"1,052","1,584","1,526",983,"1,089",645,-541,-495,"-1,209",-67,-49,-975,"-1,278","2,790","7,326"
Other Sites,Plan,"7,735","1,410","2,190","2,130","1,110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,575"
Other Sites,Actual,"7,732","2,569","3,110","2,176","1,013","2,826","2,525","2,987","2,834","3,432","2,237","2,364","1,973","2,453","2,449","1,676","1,467","1,707","2,025","4,286","2,534","6,138","62,513"
Other Sites,Variance,-3,"1,159",920,46,-97,"2,826","2,525","2,987","2,834","3,432","2,237","2,364","1,973","2,453","2,449","1,676","1,467","1,707","2,025","4,286","2,534","6,138","47,938"
Totals,Plan,"84,595","33,397","46,115","52,051","57,591","65,064","76,011","78,782","88,326","98,358","112,723","116,409","124,426","128,104","128,047","135,372","207,702","258,236","280,878","291,593","307,196","306,185","3,077,161"
Totals,Actual,"84,867","36,528","49,660","55,512","58,122","81,580","84,654","84,062","101,927","113,661","102,712","128,178","132,979","122,292","129,365","135,905","189,121","254,384","264,701","299,698","283,640","549,887","3,343,435"
Totals,Variance,272,"3,131","3,545","3,461",531,"16,516","8,643","5,280","13,601","15,303","-10,011","11,769","8,553","-5,812","1,318",533,"-18,581","-3,852","-16,177","8,105","-23,556","243,702","266,274"
