SA2 CODE 2018,SA2 2018,DHB,ETHNICITY, POPULATION , FIRST DOSE , SECOND DOSE , FIRST DOSE UPTAKE , SECOND DOSE UPTAKE 
107100,Whangarei Central,Northland,Maori,261,203,171, 778 , 655 
107200,Riverside,Northland,Maori,405,320,265, 790 , 654 
107200,Riverside,Northland,Pacific Peoples,47,39,36, 830 , 766 
107300,Raumanga,Northland,Maori,1440,1057,759, 734 , 527 
107300,Raumanga,Northland,Pacific Peoples,89,76,63, 854 , 708 
107400,Tarewa,Northland,Maori,885,630,486, 712 , 549 
107500,Morningside (Whangarei District),Northland,Maori,776,611,495, 787 , 638 
107500,Morningside (Whangarei District),Northland,Pacific Peoples,50,42,38, 840 , 760 
107600,Ngunguru,Northland,Maori,160,131,116, 819 , 725 
107700,Otaika-Portland,Northland,Maori,290,219,184, 755 , 634 
107800,Oakleigh-Mangapai,Northland,Maori,248,178,161, 718 , 649 
108000,Pataua,Northland,Maori,181,131,113, 724 , 624 
108100,Onerahi Park,Northland,Maori,229,210,185, 917 , 808 
108200,Sherwood Rise,Northland,Maori,595,499,421, 839 , 708 
108200,Sherwood Rise,Northland,Pacific Peoples,42,Masked,37, >950 , 881 
108300,Onerahi,Northland,Maori,570,442,338, 775 , 593 
108300,Onerahi,Northland,Pacific Peoples,55,40,31, 727 , 564 
108500,Parua Bay,Northland,Maori,252,228,197, 905 , 782 
108600,Bream Bay,Northland,Maori,325,280,235, 862 , 723 
108700,Marsden Bay,Northland,Maori,296,256,223, 865 , 753 
108800,Ruakaka,Northland,Maori,569,504,392, 886 , 689 
108800,Ruakaka,Northland,Pacific Peoples,49,45,42, 918 , 857 
108900,Bream Head,Northland,Maori,91,80,69, 879 , 758 
109000,Waipu,Northland,Maori,254,214,193, 843 , 760 
109100,Kaipara Coastal,Northland,Maori,818,598,486, 731 , 594 
109100,Kaipara Coastal,Northland,Pacific Peoples,41,30,23, 732 , 561 
109200,Maungaru,Northland,Maori,241,202,172, 838 , 714 
109300,Dargaville,Northland,Maori,1273,956,750, 751 , 589 
109300,Dargaville,Northland,Pacific Peoples,190,171,140, 900 , 737 
109400,Ruawai-Matakohe,Northland,Maori,476,367,310, 771 , 651 
109500,Otamatea (Kaipara District),Northland,Maori,164,110,95, 671 , 579 
109600,Maungaturoto,Northland,Maori,201,153,128, 761 , 637 
109700,Kaiwaka,Northland,Maori,402,314,252, 781 , 627 
109800,Mangawhai Rural,Northland,Maori,173,129,115, 746 , 665 
109900,Mangawhai Heads,Northland,Maori,152,142,118, 934 , 776 
110100,Mangawhai,Northland,Maori,62,56,50, 903 , 806 
110200,Okahukura Peninsula,Waitemata,Maori,177,144,115, 814 , 650 
110400,Cape Rodney,Waitemata,Maori,353,308,284, 873 , 805 
110400,Cape Rodney,Waitemata,Pacific Peoples,41,Masked,37, >950 , 902 
110500,Wellsford,Waitemata,Maori,299,208,174, 696 , 582 
110500,Wellsford,Waitemata,Pacific Peoples,57,53,51, 930 , 895 
110700,South Head,Waitemata,Maori,354,298,260, 842 , 734 
110700,South Head,Waitemata,Pacific Peoples,49,39,33, 796 , 673 
110800,Kaipara Hills,Waitemata,Maori,230,212,176, 922 , 765 
110900,Dome Valley-Matakana,Waitemata,Maori,70,66,59, 943 , 843 
111100,Warkworth West,Waitemata,Maori,138,119,104, 862 , 754 
111100,Warkworth West,Waitemata,Pacific Peoples,91,Masked,Masked, >950 , >950 
111200,Puhoi Valley,Waitemata,Maori,180,163,139, 906 , 772 
111200,Puhoi Valley,Waitemata,Pacific Peoples,52,Masked,Masked, >950 , >950 
111300,Warkworth East,Waitemata,Maori,184,166,141, 902 , 766 
111300,Warkworth East,Waitemata,Pacific Peoples,170,Masked,Masked, >950 , >950 
111500,Tawharanui Peninsula,Waitemata,Maori,80,65,62, 813 , 775 
111600,Te Kuru,Waitemata,Maori,142,134,118, 944 , 831 
111700,Snells Beach,Waitemata,Maori,230,202,169, 878 , 735 
111700,Snells Beach,Waitemata,Pacific Peoples,111,100,83, 901 , 748 
111800,Barrier Islands,Auckland,Maori,147,126,116, 857 , 789 
111900,Algies Bay-Scotts Landing,Waitemata,Maori,41,Masked,37, >950 , 902 
112100,Wainui-Waiwera,Waitemata,Maori,99,84,81, 848 , 818 
112200,Parakai,Waitemata,Maori,187,158,134, 845 , 717 
112300,Helensville Rural,Waitemata,Maori,96,Masked,83, >950 , 865 
112400,Helensville,Waitemata,Maori,400,342,284, 855 , 710 
112400,Helensville,Waitemata,Pacific Peoples,100,78,67, 780 , 670 
112500,Waitoki,Waitemata,Maori,66,54,51, 818 , 773 
112600,Waikoukou Valley,Waitemata,Maori,83,Masked,74, >950 , 892 
112700,Orewa North,Waitemata,Maori,156,Masked,141, >950 , 904 
112700,Orewa North,Waitemata,Pacific Peoples,59,Masked,56, >950 , 949 
112800,Hatfields Beach,Waitemata,Maori,97,Masked,90, >950 , 928 
112900,Orewa South,Waitemata,Maori,114,Masked,Masked, >950 , >950 
112900,Orewa South,Waitemata,Pacific Peoples,59,56,52, 949 , 881 
113000,Orewa Central,Waitemata,Maori,151,141,129, 934 , 854 
113000,Orewa Central,Waitemata,Pacific Peoples,70,56,54, 800 , 771 
113100,Millwater North,Waitemata,Maori,75,Masked,68, >950 , 907 
113200,Waipatukahu,Waitemata,Maori,153,141,134, 922 , 876 
113300,Millwater South,Waitemata,Maori,118,111,98, 941 , 831 
113400,Dairy Flat North,Waitemata,Maori,120,109,86, 908 , 717 
113500,Dairy Flat West,Waitemata,Maori,46,Masked,Masked, >950 , >950 
113600,Kingsway,Waitemata,Maori,84,78,65, 929 , 774 
113800,Silverdale Central (Auckland),Waitemata,Maori,44,37,35, 841 , 795 
113900,Red Beach West,Waitemata,Maori,99,90,79, 909 , 798 
114000,Red Beach East,Waitemata,Maori,190,173,157, 911 , 826 
114000,Red Beach East,Waitemata,Pacific Peoples,52,Masked,Masked, >950 , >950 
114100,Silverdale South (Auckland),Waitemata,Maori,102,82,73, 804 , 716 
114200,Waimauku,Waitemata,Maori,82,Masked,74, >950 , 902 
114400,Vipond,Waitemata,Maori,203,158,143, 778 , 704 
114400,Vipond,Waitemata,Pacific Peoples,46,Masked,43, >950 , 935 
114500,Muriwai,Waitemata,Maori,85,80,75, 941 , 882 
114600,Stanmore Bay West,Waitemata,Maori,188,167,149, 888 , 793 
114700,Kumeu Rural West,Waitemata,Maori,107,96,88, 897 , 822 
114700,Kumeu Rural West,Waitemata,Pacific Peoples,64,Masked,56, >950 , 875 
114800,Okura Bush,Waitemata,Maori,63,51,44, 810 , 698 
114900,Whangaparoa Central,Waitemata,Maori,223,Masked,199, >950 , 892 
114900,Whangaparoa Central,Waitemata,Pacific Peoples,42,38,35, 905 , 833 
115000,Kumeu-Huapai,Waitemata,Maori,234,Masked,203, >950 , 868 
115000,Kumeu-Huapai,Waitemata,Pacific Peoples,114,Masked,Masked, >950 , >950 
115100,Stanmore Bay East,Waitemata,Maori,230,192,170, 835 , 739 
115200,Manly West,Waitemata,Maori,165,137,110, 830 , 667 
115200,Manly West,Waitemata,Pacific Peoples,47,40,32, 851 , 681 
115300,Muriwai Valley-Bethells Beach,Waitemata,Maori,78,61,51, 782 , 654 
115400,Tindalls-Matakatia,Waitemata,Maori,86,Masked,Masked, >950 , >950 
115500,Coatesville,Waitemata,Maori,60,Masked,52, >950 , 867 
115600,Dairy Flat South,Waitemata,Maori,55,50,46, 909 , 836 
115700,Gulf Harbour North,Waitemata,Maori,127,115,105, 906 , 827 
115700,Gulf Harbour North,Waitemata,Pacific Peoples,50,46,42, 920 , 840 
115800,Manly East,Waitemata,Maori,211,172,154, 815 , 730 
115800,Manly East,Waitemata,Pacific Peoples,70,51,48, 729 , 686 
115900,Riverhead,Waitemata,Maori,187,141,121, 754 , 647 
115900,Riverhead,Waitemata,Pacific Peoples,69,61,61, 884 , 884 
116000,Army Bay,Waitemata,Maori,63,Masked,Masked, >950 , >950 
116000,Army Bay,Waitemata,Pacific Peoples,41,Masked,37, >950 , 902 
116100,Kumeu Rural East,Waitemata,Maori,181,149,134, 823 , 740 
116100,Kumeu Rural East,Waitemata,Pacific Peoples,73,Masked,Masked, >950 , >950 
116200,Gulf Harbour South,Waitemata,Maori,66,45,42, 682 , 636 
116400,Taupaki,Waitemata,Maori,82,Masked,Masked, >950 , >950 
116600,Paremoremo East,Waitemata,Maori,132,113,108, 856 , 818 
116700,Albany Heights,Waitemata,Maori,94,Masked,85, >950 , 904 
116700,Albany Heights,Waitemata,Pacific Peoples,41,Masked,Masked, >950 , >950 
116800,Awaruku,Waitemata,Maori,121,Masked,112, >950 , 926 
116800,Awaruku,Waitemata,Pacific Peoples,53,Masked,Masked, >950 , >950 
116900,Fairview Heights,Waitemata,Maori,61,Masked,Masked, >950 , >950 
117000,Whenuapai,Waitemata,Maori,382,Masked,334, >950 , 874 
117000,Whenuapai,Waitemata,Pacific Peoples,189,Masked,165, >950 , 873 
117100,Waitakere Ranges North,Waitemata,Maori,67,Masked,Masked, >950 , >950 
117200,Torbay,Waitemata,Maori,133,125,118, 940 , 887 
117200,Torbay,Waitemata,Pacific Peoples,63,Masked,58, >950 , 921 
117300,Albany Central,Waitemata,Maori,102,96,85, 941 , 833 
117400,Albany West,Waitemata,Maori,56,Masked,Masked, >950 , >950 
117500,Glamorgan,Waitemata,Maori,137,126,120, 920 , 876 
117600,Oteha East,Waitemata,Maori,67,Masked,61, >950 , 910 
117600,Oteha East,Waitemata,Pacific Peoples,52,36,36, 692 , 692 
117700,Northcross,Waitemata,Maori,99,Masked,91, >950 , 919 
117900,Waiake,Waitemata,Maori,120,109,97, 908 , 808 
117900,Waiake,Waitemata,Pacific Peoples,46,Masked,38, >950 , 826 
118000,Waitakere,Waitemata,Maori,190,150,138, 789 , 726 
118000,Waitakere,Waitemata,Pacific Peoples,68,63,59, 926 , 868 
118100,Albany South,Waitemata,Maori,101,87,79, 861 , 782 
