SA2 CODE 2018,SA2 2018,DHB,ETHNICITY, POPULATION , FIRST DOSE , SECOND DOSE , FIRST DOSE UPTAKE , SECOND DOSE UPTAKE 
148200,Favona North,Counties Manukau,Maori,346,259,227, 749 , 656 
148200,Favona North,Counties Manukau,Pacific Peoples,1601,1378,1258, 861 , 786 
148400,Farm Cove,Counties Manukau,Maori,66,62,61, 939 , 924 
148400,Farm Cove,Counties Manukau,Pacific Peoples,43,33,29, 767 , 674 
148500,Mangere North,Counties Manukau,Maori,323,226,192, 700 , 594 
148500,Mangere North,Counties Manukau,Pacific Peoples,1298,1090,986, 840 , 760 
148600,Favona West,Counties Manukau,Maori,359,290,215, 808 , 599 
148600,Favona West,Counties Manukau,Pacific Peoples,1965,1720,1546, 875 , 787 
148700,Ostend,Auckland,Maori,148,140,118, 946 , 797 
148900,Mangere West,Counties Manukau,Maori,618,485,403, 785 , 652 
148900,Mangere West,Counties Manukau,Pacific Peoples,2590,2184,1977, 843 , 763 
149000,Pakuranga West,Counties Manukau,Maori,392,345,305, 880 , 778 
149000,Pakuranga West,Counties Manukau,Pacific Peoples,445,Masked,389, >950 , 874 
149100,Mount Wellington South West,Auckland,Maori,287,Masked,229, >950 , 798 
149100,Mount Wellington South West,Auckland,Pacific Peoples,615,584,535, 950 , 870 
149200,Sunnyhills East,Counties Manukau,Maori,122,114,101, 934 , 828 
149200,Sunnyhills East,Counties Manukau,Pacific Peoples,64,Masked,56, >950 , 875 
149300,Half Moon Bay South East,Counties Manukau,Maori,158,138,132, 873 , 835 
149300,Half Moon Bay South East,Counties Manukau,Pacific Peoples,140,125,117, 893 , 836 
149400,Favona East,Counties Manukau,Maori,369,305,256, 827 , 694 
149400,Favona East,Counties Manukau,Pacific Peoples,2104,1843,1655, 876 , 787 
149500,Mount Wellington South East,Auckland,Maori,419,365,309, 871 , 737 
149500,Mount Wellington South East,Auckland,Pacific Peoples,1252,1096,986, 875 , 788 
149700,Bucklands Beach South,Counties Manukau,Maori,107,87,78, 813 , 729 
149700,Bucklands Beach South,Counties Manukau,Pacific Peoples,103,85,77, 825 , 748 
149800,Pakuranga Central,Counties Manukau,Maori,255,222,193, 871 , 757 
149800,Pakuranga Central,Counties Manukau,Pacific Peoples,351,320,289, 912 , 823 
149900,Awhitu,Counties Manukau,Maori,248,216,192, 871 , 774 
150000,Harania North,Counties Manukau,Maori,416,337,285, 810 , 685 
150000,Harania North,Counties Manukau,Pacific Peoples,2734,2406,2122, 880 , 776 
150100,Otahuhu Central,Auckland,Maori,233,Masked,202, >950 , 867 
150100,Otahuhu Central,Auckland,Pacific Peoples,583,553,509, 949 , 873 
150200,Mangere Central,Counties Manukau,Maori,483,380,317, 787 , 656 
150200,Mangere Central,Counties Manukau,Pacific Peoples,2200,1885,1716, 857 , 780 
150300,Otahuhu North,Auckland,Maori,393,295,246, 751 , 626 
150300,Otahuhu North,Auckland,Pacific Peoples,1623,1519,1377, 936 , 848 
150400,Howick West,Counties Manukau,Maori,157,140,122, 892 , 777 
150400,Howick West,Counties Manukau,Pacific Peoples,110,Masked,Masked, >950 , >950 
150500,Pakuranga Heights North West,Counties Manukau,Maori,231,168,139, 727 , 602 
150500,Pakuranga Heights North West,Counties Manukau,Pacific Peoples,210,190,171, 905 , 814 
150600,Mellons Bay,Counties Manukau,Maori,103,93,90, 903 , 874 
150600,Mellons Bay,Counties Manukau,Pacific Peoples,41,36,36, 878 , 878 
150700,Pakuranga Heights East,Counties Manukau,Maori,233,204,181, 876 , 777 
150700,Pakuranga Heights East,Counties Manukau,Pacific Peoples,206,Masked,189, >950 , 917 
150800,Sutton Park,Counties Manukau,Maori,438,348,281, 795 , 642 
150800,Sutton Park,Counties Manukau,Pacific Peoples,2492,2177,1993, 874 , 800 
150900,Otahuhu East,Auckland,Maori,262,211,187, 805 , 714 
150900,Otahuhu East,Auckland,Pacific Peoples,894,837,777, 936 , 869 
151000,Mangere South,Counties Manukau,Maori,340,291,243, 856 , 715 
151000,Mangere South,Counties Manukau,Pacific Peoples,1930,1650,1515, 855 , 785 
151100,Onetangi,Auckland,Maori,98,87,73, 888 , 745 
151200,Harania South,Counties Manukau,Maori,454,353,301, 778 , 663 
151200,Harania South,Counties Manukau,Pacific Peoples,1907,1686,1529, 884 , 802 
151300,Highland Park (Auckland),Counties Manukau,Maori,131,123,115, 939 , 878 
151300,Highland Park (Auckland),Counties Manukau,Pacific Peoples,162,139,120, 858 , 741 
151400,Otahuhu South West,Auckland,Maori,534,427,376, 800 , 704 
151400,Otahuhu South West,Auckland,Pacific Peoples,1575,1373,1263, 872 , 802 
151500,Pakuranga Heights South West,Counties Manukau,Maori,256,222,210, 867 , 820 
151500,Pakuranga Heights South West,Counties Manukau,Pacific Peoples,330,312,286, 945 , 867 
151600,Mangere Mascot,Counties Manukau,Maori,453,360,298, 795 , 658 
151600,Mangere Mascot,Counties Manukau,Pacific Peoples,2325,2006,1816, 863 , 781 
151700,Waiheke East,Auckland,Maori,70,53,49, 757 , 700 
151800,Massey Road West,Counties Manukau,Maori,439,367,299, 836 , 681 
151800,Massey Road West,Counties Manukau,Pacific Peoples,2138,1839,1667, 860 , 780 
151900,Otahuhu South,Auckland,Maori,454,381,326, 839 , 718 
151900,Otahuhu South,Auckland,Pacific Peoples,1498,1334,1205, 891 , 804 
152000,Howick Central,Counties Manukau,Maori,142,123,114, 866 , 803 
152000,Howick Central,Counties Manukau,Pacific Peoples,112,105,97, 938 , 866 
152100,Massey Road North,Counties Manukau,Maori,399,352,300, 882 , 752 
152100,Massey Road North,Counties Manukau,Pacific Peoples,1543,1388,1247, 900 , 808 
152200,Botany Downs West,Counties Manukau,Maori,76,Masked,71, >950 , 934 
152200,Botany Downs West,Counties Manukau,Pacific Peoples,63,Masked,Masked, >950 , >950 
152300,East Tamaki,Counties Manukau,Pacific Peoples,43,32,27, 744 , 628 
152400,Howick East,Counties Manukau,Maori,155,135,124, 871 , 800 
152400,Howick East,Counties Manukau,Pacific Peoples,87,76,70, 874 , 805 
152500,Burswood,Counties Manukau,Maori,60,57,51, 950 , 850 
152500,Burswood,Counties Manukau,Pacific Peoples,86,79,73, 919 , 849 
152600,Massey Road South,Counties Manukau,Maori,234,174,138, 744 , 590 
152600,Massey Road South,Counties Manukau,Pacific Peoples,1058,940,855, 888 , 808 
152800,Mangere South East,Counties Manukau,Maori,389,320,281, 823 , 722 
152800,Mangere South East,Counties Manukau,Pacific Peoples,1903,1668,1534, 877 , 806 
152900,Botany Downs East,Counties Manukau,Maori,66,Masked,62, >950 , 939 
152900,Botany Downs East,Counties Manukau,Pacific Peoples,64,Masked,Masked, >950 , >950 
153000,Grange,Counties Manukau,Maori,261,204,176, 782 , 674 
153000,Grange,Counties Manukau,Pacific Peoples,1189,1014,913, 853 , 768 
153100,Golflands,Counties Manukau,Maori,77,72,62, 935 , 805 
153100,Golflands,Counties Manukau,Pacific Peoples,62,Masked,Masked, >950 , >950 
153200,Aorere North,Counties Manukau,Maori,194,149,130, 768 , 670 
153200,Aorere North,Counties Manukau,Pacific Peoples,946,749,664, 792 , 702 
153300,Mangere East,Counties Manukau,Maori,361,318,272, 881 , 753 
153300,Mangere East,Counties Manukau,Pacific Peoples,1520,1414,1294, 930 , 851 
153400,Cockle Bay,Counties Manukau,Maori,132,Masked,Masked, >950 , >950 
153400,Cockle Bay,Counties Manukau,Pacific Peoples,57,Masked,Masked, >950 , >950 
153500,Otara West,Counties Manukau,Maori,655,469,359, 716 , 548 
153500,Otara West,Counties Manukau,Pacific Peoples,2016,1669,1476, 828 , 732 
153600,Aorere Central,Counties Manukau,Maori,267,218,193, 816 , 723 
153600,Aorere Central,Counties Manukau,Pacific Peoples,995,914,847, 919 , 851 
153700,Northpark North,Counties Manukau,Maori,61,56,52, 918 , 852 
153700,Northpark North,Counties Manukau,Pacific Peoples,82,66,63, 805 , 768 
153800,Somerville,Counties Manukau,Maori,97,92,91, 948 , 938 
153800,Somerville,Counties Manukau,Pacific Peoples,96,87,84, 906 , 875 
153900,Northpark South,Counties Manukau,Pacific Peoples,54,Masked,Masked, >950 , >950 
154000,Papatoetoe North,Counties Manukau,Maori,411,347,309, 844 , 752 
154000,Papatoetoe North,Counties Manukau,Pacific Peoples,1337,1244,1148, 930 , 859 
154100,Dingwall,Counties Manukau,Maori,320,241,223, 753 , 697 
154100,Dingwall,Counties Manukau,Pacific Peoples,690,Masked,640, >950 , 928 
154200,Aorere South,Counties Manukau,Maori,571,454,406, 795 , 711 
154200,Aorere South,Counties Manukau,Pacific Peoples,1910,1696,1600, 888 , 838 
154300,Shelly Park,Counties Manukau,Maori,89,83,80, 933 , 899 
154300,Shelly Park,Counties Manukau,Pacific Peoples,54,51,50, 944 , 926 
154400,Otara Central,Counties Manukau,Maori,445,358,299, 804 , 672 
154400,Otara Central,Counties Manukau,Pacific Peoples,1751,1432,1259, 818 , 719 
154500,Huntington Park,Counties Manukau,Maori,58,Masked,Masked, >950 , >950 
154500,Huntington Park,Counties Manukau,Pacific Peoples,74,70,67, 946 , 905 
154700,Botany North,Counties Manukau,Maori,63,Masked,59, >950 , 937 
154700,Botany North,Counties Manukau,Pacific Peoples,58,Masked,Masked, >950 , >950 
154800,Papatoetoe West,Counties Manukau,Maori,445,411,352, 924 , 791 
154800,Papatoetoe West,Counties Manukau,Pacific Peoples,1529,1396,1311, 913 , 857 
154900,Papatoetoe Central,Counties Manukau,Maori,416,372,335, 894 , 805 
154900,Papatoetoe Central,Counties Manukau,Pacific Peoples,1027,Masked,958, >950 , 933 
155000,Sunkist Bay,Counties Manukau,Maori,197,Masked,186, >950 , 944 
155000,Sunkist Bay,Counties Manukau,Pacific Peoples,54,50,49, 926 , 907 
155100,Otara East,Counties Manukau,Maori,598,479,372, 801 , 622 
155100,Otara East,Counties Manukau,Pacific Peoples,2367,2072,1864, 875 , 787 
155200,Redcastle,Counties Manukau,Maori,109,98,90, 899 , 826 
155200,Redcastle,Counties Manukau,Pacific Peoples,183,167,156, 913 , 852 
155300,Botany East,Counties Manukau,Maori,40,Masked,Masked, >950 , >950 
155300,Botany East,Counties Manukau,Pacific Peoples,70,59,59, 843 , 843 
155400,Botany South,Counties Manukau,Maori,95,88,83, 926 , 874 
155400,Botany South,Counties Manukau,Pacific Peoples,86,Masked,Masked, >950 , >950 
155500,Manukau Central,Counties Manukau,Maori,163,Masked,150, >950 , 920 
155500,Manukau Central,Counties Manukau,Pacific Peoples,234,222,200, 949 , 855 
155600,Papatoetoe East,Counties Manukau,Maori,444,370,329, 833 , 741 
155600,Papatoetoe East,Counties Manukau,Pacific Peoples,1279,1139,1064, 891 , 832 
155700,Otara South,Counties Manukau,Maori,535,406,323, 759 , 604 
155700,Otara South,Counties Manukau,Pacific Peoples,2432,2032,1813, 836 , 745 
155800,Ferguson,Counties Manukau,Maori,771,568,447, 737 , 580 
155800,Ferguson,Counties Manukau,Pacific Peoples,2818,2388,2103, 847 , 746 
155900,Papatoetoe South West,Counties Manukau,Maori,409,337,302, 824 , 738 
155900,Papatoetoe South West,Counties Manukau,Pacific Peoples,1314,1232,1125, 938 , 856 
156100,Dannemora North,Counties Manukau,Maori,61,57,55, 934 , 902 
156100,Dannemora North,Counties Manukau,Pacific Peoples,122,102,97, 836 , 795 
156200,Papatoetoe South,Counties Manukau,Maori,349,299,249, 857 , 713 
156200,Papatoetoe South,Counties Manukau,Pacific Peoples,873,Masked,778, >950 , 891 
156300,East Tamaki Heights,Counties Manukau,Maori,63,45,44, 714 , 698 
156300,East Tamaki Heights,Counties Manukau,Pacific Peoples,92,Masked,87, >950 , 946 
156400,Te Puru,Counties Manukau,Maori,142,Masked,Masked, >950 , >950 
156400,Te Puru,Counties Manukau,Pacific Peoples,66,Masked,Masked, >950 , >950 
156500,Puhinui North,Counties Manukau,Maori,269,237,214, 881 , 796 
156500,Puhinui North,Counties Manukau,Pacific Peoples,915,842,796, 920 , 870 
156600,Dannemora South,Counties Manukau,Maori,69,61,55, 884 , 797 
156600,Dannemora South,Counties Manukau,Pacific Peoples,189,Masked,175, >950 , 926 
156700,Puhinui South,Counties Manukau,Maori,254,192,160, 756 , 630 
156700,Puhinui South,Counties Manukau,Pacific Peoples,683,636,588, 931 , 861 
156800,Rongomai West,Counties Manukau,Maori,421,326,272, 774 , 646 
156800,Rongomai West,Counties Manukau,Pacific Peoples,1551,1303,1178, 840 , 760 
156900,Baverstock,Counties Manukau,Maori,144,128,114, 889 , 792 
156900,Baverstock,Counties Manukau,Pacific Peoples,327,Masked,Masked, >950 , >950 
157000,Puhinui East,Counties Manukau,Maori,183,162,142, 885 , 776 
157000,Puhinui East,Counties Manukau,Pacific Peoples,706,630,592, 892 , 839 
157100,Turanga,Counties Manukau,Maori,149,Masked,Masked, >950 , >950 
157100,Turanga,Counties Manukau,Pacific Peoples,56,Masked,Masked, >950 , >950 
157200,Rongomai East,Counties Manukau,Maori,239,169,135, 707 , 565 
157200,Rongomai East,Counties Manukau,Pacific Peoples,1219,1009,914, 828 , 750 
157300,Ormiston North,Counties Manukau,Maori,47,Masked,Masked, >950 , >950 
157300,Ormiston North,Counties Manukau,Pacific Peoples,190,Masked,175, >950 , 921 
157400,Maraetai,Counties Manukau,Maori,119,111,107, 933 , 899 
157500,Chapel Downs,Counties Manukau,Maori,266,190,159, 714 , 598 
157500,Chapel Downs,Counties Manukau,Pacific Peoples,820,725,659, 884 , 804 
157600,Wiri West,Counties Manukau,Maori,344,272,225, 791 , 654 
157600,Wiri West,Counties Manukau,Pacific Peoples,174,163,140, 937 , 805 
157700,Clover Park North,Counties Manukau,Maori,695,534,436, 768 , 627 
157700,Clover Park North,Counties Manukau,Pacific Peoples,2654,2205,2006, 831 , 756 
157800,Mission Heights North,Counties Manukau,Maori,120,93,85, 775 , 708 
157800,Mission Heights North,Counties Manukau,Pacific Peoples,209,Masked,Masked, >950 , >950 
157900,Clover Park South,Counties Manukau,Maori,490,360,313, 735 , 639 
157900,Clover Park South,Counties Manukau,Pacific Peoples,1375,1213,1101, 882 , 801 
158000,Donegal Park,Counties Manukau,Maori,113,Masked,93, >950 , 823 
158000,Donegal Park,Counties Manukau,Pacific Peoples,578,Masked,518, >950 , 896 
158100,Ormiston South,Counties Manukau,Maori,176,149,134, 847 , 761 
158100,Ormiston South,Counties Manukau,Pacific Peoples,530,Masked,Masked, >950 , >950 
158200,Mission Heights South,Counties Manukau,Maori,95,83,74, 874 , 779 
158200,Mission Heights South,Counties Manukau,Pacific Peoples,282,Masked,257, >950 , 911 
158300,Hilltop (Auckland),Counties Manukau,Maori,264,209,176, 792 , 667 
158300,Hilltop (Auckland),Counties Manukau,Pacific Peoples,718,655,613, 912 , 854 
158400,Wiri East,Counties Manukau,Maori,816,646,495, 792 , 607 
158400,Wiri East,Counties Manukau,Pacific Peoples,1679,1431,1280, 852 , 762 
158500,Goodwood Heights,Counties Manukau,Maori,368,315,275, 856 , 747 
158500,Goodwood Heights,Counties Manukau,Pacific Peoples,932,841,781, 902 , 838 
158600,Ormiston East,Counties Manukau,Maori,76,Masked,71, >950 , 934 
158600,Ormiston East,Counties Manukau,Pacific Peoples,212,Masked,Masked, >950 , >950 
158700,Clendon Park North,Counties Manukau,Maori,771,611,482, 792 , 625 
158700,Clendon Park North,Counties Manukau,Pacific Peoples,1413,1213,1074, 858 , 760 
158800,Burbank,Counties Manukau,Maori,994,749,596, 754 , 600 
158800,Burbank,Counties Manukau,Pacific Peoples,1678,1471,1317, 877 , 785 
158900,Tuscany Heights,Counties Manukau,Maori,56,Masked,49, >950 , 875 
158900,Tuscany Heights,Counties Manukau,Pacific Peoples,85,Masked,Masked, >950 , >950 
159000,Totara Heights,Counties Manukau,Maori,297,234,214, 788 , 721 
159000,Totara Heights,Counties Manukau,Pacific Peoples,581,528,492, 909 , 847 
159100,Homai East,Counties Manukau,Maori,497,370,309, 744 , 622 
159100,Homai East,Counties Manukau,Pacific Peoples,964,846,778, 878 , 807 
159200,Homai West,Counties Manukau,Maori,1114,826,667, 741 , 599 
159200,Homai West,Counties Manukau,Pacific Peoples,1732,1533,1371, 885 , 792 
159300,The Gardens (Auckland),Counties Manukau,Maori,268,238,212, 888 , 791 
159300,The Gardens (Auckland),Counties Manukau,Pacific Peoples,408,379,347, 929 , 850 
159400,Clarks Beach,Counties Manukau,Maori,128,Masked,Masked, >950 , >950 
159400,Clarks Beach,Counties Manukau,Pacific Peoples,41,Masked,Masked, >950 , >950 
159500,Clendon Park West,Counties Manukau,Maori,624,483,381, 774 , 611 
159500,Clendon Park West,Counties Manukau,Pacific Peoples,1320,1183,1067, 896 , 808 
159600,Hillpark North,Counties Manukau,Maori,278,218,205, 784 , 737 
159600,Hillpark North,Counties Manukau,Pacific Peoples,430,384,345, 893 , 802 
159700,Clendon Park East,Counties Manukau,Maori,415,295,222, 711 , 535 
159700,Clendon Park East,Counties Manukau,Pacific Peoples,1024,938,842, 916 , 822 
159800,Karaka Creek,Counties Manukau,Maori,72,62,61, 861 , 847 
159900,Rowandale West,Counties Manukau,Maori,854,655,512, 767 , 600 
159900,Rowandale West,Counties Manukau,Pacific Peoples,1523,1301,1168, 854 , 767 
160000,Rowandale East,Counties Manukau,Maori,871,676,565, 776 , 649 
160000,Rowandale East,Counties Manukau,Pacific Peoples,1401,1248,1124, 891 , 802 
160100,Manurewa Central,Counties Manukau,Maori,532,433,368, 814 , 692 
160100,Manurewa Central,Counties Manukau,Pacific Peoples,925,845,774, 914 , 837 
160200,Weymouth North,Counties Manukau,Maori,1019,856,701, 840 , 688 
160200,Weymouth North,Counties Manukau,Pacific Peoples,1707,1518,1377, 889 , 807 
160300,Hillpark South,Counties Manukau,Maori,377,339,309, 899 , 820 
160300,Hillpark South,Counties Manukau,Pacific Peoples,532,460,417, 865 , 784 
160400,Alfriston,Counties Manukau,Maori,296,241,205, 814 , 693 
160400,Alfriston,Counties Manukau,Pacific Peoples,546,495,457, 907 , 837 
160500,Weymouth East,Counties Manukau,Maori,703,566,458, 805 , 651 
160500,Weymouth East,Counties Manukau,Pacific Peoples,1364,1184,1064, 868 , 780 
160600,Leabank,Counties Manukau,Maori,988,771,621, 780 , 629 
160600,Leabank,Counties Manukau,Pacific Peoples,1499,1278,1134, 853 , 757 
160700,Weymouth South,Counties Manukau,Maori,835,640,540, 766 , 647 
160700,Weymouth South,Counties Manukau,Pacific Peoples,1083,971,871, 897 , 804 
160800,Manurewa East,Counties Manukau,Maori,594,486,394, 818 , 663 
160800,Manurewa East,Counties Manukau,Pacific Peoples,864,Masked,730, >950 , 845 
160900,Manurewa South,Counties Manukau,Maori,876,715,609, 816 , 695 
160900,Manurewa South,Counties Manukau,Pacific Peoples,1145,1051,951, 918 , 831 
161000,Randwick Park East,Counties Manukau,Maori,320,273,219, 853 , 684 
161000,Randwick Park East,Counties Manukau,Pacific Peoples,543,463,427, 853 , 786 
161100,Wattle Downs West,Counties Manukau,Maori,420,364,317, 867 , 755 
161100,Wattle Downs West,Counties Manukau,Pacific Peoples,352,Masked,324, >950 , 920 
161200,Wattle Downs North,Counties Manukau,Maori,715,527,413, 737 , 578 
161200,Wattle Downs North,Counties Manukau,Pacific Peoples,820,703,622, 857 , 759 
161300,Randwick Park West,Counties Manukau,Maori,852,651,523, 764 , 614 
161300,Randwick Park West,Counties Manukau,Pacific Peoples,1314,1086,969, 826 , 737 
161400,Kingseat-Karaka,Counties Manukau,Maori,273,Masked,224, >950 , 821 
161400,Kingseat-Karaka,Counties Manukau,Pacific Peoples,72,Masked,67, >950 , 931 
161500,Wattle Downs East,Counties Manukau,Maori,322,305,269, 947 , 835 
161500,Wattle Downs East,Counties Manukau,Pacific Peoples,279,264,248, 946 , 889 
161600,Takanini North,Counties Manukau,Maori,463,358,281, 773 , 607 
161600,Takanini North,Counties Manukau,Pacific Peoples,340,321,284, 944 , 835 
161800,Conifer Grove West,Counties Manukau,Maori,247,Masked,224, >950 , 907 
161800,Conifer Grove West,Counties Manukau,Pacific Peoples,147,Masked,Masked, >950 , >950 
161900,Conifer Grove East,Counties Manukau,Maori,435,357,310, 821 , 713 
161900,Conifer Grove East,Counties Manukau,Pacific Peoples,359,287,251, 799 , 699 
162000,Takanini West,Counties Manukau,Maori,541,428,346, 791 , 640 
162000,Takanini West,Counties Manukau,Pacific Peoples,458,422,370, 921 , 808 
162100,Takanini South,Counties Manukau,Maori,420,Masked,356, >950 , 848 
162100,Takanini South,Counties Manukau,Pacific Peoples,551,Masked,Masked, >950 , >950 
162200,Takanini Central,Counties Manukau,Maori,99,83,75, 838 , 758 
162200,Takanini Central,Counties Manukau,Pacific Peoples,103,Masked,Masked, >950 , >950 
162300,Ardmore,Counties Manukau,Maori,168,153,136, 911 , 810 
162300,Ardmore,Counties Manukau,Pacific Peoples,41,Masked,Masked, >950 , >950 
162400,Glenbrook,Counties Manukau,Maori,158,Masked,140, >950 , 886 
162400,Glenbrook,Counties Manukau,Pacific Peoples,75,Masked,Masked, >950 , >950 
162500,Hingaia,Counties Manukau,Maori,131,123,112, 939 , 855 
162500,Hingaia,Counties Manukau,Pacific Peoples,88,Masked,Masked, >950 , >950 
162600,Takanini South East,Counties Manukau,Maori,377,338,280, 897 , 743 
162600,Takanini South East,Counties Manukau,Pacific Peoples,285,Masked,Masked, >950 , >950 
162700,Kawakawa Bay-Orere,Counties Manukau,Maori,193,183,163, 948 , 845 
162800,Papakura West,Counties Manukau,Maori,290,266,239, 917 , 824 
162800,Papakura West,Counties Manukau,Pacific Peoples,165,154,140, 933 , 848 
162900,Clevedon,Counties Manukau,Maori,79,67,64, 848 , 810 
163000,Papakura North,Counties Manukau,Maori,921,757,632, 822 , 686 
163000,Papakura North,Counties Manukau,Pacific Peoples,468,Masked,421, >950 , 900 
163100,Pahurehure,Counties Manukau,Maori,364,Masked,314, >950 , 863 
163100,Pahurehure,Counties Manukau,Pacific Peoples,205,Masked,183, >950 , 893 
163200,Papakura Central,Counties Manukau,Maori,622,Masked,516, >950 , 830 
163200,Papakura Central,Counties Manukau,Pacific Peoples,318,Masked,284, >950 , 893 
163300,Papakura North East,Counties Manukau,Maori,512,Masked,448, >950 , 875 
163300,Papakura North East,Counties Manukau,Pacific Peoples,408,Masked,Masked, >950 , >950 
163400,Karaka Lakes,Counties Manukau,Maori,97,Masked,Masked, >950 , >950 
163400,Karaka Lakes,Counties Manukau,Pacific Peoples,103,Masked,Masked, >950 , >950 
163500,Papakura Kelvin,Counties Manukau,Maori,1567,1236,988, 789 , 631 
163500,Papakura Kelvin,Counties Manukau,Pacific Peoples,802,Masked,688, >950 , 858 
163600,Papakura Massey Park,Counties Manukau,Maori,715,582,468, 814 , 655 
163600,Papakura Massey Park,Counties Manukau,Pacific Peoples,467,Masked,414, >950 , 887 
163700,Rosehill,Counties Manukau,Maori,922,779,612, 845 , 664 
163700,Rosehill,Counties Manukau,Pacific Peoples,506,Masked,461, >950 , 911 
163800,Patumahoe,Counties Manukau,Maori,129,Masked,120, >950 , 930 
163900,Papakura East,Counties Manukau,Maori,560,495,395, 884 , 705 
163900,Papakura East,Counties Manukau,Pacific Peoples,649,582,523, 897 , 806 
164000,Opaheke,Counties Manukau,Maori,434,408,338, 940 , 779 
164000,Opaheke,Counties Manukau,Pacific Peoples,214,Masked,193, >950 , 902 
164100,Papakura Industrial,Counties Manukau,Maori,40,Masked,31, >950 , 775 
164200,Red Hill,Counties Manukau,Maori,644,573,461, 890 , 716 
164200,Red Hill,Counties Manukau,Pacific Peoples,388,Masked,324, >950 , 835 
164300,Drury,Counties Manukau,Maori,217,183,154, 843 , 710 
164300,Drury,Counties Manukau,Pacific Peoples,66,Masked,Masked, >950 , >950 
164400,Tamakae,Counties Manukau,Maori,301,267,246, 887 , 817 
164400,Tamakae,Counties Manukau,Pacific Peoples,62,56,51, 903 , 823 
164500,Hamilton Estate,Counties Manukau,Maori,407,365,325, 897 , 799 
164500,Hamilton Estate,Counties Manukau,Pacific Peoples,53,Masked,Masked, >950 , >950 
164600,Drury Rural,Counties Manukau,Maori,290,Masked,256, >950 , 883 
164600,Drury Rural,Counties Manukau,Pacific Peoples,72,63,60, 875 , 833 
164700,Waiuku Central,Counties Manukau,Maori,147,Masked,126, >950 , 857 
164800,Waiuku East,Counties Manukau,Maori,220,Masked,191, >950 , 868 
164800,Waiuku East,Counties Manukau,Pacific Peoples,57,50,48, 877 , 842 
164900,Kendallvale,Counties Manukau,Maori,73,Masked,66, >950 , 904 
165000,Puni,Counties Manukau,Maori,147,136,123, 925 , 837 
165000,Puni,Counties Manukau,Pacific Peoples,89,Masked,82, >950 , 921 
165100,Ramarama,Counties Manukau,Maori,146,Masked,125, >950 , 856 
165100,Ramarama,Counties Manukau,Pacific Peoples,55,Masked,Masked, >950 , >950 
165200,Hunua,Counties Manukau,Maori,106,92,86, 868 , 811 
165300,Pukekohe North West,Counties Manukau,Maori,915,781,640, 854 , 699 
165300,Pukekohe North West,Counties Manukau,Pacific Peoples,472,446,381, 945 , 807 
165400,Anselmi Ridge,Counties Manukau,Maori,107,Masked,96, >950 , 897 
165400,Anselmi Ridge,Counties Manukau,Pacific Peoples,46,Masked,Masked, >950 , >950 
165500,Pukekohe West,Counties Manukau,Maori,1137,1001,837, 880 , 736 
165500,Pukekohe West,Counties Manukau,Pacific Peoples,467,Masked,400, >950 , 857 
165600,Cape Hill,Counties Manukau,Maori,111,96,85, 865 , 766 
165700,Rosa Birch Park,Counties Manukau,Maori,190,Masked,Masked, >950 , >950 
165700,Rosa Birch Park,Counties Manukau,Pacific Peoples,48,Masked,Masked, >950 , >950 
165800,Rooseville Park,Counties Manukau,Maori,300,280,256, 933 , 853 
165800,Rooseville Park,Counties Manukau,Pacific Peoples,79,Masked,67, >950 , 848 
165900,Cloverlea (Auckland),Counties Manukau,Maori,153,142,122, 928 , 797 
165900,Cloverlea (Auckland),Counties Manukau,Pacific Peoples,47,Masked,Masked, >950 , >950 
166000,Pukekohe Central,Counties Manukau,Maori,51,Masked,46, >950 , 902 
166100,Pukekohe Hospital,Counties Manukau,Maori,123,Masked,106, >950 , 862 
166100,Pukekohe Hospital,Counties Manukau,Pacific Peoples,50,45,38, 900 , 760 
166200,Buckland,Counties Manukau,Maori,94,Masked,86, >950 , 915 
166300,Bombay Hills,Counties Manukau,Maori,122,112,101, 918 , 828 
166300,Bombay Hills,Counties Manukau,Pacific Peoples,43,Masked,Masked, >950 , >950 
166400,Ararimu,Counties Manukau,Maori,111,Masked,100, >950 , 901 
166500,Colville,Waikato,Maori,441,342,287, 776 , 651 
166700,Coromandel,Waikato,Maori,335,253,215, 755 , 642 
166900,Mercury Bay North,Waikato,Maori,104,73,67, 702 , 644 
167000,Whitianga North,Waikato,Maori,118,89,70, 754 , 593 
167100,Whitianga South,Waikato,Maori,372,279,225, 750 , 605 
167100,Whitianga South,Waikato,Pacific Peoples,43,36,34, 837 , 791 
167200,Thames Coast,Waikato,Maori,270,224,203, 830 , 752 
167400,Mercury Bay South,Waikato,Maori,69,51,43, 739 , 623 
167500,Kauaeranga,Waikato,Maori,62,42,37, 677 , 597 
167600,Thames North,Waikato,Maori,239,207,174, 866 , 728 
167700,Thames Central,Waikato,Maori,161,133,110, 826 , 683 
167800,Thames South,Waikato,Maori,582,401,326, 689 , 560 
167800,Thames South,Waikato,Pacific Peoples,48,38,35, 792 , 729 
168000,Totora-Kopu,Waikato,Maori,119,99,85, 832 , 714 
168100,Tairua,Waikato,Maori,88,74,62, 841 , 705 
168300,Matatoki-Puriri,Waikato,Maori,119,92,84, 773 , 706 
168400,Whangamata Rural,Waikato,Maori,57,54,45, 947 , 789 
168500,Whangamata,Waikato,Maori,388,325,285, 838 , 735 
168600,Miranda-Pukorokoro,Counties Manukau,Maori,163,Masked,143, >950 , 877 
