Date,First doses,Second doses,Third primary doses,Boosters
2021-08-26,67968,25487,0,0
2021-08-27,67521,24713,0,0
2021-08-28,56915,22386,0,0
2021-08-29,37131,11467,0,0
2021-08-30,54986,23759,0,0
2021-08-31,59419,27468,0,0
2021-09-01,63659,27682,0,0
2021-09-02,65278,25307,0,0
2021-09-03,61984,25904,1,0
2021-09-04,56168,22566,1,0
2021-09-05,27054,12007,0,0
2021-09-06,45371,21807,0,0
2021-09-07,50055,23453,1,0
2021-09-08,48895,18557,0,0
2021-09-09,46574,15622,0,0
2021-09-10,44220,21177,1,0
2021-09-11,39084,23305,0,0
2021-09-12,20696,13452,0,0
2021-09-13,34578,20966,0,0
2021-09-14,39793,22875,0,0
2021-09-15,40085,23214,0,0
2021-09-16,37345,24142,0,0
2021-09-17,33429,27676,1,0
2021-09-18,29374,24615,0,0
2021-09-19,14327,12584,0,0
2021-09-20,24853,25930,0,0
2021-09-21,27860,26570,0,0
2021-09-22,24600,25547,0,0
2021-09-23,21290,28545,1,0
2021-09-24,19197,31806,0,0
2021-09-25,19601,32297,1,0
2021-09-26,8301,16608,0,0
2021-09-27,12791,28272,1,0
2021-09-28,13669,31246,3,0
2021-09-29,14097,27134,0,0
2021-09-30,14225,32396,0,0
2021-10-01,12429,35503,4,0
2021-10-02,12978,37435,0,0
2021-10-03,7144,20048,0,0
2021-10-04,15035,41199,0,0
2021-10-05,17813,46380,0,0
2021-10-06,19124,51677,1,0
2021-10-07,19960,62989,0,2
2021-10-08,18828,67501,0,0
2021-10-09,18491,63760,1,0
2021-10-10,9122,33242,0,0
2021-10-11,15368,54340,3,0
2021-10-12,17703,55768,1,0
2021-10-13,15917,53468,0,0
2021-10-14,15274,53068,0,0
2021-10-15,14143,55773,2,0
2021-10-16,39746,91581,3,0
2021-10-17,6303,23473,0,0
2021-10-18,10093,32860,1,0
2021-10-19,10535,32525,0,1
2021-10-20,10540,32837,3,0
2021-10-21,10206,31453,7,1
2021-10-22,11573,33525,9,2
2021-10-23,11936,30806,6,0
2021-10-24,5383,13722,0,0
2021-10-25,3544,7201,1,0
2021-10-26,11013,31389,26,0
2021-10-27,11054,28459,24,0
2021-10-28,13042,32407,78,1
2021-10-29,11251,32037,150,0
2021-10-30,10868,32056,75,0
2021-10-31,4908,15357,12,0
2021-11-01,7308,20384,169,0
2021-11-02,7674,21484,251,1
2021-11-03,6848,20548,300,1
2021-11-04,6749,19630,356,3
2021-11-05,6559,21650,350,0
2021-11-06,7476,26577,122,1
2021-11-07,3288,11023,35,0
2021-11-08,5249,16266,294,0
2021-11-09,5964,16478,415,0
2021-11-10,6165,16070,460,0
2021-11-11,6433,16623,479,5
2021-11-12,6469,16828,364,4
2021-11-13,7255,20010,158,1
2021-11-14,4671,10005,38,4
2021-11-15,7844,13744,429,1
2021-11-16,6731,14479,455,6
2021-11-17,6275,14287,496,6
2021-11-18,6767,14145,519,3
2021-11-19,6882,15844,490,6
2021-11-20,6050,15578,156,17
2021-11-21,3102,6780,43,114
2021-11-22,4833,10530,423,143
2021-11-23,6600,12489,489,81
2021-11-24,6661,12108,556,169
2021-11-25,6433,11849,575,209
2021-11-26,5728,12281,1013,3987
2021-11-27,6406,14519,422,4247
2021-11-28,3695,8068,132,2187
2021-11-29,6261,11924,1492,21813
2021-11-30,7432,14223,1312,18110
