dhb_of_service_grp,type,To 4 April,11-April,18-April,25-April,02-May,09-May,16-May,23-May,30-May,06-June,13-June,20-June,27-June,04-July,11-July,18-July,25-July,01-August,08-August,15-August,22-August,29-August,Cumulative
Auckland Metro,plan,41641,15049,16900,19300,21750,26836,30222,33817,42031,45945,49975,51375,52475,50675,50675,55850,63005,68882,74382,79882,82882,85716,1059265
Auckland Metro,actual,41760,15067,16433,17268,19492,26827,26162,27795,34234,39485,38811,49779,54813,49407,51573,61301,69584,91423,82718,96114,80061,159780,1149887
Auckland Metro,variance,119,18,-467,-2032,-2258,-9,-4060,-6022,-7797,-6460,-11164,-1596,2338,-1268,898,5451,6579,22541,8336,16232,-2821,74064,90622
Bay of Plenty,plan,1545,462,804,1214,2088,2346,3018,2778,4530,5400,6594,6264,6204,6204,6204,6204,9540,12472,13860,15250,15250,15250,143481
Bay of Plenty,actual,1547,838,1290,2057,2535,4715,4595,5277,7419,7501,6215,7517,7748,6083,6184,5959,8024,9613,9995,13342,11292,20125,149871
Bay of Plenty,variance,2,376,486,843,447,2369,1577,2499,2889,2101,-379,1253,1544,-121,-20,-245,-1516,-2859,-3865,-1908,-3958,4875,6390
Canterbury,plan,5414,1465,3364,3759,3999,6399,6939,7927,9346,9898,10618,10618,10618,10618,10617,10618,17773,24495,31018,33123,37653,37653,303932
Canterbury,actual,5431,1488,6072,7133,5932,7086,8917,8708,8721,6703,6824,9423,10416,9696,10801,10959,19941,24140,28544,32683,32523,61203,323344
Canterbury,variance,17,23,2708,3374,1933,687,1978,781,-625,-3195,-3794,-1195,-202,-922,184,341,2168,-355,-2474,-440,-5130,23550,19412
Capital & Coast and Hutt Valley,plan,6988,4298,4728,4318,4298,3978,4008,7126,4599,4560,7299,4869,4056,7299,7297,7297,24729,24729,28491,28491,28491,28491,250440
Capital & Coast and Hutt Valley,actual,7006,4437,4789,5081,5819,8601,7849,4747,6527,6979,5164,6007,5267,5305,6867,6336,14402,23836,28718,33827,32904,67668,298136
Capital & Coast and Hutt Valley,variance,18,139,61,763,1521,4623,3841,-2379,1928,2419,-2135,1138,1211,-1994,-430,-961,-10327,-893,227,5336,4413,39177,47696
Hawke's Bay,plan,1217,553,989,700,3668,3268,4682,3128,3128,3128,3128,4128,4008,3688,3690,3690,6896,13500,13500,13500,13500,12000,119689
Hawke's Bay,actual,1221,595,1254,1463,2144,3049,2785,2881,5372,7048,4747,4770,4232,3924,2972,3696,6208,11380,9149,10241,12005,20900,122036
Hawke's Bay,variance,4,42,265,763,-1524,-219,-1897,-247,2244,3920,1619,642,224,236,-718,6,-688,-2120,-4351,-3259,-1495,8900,2347
Lakes,plan,1330,1400,1680,1680,1680,1680,1680,1680,3500,3500,3500,3990,4830,4830,3340,4550,5760,5770,6000,6200,6050,6049,80679
Lakes,actual,1332,831,901,1618,1648,2123,2486,2540,3149,3807,3784,3798,4489,3842,3649,4188,5226,4828,5074,5307,4119,7782,76521
Lakes,variance,2,-569,-779,-62,-32,443,806,860,-351,307,284,-192,-341,-988,309,-362,-534,-942,-926,-893,-1931,1733,-4158
MidCentral,plan,120,126,270,690,726,1163,1705,2437,2448,2580,3487,8075,7985,7940,7940,7940,7140,12720,12720,11220,11220,8190,118842
MidCentral,actual,120,178,367,996,1245,2272,3088,3142,4003,4087,3926,7156,7022,6888,8182,8298,8956,9270,9595,9155,9088,18478,125512
MidCentral,variance,0,52,97,306,519,1109,1383,705,1555,1507,439,-919,-963,-1052,242,358,1816,-3450,-3125,-2065,-2132,10288,6670
Nelson Marlborough,plan,4789,1160,1800,2000,2100,2260,2305,2160,2235,2420,2400,2100,3050,3750,3750,3750,8400,12800,12800,12800,13400,12800,115029
Nelson Marlborough,actual,4831,2892,2420,3826,3440,4273,4598,3971,4323,4429,4410,4925,4169,4605,5000,4055,7586,10330,10165,10928,11239,25449,141864
Nelson Marlborough,variance,42,1732,620,1826,1340,2013,2293,1811,2088,2009,2010,2825,1119,855,1250,305,-814,-2470,-2635,-1872,-2161,12649,26835
Northland,plan,1080,1627,4730,2575,4295,4000,3285,3170,2000,4100,3085,2350,4000,5000,5000,5500,6000,6500,7000,7500,8000,8500,99297
Northland,actual,1080,1700,1730,1743,3755,3633,3496,4354,5149,5416,5869,4777,4737,4095,4990,5672,5402,7791,8717,8873,7764,17675,118418
Northland,variance,0,73,-3000,-832,-540,-367,211,1184,3149,1316,2784,2427,737,-905,-10,172,-598,1291,1717,1373,-236,9175,19121
South Canterbury,plan,1229,864,1080,1180,880,1275,925,600,675,1725,2050,2050,2000,2000,1995,1900,2020,4095,4095,4095,4095,4295,45123
South Canterbury,actual,1229,547,681,1190,959,1491,1146,867,872,2849,2028,1922,2361,1773,1839,2011,1862,3772,3369,3469,4140,7100,47477
South Canterbury,variance,0,-317,-399,10,79,216,221,267,197,1124,-22,-128,361,-227,-156,111,-158,-323,-726,-626,45,2805,2354
Southern,plan,3870,2224,2020,6400,3600,2880,8200,5400,5400,5400,7200,7200,7200,7200,7200,7200,25000,28750,32200,32200,32200,32200,271144
Southern,actual,3960,2797,5350,3956,3155,5062,5961,5304,6055,8405,6302,9991,9935,8261,8629,4851,12673,18797,24731,25891,25516,50776,256358
Southern,variance,90,573,3330,-2444,-445,2182,-2239,-96,655,3005,-898,2791,2735,1061,1429,-2349,-12327,-9953,-7469,-6309,-6684,18576,-14786
Tairawhiti,plan,620,0,585,500,534,1055,1100,534,470,600,1045,1100,1600,1600,1440,1440,2250,3600,3600,3584,3600,3600,34457
Tairawhiti,actual,608,0,770,628,229,703,921,741,896,1023,1219,1834,1248,1492,1528,1154,1711,2130,3121,2669,4131,5973,34729
Tairawhiti,variance,-12,0,185,128,-305,-352,-179,207,426,423,174,734,-352,-108,88,-286,-539,-1470,-479,-915,531,2373,272
Taranaki,plan,1268,329,400,300,600,800,800,800,800,800,800,800,800,800,2009,2315,5158,7056,7056,7056,7056,7056,54859
Taranaki,actual,1267,330,418,450,600,879,815,895,1012,1034,1189,1836,1837,2012,2014,2225,4833,4825,7578,5378,6591,14565,62583
Taranaki,variance,-1,1,18,150,0,79,15,95,212,234,389,1036,1037,1212,5,-90,-325,-2231,522,-1678,-465,7509,7724
Waikato,plan,5658,2100,3615,4015,4073,4649,4457,4275,4124,5142,6952,6840,10950,11850,11850,11850,15987,23864,25580,26406,32796,33329,260362
Waikato,actual,5667,1931,2969,4252,4308,5277,5974,5975,7189,6312,5726,7261,7521,7930,7552,8606,15638,22087,23307,28321,31417,53059,268279
Waikato,variance,9,-169,-646,237,235,628,1517,1700,3065,1170,-1226,421,-3429,-3920,-4298,-3244,-349,-1777,-2273,1915,-1379,19730,7917
Wairarapa,plan,0,120,390,600,900,975,975,1000,1000,1000,2250,2250,2250,2250,2050,2050,2880,2880,2880,2880,2880,3400,37860
Wairarapa,actual,0,119,477,507,618,791,1117,938,1054,1387,842,1400,1871,1721,2811,2412,2564,3604,2861,3448,2678,4334,37554
Wairarapa,variance,0,-1,87,-93,-282,-184,142,-62,54,387,-1408,-850,-379,-529,761,362,-316,724,-19,568,-202,934,-306
West Coast,plan,0,30,120,300,390,600,810,1050,1140,1260,1440,1500,1500,1500,1500,1500,1800,2100,2200,2200,2150,2250,27340
West Coast,actual,0,34,127,310,398,555,870,1251,1189,1301,1009,1575,1402,1295,1436,1363,947,1090,1929,1782,1378,2840,24081
West Coast,variance,0,4,7,10,8,-45,60,201,49,41,-431,75,-98,-205,-64,-137,-853,-1010,-271,-418,-772,590,-3259
Whanganui,plan,91,180,450,390,900,900,900,900,900,900,900,900,900,900,1490,1718,3364,4023,3496,5206,5973,5406,40787
Whanganui,actual,90,180,509,862,843,1433,1368,1697,1952,2484,2426,1883,1989,1545,949,1223,2155,3956,3447,4232,4699,8201,48123
Whanganui,variance,-1,0,59,472,-57,533,468,797,1052,1584,1526,983,1089,645,-541,-495,-1209,-67,-49,-974,-1274,2795,7336
Other Sites,plan,7735,1410,2190,2130,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14575
Other Sites,actual,7732,2570,3110,2176,1014,2826,2524,2990,2834,3432,2237,2367,1973,2454,2448,1679,1469,1709,2028,4364,2542,6176,62654
Other Sites,variance,-3,1160,920,46,-96,2826,2524,2990,2834,3432,2237,2367,1973,2454,2448,1679,1469,1709,2028,4364,2542,6176,48079
Total,plan,84595,33397,46115,52051,57591,65064,76011,78782,88326,98358,112723,116409,124426,128104,128047,135372,207702,258236,280878,291593,307196,306185,3077161
Total,actual,84881,36534,49667,55516,58134,81596,84672,84073,101950,113682,102728,128221,133030,122328,129424,135988,189181,254581,265046,300024,284087,552084,3347427
Total,variance,286,3137,3552,3465,543,16532,8661,5291,13624,15324,-9995,11812,8604,-5776,1377,616,-18521,-3655,-15832,8431,-23109,245899,270266
