DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,Asian,12-17,Female,4375,4222,"1,449",345,<5,<5,4775
Auckland,Asian,12-17,Male,4605,4417,"1,483",319,<5,<5,5074
Auckland,Asian,12-17,Unknown/Other,12,11,10,<5,<5,<5,19
Auckland,Asian,18-24,Female,7367,7334,"7,326","5,140",<5,28,7976
Auckland,Asian,18-24,Male,7536,7473,"7,463","4,492",<5,20,8199
Auckland,Asian,18-24,Unknown/Other,82,79,79,41,<5,<5,92
Auckland,Asian,25-29,Female,7433,7410,"7,404","5,400",<5,37,8777
Auckland,Asian,25-29,Male,8607,8524,"8,513","5,366",<5,38,9728
Auckland,Asian,25-29,Unknown/Other,104,104,103,65,<5,<5,115
Auckland,Asian,30-34,Female,9058,9004,"8,995","6,684",<5,188,10318
Auckland,Asian,30-34,Male,9210,9115,"9,109","6,287",<5,116,10155
Auckland,Asian,30-34,Unknown/Other,91,88,88,47,<5,<5,97
Auckland,Asian,35-39,Female,7907,7863,"7,854","5,969",<5,215,8779
Auckland,Asian,35-39,Male,7939,7865,"7,856","5,719",<5,111,8684
Auckland,Asian,35-39,Unknown/Other,67,67,67,45,<5,<5,61
Auckland,Asian,40-44,Female,6252,6213,"6,209","4,812",<5,178,6554
Auckland,Asian,40-44,Male,6333,6259,"6,252","4,691",<5,106,6478
Auckland,Asian,40-44,Unknown/Other,41,39,39,25,<5,<5,40
Auckland,Asian,45-49,Female,4752,4723,"4,722","3,707",<5,141,5174
Auckland,Asian,45-49,Male,4449,4395,"4,393","3,481",<5,87,4738
Auckland,Asian,45-49,Unknown/Other,42,42,42,31,<5,<5,38
Auckland,Asian,5-11,Female,4638,3064,NA,NA,NA,NA,6673
Auckland,Asian,5-11,Male,4635,3033,NA,NA,NA,NA,6771
Auckland,Asian,50-54,Female,4551,4525,"4,520","3,662","3,330",418,4840
Auckland,Asian,50-54,Male,3705,3670,"3,666","2,954","2,652",298,3888
Auckland,Asian,50-54,Unknown/Other,29,27,27,19,17,<5,25
Auckland,Asian,55-59,Female,4050,4024,"4,019","3,303","3,007",517,4447
Auckland,Asian,55-59,Male,3365,3335,"3,334","2,740","2,477",337,3758
Auckland,Asian,55-59,Unknown/Other,12,11,11,<5,<5,<5,12
Auckland,Asian,60-64,Female,3356,3342,"3,335","2,809","2,582",574,3715
Auckland,Asian,60-64,Male,2821,2807,"2,805","2,409","2,238",438,3029
Auckland,Asian,65-69,Female,3003,2999,"2,992","2,520","2,344",762,3320
Auckland,Asian,65-69,Male,2509,2492,"2,486","2,140","1,997",698,2750
Auckland,Asian,65-69,Unknown/Other,5,5,5,<5,<5,<5,7
Auckland,Asian,70-74,Female,1980,1971,"1,968","1,735","1,628",612,2156
Auckland,Asian,70-74,Male,1836,1828,"1,825","1,623","1,526",609,2008
Auckland,Asian,75-79,Female,1199,1198,"1,196","1,062",978,395,1347
Auckland,Asian,75-79,Male,1054,1046,"1,044",929,882,394,1155
Auckland,Asian,80-84,Female,902,895,893,798,722,267,995
Auckland,Asian,80-84,Male,737,733,730,665,622,257,825
Auckland,Asian,85-89,Female,486,476,474,415,378,180,530
Auckland,Asian,85-89,Male,474,473,471,420,380,171,529
Auckland,Asian,90+,Female,202,201,201,188,161,84,226
Auckland,Asian,90+,Male,141,139,139,122,111,56,150
Auckland,European or Other,12-17,Female,6823,6676,"2,337",628,<5,<5,7410
Auckland,European or Other,12-17,Male,7062,6833,"2,406",562,<5,<5,7652
Auckland,European or Other,12-17,Unknown/Other,7,7,<5,<5,<5,<5,9
Auckland,European or Other,18-24,Female,10396,10352,"10,346","7,481",<5,56,11022
Auckland,European or Other,18-24,Male,9740,9683,"9,676","6,021",<5,38,10323
Auckland,European or Other,18-24,Unknown/Other,55,54,54,41,<5,<5,47
Auckland,European or Other,25-29,Female,10371,10315,"10,311","7,806",<5,83,11762
Auckland,European or Other,25-29,Male,10310,10231,"10,223","6,687",<5,40,11469
Auckland,European or Other,25-29,Unknown/Other,51,51,51,31,<5,<5,52
Auckland,European or Other,30-34,Female,9835,9788,"9,781","7,387",<5,217,11203
Auckland,European or Other,30-34,Male,10535,10447,"10,438","7,018",<5,120,11776
Auckland,European or Other,30-34,Unknown/Other,38,38,38,31,<5,<5,37
Auckland,European or Other,35-39,Female,7703,7652,"7,639","6,000",<5,213,8720
Auckland,European or Other,35-39,Male,8496,8436,"8,428","6,104",<5,121,9460
Auckland,European or Other,35-39,Unknown/Other,17,16,16,10,<5,<5,12
Auckland,European or Other,40-44,Female,7063,7026,"7,019","5,782",<5,241,7873
Auckland,European or Other,40-44,Male,7424,7378,"7,368","5,714",<5,148,8274
Auckland,European or Other,40-44,Unknown/Other,11,11,11,8,<5,<5,11
Auckland,European or Other,45-49,Female,7714,7675,"7,668","6,574",<5,382,8456
Auckland,European or Other,45-49,Male,7815,7763,"7,753","6,300",<5,227,8782
Auckland,European or Other,5-11,Female,5004,3503,NA,NA,NA,NA,7241
Auckland,European or Other,5-11,Male,5278,3629,NA,NA,NA,NA,7768
