SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,12+,"60,049",Masked,Masked,"72,371","46,555","39,422","13,370",>95%,>95%,64%,34%
Unknown,Unknown,Unknown,5-11,"5,741","3,769","1,982",NA,Masked,NA,NA,66%,35%,>95%,NA
100100,North Cape,Northland,12+,"1,649","1,356","1,334","1,267",825,761,286,82%,81%,65%,38%
100100,North Cape,Northland,5-11,174,55,25,NA,NA,NA,NA,32%,14%,NA,NA
100200,Rangaunu Harbour,Northland,12+,"2,042","1,632","1,581","1,506",865,790,204,80%,77%,57%,26%
100200,Rangaunu Harbour,Northland,5-11,254,49,21,NA,NA,NA,NA,19%,8%,NA,NA
100400,Karikari Peninsula,Northland,12+,"1,413","1,166","1,146","1,111",752,718,209,83%,81%,68%,29%
100400,Karikari Peninsula,Northland,5-11,132,31,8,NA,NA,NA,NA,23%,6%,NA,NA
100500,Tangonge,Northland,12+,"1,043",850,826,775,474,414,113,81%,79%,61%,27%
100500,Tangonge,Northland,5-11,122,33,12,NA,NA,NA,NA,27%,10%,NA,NA
100600,Ahipara,Northland,12+,"1,091",868,844,807,515,484,97,80%,77%,64%,20%
100600,Ahipara,Northland,5-11,140,54,19,NA,NA,NA,NA,39%,14%,NA,NA
100700,Kaitaia East,Northland,12+,"2,015","1,659","1,583","1,496",850,755,180,82%,79%,57%,24%
100700,Kaitaia East,Northland,5-11,332,99,35,NA,NA,NA,NA,30%,11%,NA,NA
100800,Kaitaia West,Northland,12+,"2,956","2,455","2,355","2,217","1,252","1,135",298,83%,80%,56%,26%
100800,Kaitaia West,Northland,5-11,426,124,58,NA,NA,NA,NA,29%,14%,NA,NA
100900,Rangitihi,Northland,12+,858,693,680,645,377,336,77,81%,79%,58%,23%
100900,Rangitihi,Northland,5-11,91,19,7,NA,NA,NA,NA,21%,8%,NA,NA
101000,Oruru-Parapara,Northland,12+,841,624,603,581,345,324,93,74%,72%,59%,29%
101000,Oruru-Parapara,Northland,5-11,99,25,9,NA,NA,NA,NA,25%,9%,NA,NA
101100,Taumarumaru,Northland,12+,"2,306","1,955","1,919","1,862","1,349","1,294",531,85%,83%,72%,41%
101100,Taumarumaru,Northland,5-11,206,70,28,NA,NA,NA,NA,34%,14%,NA,NA
101200,Herekino-Takahue,Northland,12+,951,697,674,636,373,347,87,73%,71%,59%,25%
101200,Herekino-Takahue,Northland,5-11,105,26,Masked,NA,NA,NA,NA,25%,<5%,NA,NA
101300,Peria,Northland,12+,"1,066",732,713,689,422,394,86,69%,67%,61%,22%
101300,Peria,Northland,5-11,133,22,12,NA,NA,NA,NA,17%,9%,NA,NA
101400,Taemaro-Oruaiti,Northland,12+,919,716,695,668,445,424,156,78%,76%,67%,37%
101400,Taemaro-Oruaiti,Northland,5-11,90,32,10,NA,NA,NA,NA,36%,11%,NA,NA
