DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,Asian,12-17,Female,4345,4104,"1,469",323,<5,<5,4816
Auckland,Asian,12-17,Male,4522,4241,"1,450",296,<5,<5,5058
Auckland,Asian,12-17,Unknown/Other,10,8,<5,<5,<5,<5,16
Auckland,Asian,18-24,Female,7199,7156,"7,147","4,998",<5,70,7982
Auckland,Asian,18-24,Male,7243,7185,"7,177","4,323",<5,63,8115
Auckland,Asian,18-24,Unknown/Other,78,77,77,43,<5,<5,89
Auckland,Asian,25-29,Female,7237,7202,"7,198","5,402",<5,124,8396
Auckland,Asian,25-29,Male,8266,8178,"8,175","5,260",<5,101,9498
Auckland,Asian,25-29,Unknown/Other,93,92,92,64,<5,<5,92
Auckland,Asian,30-34,Female,8762,8711,"8,702","6,540","6,418",612,10257
Auckland,Asian,30-34,Male,9221,9126,"9,122","6,327","6,201",423,10171
Auckland,Asian,30-34,Unknown/Other,80,78,78,42,42,<5,82
Auckland,Asian,35-39,Female,7923,7878,"7,875","6,114","6,023",669,8769
Auckland,Asian,35-39,Male,7889,7801,"7,797","5,821","5,716",481,8756
Auckland,Asian,35-39,Unknown/Other,60,60,60,41,40,<5,61
Auckland,Asian,40-44,Female,6552,6503,"6,496","5,085","5,018",575,6813
Auckland,Asian,40-44,Male,6590,6515,"6,513","4,959","4,879",415,6729
Auckland,Asian,40-44,Unknown/Other,41,39,39,26,26,<5,42
Auckland,Asian,45-49,Female,4811,4778,"4,776","3,789","3,744",491,5208
Auckland,Asian,45-49,Male,4517,4455,"4,455","3,567","3,532",348,4901
Auckland,Asian,45-49,Unknown/Other,36,36,36,26,26,<5,41
Auckland,Asian,5-11,Female,4254,2928,NA,NA,NA,NA,6857
Auckland,Asian,5-11,Male,4273,2916,NA,NA,NA,NA,6921
Auckland,Asian,50-54,Female,4603,4573,"4,568","3,755","3,698",881,4902
Auckland,Asian,50-54,Male,3841,3799,"3,794","3,110","3,068",601,4028
Auckland,Asian,50-54,Unknown/Other,29,27,27,18,18,<5,26
Auckland,Asian,55-59,Female,4081,4059,"4,057","3,369","3,323","1,077",4463
Auckland,Asian,55-59,Male,3353,3315,"3,312","2,747","2,719",776,3717
Auckland,Asian,55-59,Unknown/Other,12,11,11,5,5,<5,15
Auckland,Asian,60-64,Female,3576,3549,"3,546","3,026","2,991","1,088",3769
Auckland,Asian,60-64,Male,2931,2914,"2,912","2,533","2,502",850,3074
Auckland,Asian,60-64,Unknown/Other,5,5,5,<5,<5,<5,8
Auckland,Asian,65-69,Female,3101,3094,"3,089","2,626","2,591","1,281",3410
Auckland,Asian,65-69,Male,2613,2591,"2,585","2,242","2,205","1,112",2850
Auckland,Asian,65-69,Unknown/Other,5,5,5,<5,<5,<5,7
Auckland,Asian,70-74,Female,2143,2131,"2,131","1,881","1,863","1,009",2233
Auckland,Asian,70-74,Male,1929,1923,"1,921","1,726","1,711",961,2059
Auckland,Asian,75-79,Female,1267,1262,"1,262","1,134","1,123",621,1361
Auckland,Asian,75-79,Male,1155,1145,"1,143","1,038","1,028",626,1195
Auckland,Asian,80-84,Female,937,928,926,830,826,458,1023
Auckland,Asian,80-84,Male,760,757,757,695,687,419,840
Auckland,Asian,85-89,Female,535,526,525,460,455,290,556
Auckland,Asian,85-89,Male,489,486,486,448,444,269,548
Auckland,Asian,90+,Female,208,207,207,193,192,122,234
Auckland,Asian,90+,Male,167,165,164,149,143,86,166
Auckland,European or Other,12-17,Female,6660,6383,"2,356",582,<5,7,7370
Auckland,European or Other,12-17,Male,6911,6532,"2,416",506,<5,<5,7679
Auckland,European or Other,12-17,Unknown/Other,14,14,9,<5,<5,<5,13
Auckland,European or Other,18-24,Female,10182,10137,"10,133","7,129",<5,156,10952
Auckland,European or Other,18-24,Male,9545,9497,"9,493","5,754",<5,99,10204
Auckland,European or Other,18-24,Unknown/Other,59,59,59,41,<5,<5,63
Auckland,European or Other,25-29,Female,10246,10202,"10,196","7,813",<5,219,11474
Auckland,European or Other,25-29,Male,10170,10092,"10,089","6,693",<5,121,11245
Auckland,European or Other,25-29,Unknown/Other,57,56,56,43,<5,5,61
Auckland,European or Other,30-34,Female,9716,9662,"9,654","7,324","7,256",912,11143
Auckland,European or Other,30-34,Male,10439,10354,"10,351","6,998","6,931",630,11726
Auckland,European or Other,30-34,Unknown/Other,35,35,35,25,24,6,41
Auckland,European or Other,35-39,Female,7877,7822,"7,818","6,131","6,092",975,8739
Auckland,European or Other,35-39,Male,8658,8589,"8,585","6,226","6,181",719,9403
Auckland,European or Other,35-39,Unknown/Other,16,15,15,8,8,<5,16
Auckland,European or Other,40-44,Female,6994,6956,"6,953","5,738","5,710","1,027",7746
Auckland,European or Other,40-44,Male,7424,7372,"7,369","5,695","5,672",847,8301
Auckland,European or Other,40-44,Unknown/Other,13,13,13,10,10,<5,13
Auckland,European or Other,45-49,Female,7490,7451,"7,447","6,356","6,340","1,368",8338
Auckland,European or Other,45-49,Male,7634,7579,"7,579","6,118","6,084","1,062",8516
Auckland,European or Other,5-11,Female,4429,3161,NA,NA,NA,NA,7062
Auckland,European or Other,5-11,Male,4661,3268,NA,NA,NA,NA,7578
Auckland,European or Other,50-54,Female,8309,8275,"8,269","7,296","7,273","2,878",8766
Auckland,European or Other,50-54,Male,8657,8603,"8,597","7,361","7,330","2,533",9408
Auckland,European or Other,50-54,Unknown/Other,8,8,8,7,7,<5,9
Auckland,European or Other,55-59,Female,7408,7383,"7,378","6,592","6,573","3,239",7944
Auckland,European or Other,55-59,Male,8109,8066,"8,059","7,018","6,980","3,192",8679
Auckland,European or Other,55-59,Unknown/Other,7,7,7,6,6,<5,7
Auckland,European or Other,60-64,Female,6918,6884,"6,880","6,307","6,278","3,584",7253
Auckland,European or Other,60-64,Male,7398,7360,"7,353","6,567","6,536","3,379",7866
Auckland,European or Other,65-69,Female,5825,5806,"5,801","5,397","5,379","3,843",6150
Auckland,European or Other,65-69,Male,6041,6024,"6,020","5,553","5,527","3,711",6284
Auckland,European or Other,65-69,Unknown/Other,6,6,6,5,5,<5,5
Auckland,European or Other,70-74,Female,5109,5089,"5,088","4,767","4,752","3,701",5394
Auckland,European or Other,70-74,Male,5097,5081,"5,080","4,779","4,760","3,670",5327
Auckland,European or Other,75-79,Female,4351,4337,"4,335","4,127","4,116","3,368",4229
Auckland,European or Other,75-79,Male,3858,3850,"3,847","3,679","3,665","3,008",3736
Auckland,European or Other,80-84,Female,3052,3046,"3,045","2,929","2,923","2,465",3153
Auckland,European or Other,80-84,Male,2557,2555,"2,554","2,461","2,457","2,035",2593
Auckland,European or Other,85-89,Female,1844,1841,"1,840","1,789","1,784","1,488",1855
Auckland,European or Other,85-89,Male,1259,1258,"1,257","1,224","1,215","1,046",1244
Auckland,European or Other,90+,Female,1521,1517,"1,515","1,472","1,466","1,224",1635
Auckland,European or Other,90+,Male,751,750,750,736,734,624,782
Auckland,Maori,12-17,Female,1521,1371,528,50,<5,<5,1837
Auckland,Maori,12-17,Male,1546,1396,555,50,<5,<5,1924
Auckland,Maori,18-24,Female,2412,2359,"2,357","1,043",<5,25,2623
Auckland,Maori,18-24,Male,2208,2139,"2,138",776,<5,15,2379
Auckland,Maori,25-29,Female,1678,1638,"1,637",873,<5,21,1810
Auckland,Maori,25-29,Male,1694,1652,"1,650",717,<5,16,1865
Auckland,Maori,25-29,Unknown/Other,7,7,7,<5,<5,<5,7
Auckland,Maori,30-34,Female,1439,1396,"1,395",777,767,66,1614
Auckland,Maori,30-34,Male,1343,1298,"1,297",613,604,37,1545
Auckland,Maori,30-34,Unknown/Other,6,6,6,5,5,<5,6
Auckland,Maori,35-39,Female,1037,1011,"1,010",608,602,90,1183
Auckland,Maori,35-39,Male,1029,1000,"1,000",515,503,50,1158
Auckland,Maori,40-44,Female,928,905,904,592,580,103,1036
Auckland,Maori,40-44,Male,940,911,911,536,531,94,1057
Auckland,Maori,45-49,Female,966,959,959,707,703,173,1120
Auckland,Maori,45-49,Male,926,904,904,633,629,135,1068
Auckland,Maori,5-11,Female,771,439,NA,NA,NA,NA,1995
Auckland,Maori,5-11,Male,850,467,NA,NA,NA,NA,2164
Auckland,Maori,50-54,Female,1033,1025,"1,025",793,789,314,1147
Auckland,Maori,50-54,Male,969,944,944,687,679,222,1027
Auckland,Maori,55-59,Female,888,879,878,708,705,310,983
Auckland,Maori,55-59,Male,864,854,854,682,675,286,988
Auckland,Maori,60-64,Female,831,830,830,711,707,341,869
Auckland,Maori,60-64,Male,745,740,740,641,640,323,774
Auckland,Maori,65-69,Female,586,581,581,522,520,330,602
Auckland,Maori,65-69,Male,439,438,438,396,395,244,439
Auckland,Maori,70-74,Female,367,365,365,340,338,224,351
Auckland,Maori,70-74,Male,314,314,313,297,297,211,314
Auckland,Maori,75-79,Female,205,203,203,185,184,125,185
Auckland,Maori,75-79,Male,145,145,145,141,141,100,158
Auckland,Maori,80-84,Female,108,107,107,104,104,74,116
Auckland,Maori,80-84,Male,79,79,79,74,74,52,79
Auckland,Maori,85-89,Female,55,55,55,54,54,38,49
Auckland,Maori,85-89,Male,34,34,34,32,32,24,26
Auckland,Maori,90+,Female,29,29,29,27,27,23,30
Auckland,Pacific Peoples,12-17,Female,2564,2304,899,84,<5,<5,3082
