SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,12+,"60,947","57,335","55,567","52,429","31,882","13,433","4,503",94%,91%,61%,34%
Unknown,Unknown,Unknown,5-11,"6,256","3,106","1,628",NA,NA,NA,NA,50%,26%,NA,NA
100100,North Cape,Northland,12+,"1,674","1,394","1,372","1,284",829,547,187,83%,82%,65%,34%
100100,North Cape,Northland,5-11,180,53,23,NA,NA,NA,NA,29%,13%,NA,NA
100200,Rangaunu Harbour,Northland,12+,"1,992","1,646","1,594","1,499",872,504,108,83%,80%,58%,21%
100200,Rangaunu Harbour,Northland,5-11,250,50,18,NA,NA,NA,NA,20%,7%,NA,NA
100400,Karikari Peninsula,Northland,12+,"1,372","1,158","1,139","1,094",733,529,132,84%,83%,67%,25%
100400,Karikari Peninsula,Northland,5-11,128,32,10,NA,NA,NA,NA,25%,8%,NA,NA
100500,Tangonge,Northland,12+,"1,024",864,845,778,491,284,64,84%,83%,63%,23%
100500,Tangonge,Northland,5-11,127,31,9,NA,NA,NA,NA,24%,7%,NA,NA
100600,Ahipara,Northland,12+,"1,091",896,874,822,535,340,63,82%,80%,65%,19%
100600,Ahipara,Northland,5-11,144,54,18,NA,NA,NA,NA,38%,12%,NA,NA
100700,Kaitaia East,Northland,12+,"2,027","1,736","1,655","1,530",851,412,103,86%,82%,56%,25%
100700,Kaitaia East,Northland,5-11,340,101,33,NA,NA,NA,NA,30%,10%,NA,NA
100800,Kaitaia West,Northland,12+,"2,982","2,503","2,396","2,220","1,256",640,161,84%,80%,57%,25%
100800,Kaitaia West,Northland,5-11,452,122,51,NA,NA,NA,NA,27%,11%,NA,NA
100900,Rangitihi,Northland,12+,832,692,677,630,369,209,44,83%,81%,59%,21%
100900,Rangitihi,Northland,5-11,82,17,Masked,NA,NA,NA,NA,21%,6%,NA,NA
101000,Oruru-Parapara,Northland,12+,841,652,629,600,360,239,64,78%,75%,60%,27%
101000,Oruru-Parapara,Northland,5-11,100,26,10,NA,NA,NA,NA,26%,10%,NA,NA
101100,Taumarumaru,Northland,12+,"2,303","1,979","1,938","1,873","1,361","1,010",347,86%,84%,73%,34%
101100,Taumarumaru,Northland,5-11,223,75,27,NA,NA,NA,NA,34%,12%,NA,NA
101200,Herekino-Takahue,Northland,12+,924,702,675,628,380,237,59,76%,73%,61%,25%
101200,Herekino-Takahue,Northland,5-11,101,27,Masked,NA,NA,NA,NA,27%,<5%,NA,NA
101300,Peria,Northland,12+,"1,054",739,717,683,423,250,45,70%,68%,62%,18%
101300,Peria,Northland,5-11,133,27,13,NA,NA,NA,NA,20%,10%,NA,NA
101400,Taemaro-Oruaiti,Northland,12+,906,717,696,663,430,305,94,79%,77%,65%,31%
101400,Taemaro-Oruaiti,Northland,5-11,102,38,10,NA,NA,NA,NA,37%,10%,NA,NA
101500,Whakapaku,Northland,12+,682,511,494,471,313,231,82,75%,72%,66%,35%
101500,Whakapaku,Northland,5-11,90,32,11,NA,NA,NA,NA,36%,12%,NA,NA
101600,Hokianga North,Northland,12+,808,662,642,590,396,230,17,82%,79%,67%,7%
101600,Hokianga North,Northland,5-11,128,37,10,NA,NA,NA,NA,29%,8%,NA,NA
101700,Kohukohu-Broadwood,Northland,12+,707,565,553,526,364,265,96,80%,78%,69%,36%
101700,Kohukohu-Broadwood,Northland,5-11,66,17,Masked,NA,NA,NA,NA,26%,8%,NA,NA
101800,Whakarara,Northland,12+,"1,152",955,930,886,626,418,151,83%,81%,71%,36%
101800,Whakarara,Northland,5-11,109,54,27,NA,NA,NA,NA,50%,25%,NA,NA
101900,Kaeo,Northland,12+,"1,103",844,813,770,490,301,94,77%,74%,64%,31%
101900,Kaeo,Northland,5-11,149,45,18,NA,NA,NA,NA,30%,12%,NA,NA
102000,Omahuta Forest-Horeke,Northland,12+,"1,006",728,698,652,385,254,58,72%,69%,59%,23%
102000,Omahuta Forest-Horeke,Northland,5-11,158,22,13,NA,NA,NA,NA,14%,8%,NA,NA
102100,Hokianga South,Northland,12+,"1,218",906,871,830,557,354,112,74%,72%,67%,32%
102100,Hokianga South,Northland,5-11,124,31,13,NA,NA,NA,NA,25%,10%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,119","1,823","1,792","1,691","1,137",720,219,86%,85%,67%,30%
102200,Lake Manuwai-Kapiro,Northland,5-11,209,84,46,NA,NA,NA,NA,40%,22%,NA,NA
102300,Okaihau,Northland,12+,"1,056",879,862,813,483,287,60,83%,82%,59%,21%
102300,Okaihau,Northland,5-11,119,32,11,NA,NA,NA,NA,27%,9%,NA,NA
102400,Rangitane-Purerua,Northland,12+,"1,346","1,150","1,115","1,047",723,506,155,85%,83%,69%,31%
102400,Rangitane-Purerua,Northland,5-11,148,44,24,NA,NA,NA,NA,30%,16%,NA,NA
102500,Waipapa,Northland,12+,759,662,641,610,402,238,79,87%,84%,66%,33%
102500,Waipapa,Northland,5-11,99,37,19,NA,NA,NA,NA,37%,19%,NA,NA
102600,Puketotara,Northland,12+,"1,690","1,448","1,412","1,334",919,568,147,86%,84%,69%,26%
102600,Puketotara,Northland,5-11,169,74,23,NA,NA,NA,NA,44%,14%,NA,NA
102700,Waima Forest,Northland,12+,"1,011",761,733,689,374,219,33,75%,73%,54%,15%
102700,Waima Forest,Northland,5-11,144,24,9,NA,NA,NA,NA,17%,6%,NA,NA
102800,Riverview,Northland,12+,"2,090","1,906","1,877","1,763","1,377",964,413,91%,90%,78%,43%
102800,Riverview,Northland,5-11,189,100,50,NA,NA,NA,NA,53%,26%,NA,NA
102900,Waipoua Forest,Northland,12+,"1,166",874,846,818,556,358,83,75%,73%,68%,23%
102900,Waipoua Forest,Northland,5-11,120,18,Masked,NA,NA,NA,NA,15%,<5%,NA,NA
103000,Kerikeri Central,Northland,12+,"2,458","2,173","2,140","2,050","1,471",960,428,88%,87%,72%,45%
103000,Kerikeri Central,Northland,5-11,218,92,38,NA,NA,NA,NA,42%,17%,NA,NA
103100,Kerikeri South,Northland,12+,"2,639","2,342","2,319","2,231","1,691","1,200",435,89%,88%,76%,36%
103100,Kerikeri South,Northland,5-11,218,103,43,NA,NA,NA,NA,47%,20%,NA,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,090",919,894,847,560,360,100,84%,82%,66%,28%
