DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,Asian,12-17,Female,4386,4235,"1,456",344,<5,<5,4775
Auckland,Asian,12-17,Male,4600,4421,"1,477",313,<5,<5,5074
Auckland,Asian,12-17,Unknown/Other,12,11,10,<5,<5,<5,19
Auckland,Asian,18-24,Female,7386,7354,"7,347","5,159",<5,20,7976
Auckland,Asian,18-24,Male,7545,7479,"7,471","4,506",<5,17,8199
Auckland,Asian,18-24,Unknown/Other,82,79,79,42,<5,<5,92
Auckland,Asian,25-29,Female,7430,7407,"7,400","5,380",<5,31,8777
Auckland,Asian,25-29,Male,8652,8567,"8,559","5,380",<5,29,9728
Auckland,Asian,25-29,Unknown/Other,103,103,103,65,<5,<5,115
Auckland,Asian,30-34,Female,9103,9050,"9,039","6,708",<5,167,10318
Auckland,Asian,30-34,Male,9219,9125,"9,117","6,280",<5,102,10155
Auckland,Asian,30-34,Unknown/Other,88,86,86,45,<5,<5,97
Auckland,Asian,35-39,Female,7870,7827,"7,817","5,934",<5,187,8779
Auckland,Asian,35-39,Male,7958,7882,"7,872","5,706",<5,96,8684
Auckland,Asian,35-39,Unknown/Other,66,66,66,44,<5,<5,61
Auckland,Asian,40-44,Female,6255,6216,"6,211","4,804",<5,162,6554
Auckland,Asian,40-44,Male,6295,6224,"6,216","4,654",<5,90,6478
Auckland,Asian,40-44,Unknown/Other,41,39,39,24,<5,<5,40
Auckland,Asian,45-49,Female,4751,4723,"4,721","3,701",<5,117,5174
Auckland,Asian,45-49,Male,4445,4389,"4,387","3,473",<5,70,4738
Auckland,Asian,45-49,Unknown/Other,43,43,43,30,<5,<5,38
Auckland,Asian,5-11,Female,4672,3067,NA,NA,NA,NA,6673
Auckland,Asian,5-11,Male,4657,3039,NA,NA,NA,NA,6771
Auckland,Asian,50-54,Female,4551,4526,"4,519","3,658","2,995",367,4840
Auckland,Asian,50-54,Male,3696,3662,"3,656","2,933","2,351",252,3888
Auckland,Asian,50-54,Unknown/Other,29,27,27,19,14,<5,25
Auckland,Asian,55-59,Female,4042,4016,"4,011","3,290","2,736",443,4447
Auckland,Asian,55-59,Male,3367,3338,"3,337","2,737","2,251",283,3758
Auckland,Asian,55-59,Unknown/Other,12,11,11,<5,<5,<5,12
Auckland,Asian,60-64,Female,3362,3348,"3,341","2,815","2,405",505,3715
Auckland,Asian,60-64,Male,2816,2801,"2,798","2,409","2,066",396,3029
Auckland,Asian,65-69,Female,2989,2985,"2,977","2,499","2,170",667,3320
Auckland,Asian,65-69,Male,2496,2480,"2,472","2,124","1,875",619,2750
Auckland,Asian,65-69,Unknown/Other,5,5,5,<5,<5,<5,7
Auckland,Asian,70-74,Female,1975,1966,"1,963","1,728","1,536",553,2156
Auckland,Asian,70-74,Male,1840,1833,"1,830","1,628","1,465",545,2008
Auckland,Asian,75-79,Female,1190,1188,"1,186","1,053",910,342,1347
Auckland,Asian,75-79,Male,1044,1036,"1,032",919,832,348,1155
Auckland,Asian,80-84,Female,910,903,900,805,680,238,995
Auckland,Asian,80-84,Male,738,734,731,666,587,231,825
Auckland,Asian,85-89,Female,484,474,471,412,347,153,530
Auckland,Asian,85-89,Male,466,465,463,414,348,144,529
Auckland,Asian,90+,Female,202,201,201,187,146,66,226
Auckland,Asian,90+,Male,139,137,137,120,104,45,150
Auckland,European or Other,12-17,Female,6831,6691,"2,329",627,<5,<5,7410
Auckland,European or Other,12-17,Male,7061,6839,"2,386",555,<5,<5,7652
Auckland,European or Other,12-17,Unknown/Other,10,10,5,<5,<5,<5,9
Auckland,European or Other,18-24,Female,10422,10379,"10,373","7,521",<5,43,11022
Auckland,European or Other,18-24,Male,9739,9682,"9,671","6,012",<5,34,10323
Auckland,European or Other,18-24,Unknown/Other,54,53,53,40,<5,<5,47
Auckland,European or Other,25-29,Female,10365,10310,"10,306","7,809",<5,73,11762
Auckland,European or Other,25-29,Male,10303,10226,"10,219","6,677",<5,37,11469
Auckland,European or Other,25-29,Unknown/Other,46,46,46,27,<5,<5,52
Auckland,European or Other,30-34,Female,9845,9799,"9,790","7,382",<5,189,11203
Auckland,European or Other,30-34,Male,10526,10438,"10,428","7,005",<5,104,11776
Auckland,European or Other,30-34,Unknown/Other,38,38,38,31,<5,<5,37
Auckland,European or Other,35-39,Female,7686,7634,"7,621","5,960",<5,186,8720
Auckland,European or Other,35-39,Male,8492,8431,"8,425","6,089",<5,97,9460
Auckland,European or Other,35-39,Unknown/Other,17,16,16,10,<5,<5,12
Auckland,European or Other,40-44,Female,7066,7028,"7,019","5,787",<5,210,7873
Auckland,European or Other,40-44,Male,7449,7402,"7,389","5,729",<5,119,8274
Auckland,European or Other,40-44,Unknown/Other,11,11,11,8,<5,<5,11
Auckland,European or Other,45-49,Female,7704,7665,"7,658","6,563",<5,336,8456
Auckland,European or Other,45-49,Male,7826,7774,"7,764","6,311",<5,204,8782
Auckland,European or Other,5-11,Female,5033,3511,NA,NA,NA,NA,7241
Auckland,European or Other,5-11,Male,5311,3649,NA,NA,NA,NA,7768
Auckland,European or Other,50-54,Female,8218,8190,"8,174","7,196","6,488","1,270",8708
Auckland,European or Other,50-54,Male,8702,8648,"8,638","7,365","6,508","1,063",9308
Auckland,European or Other,50-54,Unknown/Other,8,8,8,7,7,<5,8
Auckland,European or Other,55-59,Female,7405,7372,"7,352","6,569","5,983","1,632",8045
Auckland,European or Other,55-59,Male,8069,8024,"8,009","6,975","6,275","1,454",8666
Auckland,European or Other,55-59,Unknown/Other,8,8,8,8,7,<5,7
Auckland,European or Other,60-64,Female,6829,6794,"6,764","6,198","5,789","2,021",7216
Auckland,European or Other,60-64,Male,7351,7319,"7,283","6,513","6,018","1,820",7737
Auckland,European or Other,65-69,Female,5823,5806,"5,774","5,359","5,045","2,632",6044
Auckland,European or Other,65-69,Male,5940,5921,"5,894","5,424","5,045","2,436",6257
Auckland,European or Other,70-74,Female,5103,5086,"5,036","4,741","4,489","2,746",5391
Auckland,European or Other,70-74,Male,5076,5064,"5,032","4,761","4,519","2,600",5329
Auckland,European or Other,75-79,Female,4132,4119,"4,077","3,912","3,706","2,412",4101
Auckland,European or Other,75-79,Male,3622,3615,"3,573","3,435","3,261","2,067",3639
Auckland,European or Other,80-84,Female,3042,3037,"3,006","2,902","2,786","1,799",3084
Auckland,European or Other,80-84,Male,2531,2528,"2,499","2,426","2,282","1,462",2499
Auckland,European or Other,85-89,Female,1806,1802,"1,791","1,747","1,651","1,046",1875
Auckland,European or Other,85-89,Male,1212,1209,"1,198","1,166","1,115",742,1246
Auckland,European or Other,90+,Female,1547,1542,"1,536","1,490","1,429",850,1657
Auckland,European or Other,90+,Male,758,757,750,740,707,444,806
Auckland,Maori,12-17,Female,1599,1488,508,56,<5,<5,1801
Auckland,Maori,12-17,Male,1599,1486,525,66,<5,<5,1862
Auckland,Maori,18-24,Female,2381,2335,"2,331","1,047",<5,7,2471
Auckland,Maori,18-24,Male,2148,2075,"2,072",749,<5,<5,2330
Auckland,Maori,25-29,Female,1550,1514,"1,512",794,<5,<5,1797
Auckland,Maori,25-29,Male,1656,1613,"1,608",717,<5,<5,1843
Auckland,Maori,30-34,Female,1369,1332,"1,329",737,<5,9,1588
Auckland,Maori,30-34,Male,1292,1256,"1,252",570,<5,8,1493
Auckland,Maori,35-39,Female,1034,1005,"1,004",593,<5,18,1180
Auckland,Maori,35-39,Male,1006,978,975,504,<5,6,1121
Auckland,Maori,40-44,Female,886,868,864,572,<5,16,1034
Auckland,Maori,40-44,Male,939,913,909,531,<5,12,1068
Auckland,Maori,45-49,Female,992,984,983,710,<5,26,1104
Auckland,Maori,45-49,Male,953,929,929,638,<5,27,1091
Auckland,Maori,5-11,Female,863,467,NA,NA,NA,NA,1964
Auckland,Maori,5-11,Male,960,517,NA,NA,NA,NA,2185
Auckland,Maori,50-54,Female,1035,1026,"1,025",785,650,148,1129
Auckland,Maori,50-54,Male,946,924,921,663,527,97,986
Auckland,Maori,55-59,Female,892,884,883,726,625,177,1000
Auckland,Maori,55-59,Male,890,879,878,692,572,153,982
Auckland,Maori,60-64,Female,809,804,802,698,613,195,816
Auckland,Maori,60-64,Male,723,720,718,629,552,181,726
Auckland,Maori,65-69,Female,553,549,549,495,434,196,574
Auckland,Maori,65-69,Male,406,405,405,366,322,150,433
Auckland,Maori,70-74,Female,336,334,332,312,281,141,343
Auckland,Maori,70-74,Male,305,305,305,291,265,143,292
Auckland,Maori,75-79,Female,176,175,175,160,149,82,167
Auckland,Maori,75-79,Male,143,143,141,136,121,72,157
Auckland,Maori,80-84,Female,108,108,106,104,94,48,118
Auckland,Maori,80-84,Male,80,80,80,74,68,38,74
Auckland,Maori,85-89,Female,50,50,50,48,39,24,53
Auckland,Maori,85-89,Male,30,30,29,28,26,15,28
Auckland,Maori,90+,Female,29,29,29,26,22,11,31
Auckland,Pacific Peoples,12-17,Female,2637,2469,893,94,<5,<5,3033
Auckland,Pacific Peoples,12-17,Male,2631,2444,853,73,<5,<5,3119
Auckland,Pacific Peoples,12-17,Unknown/Other,5,5,<5,<5,<5,<5,5
Auckland,Pacific Peoples,18-24,Female,3530,3484,"3,481","1,519",<5,9,3879
Auckland,Pacific Peoples,18-24,Male,3371,3279,"3,273","1,115",<5,<5,3775
Auckland,Pacific Peoples,18-24,Unknown/Other,15,15,15,5,<5,<5,16
Auckland,Pacific Peoples,25-29,Female,2490,2439,"2,428","1,178",<5,7,2806
Auckland,Pacific Peoples,25-29,Male,2451,2377,"2,371",883,<5,7,2799
Auckland,Pacific Peoples,25-29,Unknown/Other,9,9,9,<5,<5,<5,12
Auckland,Pacific Peoples,30-34,Female,2105,2066,"2,058","1,103",<5,21,2329
Auckland,Pacific Peoples,30-34,Male,2095,2036,"2,030",901,<5,9,2309
Auckland,Pacific Peoples,30-34,Unknown/Other,7,7,7,<5,<5,<5,5
Auckland,Pacific Peoples,35-39,Female,1631,1602,"1,601","1,002",<5,18,1848
Auckland,Pacific Peoples,35-39,Male,1653,1616,"1,612",836,<5,18,1843
Auckland,Pacific Peoples,40-44,Female,1637,1613,"1,607","1,084",<5,33,1813
Auckland,Pacific Peoples,40-44,Male,1597,1570,"1,568",949,<5,13,1796
Auckland,Pacific Peoples,45-49,Female,1603,1593,"1,591","1,121",<5,64,1763
Auckland,Pacific Peoples,45-49,Male,1543,1515,"1,512","1,039",<5,29,1745
Auckland,Pacific Peoples,5-11,Female,1449,633,NA,NA,NA,NA,3300
Auckland,Pacific Peoples,5-11,Male,1634,726,NA,NA,NA,NA,3538
Auckland,Pacific Peoples,50-54,Female,1634,1624,"1,620","1,249",991,180,1802
Auckland,Pacific Peoples,50-54,Male,1595,1574,"1,571","1,184",915,148,1740
Auckland,Pacific Peoples,55-59,Female,1596,1588,"1,586","1,246","1,052",210,1707
Auckland,Pacific Peoples,55-59,Male,1462,1447,"1,446","1,160",958,200,1535
Auckland,Pacific Peoples,60-64,Female,1244,1239,"1,236","1,045",890,247,1363
Auckland,Pacific Peoples,60-64,Male,1190,1187,"1,182",978,822,215,1272
Auckland,Pacific Peoples,65-69,Female,965,959,957,817,716,208,1014
