SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,12+,"49,318",Masked,Masked,"49,336","29,425",>95%,>95%,60%
Unknown,Unknown,Unknown,5-11,"5,211","2,501","1,200",NA,NA,48%,23%,NA
100100,North Cape,Northland,12+,"1,595","1,368","1,345","1,250",814,86%,84%,65%
100100,North Cape,Northland,5-11,198,52,20,NA,NA,26%,10%,NA
100200,Rangaunu Harbour,Northland,12+,"1,948","1,647","1,594","1,481",855,85%,82%,58%
100200,Rangaunu Harbour,Northland,5-11,262,53,17,NA,NA,20%,6%,NA
100400,Karikari Peninsula,Northland,12+,"1,357","1,161","1,141","1,089",728,86%,84%,67%
100400,Karikari Peninsula,Northland,5-11,134,32,10,NA,NA,24%,7%,NA
100500,Tangonge,Northland,12+,971,851,835,762,472,88%,86%,62%
100500,Tangonge,Northland,5-11,121,31,9,NA,NA,26%,7%,NA
100600,Ahipara,Northland,12+,"1,052",897,872,816,519,85%,83%,64%
100600,Ahipara,Northland,5-11,147,54,17,NA,NA,37%,12%,NA
100700,Kaitaia East,Northland,12+,"2,020","1,782","1,702","1,558",848,88%,84%,54%
100700,Kaitaia East,Northland,5-11,331,101,31,NA,NA,31%,9%,NA
100800,Kaitaia West,Northland,12+,"2,939","2,534","2,429","2,218","1,232",86%,83%,56%
100800,Kaitaia West,Northland,5-11,476,120,50,NA,NA,25%,11%,NA
100900,Rangitihi,Northland,12+,815,690,674,622,366,85%,83%,59%
100900,Rangitihi,Northland,5-11,90,16,Masked,NA,NA,18%,6%,NA
101000,Oruru-Parapara,Northland,12+,814,658,635,600,361,81%,78%,60%
101000,Oruru-Parapara,Northland,5-11,102,26,9,NA,NA,25%,9%,NA
101100,Taumarumaru,Northland,12+,"2,247","2,001","1,961","1,878","1,355",89%,87%,72%
101100,Taumarumaru,Northland,5-11,214,67,21,NA,NA,31%,10%,NA
101200,Herekino-Takahue,Northland,12+,885,699,674,621,372,79%,76%,60%
101200,Herekino-Takahue,Northland,5-11,114,26,Masked,NA,NA,23%,<5%,NA
101300,Peria,Northland,12+,"1,021",742,716,679,410,73%,70%,60%
101300,Peria,Northland,5-11,130,26,8,NA,NA,20%,6%,NA
101400,Taemaro-Oruaiti,Northland,12+,855,709,687,649,417,83%,80%,64%
101400,Taemaro-Oruaiti,Northland,5-11,110,42,9,NA,NA,38%,8%,NA
101500,Whakapaku,Northland,12+,656,513,494,466,310,78%,75%,67%
101500,Whakapaku,Northland,5-11,84,33,6,NA,NA,39%,7%,NA
101600,Hokianga North,Northland,12+,799,667,648,598,399,83%,81%,67%
101600,Hokianga North,Northland,5-11,136,36,8,NA,NA,26%,6%,NA
101700,Kohukohu-Broadwood,Northland,12+,691,569,556,523,362,82%,80%,69%
101700,Kohukohu-Broadwood,Northland,5-11,64,16,Masked,NA,NA,25%,6%,NA
101800,Whakarara,Northland,12+,"1,125",964,939,889,626,86%,83%,70%
101800,Whakarara,Northland,5-11,119,54,25,NA,NA,45%,21%,NA
101900,Kaeo,Northland,12+,"1,069",842,810,762,478,79%,76%,63%
101900,Kaeo,Northland,5-11,147,43,16,NA,NA,29%,11%,NA
102000,Omahuta Forest-Horeke,Northland,12+,985,738,704,648,387,75%,71%,60%
102000,Omahuta Forest-Horeke,Northland,5-11,161,21,9,NA,NA,13%,6%,NA
102100,Hokianga South,Northland,12+,"1,184",895,862,816,538,76%,73%,66%
102100,Hokianga South,Northland,5-11,130,30,6,NA,NA,23%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,007","1,819","1,788","1,677","1,121",91%,89%,67%
102200,Lake Manuwai-Kapiro,Northland,5-11,205,85,41,NA,NA,41%,20%,NA
102300,Okaihau,Northland,12+,"1,027",889,871,815,488,87%,85%,60%
102300,Okaihau,Northland,5-11,119,32,Masked,NA,NA,27%,<5%,NA
102400,Rangitane-Purerua,Northland,12+,"1,293","1,156","1,123","1,044",720,89%,87%,69%
102400,Rangitane-Purerua,Northland,5-11,159,43,20,NA,NA,27%,13%,NA
102500,Waipapa,Northland,12+,733,661,643,609,396,90%,88%,65%
102500,Waipapa,Northland,5-11,96,38,17,NA,NA,40%,18%,NA
102600,Puketotara,Northland,12+,"1,611","1,446","1,411","1,328",906,90%,88%,68%
102600,Puketotara,Northland,5-11,175,71,21,NA,NA,41%,12%,NA
102700,Waima Forest,Northland,12+,991,768,739,684,363,77%,75%,53%
102700,Waima Forest,Northland,5-11,137,23,6,NA,NA,17%,<5%,NA
102800,Riverview,Northland,12+,"1,970",Masked,"1,847","1,730","1,325",>95%,94%,77%
102800,Riverview,Northland,5-11,201,101,44,NA,NA,50%,22%,NA
102900,Waipoua Forest,Northland,12+,"1,153",883,855,818,556,77%,74%,68%
102900,Waipoua Forest,Northland,5-11,108,18,Masked,NA,NA,17%,<5%,NA
103000,Kerikeri Central,Northland,12+,"2,369","2,196","2,165","2,056","1,459",93%,91%,71%
103000,Kerikeri Central,Northland,5-11,231,89,34,NA,NA,39%,15%,NA
103100,Kerikeri South,Northland,12+,"2,536","2,343","2,316","2,209","1,669",92%,91%,76%
103100,Kerikeri South,Northland,5-11,215,101,39,NA,NA,47%,18%,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,062",928,903,848,558,87%,85%,66%
103200,Ohaeawai-Waimate North,Northland,5-11,115,29,11,NA,NA,25%,10%,NA
103300,Puketona-Waitangi,Northland,12+,"1,297","1,126","1,114","1,066",753,87%,86%,71%
103300,Puketona-Waitangi,Northland,5-11,125,43,11,NA,NA,34%,9%,NA
103400,Ngapuhi,Northland,12+,"1,264","1,053","1,010",924,505,83%,80%,55%
103400,Ngapuhi,Northland,5-11,188,34,10,NA,NA,18%,5%,NA
103500,Kaikohe,Northland,12+,"3,569","2,950","2,817","2,597","1,416",83%,79%,55%
103500,Kaikohe,Northland,5-11,657,178,59,NA,NA,27%,9%,NA
103600,Pakaraka,Northland,12+,550,483,473,441,275,88%,86%,62%
103600,Pakaraka,Northland,5-11,78,31,14,NA,NA,40%,18%,NA
103700,Haruru,Northland,12+,"1,019",866,854,825,571,85%,84%,69%
103700,Haruru,Northland,5-11,119,47,11,NA,NA,39%,9%,NA
103800,Russell,Northland,12+,770,706,701,684,550,92%,91%,80%
103900,Paihia,Northland,12+,"1,531","1,365","1,339","1,284",874,89%,87%,68%
103900,Paihia,Northland,5-11,132,45,25,NA,NA,34%,19%,NA
104000,Mataraua Forest,Northland,12+,456,367,345,313,176,80%,76%,56%
104000,Mataraua Forest,Northland,5-11,70,17,9,NA,NA,24%,13%,NA
104100,Matawaia-Taumarere,Northland,12+,"1,269","1,030",997,921,514,81%,79%,56%
104100,Matawaia-Taumarere,Northland,5-11,201,58,10,NA,NA,29%,<5%,NA
104200,Russell Peninsula,Northland,12+,634,546,542,525,421,86%,85%,80%
104300,Opua (Far North District),Northland,12+,"1,184","1,081","1,062","1,032",775,91%,90%,75%
104300,Opua (Far North District),Northland,5-11,72,22,8,NA,NA,31%,11%,NA
104400,Russell Forest-Rawhiti,Northland,12+,621,545,527,498,343,88%,85%,69%
104400,Russell Forest-Rawhiti,Northland,5-11,74,15,Masked,NA,NA,20%,<5%,NA
104500,Moerewa,Northland,12+,"1,345","1,155","1,103",988,523,86%,82%,53%
104500,Moerewa,Northland,5-11,270,38,12,NA,NA,14%,<5%,NA
104600,Kawakawa,Northland,12+,"1,194","1,072","1,029",946,549,90%,86%,58%
104600,Kawakawa,Northland,5-11,199,45,15,NA,NA,23%,8%,NA
104700,Maromaku,Northland,12+,586,466,449,419,241,80%,77%,58%
104700,Maromaku,Northland,5-11,101,30,8,NA,NA,30%,8%,NA
104800,Mangakahia-Hukerenui,Northland,12+,"1,569","1,360","1,318","1,198",675,87%,84%,56%
104800,Mangakahia-Hukerenui,Northland,5-11,228,66,17,NA,NA,29%,7%,NA
104900,Whangaruru,Northland,12+,"2,238","1,958","1,911","1,797","1,132",87%,85%,63%
104900,Whangaruru,Northland,5-11,250,88,23,NA,NA,35%,9%,NA
105100,Matarau,Northland,12+,"2,773","2,504","2,467","2,270","1,587",90%,89%,70%
105100,Matarau,Northland,5-11,391,170,77,NA,NA,43%,20%,NA
105200,Hikurangi,Northland,12+,"1,198","1,069","1,037",948,542,89%,87%,57%
105200,Hikurangi,Northland,5-11,230,71,24,NA,NA,31%,10%,NA
105300,Kauri,Northland,12+,"1,554","1,388","1,368","1,281",938,89%,88%,73%
105300,Kauri,Northland,5-11,198,76,28,NA,NA,38%,14%,NA
105400,Maungatapere,Northland,12+,"3,044","2,685","2,653","2,485","1,765",88%,87%,71%
105400,Maungatapere,Northland,5-11,368,166,91,NA,NA,45%,25%,NA
105500,Kamo West,Northland,12+,"1,969","1,769","1,746","1,628","1,159",90%,89%,71%
105500,Kamo West,Northland,5-11,206,103,44,NA,NA,50%,21%,NA
105600,Matapouri-Tutukaka,Northland,12+,"1,602","1,441","1,420","1,349",985,90%,89%,73%
105600,Matapouri-Tutukaka,Northland,5-11,133,63,36,NA,NA,47%,27%,NA
105700,Kiripaka,Northland,12+,873,781,769,716,486,89%,88%,68%
105700,Kiripaka,Northland,5-11,124,59,30,NA,NA,48%,24%,NA
105800,Kamo East,Northland,12+,"2,472","2,290","2,230","2,053","1,274",93%,90%,62%
105800,Kamo East,Northland,5-11,426,162,59,NA,NA,38%,14%,NA
105900,Granfield Reserve,Northland,12+,"2,912","2,690","2,654","2,493","1,934",92%,91%,78%
105900,Granfield Reserve,Northland,5-11,289,152,59,NA,NA,53%,20%,NA
106000,Kamo Central,Northland,12+,"1,409","1,322","1,300","1,210",809,94%,92%,67%
106000,Kamo Central,Northland,5-11,221,111,36,NA,NA,50%,16%,NA
106100,Whau Valley,Northland,12+,"2,548","2,262","2,233","2,123","1,532",89%,88%,72%
106100,Whau Valley,Northland,5-11,260,111,45,NA,NA,43%,17%,NA
106200,Tikipunga North,Northland,12+,"2,898","2,709","2,661","2,493","1,727",93%,92%,69%
106200,Tikipunga North,Northland,5-11,422,140,43,NA,NA,33%,10%,NA
106300,Pukenui,Northland,12+,"2,010","1,897","1,884","1,746","1,324",94%,94%,76%
106300,Pukenui,Northland,5-11,259,163,79,NA,NA,63%,31%,NA
106400,Otangarei,Northland,12+,"1,778","1,450","1,357","1,233",614,82%,76%,50%
106400,Otangarei,Northland,5-11,300,54,7,NA,NA,18%,<5%,NA
106500,Tikipunga South,Northland,12+,"3,213","2,966","2,903","2,718","1,809",92%,90%,67%
106500,Tikipunga South,Northland,5-11,434,161,45,NA,NA,37%,10%,NA
106600,Kensington (Whangarei District),Northland,12+,"2,951","2,766","2,721","2,603","1,873",94%,92%,72%
106600,Kensington (Whangarei District),Northland,5-11,255,91,36,NA,NA,36%,14%,NA
106700,Abbey Caves-Glenbervie,Northland,12+,"1,181","1,097","1,085","1,024",717,93%,92%,70%
106700,Abbey Caves-Glenbervie,Northland,5-11,131,49,25,NA,NA,37%,19%,NA
106800,Mairtown,Northland,12+,"2,230","2,049","2,025","1,938","1,433",92%,91%,74%
106800,Mairtown,Northland,5-11,215,100,36,NA,NA,47%,17%,NA
106900,Maunu-Horahora,Northland,12+,"2,943","2,725","2,695","2,534","1,917",93%,92%,76%
106900,Maunu-Horahora,Northland,5-11,343,161,70,NA,NA,47%,20%,NA
107000,Woodhill-Vinetown,Northland,12+,"2,488","2,287","2,243","2,137","1,440",92%,90%,67%
107000,Woodhill-Vinetown,Northland,5-11,242,102,34,NA,NA,42%,14%,NA
107100,Whangarei Central,Northland,12+,975,908,893,854,579,93%,92%,68%
107100,Whangarei Central,Northland,5-11,52,21,Masked,NA,NA,40%,8%,NA
107200,Riverside,Northland,12+,"1,920","1,709","1,687","1,612","1,121",89%,88%,70%
107200,Riverside,Northland,5-11,170,77,29,NA,NA,45%,17%,NA
107300,Raumanga,Northland,12+,"2,682","2,381","2,281","2,078","1,114",89%,85%,54%
107300,Raumanga,Northland,5-11,468,116,32,NA,NA,25%,7%,NA
107400,Tarewa,Northland,12+,"1,513","1,327","1,286","1,171",656,88%,85%,56%
107400,Tarewa,Northland,5-11,314,89,33,NA,NA,28%,11%,NA
107500,Morningside (Whangarei District),Northland,12+,"1,919","1,769","1,723","1,633",996,92%,90%,61%
107500,Morningside (Whangarei District),Northland,5-11,219,82,28,NA,NA,37%,13%,NA
107600,Ngunguru,Northland,12+,"1,059",955,945,886,674,90%,89%,76%
107600,Ngunguru,Northland,5-11,120,61,28,NA,NA,51%,23%,NA
107700,Otaika-Portland,Northland,12+,"1,173","1,030","1,003",940,626,88%,86%,67%
107700,Otaika-Portland,Northland,5-11,142,63,23,NA,NA,44%,16%,NA
107800,Oakleigh-Mangapai,Northland,12+,"1,987","1,766","1,744","1,636","1,116",89%,88%,68%
107800,Oakleigh-Mangapai,Northland,5-11,223,92,45,NA,NA,41%,20%,NA
107900,Port-Limeburners,Northland,12+,179,166,162,156,94,93%,91%,60%
108000,Pataua,Northland,12+,"1,492","1,289","1,266","1,193",772,86%,85%,65%
108000,Pataua,Northland,5-11,193,72,29,NA,NA,37%,15%,NA
108100,Onerahi Park,Northland,12+,"1,395","1,309","1,293","1,228",923,94%,93%,75%
108100,Onerahi Park,Northland,5-11,181,92,44,NA,NA,51%,24%,NA
108200,Sherwood Rise,Northland,12+,"2,021","1,850","1,811","1,700","1,118",92%,90%,66%
108200,Sherwood Rise,Northland,5-11,279,93,29,NA,NA,33%,10%,NA
108300,Onerahi,Northland,12+,"2,066","1,815","1,778","1,664","1,126",88%,86%,68%
108300,Onerahi,Northland,5-11,243,72,24,NA,NA,30%,10%,NA
108500,Parua Bay,Northland,12+,"2,252","2,096","2,081","1,953","1,531",93%,92%,78%
108500,Parua Bay,Northland,5-11,260,136,61,NA,NA,52%,23%,NA
108600,Bream Bay,Northland,12+,"1,903","1,706","1,673","1,557","1,054",90%,88%,68%
108600,Bream Bay,Northland,5-11,230,91,34,NA,NA,40%,15%,NA
108700,Marsden Bay,Northland,12+,"2,408",Masked,"2,282","2,165","1,689",>95%,95%,78%
108700,Marsden Bay,Northland,5-11,249,103,51,NA,NA,41%,20%,NA
