SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
Unknown,Unknown,Unknown,Maori,"11,199","10,504","9,550",938,853
Unknown,Unknown,Unknown,Pacific Peoples,"2,786",Masked,Masked,>950,>950
100100,North Cape,Northland,Maori,842,758,726,900,862
100200,Rangaunu Harbour,Northland,Maori,"1,010",840,774,832,766
100400,Karikari Peninsula,Northland,Maori,522,422,385,808,738
100500,Tangonge,Northland,Maori,542,464,433,856,799
100600,Ahipara,Northland,Maori,589,486,461,825,783
100700,Kaitaia East,Northland,Maori,"1,311","1,098",984,838,751
100700,Kaitaia East,Northland,Pacific Peoples,53,Masked,Masked,>950,>950
100800,Kaitaia West,Northland,Maori,"1,860","1,583","1,411",851,759
100800,Kaitaia West,Northland,Pacific Peoples,101,93,87,921,861
100900,Rangitihi,Northland,Maori,388,310,291,799,750
101000,Oruru-Parapara,Northland,Maori,310,241,220,777,710
101100,Taumarumaru,Northland,Maori,580,505,463,871,798
101200,Herekino-Takahue,Northland,Maori,414,334,305,807,737
101300,Peria,Northland,Maori,349,268,235,768,673
101400,Taemaro-Oruaiti,Northland,Maori,301,228,198,757,658
101500,Whakapaku,Northland,Maori,269,209,183,777,680
101600,Hokianga North,Northland,Maori,645,544,503,843,780
101700,Kohukohu-Broadwood,Northland,Maori,364,286,258,786,709
101800,Whakarara,Northland,Maori,528,454,427,860,809
101900,Kaeo,Northland,Maori,456,345,306,757,671
102000,Omahuta Forest-Horeke,Northland,Maori,631,449,397,712,629
102100,Hokianga South,Northland,Maori,697,509,458,730,657
102200,Lake Manuwai-Kapiro,Northland,Maori,254,202,186,795,732
102300,Okaihau,Northland,Maori,298,251,234,842,785
102400,Rangitane-Purerua,Northland,Maori,343,293,265,854,773
102500,Waipapa,Northland,Maori,123,103,97,837,789
102600,Puketotara,Northland,Maori,223,196,185,879,830
102700,Waima Forest,Northland,Maori,764,571,515,747,674
102800,Riverview,Northland,Maori,219,208,194,950,886
102900,Waipoua Forest,Northland,Maori,620,487,442,785,713
103000,Kerikeri Central,Northland,Maori,449,385,351,857,782
103000,Kerikeri Central,Northland,Pacific Peoples,58,Masked,Masked,>950,>950
103100,Kerikeri South,Northland,Maori,228,194,182,851,798
103200,Ohaeawai-Waimate North,Northland,Maori,412,348,327,845,794
103300,Puketona-Waitangi,Northland,Maori,268,228,222,851,828
103400,Ngapuhi,Northland,Maori,945,742,675,785,714
103500,Kaikohe,Northland,Maori,"2,771","2,137","1,937",771,699
103500,Kaikohe,Northland,Pacific Peoples,103,83,78,806,757
103600,Pakaraka,Northland,Maori,142,123,112,866,789
103700,Haruru,Northland,Maori,213,188,180,883,845
103800,Russell,Northland,Maori,136,125,125,919,919
103900,Paihia,Northland,Maori,482,398,356,826,739
104000,Mataraua Forest,Northland,Maori,337,256,230,760,682
104100,Matawaia-Taumarere,Northland,Maori,796,618,559,776,702
104200,Russell Peninsula,Northland,Maori,73,56,54,767,740
104300,Opua (Far North District),Northland,Maori,180,138,129,767,717
104400,Russell Forest-Rawhiti,Northland,Maori,393,326,299,830,761
104500,Moerewa,Northland,Maori,"1,175",963,894,820,761
104600,Kawakawa,Northland,Maori,818,686,628,839,768
104700,Maromaku,Northland,Maori,247,189,173,765,700
104800,Mangakahia-Hukerenui,Northland,Maori,592,512,466,865,787
104900,Whangaruru,Northland,Maori,655,556,525,849,802
105100,Matarau,Northland,Maori,358,308,294,860,821
105200,Hikurangi,Northland,Maori,464,396,363,853,782
105300,Kauri,Northland,Maori,233,201,196,863,841
105400,Maungatapere,Northland,Maori,422,376,356,891,844
105500,Kamo West,Northland,Maori,383,346,325,903,849
105600,Matapouri-Tutukaka,Northland,Maori,222,199,187,896,842
105700,Kiripaka,Northland,Maori,186,156,143,839,769
105800,Kamo East,Northland,Maori,905,788,726,871,802
105800,Kamo East,Northland,Pacific Peoples,103,88,85,854,825
105900,Granfield Reserve,Northland,Maori,457,417,390,912,853
105900,Granfield Reserve,Northland,Pacific Peoples,40,36,34,900,850
106000,Kamo Central,Northland,Maori,408,364,340,892,833
106100,Whau Valley,Northland,Maori,605,532,501,879,828
