SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Unknown,Unknown,Unknown,12+,"57,902","54,581","52,864","49,992","30,258","13,744","4,811",94%,91%,61%,35%
Unknown,Unknown,Unknown,5-11,"5,876","2,881","1,505",NA,NA,NA,NA,49%,26%,NA,NA
100100,North Cape,Northland,12+,"1,671","1,389","1,367","1,282",831,593,207,83%,82%,65%,35%
100100,North Cape,Northland,5-11,180,53,23,NA,NA,NA,NA,29%,13%,NA,NA
100200,Rangaunu Harbour,Northland,12+,"2,007","1,652","1,600","1,509",875,582,129,82%,80%,58%,22%
100200,Rangaunu Harbour,Northland,5-11,250,51,21,NA,NA,NA,NA,20%,8%,NA,NA
100400,Karikari Peninsula,Northland,12+,"1,387","1,171","1,152","1,106",744,571,148,84%,83%,67%,26%
100400,Karikari Peninsula,Northland,5-11,128,31,9,NA,NA,NA,NA,24%,7%,NA,NA
100500,Tangonge,Northland,12+,"1,020",862,843,779,492,310,79,85%,83%,63%,25%
100500,Tangonge,Northland,5-11,123,32,10,NA,NA,NA,NA,26%,8%,NA,NA
100600,Ahipara,Northland,12+,"1,092",898,876,827,534,369,69,82%,80%,65%,19%
100600,Ahipara,Northland,5-11,146,55,18,NA,NA,NA,NA,38%,12%,NA,NA
100700,Kaitaia East,Northland,12+,"2,016","1,724","1,645","1,527",851,474,120,86%,82%,56%,25%
100700,Kaitaia East,Northland,5-11,339,100,34,NA,NA,NA,NA,29%,10%,NA,NA
100800,Kaitaia West,Northland,12+,"2,984","2,500","2,395","2,224","1,257",766,180,84%,80%,57%,23%
100800,Kaitaia West,Northland,5-11,451,123,51,NA,NA,NA,NA,27%,11%,NA,NA
100900,Rangitihi,Northland,12+,838,697,683,638,375,240,51,83%,82%,59%,21%
100900,Rangitihi,Northland,5-11,83,18,Masked,NA,NA,NA,NA,22%,6%,NA,NA
101000,Oruru-Parapara,Northland,12+,846,657,633,603,363,264,66,78%,75%,60%,25%
101000,Oruru-Parapara,Northland,5-11,103,26,10,NA,NA,NA,NA,25%,10%,NA,NA
101100,Taumarumaru,Northland,12+,"2,290","1,971","1,932","1,867","1,361","1,059",387,86%,84%,73%,37%
101100,Taumarumaru,Northland,5-11,221,73,31,NA,NA,NA,NA,33%,14%,NA,NA
101200,Herekino-Takahue,Northland,12+,923,702,676,629,383,265,66,76%,73%,61%,25%
101200,Herekino-Takahue,Northland,5-11,101,27,Masked,NA,NA,NA,NA,27%,<5%,NA,NA
101300,Peria,Northland,12+,"1,058",742,721,689,423,285,58,70%,68%,61%,20%
101300,Peria,Northland,5-11,133,27,13,NA,NA,NA,NA,20%,10%,NA,NA
101400,Taemaro-Oruaiti,Northland,12+,908,721,701,667,435,343,110,79%,77%,65%,32%
101400,Taemaro-Oruaiti,Northland,5-11,103,38,11,NA,NA,NA,NA,37%,11%,NA,NA
101500,Whakapaku,Northland,12+,684,509,493,470,312,241,93,74%,72%,66%,39%
101500,Whakapaku,Northland,5-11,89,32,11,NA,NA,NA,NA,36%,12%,NA,NA
101600,Hokianga North,Northland,12+,811,662,643,593,402,287,52,82%,79%,68%,18%
101600,Hokianga North,Northland,5-11,130,37,12,NA,NA,NA,NA,28%,9%,NA,NA
101700,Kohukohu-Broadwood,Northland,12+,707,561,549,523,361,283,109,79%,78%,69%,39%
101700,Kohukohu-Broadwood,Northland,5-11,66,18,6,NA,NA,NA,NA,27%,9%,NA,NA
101800,Whakarara,Northland,12+,"1,166",970,945,902,633,442,178,83%,81%,70%,40%
101800,Whakarara,Northland,5-11,111,54,27,NA,NA,NA,NA,49%,24%,NA,NA
101900,Kaeo,Northland,12+,"1,102",844,810,772,489,334,117,77%,74%,63%,35%
101900,Kaeo,Northland,5-11,148,45,18,NA,NA,NA,NA,30%,12%,NA,NA
102000,Omahuta Forest-Horeke,Northland,12+,"1,004",729,697,653,386,277,75,73%,69%,59%,27%
102000,Omahuta Forest-Horeke,Northland,5-11,156,22,13,NA,NA,NA,NA,14%,8%,NA,NA
102100,Hokianga South,Northland,12+,"1,219",909,875,836,567,409,134,75%,72%,68%,33%
102100,Hokianga South,Northland,5-11,124,31,13,NA,NA,NA,NA,25%,10%,NA,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,118","1,819","1,788","1,689","1,133",782,239,86%,84%,67%,31%
102200,Lake Manuwai-Kapiro,Northland,5-11,210,86,47,NA,NA,NA,NA,41%,22%,NA,NA
102300,Okaihau,Northland,12+,"1,069",889,870,820,491,314,73,83%,81%,60%,23%
102300,Okaihau,Northland,5-11,124,32,11,NA,NA,NA,NA,26%,9%,NA,NA
102400,Rangitane-Purerua,Northland,12+,"1,339","1,147","1,113","1,044",726,542,179,86%,83%,70%,33%
102400,Rangitane-Purerua,Northland,5-11,147,44,25,NA,NA,NA,NA,30%,17%,NA,NA
102500,Waipapa,Northland,12+,758,662,640,610,402,256,95,87%,84%,66%,37%
102500,Waipapa,Northland,5-11,99,37,19,NA,NA,NA,NA,37%,19%,NA,NA
102600,Puketotara,Northland,12+,"1,698","1,452","1,417","1,338",928,623,181,86%,83%,69%,29%
102600,Puketotara,Northland,5-11,167,74,24,NA,NA,NA,NA,44%,14%,NA,NA
102700,Waima Forest,Northland,12+,"1,012",759,730,687,370,252,42,75%,72%,54%,17%
102700,Waima Forest,Northland,5-11,139,24,9,NA,NA,NA,NA,17%,6%,NA,NA
102800,Riverview,Northland,12+,"2,092","1,910","1,882","1,773","1,385","1,004",466,91%,90%,78%,46%
102800,Riverview,Northland,5-11,191,101,50,NA,NA,NA,NA,53%,26%,NA,NA
102900,Waipoua Forest,Northland,12+,"1,171",876,849,822,565,412,134,75%,73%,69%,33%
102900,Waipoua Forest,Northland,5-11,124,16,Masked,NA,NA,NA,NA,13%,<5%,NA,NA
103000,Kerikeri Central,Northland,12+,"2,457","2,180","2,149","2,056","1,468","1,013",519,89%,87%,71%,51%
103000,Kerikeri Central,Northland,5-11,219,91,40,NA,NA,NA,NA,42%,18%,NA,NA
103100,Kerikeri South,Northland,12+,"2,643","2,347","2,321","2,238","1,698","1,269",501,89%,88%,76%,39%
103100,Kerikeri South,Northland,5-11,219,102,44,NA,NA,NA,NA,47%,20%,NA,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,093",923,898,854,566,391,122,84%,82%,66%,31%
103200,Ohaeawai-Waimate North,Northland,5-11,110,29,13,NA,NA,NA,NA,26%,12%,NA,NA
103300,Puketona-Waitangi,Northland,12+,"1,330","1,121","1,109","1,068",763,529,169,84%,83%,71%,32%
103300,Puketona-Waitangi,Northland,5-11,124,44,13,NA,NA,NA,NA,35%,10%,NA,NA
103400,Ngapuhi,Northland,12+,"1,331","1,068","1,025",964,520,357,94,80%,77%,54%,26%
103400,Ngapuhi,Northland,5-11,184,41,11,NA,NA,NA,NA,22%,6%,NA,NA
103500,Kaikohe,Northland,12+,"3,641","2,926","2,792","2,606","1,431",860,255,80%,77%,55%,30%
103500,Kaikohe,Northland,5-11,668,181,71,NA,NA,NA,NA,27%,11%,NA,NA
103600,Pakaraka,Northland,12+,569,478,469,441,275,181,55,84%,82%,62%,30%
103600,Pakaraka,Northland,5-11,84,28,13,NA,NA,NA,NA,33%,15%,NA,NA
103700,Haruru,Northland,12+,"1,036",863,851,826,590,401,159,83%,82%,71%,40%
103700,Haruru,Northland,5-11,113,47,11,NA,NA,NA,NA,42%,10%,NA,NA
103800,Russell,Northland,12+,807,715,710,697,565,439,189,89%,88%,81%,43%
103900,Paihia,Northland,12+,"1,584","1,373","1,343","1,304",894,627,260,87%,85%,69%,41%
103900,Paihia,Northland,5-11,124,41,24,NA,NA,NA,NA,33%,19%,NA,NA
104000,Mataraua Forest,Northland,12+,479,363,343,317,183,125,40,76%,72%,58%,32%
104000,Mataraua Forest,Northland,5-11,62,16,10,NA,NA,NA,NA,26%,16%,NA,NA
104100,Matawaia-Taumarere,Northland,12+,"1,318","1,019",986,918,527,351,99,77%,75%,57%,28%
104100,Matawaia-Taumarere,Northland,5-11,194,58,10,NA,NA,NA,NA,30%,5%,NA,NA
104200,Russell Peninsula,Northland,12+,655,548,544,529,431,346,137,84%,83%,81%,40%
104300,Opua (Far North District),Northland,12+,"1,247","1,068","1,049","1,014",778,593,218,86%,84%,77%,37%
104300,Opua (Far North District),Northland,5-11,75,21,10,NA,NA,NA,NA,28%,13%,NA,NA
104400,Russell Forest-Rawhiti,Northland,12+,651,556,539,516,349,272,100,85%,83%,68%,37%
104400,Russell Forest-Rawhiti,Northland,5-11,77,14,Masked,NA,NA,NA,NA,18%,<5%,NA,NA
104500,Moerewa,Northland,12+,"1,365","1,118","1,068",982,527,309,93,82%,78%,54%,30%
104500,Moerewa,Northland,5-11,240,37,11,NA,NA,NA,NA,15%,<5%,NA,NA
104600,Kawakawa,Northland,12+,"1,240","1,061","1,019",953,559,322,94,86%,82%,59%,29%
104600,Kawakawa,Northland,5-11,185,50,17,NA,NA,NA,NA,27%,9%,NA,NA
104700,Maromaku,Northland,12+,632,477,462,434,247,155,32,75%,73%,57%,21%
104700,Maromaku,Northland,5-11,120,28,8,NA,NA,NA,NA,23%,7%,NA,NA
104800,Mangakahia-Hukerenui,Northland,12+,"1,648","1,349","1,311","1,213",681,409,109,82%,80%,56%,27%
104800,Mangakahia-Hukerenui,Northland,5-11,223,65,20,NA,NA,NA,NA,29%,9%,NA,NA
104900,Whangaruru,Northland,12+,"2,325","1,930","1,887","1,794","1,140",780,225,83%,81%,64%,29%
104900,Whangaruru,Northland,5-11,263,86,20,NA,NA,NA,NA,33%,8%,NA,NA
105100,Matarau,Northland,12+,"2,899","2,514","2,480","2,295","1,617",971,320,87%,86%,70%,33%
105100,Matarau,Northland,5-11,355,174,86,NA,NA,NA,NA,49%,24%,NA,NA
105200,Hikurangi,Northland,12+,"1,256","1,054","1,019",942,538,270,65,84%,81%,57%,24%
105200,Hikurangi,Northland,5-11,214,72,33,NA,NA,NA,NA,34%,15%,NA,NA
105300,Kauri,Northland,12+,"1,607","1,391","1,372","1,290",950,638,205,87%,85%,74%,32%
105300,Kauri,Northland,5-11,192,73,32,NA,NA,NA,NA,38%,17%,NA,NA
105400,Maungatapere,Northland,12+,"3,160","2,692","2,663","2,514","1,806","1,158",360,85%,84%,72%,31%
105400,Maungatapere,Northland,5-11,363,166,98,NA,NA,NA,NA,46%,27%,NA,NA
105500,Kamo West,Northland,12+,"2,010","1,782","1,762","1,658","1,171",729,256,89%,88%,71%,35%
105500,Kamo West,Northland,5-11,203,108,49,NA,NA,NA,NA,53%,24%,NA,NA
105600,Matapouri-Tutukaka,Northland,12+,"1,670","1,443","1,419","1,356",993,711,277,86%,85%,73%,39%
105600,Matapouri-Tutukaka,Northland,5-11,132,66,39,NA,NA,NA,NA,50%,30%,NA,NA
105700,Kiripaka,Northland,12+,920,790,774,729,502,310,122,86%,84%,69%,39%
105700,Kiripaka,Northland,5-11,112,60,30,NA,NA,NA,NA,54%,27%,NA,NA
105800,Kamo East,Northland,12+,"2,581","2,270","2,215","2,067","1,295",650,209,88%,86%,63%,32%
105800,Kamo East,Northland,5-11,414,162,62,NA,NA,NA,NA,39%,15%,NA,NA
105900,Granfield Reserve,Northland,12+,"2,925","2,666","2,628","2,486","1,934","1,322",625,91%,90%,78%,47%
105900,Granfield Reserve,Northland,5-11,287,150,62,NA,NA,NA,NA,52%,22%,NA,NA
106000,Kamo Central,Northland,12+,"1,469","1,310","1,286","1,214",818,455,188,89%,88%,67%,41%
106000,Kamo Central,Northland,5-11,228,110,43,NA,NA,NA,NA,48%,19%,NA,NA
106100,Whau Valley,Northland,12+,"2,568","2,271","2,242","2,142","1,562",951,279,88%,87%,73%,29%
106100,Whau Valley,Northland,5-11,262,108,52,NA,NA,NA,NA,41%,20%,NA,NA
106200,Tikipunga North,Northland,12+,"3,051","2,716","2,669","2,518","1,789","1,137",516,89%,87%,71%,45%
106200,Tikipunga North,Northland,5-11,404,144,50,NA,NA,NA,NA,36%,12%,NA,NA
106300,Pukenui,Northland,12+,"2,094","1,913","1,904","1,780","1,363",878,315,91%,91%,77%,36%
106300,Pukenui,Northland,5-11,244,167,92,NA,NA,NA,NA,68%,38%,NA,NA
106400,Otangarei,Northland,12+,"1,789","1,429","1,338","1,249",646,362,83,80%,75%,52%,23%
106400,Otangarei,Northland,5-11,316,61,12,NA,NA,NA,NA,19%,<5%,NA,NA
106500,Tikipunga South,Northland,12+,"3,333","2,956","2,896","2,740","1,840","1,138",477,89%,87%,67%,42%
106500,Tikipunga South,Northland,5-11,421,158,53,NA,NA,NA,NA,38%,13%,NA,NA
106600,Kensington (Whangarei District),Northland,12+,"3,064","2,753","2,712","2,614","1,907","1,220",516,90%,89%,73%,42%
106600,Kensington (Whangarei District),Northland,5-11,239,88,38,NA,NA,NA,NA,37%,16%,NA,NA
106700,Abbey Caves-Glenbervie,Northland,12+,"1,232","1,109","1,097","1,048",733,485,172,90%,89%,70%,35%
106700,Abbey Caves-Glenbervie,Northland,5-11,122,49,26,NA,NA,NA,NA,40%,21%,NA,NA
106800,Mairtown,Northland,12+,"2,249","2,019","2,002","1,923","1,455",926,384,90%,89%,76%,41%
106800,Mairtown,Northland,5-11,202,101,42,NA,NA,NA,NA,50%,21%,NA,NA
106900,Maunu-Horahora,Northland,12+,"3,028","2,695","2,663","2,538","1,928","1,049",393,89%,88%,76%,37%
106900,Maunu-Horahora,Northland,5-11,333,158,80,NA,NA,NA,NA,47%,24%,NA,NA
107000,Woodhill-Vinetown,Northland,12+,"2,579","2,248","2,204","2,110","1,449",750,272,87%,85%,69%,36%
107000,Woodhill-Vinetown,Northland,5-11,227,96,33,NA,NA,NA,NA,42%,15%,NA,NA
107100,Whangarei Central,Northland,12+,"1,037",909,892,862,601,379,118,88%,86%,70%,31%
107100,Whangarei Central,Northland,5-11,53,21,7,NA,NA,NA,NA,40%,13%,NA,NA
107200,Riverside,Northland,12+,"1,955","1,704","1,681","1,621","1,145",686,229,87%,86%,71%,33%
107200,Riverside,Northland,5-11,179,78,32,NA,NA,NA,NA,44%,18%,NA,NA
107300,Raumanga,Northland,12+,"2,814","2,364","2,263","2,098","1,165",612,196,84%,80%,56%,32%
107300,Raumanga,Northland,5-11,464,129,41,NA,NA,NA,NA,28%,9%,NA,NA
107400,Tarewa,Northland,12+,"1,606","1,324","1,281","1,192",666,344,85,82%,80%,56%,25%
107400,Tarewa,Northland,5-11,295,91,38,NA,NA,NA,NA,31%,13%,NA,NA
107500,Morningside (Whangarei District),Northland,12+,"2,043","1,789","1,743","1,662","1,033",492,159,88%,85%,62%,32%
107500,Morningside (Whangarei District),Northland,5-11,224,85,32,NA,NA,NA,NA,38%,14%,NA,NA
107600,Ngunguru,Northland,12+,"1,091",966,956,893,690,451,179,89%,88%,77%,40%
107600,Ngunguru,Northland,5-11,129,62,30,NA,NA,NA,NA,48%,23%,NA,NA
107700,Otaika-Portland,Northland,12+,"1,227","1,031","1,006",948,638,373,116,84%,82%,67%,31%
107700,Otaika-Portland,Northland,5-11,138,63,23,NA,NA,NA,NA,46%,17%,NA,NA
107800,Oakleigh-Mangapai,Northland,12+,"2,069","1,781","1,761","1,659","1,140",762,212,86%,85%,69%,28%
107800,Oakleigh-Mangapai,Northland,5-11,224,96,49,NA,NA,NA,NA,43%,22%,NA,NA
107900,Port-Limeburners,Northland,12+,198,167,163,159,96,55,13,84%,82%,60%,24%
108000,Pataua,Northland,12+,"1,562","1,290","1,264","1,200",777,530,165,83%,81%,65%,31%
108000,Pataua,Northland,5-11,188,70,29,NA,NA,NA,NA,37%,15%,NA,NA
108100,Onerahi Park,Northland,12+,"1,430","1,286","1,271","1,207",918,576,237,90%,89%,76%,41%
108100,Onerahi Park,Northland,5-11,168,93,50,NA,NA,NA,NA,55%,30%,NA,NA
108200,Sherwood Rise,Northland,12+,"2,096","1,843","1,806","1,706","1,162",679,242,88%,86%,68%,36%
108200,Sherwood Rise,Northland,5-11,277,94,34,NA,NA,NA,NA,34%,12%,NA,NA
108300,Onerahi,Northland,12+,"2,146","1,818","1,780","1,686","1,145",757,312,85%,83%,68%,41%
108300,Onerahi,Northland,5-11,242,76,31,NA,NA,NA,NA,31%,13%,NA,NA
108500,Parua Bay,Northland,12+,"2,364","2,109","2,092","1,980","1,553","1,076",459,89%,88%,78%,43%
108500,Parua Bay,Northland,5-11,244,140,68,NA,NA,NA,NA,57%,28%,NA,NA
108600,Bream Bay,Northland,12+,"2,003","1,725","1,693","1,589","1,067",742,207,86%,85%,67%,28%
108600,Bream Bay,Northland,5-11,233,90,35,NA,NA,NA,NA,39%,15%,NA,NA
108700,Marsden Bay,Northland,12+,"2,505","2,303","2,283","2,176","1,698","1,205",546,92%,91%,78%,45%
108700,Marsden Bay,Northland,5-11,248,105,55,NA,NA,NA,NA,42%,22%,NA,NA
108800,Ruakaka,Northland,12+,"2,479","2,205","2,167","2,067","1,450","1,036",434,89%,87%,70%,42%
108800,Ruakaka,Northland,5-11,256,79,24,NA,NA,NA,NA,31%,9%,NA,NA
108900,Bream Head,Northland,12+,"1,256","1,123","1,113","1,076",825,589,269,89%,89%,77%,46%
108900,Bream Head,Northland,5-11,142,70,31,NA,NA,NA,NA,49%,22%,NA,NA
109000,Waipu,Northland,12+,"2,910","2,505","2,478","2,395","1,775","1,346",514,86%,85%,74%,38%
109000,Waipu,Northland,5-11,229,76,41,NA,NA,NA,NA,33%,18%,NA,NA
109100,Kaipara Coastal,Northland,12+,"3,368","2,655","2,580","2,472","1,503","1,030",265,79%,77%,61%,26%
109100,Kaipara Coastal,Northland,5-11,351,101,46,NA,NA,NA,NA,29%,13%,NA,NA
109200,Maungaru,Northland,12+,"1,614","1,325","1,301","1,247",757,477,113,82%,81%,61%,24%
