SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Unknown,Unknown,Unknown,12+,"50,266",Masked,Masked,"50,205","30,028",>95%,>95%,60%
Unknown,Unknown,Unknown,5-11,"5,252","2,522","1,190",NA,NA,48%,23%,NA
100100,North Cape,Northland,12+,"1,595","1,368","1,345","1,248",813,86%,84%,65%
100100,North Cape,Northland,5-11,198,52,20,NA,NA,26%,10%,NA
100200,Rangaunu Harbour,Northland,12+,"1,953","1,653","1,598","1,476",859,85%,82%,58%
100200,Rangaunu Harbour,Northland,5-11,261,52,16,NA,NA,20%,6%,NA
100400,Karikari Peninsula,Northland,12+,"1,353","1,157","1,137","1,083",723,86%,84%,67%
100400,Karikari Peninsula,Northland,5-11,133,32,10,NA,NA,24%,8%,NA
100500,Tangonge,Northland,12+,970,850,834,761,472,88%,86%,62%
100500,Tangonge,Northland,5-11,121,31,9,NA,NA,26%,7%,NA
100600,Ahipara,Northland,12+,"1,049",893,868,813,517,85%,83%,64%
100600,Ahipara,Northland,5-11,148,54,17,NA,NA,36%,11%,NA
100700,Kaitaia East,Northland,12+,"2,025","1,784","1,703","1,557",848,88%,84%,54%
100700,Kaitaia East,Northland,5-11,334,102,32,NA,NA,31%,10%,NA
100800,Kaitaia West,Northland,12+,"2,940","2,537","2,434","2,212","1,231",86%,83%,56%
100800,Kaitaia West,Northland,5-11,480,120,47,NA,NA,25%,10%,NA
100900,Rangitihi,Northland,12+,810,685,669,613,362,85%,83%,59%
100900,Rangitihi,Northland,5-11,89,17,Masked,NA,NA,19%,6%,NA
101000,Oruru-Parapara,Northland,12+,815,662,638,601,360,81%,78%,60%
101000,Oruru-Parapara,Northland,5-11,103,27,9,NA,NA,26%,9%,NA
101100,Taumarumaru,Northland,12+,"2,248","2,003","1,963","1,880","1,357",89%,87%,72%
101100,Taumarumaru,Northland,5-11,214,67,21,NA,NA,31%,10%,NA
101200,Herekino-Takahue,Northland,12+,885,699,674,620,373,79%,76%,60%
101200,Herekino-Takahue,Northland,5-11,112,26,Masked,NA,NA,23%,<5%,NA
101300,Peria,Northland,12+,"1,020",742,715,679,410,73%,70%,60%
101300,Peria,Northland,5-11,128,26,8,NA,NA,20%,6%,NA
101400,Taemaro-Oruaiti,Northland,12+,855,709,687,649,418,83%,80%,64%
101400,Taemaro-Oruaiti,Northland,5-11,111,44,10,NA,NA,40%,9%,NA
101500,Whakapaku,Northland,12+,658,513,493,465,310,78%,75%,67%
101500,Whakapaku,Northland,5-11,84,32,Masked,NA,NA,38%,6%,NA
101600,Hokianga North,Northland,12+,798,667,648,596,397,84%,81%,67%
101600,Hokianga North,Northland,5-11,138,37,8,NA,NA,27%,6%,NA
101700,Kohukohu-Broadwood,Northland,12+,692,571,558,522,362,83%,81%,69%
101700,Kohukohu-Broadwood,Northland,5-11,66,16,Masked,NA,NA,24%,6%,NA
101800,Whakarara,Northland,12+,"1,123",963,939,889,621,86%,84%,70%
101800,Whakarara,Northland,5-11,117,53,23,NA,NA,45%,20%,NA
101900,Kaeo,Northland,12+,"1,066",838,806,757,472,79%,76%,62%
101900,Kaeo,Northland,5-11,147,43,16,NA,NA,29%,11%,NA
102000,Omahuta Forest-Horeke,Northland,12+,984,738,704,647,387,75%,72%,60%
102000,Omahuta Forest-Horeke,Northland,5-11,161,21,9,NA,NA,13%,6%,NA
102100,Hokianga South,Northland,12+,"1,185",896,862,815,532,76%,73%,65%
102100,Hokianga South,Northland,5-11,131,30,6,NA,NA,23%,<5%,NA
102200,Lake Manuwai-Kapiro,Northland,12+,"2,009","1,820","1,789","1,679","1,120",91%,89%,67%
102200,Lake Manuwai-Kapiro,Northland,5-11,204,85,40,NA,NA,42%,20%,NA
102300,Okaihau,Northland,12+,"1,024",888,869,812,485,87%,85%,60%
102300,Okaihau,Northland,5-11,120,33,Masked,NA,NA,28%,<5%,NA
102400,Rangitane-Purerua,Northland,12+,"1,288","1,151","1,119","1,039",714,89%,87%,69%
102400,Rangitane-Purerua,Northland,5-11,159,43,20,NA,NA,27%,13%,NA
102500,Waipapa,Northland,12+,729,660,642,607,395,91%,88%,65%
102500,Waipapa,Northland,5-11,97,38,17,NA,NA,39%,18%,NA
102600,Puketotara,Northland,12+,"1,615","1,447","1,414","1,330",905,90%,88%,68%
102600,Puketotara,Northland,5-11,175,71,21,NA,NA,41%,12%,NA
102700,Waima Forest,Northland,12+,992,770,740,682,364,78%,75%,53%
102700,Waima Forest,Northland,5-11,138,23,6,NA,NA,17%,<5%,NA
102800,Riverview,Northland,12+,"1,967",Masked,"1,843","1,726","1,319",>95%,94%,76%
102800,Riverview,Northland,5-11,202,101,44,NA,NA,50%,22%,NA
102900,Waipoua Forest,Northland,12+,"1,150",881,853,811,553,77%,74%,68%
102900,Waipoua Forest,Northland,5-11,108,18,Masked,NA,NA,17%,<5%,NA
103000,Kerikeri Central,Northland,12+,"2,375","2,203","2,171","2,060","1,460",93%,91%,71%
103000,Kerikeri Central,Northland,5-11,231,89,34,NA,NA,39%,15%,NA
103100,Kerikeri South,Northland,12+,"2,535","2,341","2,314","2,204","1,666",92%,91%,76%
103100,Kerikeri South,Northland,5-11,215,102,39,NA,NA,47%,18%,NA
103200,Ohaeawai-Waimate North,Northland,12+,"1,061",926,901,846,556,87%,85%,66%
103200,Ohaeawai-Waimate North,Northland,5-11,115,29,9,NA,NA,25%,8%,NA
103300,Puketona-Waitangi,Northland,12+,"1,290","1,123","1,111","1,064",752,87%,86%,71%
103300,Puketona-Waitangi,Northland,5-11,122,42,11,NA,NA,34%,9%,NA
103400,Ngapuhi,Northland,12+,"1,267","1,058","1,014",923,505,84%,80%,55%
103400,Ngapuhi,Northland,5-11,189,33,10,NA,NA,17%,5%,NA
103500,Kaikohe,Northland,12+,"3,570","2,954","2,822","2,587","1,415",83%,79%,55%
103500,Kaikohe,Northland,5-11,657,178,59,NA,NA,27%,9%,NA
103600,Pakaraka,Northland,12+,550,483,473,441,274,88%,86%,62%
103600,Pakaraka,Northland,5-11,77,30,14,NA,NA,39%,18%,NA
103700,Haruru,Northland,12+,"1,024",868,857,827,572,85%,84%,69%
103700,Haruru,Northland,5-11,120,47,10,NA,NA,39%,8%,NA
103800,Russell,Northland,12+,769,706,701,684,551,92%,91%,81%
103900,Paihia,Northland,12+,"1,523","1,356","1,331","1,274",865,89%,87%,68%
103900,Paihia,Northland,5-11,130,45,23,NA,NA,35%,18%,NA
104000,Mataraua Forest,Northland,12+,452,366,343,312,176,81%,76%,56%
104000,Mataraua Forest,Northland,5-11,70,17,9,NA,NA,24%,13%,NA
104100,Matawaia-Taumarere,Northland,12+,"1,270","1,031",999,920,516,81%,79%,56%
104100,Matawaia-Taumarere,Northland,5-11,200,60,10,NA,NA,30%,5%,NA
104200,Russell Peninsula,Northland,12+,633,544,540,523,420,86%,85%,80%
104300,Opua (Far North District),Northland,12+,"1,185","1,083","1,063","1,031",771,91%,90%,75%
104300,Opua (Far North District),Northland,5-11,71,22,8,NA,NA,31%,11%,NA
104400,Russell Forest-Rawhiti,Northland,12+,625,545,528,498,341,87%,84%,68%
104400,Russell Forest-Rawhiti,Northland,5-11,74,14,Masked,NA,NA,19%,<5%,NA
104500,Moerewa,Northland,12+,"1,345","1,156","1,104",986,521,86%,82%,53%
104500,Moerewa,Northland,5-11,272,38,12,NA,NA,14%,<5%,NA
104600,Kawakawa,Northland,12+,"1,194","1,074","1,030",941,548,90%,86%,58%
104600,Kawakawa,Northland,5-11,199,46,15,NA,NA,23%,8%,NA
104700,Maromaku,Northland,12+,589,466,448,419,241,79%,76%,58%
104700,Maromaku,Northland,5-11,99,29,8,NA,NA,29%,8%,NA
104800,Mangakahia-Hukerenui,Northland,12+,"1,572","1,361","1,320","1,198",677,87%,84%,57%
104800,Mangakahia-Hukerenui,Northland,5-11,227,65,17,NA,NA,29%,7%,NA
104900,Whangaruru,Northland,12+,"2,230","1,954","1,908","1,791","1,125",88%,86%,63%
