Date,First dose administered,Second dose administered
2021-08-06,30406,11700
2021-08-07,27922,8874
2021-08-08,15882,4622
2021-08-09,26913,11641
2021-08-10,31126,15940
2021-08-11,32044,16915
2021-08-12,32531,16525
2021-08-13,31401,15636
2021-08-14,30452,13290
2021-08-15,18293,7379
2021-08-16,30383,16035
2021-08-17,35861,20401
2021-08-18,414,100
2021-08-19,21599,8741
2021-08-20,38841,20168
2021-08-21,38408,15857
2021-08-22,28538,9055
2021-08-23,46858,19524
2021-08-24,59500,23617
2021-08-25,63501,26423
2021-08-26,67947,25466
2021-08-27,67507,24683
2021-08-28,56899,22362
2021-08-29,37125,11460
2021-08-30,54979,23738
2021-08-31,59417,27450
2021-09-01,63660,27646
2021-09-02,65281,25276
2021-09-03,61958,25884
2021-09-04,56141,22546
2021-09-05,27054,11998
2021-09-06,45358,21793
2021-09-07,50044,23428
2021-09-08,48894,18540
2021-09-09,46562,15602
2021-09-10,44217,21147
2021-09-11,39086,23285
2021-09-12,20695,13443
2021-09-13,34575,20955
2021-09-14,39785,22860
2021-09-15,40082,23191
2021-09-16,37341,24132
2021-09-17,33418,27656
2021-09-18,29361,24591
2021-09-19,14327,12571
2021-09-20,24859,25906
2021-09-21,27858,26540
2021-09-22,24598,25526
2021-09-23,21292,28522
2021-09-24,19196,31779
2021-09-25,19598,32273
2021-09-26,8307,16591
2021-09-27,12789,28257
2021-09-28,13674,31222
2021-09-29,14098,27098
2021-09-30,14234,32371
2021-10-01,12434,35479
2021-10-02,12960,37422
2021-10-03,7142,20034
2021-10-04,15030,41164
2021-10-05,17797,46350
2021-10-06,19113,51648
2021-10-07,19987,62914
2021-10-08,18818,67445
2021-10-09,18471,63718
2021-10-10,9117,33223
2021-10-11,15353,54297
2021-10-12,17698,55714
2021-10-13,15924,53417
2021-10-14,15256,53034
2021-10-15,14118,55743
2021-10-16,39692,91460
2021-10-17,6298,23462
2021-10-18,10077,32842
2021-10-19,10503,32473
2021-10-20,10525,32813
2021-10-21,10192,31417
2021-10-22,11550,33488
2021-10-23,11909,30786
2021-10-24,5380,13704
2021-10-25,3535,7190
2021-10-26,11004,31353
2021-10-27,11031,28408
2021-10-28,13001,32341
2021-10-29,11206,31979
2021-10-30,10789,31988
2021-10-31,4887,15311
2021-11-01,7260,20327
2021-11-02,7574,21347
