Week ending,Group,DHB of residence,Dose number,# doses administered
2021-07-18,Group 3,West Coast,1,382
2021-07-18,Group 3,West Coast,2,415
2021-07-18,Group 3,Whanganui,1,664
2021-07-18,Group 3,Whanganui,2,206
2021-07-18,Group 4,Auckland,1,4412
2021-07-18,Group 4,Auckland,2,1604
2021-07-18,Group 4,Bay of Plenty,1,337
2021-07-18,Group 4,Bay of Plenty,2,98
2021-07-18,Group 4,Canterbury,1,901
2021-07-18,Group 4,Canterbury,2,277
2021-07-18,Group 4,Capital and Coast,1,305
2021-07-18,Group 4,Capital and Coast,2,217
2021-07-18,Group 4,Counties Manukau,1,5083
2021-07-18,Group 4,Counties Manukau,2,2515
2021-07-18,Group 4,Hawkes Bay,1,382
2021-07-18,Group 4,Hawkes Bay,2,359
2021-07-18,Group 4,Hutt Valley,1,95
2021-07-18,Group 4,Hutt Valley,2,321
2021-07-18,Group 4,Lakes,1,803
2021-07-18,Group 4,Lakes,2,61
2021-07-18,Group 4,MidCentral,1,595
2021-07-18,Group 4,MidCentral,2,264
2021-07-18,Group 4,Nelson Marlborough,1,247
2021-07-18,Group 4,Nelson Marlborough,2,10
2021-07-18,Group 4,Northland,1,1080
2021-07-18,Group 4,Northland,2,506
2021-07-18,Group 4,Overseas / Unknown,1,10
2021-07-18,Group 4,South Canterbury,1,224
2021-07-18,Group 4,South Canterbury,2,44
2021-07-18,Group 4,Southern,1,420
2021-07-18,Group 4,Southern,2,50
2021-07-18,Group 4,Tairawhiti,1,55
2021-07-18,Group 4,Tairawhiti,2,28
2021-07-18,Group 4,Taranaki,1,244
2021-07-18,Group 4,Taranaki,2,141
2021-07-18,Group 4,Waikato,1,798
2021-07-18,Group 4,Waikato,2,182
2021-07-18,Group 4,Wairarapa,1,316
2021-07-18,Group 4,Wairarapa,2,72
2021-07-18,Group 4,Waitemata,1,3036
2021-07-18,Group 4,Waitemata,2,1191
2021-07-18,Group 4,West Coast,1,366
2021-07-18,Group 4,West Coast,2,25
2021-07-18,Group 4,Whanganui,1,331
2021-07-18,Group 4,Whanganui,2,12
2021-07-25,Group 1,Auckland,1,72
2021-07-25,Group 1,Auckland,2,98
2021-07-25,Group 1,Bay of Plenty,1,52
2021-07-25,Group 1,Bay of Plenty,2,35
2021-07-25,Group 1,Canterbury,1,155
2021-07-25,Group 1,Canterbury,2,180
2021-07-25,Group 1,Capital and Coast,1,58
2021-07-25,Group 1,Capital and Coast,2,56
2021-07-25,Group 1,Counties Manukau,1,100
2021-07-25,Group 1,Counties Manukau,2,134
2021-07-25,Group 1,Hawkes Bay,1,5
2021-07-25,Group 1,Hawkes Bay,2,17
2021-07-25,Group 1,Hutt Valley,1,17
2021-07-25,Group 1,Hutt Valley,2,18
2021-07-25,Group 1,Lakes,2,12
2021-07-25,Group 1,MidCentral,1,11
2021-07-25,Group 1,MidCentral,2,10
2021-07-25,Group 1,Nelson Marlborough,1,44
2021-07-25,Group 1,Nelson Marlborough,2,19
2021-07-25,Group 1,Northland,1,13
2021-07-25,Group 1,South Canterbury,1,10
2021-07-25,Group 1,Southern,1,75
2021-07-25,Group 1,Southern,2,82
2021-07-25,Group 1,Taranaki,1,24
2021-07-25,Group 1,Taranaki,2,9
2021-07-25,Group 1,Waikato,1,14
2021-07-25,Group 1,Waikato,2,30
2021-07-25,Group 1,Waitemata,1,85
2021-07-25,Group 1,Waitemata,2,87
2021-07-25,Group 2,Auckland,1,2204
2021-07-25,Group 2,Auckland,2,3195
2021-07-25,Group 2,Bay of Plenty,1,445
2021-07-25,Group 2,Bay of Plenty,2,732
2021-07-25,Group 2,Canterbury,1,867
2021-07-25,Group 2,Canterbury,2,2654
2021-07-25,Group 2,Capital and Coast,1,489
2021-07-25,Group 2,Capital and Coast,2,437
2021-07-25,Group 2,Counties Manukau,1,5791
2021-07-25,Group 2,Counties Manukau,2,6579
2021-07-25,Group 2,Hawkes Bay,1,172
2021-07-25,Group 2,Hawkes Bay,2,395
2021-07-25,Group 2,Hutt Valley,1,113
2021-07-25,Group 2,Hutt Valley,2,186
2021-07-25,Group 2,Lakes,1,218
2021-07-25,Group 2,Lakes,2,235
2021-07-25,Group 2,MidCentral,1,485
2021-07-25,Group 2,MidCentral,2,713
2021-07-25,Group 2,Nelson Marlborough,1,319
2021-07-25,Group 2,Nelson Marlborough,2,327
2021-07-25,Group 2,Northland,1,395
2021-07-25,Group 2,Northland,2,725
2021-07-25,Group 2,Overseas / Unknown,1,6
2021-07-25,Group 2,Overseas / Unknown,2,17
2021-07-25,Group 2,South Canterbury,1,34
2021-07-25,Group 2,South Canterbury,2,55
2021-07-25,Group 2,Southern,1,598
2021-07-25,Group 2,Southern,2,1658
2021-07-25,Group 2,Tairawhiti,1,15
2021-07-25,Group 2,Tairawhiti,2,261
2021-07-25,Group 2,Taranaki,1,229
2021-07-25,Group 2,Taranaki,2,327
2021-07-25,Group 2,Waikato,1,1746
2021-07-25,Group 2,Waikato,2,2404
2021-07-25,Group 2,Wairarapa,1,28
2021-07-25,Group 2,Wairarapa,2,100
2021-07-25,Group 2,Waitemata,1,1629
2021-07-25,Group 2,Waitemata,2,2523
2021-07-25,Group 2,West Coast,1,11
2021-07-25,Group 2,West Coast,2,45
2021-07-25,Group 2,Whanganui,1,37
2021-07-25,Group 2,Whanganui,2,95
2021-07-25,Group 3,Auckland,1,3662
2021-07-25,Group 3,Auckland,2,3312
2021-07-25,Group 3,Bay of Plenty,1,3321
2021-07-25,Group 3,Bay of Plenty,2,2900
2021-07-25,Group 3,Canterbury,1,10208
2021-07-25,Group 3,Canterbury,2,2787
2021-07-25,Group 3,Capital and Coast,1,6101
2021-07-25,Group 3,Capital and Coast,2,961
2021-07-25,Group 3,Counties Manukau,1,673
2021-07-25,Group 3,Counties Manukau,2,583
2021-07-25,Group 3,Hawkes Bay,1,2783
2021-07-25,Group 3,Hawkes Bay,2,1512
2021-07-25,Group 3,Hutt Valley,1,2593
2021-07-25,Group 3,Hutt Valley,2,1498
2021-07-25,Group 3,Lakes,1,1161
2021-07-25,Group 3,Lakes,2,946
2021-07-25,Group 3,MidCentral,1,3047
2021-07-25,Group 3,MidCentral,2,3437
2021-07-25,Group 3,Nelson Marlborough,1,3564
2021-07-25,Group 3,Nelson Marlborough,2,2250
2021-07-25,Group 3,Northland,1,1504
2021-07-25,Group 3,Northland,2,1258
2021-07-25,Group 3,Overseas / Unknown,1,29
2021-07-25,Group 3,Overseas / Unknown,2,26
2021-07-25,Group 3,South Canterbury,1,1017
2021-07-25,Group 3,South Canterbury,2,297
2021-07-25,Group 3,Southern,1,5334
2021-07-25,Group 3,Southern,2,3330
2021-07-25,Group 3,Tairawhiti,1,561
2021-07-25,Group 3,Tairawhiti,2,543
2021-07-25,Group 3,Taranaki,1,2874
2021-07-25,Group 3,Taranaki,2,953
2021-07-25,Group 3,Waikato,1,6262
2021-07-25,Group 3,Waikato,2,2198
2021-07-25,Group 3,Wairarapa,1,785
2021-07-25,Group 3,Wairarapa,2,1020
2021-07-25,Group 3,Waitemata,1,8302
2021-07-25,Group 3,Waitemata,2,4867
2021-07-25,Group 3,West Coast,1,222
2021-07-25,Group 3,West Coast,2,439
2021-07-25,Group 3,Whanganui,1,1388
2021-07-25,Group 3,Whanganui,2,340
2021-07-25,Group 4,Auckland,1,6115
2021-07-25,Group 4,Auckland,2,1821
2021-07-25,Group 4,Bay of Plenty,1,758
2021-07-25,Group 4,Bay of Plenty,2,166
2021-07-25,Group 4,Canterbury,1,2550
2021-07-25,Group 4,Canterbury,2,792
2021-07-25,Group 4,Capital and Coast,1,1377
2021-07-25,Group 4,Capital and Coast,2,417
2021-07-25,Group 4,Counties Manukau,1,7676
2021-07-25,Group 4,Counties Manukau,2,3269
2021-07-25,Group 4,Hawkes Bay,1,847
2021-07-25,Group 4,Hawkes Bay,2,552
2021-07-25,Group 4,Hutt Valley,1,231
2021-07-25,Group 4,Hutt Valley,2,270
2021-07-25,Group 4,Lakes,1,2067
2021-07-25,Group 4,Lakes,2,441
2021-07-25,Group 4,MidCentral,1,900
2021-07-25,Group 4,MidCentral,2,389
2021-07-25,Group 4,Nelson Marlborough,1,851
2021-07-25,Group 4,Nelson Marlborough,2,30
2021-07-25,Group 4,Northland,1,1460
2021-07-25,Group 4,Northland,2,388
2021-07-25,Group 4,Overseas / Unknown,1,15
2021-07-25,Group 4,Overseas / Unknown,2,6
2021-07-25,Group 4,South Canterbury,1,460
2021-07-25,Group 4,South Canterbury,2,13
2021-07-25,Group 4,Southern,1,1532
2021-07-25,Group 4,Southern,2,144
2021-07-25,Group 4,Tairawhiti,1,256
2021-07-25,Group 4,Tairawhiti,2,49
2021-07-25,Group 4,Taranaki,1,440
2021-07-25,Group 4,Taranaki,2,82
2021-07-25,Group 4,Waikato,1,2994
2021-07-25,Group 4,Waikato,2,244
2021-07-25,Group 4,Wairarapa,1,534
2021-07-25,Group 4,Wairarapa,2,118
2021-07-25,Group 4,Waitemata,1,4960
2021-07-25,Group 4,Waitemata,2,1516
2021-07-25,Group 4,West Coast,1,132
2021-07-25,Group 4,West Coast,2,67
2021-07-25,Group 4,Whanganui,1,388
2021-07-25,Group 4,Whanganui,2,24
2021-08-01,Group 1,Auckland,1,70
2021-08-01,Group 1,Auckland,2,101
2021-08-01,Group 1,Bay of Plenty,1,52
2021-08-01,Group 1,Bay of Plenty,2,17
2021-08-01,Group 1,Canterbury,1,165
2021-08-01,Group 1,Canterbury,2,207
2021-08-01,Group 1,Capital and Coast,1,67
2021-08-01,Group 1,Capital and Coast,2,69
2021-08-01,Group 1,Counties Manukau,1,142
2021-08-01,Group 1,Counties Manukau,2,122
2021-08-01,Group 1,Hawkes Bay,1,16
2021-08-01,Group 1,Hawkes Bay,2,8
2021-08-01,Group 1,Hutt Valley,1,24
2021-08-01,Group 1,Hutt Valley,2,16
2021-08-01,Group 1,Lakes,1,7
2021-08-01,Group 1,Lakes,2,10
2021-08-01,Group 1,MidCentral,2,10
2021-08-01,Group 1,Nelson Marlborough,1,34
2021-08-01,Group 1,Nelson Marlborough,2,12
2021-08-01,Group 1,Northland,1,5
2021-08-01,Group 1,South Canterbury,1,38
2021-08-01,Group 1,South Canterbury,2,6
2021-08-01,Group 1,Southern,1,151
2021-08-01,Group 1,Southern,2,48
2021-08-01,Group 1,Tairawhiti,1,6
2021-08-01,Group 1,Taranaki,1,7
2021-08-01,Group 1,Taranaki,2,10
2021-08-01,Group 1,Waikato,1,12
2021-08-01,Group 1,Waikato,2,37
2021-08-01,Group 1,Waitemata,1,111
2021-08-01,Group 1,Waitemata,2,106
2021-08-01,Group 2,Auckland,1,3444
2021-08-01,Group 2,Auckland,2,2437
2021-08-01,Group 2,Bay of Plenty,1,458
2021-08-01,Group 2,Bay of Plenty,2,508
2021-08-01,Group 2,Canterbury,1,864
2021-08-01,Group 2,Canterbury,2,1401
2021-08-01,Group 2,Capital and Coast,1,583
2021-08-01,Group 2,Capital and Coast,2,462
2021-08-01,Group 2,Counties Manukau,1,7923
2021-08-01,Group 2,Counties Manukau,2,5483
2021-08-01,Group 2,Hawkes Bay,1,423
2021-08-01,Group 2,Hawkes Bay,2,389
2021-08-01,Group 2,Hutt Valley,1,128
2021-08-01,Group 2,Hutt Valley,2,189
2021-08-01,Group 2,Lakes,1,113
2021-08-01,Group 2,Lakes,2,117
2021-08-01,Group 2,MidCentral,1,475
2021-08-01,Group 2,MidCentral,2,442
2021-08-01,Group 2,Nelson Marlborough,1,415
2021-08-01,Group 2,Nelson Marlborough,2,529
2021-08-01,Group 2,Northland,1,383
2021-08-01,Group 2,Northland,2,685
2021-08-01,Group 2,Overseas / Unknown,1,8
2021-08-01,Group 2,Overseas / Unknown,2,15
2021-08-01,Group 2,South Canterbury,1,160
2021-08-01,Group 2,South Canterbury,2,54
2021-08-01,Group 2,Southern,1,854
2021-08-01,Group 2,Southern,2,996
2021-08-01,Group 2,Tairawhiti,1,132
2021-08-01,Group 2,Tairawhiti,2,44
2021-08-01,Group 2,Taranaki,1,276
2021-08-01,Group 2,Taranaki,2,239
2021-08-01,Group 2,Waikato,1,2148
2021-08-01,Group 2,Waikato,2,1789
2021-08-01,Group 2,Wairarapa,1,54
2021-08-01,Group 2,Wairarapa,2,106
2021-08-01,Group 2,Waitemata,1,2412
2021-08-01,Group 2,Waitemata,2,2307
2021-08-01,Group 2,West Coast,1,10
2021-08-01,Group 2,West Coast,2,41
2021-08-01,Group 2,Whanganui,1,61
2021-08-01,Group 2,Whanganui,2,73
2021-08-01,Group 3,Auckland,1,3315
2021-08-01,Group 3,Auckland,2,3592
2021-08-01,Group 3,Bay of Plenty,1,4128
2021-08-01,Group 3,Bay of Plenty,2,2413
2021-08-01,Group 3,Canterbury,1,12999
2021-08-01,Group 3,Canterbury,2,4302
2021-08-01,Group 3,Capital and Coast,1,10554
2021-08-01,Group 3,Capital and Coast,2,1988
2021-08-01,Group 3,Counties Manukau,1,516
2021-08-01,Group 3,Counties Manukau,2,700
2021-08-01,Group 3,Hawkes Bay,1,6470
2021-08-01,Group 3,Hawkes Bay,2,1002
2021-08-01,Group 3,Hutt Valley,1,4390
2021-08-01,Group 3,Hutt Valley,2,1192
2021-08-01,Group 3,Lakes,1,932
2021-08-01,Group 3,Lakes,2,974
2021-08-01,Group 3,MidCentral,1,3692
2021-08-01,Group 3,MidCentral,2,3084
2021-08-01,Group 3,Nelson Marlborough,1,4320
2021-08-01,Group 3,Nelson Marlborough,2,2207
2021-08-01,Group 3,Northland,1,2273
2021-08-01,Group 3,Northland,2,2315
2021-08-01,Group 3,Overseas / Unknown,1,104
2021-08-01,Group 3,Overseas / Unknown,2,12
2021-08-01,Group 3,South Canterbury,1,1889
2021-08-01,Group 3,South Canterbury,2,324
2021-08-01,Group 3,Southern,1,9517
2021-08-01,Group 3,Southern,2,1777
2021-08-01,Group 3,Tairawhiti,1,606
2021-08-01,Group 3,Tairawhiti,2,402
2021-08-01,Group 3,Taranaki,1,2703
2021-08-01,Group 3,Taranaki,2,962
2021-08-01,Group 3,Waikato,1,9024
2021-08-01,Group 3,Waikato,2,2208
2021-08-01,Group 3,Wairarapa,1,977
2021-08-01,Group 3,Wairarapa,2,1341
2021-08-01,Group 3,Waitemata,1,8207
2021-08-01,Group 3,Waitemata,2,5400
2021-08-01,Group 3,West Coast,1,226
2021-08-01,Group 3,West Coast,2,424
2021-08-01,Group 3,Whanganui,1,1761
2021-08-01,Group 3,Whanganui,2,891
2021-08-01,Group 4,Auckland,1,11817
2021-08-01,Group 4,Auckland,2,2356
2021-08-01,Group 4,Bay of Plenty,1,2137
2021-08-01,Group 4,Bay of Plenty,2,174
2021-08-01,Group 4,Canterbury,1,3967
2021-08-01,Group 4,Canterbury,2,796
2021-08-01,Group 4,Capital and Coast,1,3226
2021-08-01,Group 4,Capital and Coast,2,506
2021-08-01,Group 4,Counties Manukau,1,15410
2021-08-01,Group 4,Counties Manukau,2,3549
2021-08-01,Group 4,Hawkes Bay,1,2436
2021-08-01,Group 4,Hawkes Bay,2,731
2021-08-01,Group 4,Hutt Valley,1,672
2021-08-01,Group 4,Hutt Valley,2,163
2021-08-01,Group 4,Lakes,1,1933
2021-08-01,Group 4,Lakes,2,580
2021-08-01,Group 4,MidCentral,1,1318
2021-08-01,Group 4,MidCentral,2,381
2021-08-01,Group 4,Nelson Marlborough,1,2647
2021-08-01,Group 4,Nelson Marlborough,2,152
2021-08-01,Group 4,Northland,1,1846
2021-08-01,Group 4,Northland,2,677
2021-08-01,Group 4,Overseas / Unknown,1,24
2021-08-01,Group 4,Overseas / Unknown,2,27
2021-08-01,Group 4,South Canterbury,1,1296
2021-08-01,Group 4,South Canterbury,2,21
2021-08-01,Group 4,Southern,1,4940
2021-08-01,Group 4,Southern,2,312
2021-08-01,Group 4,Tairawhiti,1,938
2021-08-01,Group 4,Tairawhiti,2,13
2021-08-01,Group 4,Taranaki,1,774
2021-08-01,Group 4,Taranaki,2,138
2021-08-01,Group 4,Waikato,1,7050
2021-08-01,Group 4,Waikato,2,314
2021-08-01,Group 4,Wairarapa,1,793
2021-08-01,Group 4,Wairarapa,2,299
2021-08-01,Group 4,Waitemata,1,9716
2021-08-01,Group 4,Waitemata,2,1690
2021-08-01,Group 4,West Coast,1,166
2021-08-01,Group 4,West Coast,2,217
2021-08-01,Group 4,Whanganui,1,890
2021-08-01,Group 4,Whanganui,2,77
2021-08-08,Group 1,Auckland,1,94
2021-08-08,Group 1,Auckland,2,83
2021-08-08,Group 1,Bay of Plenty,1,60
2021-08-08,Group 1,Bay of Plenty,2,19
2021-08-08,Group 1,Canterbury,1,156
2021-08-08,Group 1,Canterbury,2,165
2021-08-08,Group 1,Capital and Coast,1,163
2021-08-08,Group 1,Capital and Coast,2,42
2021-08-08,Group 1,Counties Manukau,1,108
2021-08-08,Group 1,Counties Manukau,2,129
2021-08-08,Group 1,Hawkes Bay,1,6
2021-08-08,Group 1,Hawkes Bay,2,8
2021-08-08,Group 1,Hutt Valley,1,58
2021-08-08,Group 1,Hutt Valley,2,23
2021-08-08,Group 1,Lakes,1,7
2021-08-08,Group 1,Lakes,2,9
2021-08-08,Group 1,MidCentral,1,9
2021-08-08,Group 1,Nelson Marlborough,1,30
2021-08-08,Group 1,Nelson Marlborough,2,9
2021-08-08,Group 1,Northland,1,17
2021-08-08,Group 1,Northland,2,10
2021-08-08,Group 1,South Canterbury,1,39
2021-08-08,Group 1,South Canterbury,2,8
2021-08-08,Group 1,Southern,1,101
2021-08-08,Group 1,Southern,2,28
2021-08-08,Group 1,Tairawhiti,1,10
2021-08-08,Group 1,Taranaki,1,14
2021-08-08,Group 1,Waikato,1,15
2021-08-08,Group 1,Waikato,2,14
2021-08-08,Group 1,Waitemata,1,100
2021-08-08,Group 1,Waitemata,2,90
2021-08-08,Group 2,Auckland,1,2704
2021-08-08,Group 2,Auckland,2,2112
2021-08-08,Group 2,Bay of Plenty,1,546
2021-08-08,Group 2,Bay of Plenty,2,471
2021-08-08,Group 2,Canterbury,1,1111
2021-08-08,Group 2,Canterbury,2,1258
2021-08-08,Group 2,Capital and Coast,1,995
2021-08-08,Group 2,Capital and Coast,2,471
2021-08-08,Group 2,Counties Manukau,1,6741
2021-08-08,Group 2,Counties Manukau,2,4974
2021-08-08,Group 2,Hawkes Bay,1,301
2021-08-08,Group 2,Hawkes Bay,2,154
2021-08-08,Group 2,Hutt Valley,1,193
2021-08-08,Group 2,Hutt Valley,2,145
2021-08-08,Group 2,Lakes,1,113
2021-08-08,Group 2,Lakes,2,134
2021-08-08,Group 2,MidCentral,1,579
2021-08-08,Group 2,MidCentral,2,391
2021-08-08,Group 2,Nelson Marlborough,1,509
2021-08-08,Group 2,Nelson Marlborough,2,165
2021-08-08,Group 2,Northland,1,713
2021-08-08,Group 2,Northland,2,680
2021-08-08,Group 2,Overseas / Unknown,1,14
2021-08-08,Group 2,Overseas / Unknown,2,5
2021-08-08,Group 2,South Canterbury,1,101
2021-08-08,Group 2,South Canterbury,2,44
2021-08-08,Group 2,Southern,1,1629
2021-08-08,Group 2,Southern,2,1259
2021-08-08,Group 2,Tairawhiti,1,664
2021-08-08,Group 2,Tairawhiti,2,53
2021-08-08,Group 2,Taranaki,1,494
2021-08-08,Group 2,Taranaki,2,149
2021-08-08,Group 2,Waikato,1,1668
2021-08-08,Group 2,Waikato,2,1543
2021-08-08,Group 2,Wairarapa,1,54
2021-08-08,Group 2,Wairarapa,2,49
2021-08-08,Group 2,Waitemata,1,2585
2021-08-08,Group 2,Waitemata,2,1802
2021-08-08,Group 2,West Coast,1,23
2021-08-08,Group 2,West Coast,2,61
2021-08-08,Group 2,Whanganui,1,109
2021-08-08,Group 2,Whanganui,2,35
2021-08-08,Group 3,Auckland,1,3176
2021-08-08,Group 3,Auckland,2,4145
2021-08-08,Group 3,Bay of Plenty,1,4973
2021-08-08,Group 3,Bay of Plenty,2,1899
2021-08-08,Group 3,Canterbury,1,13930
2021-08-08,Group 3,Canterbury,2,4574
2021-08-08,Group 3,Capital and Coast,1,11425
2021-08-08,Group 3,Capital and Coast,2,1447
2021-08-08,Group 3,Counties Manukau,1,395
2021-08-08,Group 3,Counties Manukau,2,501
2021-08-08,Group 3,Hawkes Bay,1,3550
2021-08-08,Group 3,Hawkes Bay,2,1189
2021-08-08,Group 3,Hutt Valley,1,4353
2021-08-08,Group 3,Hutt Valley,2,1545
2021-08-08,Group 3,Lakes,1,492
2021-08-08,Group 3,Lakes,2,1704
2021-08-08,Group 3,MidCentral,1,2749
2021-08-08,Group 3,MidCentral,2,2847
2021-08-08,Group 3,Nelson Marlborough,1,2699
2021-08-08,Group 3,Nelson Marlborough,2,1702
2021-08-08,Group 3,Northland,1,2199
2021-08-08,Group 3,Northland,2,2299
2021-08-08,Group 3,Overseas / Unknown,1,34
2021-08-08,Group 3,Overseas / Unknown,2,10
2021-08-08,Group 3,South Canterbury,1,757
2021-08-08,Group 3,South Canterbury,2,1296
2021-08-08,Group 3,Southern,1,9204
2021-08-08,Group 3,Southern,2,1720
2021-08-08,Group 3,Tairawhiti,1,562
2021-08-08,Group 3,Tairawhiti,2,513
2021-08-08,Group 3,Taranaki,1,2980
2021-08-08,Group 3,Taranaki,2,969
2021-08-08,Group 3,Waikato,1,7130
2021-08-08,Group 3,Waikato,2,3667
2021-08-08,Group 3,Wairarapa,1,765
2021-08-08,Group 3,Wairarapa,2,856
2021-08-08,Group 3,Waitemata,1,7638
2021-08-08,Group 3,Waitemata,2,5731
2021-08-08,Group 3,West Coast,1,181
2021-08-08,Group 3,West Coast,2,523
2021-08-08,Group 3,Whanganui,1,1029
2021-08-08,Group 3,Whanganui,2,606
2021-08-08,Group 4,Auckland,1,9152
2021-08-08,Group 4,Auckland,2,3474
2021-08-08,Group 4,Bay of Plenty,1,2124
2021-08-08,Group 4,Bay of Plenty,2,256
2021-08-08,Group 4,Canterbury,1,7391
2021-08-08,Group 4,Canterbury,2,666
2021-08-08,Group 4,Capital and Coast,1,6408
2021-08-08,Group 4,Capital and Coast,2,275
2021-08-08,Group 4,Counties Manukau,1,10731
2021-08-08,Group 4,Counties Manukau,2,4294
2021-08-08,Group 4,Hawkes Bay,1,3604
2021-08-08,Group 4,Hawkes Bay,2,377
2021-08-08,Group 4,Hutt Valley,1,1183
2021-08-08,Group 4,Hutt Valley,2,102
2021-08-08,Group 4,Lakes,1,1648
2021-08-08,Group 4,Lakes,2,750
2021-08-08,Group 4,MidCentral,1,2793
2021-08-08,Group 4,MidCentral,2,579
2021-08-08,Group 4,Nelson Marlborough,1,4713
2021-08-08,Group 4,Nelson Marlborough,2,187
2021-08-08,Group 4,Northland,1,2400
2021-08-08,Group 4,Northland,2,975
2021-08-08,Group 4,Overseas / Unknown,1,50
2021-08-08,Group 4,Overseas / Unknown,2,7
2021-08-08,Group 4,South Canterbury,1,1025
2021-08-08,Group 4,South Canterbury,2,200
2021-08-08,Group 4,Southern,1,10513
2021-08-08,Group 4,Southern,2,462
2021-08-08,Group 4,Tairawhiti,1,1199
2021-08-08,Group 4,Tairawhiti,2,72
2021-08-08,Group 4,Taranaki,1,2976
2021-08-08,Group 4,Taranaki,2,198
2021-08-08,Group 4,Waikato,1,8810
2021-08-08,Group 4,Waikato,2,640
2021-08-08,Group 4,Wairarapa,1,907
2021-08-08,Group 4,Wairarapa,2,237
2021-08-08,Group 4,Waitemata,1,9559
2021-08-08,Group 4,Waitemata,2,2190
2021-08-08,Group 4,West Coast,1,692
2021-08-08,Group 4,West Coast,2,406
2021-08-08,Group 4,Whanganui,1,1145
2021-08-08,Group 4,Whanganui,2,356
2021-08-15,Group 1,Auckland,1,72
2021-08-15,Group 1,Auckland,2,82
2021-08-15,Group 1,Bay of Plenty,1,90
2021-08-15,Group 1,Bay of Plenty,2,40
2021-08-15,Group 1,Canterbury,1,181
2021-08-15,Group 1,Canterbury,2,176
2021-08-15,Group 1,Capital and Coast,1,109
2021-08-15,Group 1,Capital and Coast,2,62
2021-08-15,Group 1,Counties Manukau,1,115
2021-08-15,Group 1,Counties Manukau,2,108
2021-08-15,Group 1,Hawkes Bay,1,20
2021-08-15,Group 1,Hawkes Bay,2,11
2021-08-15,Group 1,Hutt Valley,1,52
2021-08-15,Group 1,Hutt Valley,2,20
2021-08-15,Group 1,Lakes,1,6
2021-08-15,Group 1,Lakes,2,8
2021-08-15,Group 1,MidCentral,1,8
2021-08-15,Group 1,MidCentral,2,9
2021-08-15,Group 1,Nelson Marlborough,1,35
2021-08-15,Group 1,Nelson Marlborough,2,32
2021-08-15,Group 1,Northland,1,21
2021-08-15,Group 1,Northland,2,11
2021-08-15,Group 1,South Canterbury,1,14
2021-08-15,Group 1,South Canterbury,2,7
2021-08-15,Group 1,Southern,1,65
2021-08-15,Group 1,Southern,2,71
2021-08-15,Group 1,Tairawhiti,1,17
2021-08-15,Group 1,Taranaki,1,9
2021-08-15,Group 1,Taranaki,2,16
2021-08-15,Group 1,Waikato,1,12
2021-08-15,Group 1,Waikato,2,15
2021-08-15,Group 1,Waitemata,1,108
2021-08-15,Group 1,Waitemata,2,82
2021-08-15,Group 2,Auckland,1,3155
2021-08-15,Group 2,Auckland,2,1941
2021-08-15,Group 2,Bay of Plenty,1,827
2021-08-15,Group 2,Bay of Plenty,2,957
2021-08-15,Group 2,Canterbury,1,1243
2021-08-15,Group 2,Canterbury,2,1302
2021-08-15,Group 2,Capital and Coast,1,1143
2021-08-15,Group 2,Capital and Coast,2,466
2021-08-15,Group 2,Counties Manukau,1,6443
2021-08-15,Group 2,Counties Manukau,2,5237
2021-08-15,Group 2,Hawkes Bay,1,547
2021-08-15,Group 2,Hawkes Bay,2,211
2021-08-15,Group 2,Hutt Valley,1,466
2021-08-15,Group 2,Hutt Valley,2,138
2021-08-15,Group 2,Lakes,1,236
2021-08-15,Group 2,Lakes,2,199
2021-08-15,Group 2,MidCentral,1,645
2021-08-15,Group 2,MidCentral,2,360
2021-08-15,Group 2,Nelson Marlborough,1,442
2021-08-15,Group 2,Nelson Marlborough,2,220
2021-08-15,Group 2,Northland,1,407
2021-08-15,Group 2,Northland,2,414
2021-08-15,Group 2,Overseas / Unknown,1,20
2021-08-15,Group 2,Overseas / Unknown,2,8
2021-08-15,Group 2,South Canterbury,1,141
2021-08-15,Group 2,South Canterbury,2,39
2021-08-15,Group 2,Southern,1,1195
2021-08-15,Group 2,Southern,2,808
2021-08-15,Group 2,Tairawhiti,1,270
2021-08-15,Group 2,Tairawhiti,2,66
2021-08-15,Group 2,Taranaki,1,308
2021-08-15,Group 2,Taranaki,2,191
2021-08-15,Group 2,Waikato,1,2400
2021-08-15,Group 2,Waikato,2,1702
2021-08-15,Group 2,Wairarapa,1,119
2021-08-15,Group 2,Wairarapa,2,117
2021-08-15,Group 2,Waitemata,1,2690
2021-08-15,Group 2,Waitemata,2,1612
2021-08-15,Group 2,West Coast,1,46
2021-08-15,Group 2,West Coast,2,26
2021-08-15,Group 2,Whanganui,1,86
2021-08-15,Group 2,Whanganui,2,35
2021-08-15,Group 3,Auckland,1,3062
2021-08-15,Group 3,Auckland,2,3263
2021-08-15,Group 3,Bay of Plenty,1,3856
2021-08-15,Group 3,Bay of Plenty,2,2930
2021-08-15,Group 3,Canterbury,1,11132
2021-08-15,Group 3,Canterbury,2,7948
2021-08-15,Group 3,Capital and Coast,1,8879
2021-08-15,Group 3,Capital and Coast,2,4274
2021-08-15,Group 3,Counties Manukau,1,380
2021-08-15,Group 3,Counties Manukau,2,636
2021-08-15,Group 3,Hawkes Bay,1,2868
2021-08-15,Group 3,Hawkes Bay,2,2124
2021-08-15,Group 3,Hutt Valley,1,3850
2021-08-15,Group 3,Hutt Valley,2,2050
2021-08-15,Group 3,Lakes,1,338
2021-08-15,Group 3,Lakes,2,1192
