Territorial Authority,Population,First Dose,Second Dose,% First Dose,% Second Dose
Ashburton District,"27,424","24,889","19,777",91%,72%
Auckland,"1,383,804","1,260,668","1,122,299",91%,81%
Buller District,"8,272","6,710","5,484",81%,66%
Carterton District,"8,259","7,216","6,185",87%,75%
Central Hawke's Bay District,"11,838","10,165","8,518",86%,72%
Central Otago District,"19,636","17,795","15,789",91%,80%
Chatham Islands Territory,180,208,191,116%,106%
Christchurch City,"322,364","297,214","244,232",92%,76%
Clutha District,"14,979","12,716","10,489",85%,70%
Dunedin City,"110,495","103,413","92,662",94%,84%
Far North District,"56,422","42,986","34,375",76%,61%
Gisborne District,"40,638","32,014","26,150",79%,64%
Gore District,"10,754","9,025","7,572",84%,70%
Grey District,"11,412","9,423","7,845",83%,69%
Hamilton City,"137,530","124,622","107,123",91%,78%
Hastings District,"69,386","59,033","49,877",85%,72%
Hauraki District,"17,324","13,820","11,466",80%,66%
Horowhenua District,"28,824","23,862","19,977",83%,69%
Hurunui District,"10,818","9,301","7,661",86%,71%
Invercargill City,"45,988","39,235","33,146",85%,72%
Kaikoura District,"3,473","2,880","2,448",83%,70%
Kaipara District,"20,198","15,814","12,623",78%,62%
Kapiti Coast District,"47,238","41,589","36,801",88%,78%
Kawerau District,"6,115","4,273","3,257",70%,53%
Lower Hutt City,"90,423","79,697","68,529",88%,76%
Mackenzie District,"4,141","3,557","2,936",86%,71%
Manawatu District,"25,555","22,318","18,848",87%,74%
Marlborough District,"41,136","37,238","32,874",91%,80%
Masterton District,"22,673","19,104","16,170",84%,71%
Matamata-Piako District,"29,220","24,994","20,560",86%,70%
Napier City,"54,392","46,429","39,659",85%,73%
Nelson City,"44,843","39,229","34,528",87%,77%
New Plymouth District,"68,211","58,200","46,753",85%,69%
Opotiki District,"7,289","5,405","4,366",74%,60%
Otorohanga District,"7,960","6,513","5,083",82%,64%
Palmerston North City,"70,542","62,762","53,361",89%,76%
Porirua City,"47,711","41,426","35,510",87%,74%
Queenstown-Lakes District,"35,862","35,172","30,698",98%,86%
Rangitikei District,"12,700","10,515","8,825",83%,69%
Rotorua District,"58,120","47,185","38,565",81%,66%
Ruapehu District,"9,938","7,442","5,847",75%,59%
Selwyn District,"53,318","52,352","43,501",98%,82%
South Taranaki District,"20,389","16,718","13,052",82%,64%
South Waikato District,"19,634","15,469","11,832",79%,60%
South Wairarapa District,"9,607","8,544","7,405",89%,77%
Southland District,"25,076","20,669","16,743",82%,67%
Stratford District,"7,523","6,080","4,786",81%,64%
Tararua District,"15,008","12,158","10,032",81%,67%
Tasman District,"45,613","38,833","34,008",85%,75%
Taupo District,"32,192","26,376","21,959",82%,68%
Tauranga City,"121,638","105,398","87,230",87%,72%
Thames-Coromandel District,"26,266","22,174","19,455",84%,74%
Timaru District,"41,101","36,013","31,664",88%,77%
Unknown,"127,349","103,200","86,766",81%,68%
Upper Hutt City,"36,898","33,181","27,968",90%,76%
Waikato District,"63,219","55,090","46,338",87%,73%
Waimakariri District,"52,773","46,663","37,826",88%,72%
Waimate District,"6,937","5,866","4,893",85%,71%
Waipa District,"46,643","42,073","35,823",90%,77%
Wairoa District,"6,304","4,860","4,085",77%,65%
Waitaki District,"19,323","16,588","14,236",86%,74%
Waitomo District,"7,762","6,341","4,929",82%,64%
Wellington City,"178,565","169,064","149,439",95%,84%
Western Bay of Plenty District,"45,702","38,806","32,297",85%,71%
Westland District,"7,100","5,980","4,974",84%,70%
Whakatane District,"30,432","22,618","18,548",74%,61%
Whanganui District,"39,902","32,071","27,420",80%,69%
Whangarei District,"78,696","65,117","54,958",83%,70%
Grand Total,"4,209,057","3,724,359","3,201,226",88%,76%
